index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,14,0,0,0,9.999999999999998,12,10.0,24.163030962669144,22,32.54545454545455,20.538953807782303,2,56.0,45.0,20,45.0,0,0.2,34755,0,0,0.0,0.0,False,0.008999854841050951,11,1.5070000000000001,36551,9,10,1.0,331.6303096266914,False,0.06595486006135423,0,0.2,55571,103,38,1.0,3269.272433850649,False,0.02304551776606982,0,5.168000000000001,28922,70,0,0.0,1691.41216738684,False,-0.46764479346722065,6,1.8530000000000002,76245,339,0,0.0,6962.705340838201,False,-0.07541137354696097,14,1.8070000000000004,76915,360,0,0.0,7394.0233708016285,False,-0.06514036246041577,0.3333333333333333,308959,0.0,0.0,8,0,0,11,9,8.916666666666666,18,29,9,117.0,12.0,10,4,9,552,0.6836540279909968,32.04941109608626
21,9,0,0,0,9.999999999999998,9,10.0,24.50668828042929,21,27.142857142857142,20.658979292049658,25,22.04,45.0,20,45.0,0,0.2,34755,0,0,0.0,0.0,False,0.008999854841050951,11,1.606,36789,8,10,1.0,325.0668828042929,False,0.07276915202212655,0,0.2,55325,114,42,1.0,3661.4395942350247,False,0.022152830035901638,19,5.358000000000001,28313,70,0,0.0,1715.4681796300504,False,-0.4783208310564761,8,1.9270000000000003,75926,344,0,0.0,7106.688876465082,False,-0.07827593456687959,12,1.9130000000000005,76337,380,0,0.0,7850.41213097887,False,-0.06919706751221248,0.3333333333333333,307445,0.0,0.0,6,0,0,8,15,14.916666666666666,14,22,13,48.0,12.0,5,4,13,648,0.6118661820073612,32.66127727809362
22,13,0,0,0,9.999999999999998,11,10.0,25.19479154534559,32,28.71875,21.36021164135077,13,36.53846153846153,45.0,20,45.0,0,0.2,34755,0,0,0.0,0.0,False,0.008999854841050951,22,1.8150000000000002,36993,9,10,1.0,341.9479154534559,False,0.07893668043915589,0,0.2,54976,127,47,1.0,4203.668473402377,False,0.020759952012825912,8,5.419000000000002,27922,79,0,0.0,1990.3885320823017,False,-0.48285504826723263,11,2.0290000000000004,75442,352,0,0.0,7518.794497755471,False,-0.08149929549365369,9,1.9910000000000003,76012,385,0,0.0,8223.681481920046,False,-0.0708016938505605,0.3333333333333333,306100,0.0,0.0,7,0,0,8,13,12.166666666666668,19,27,14,104.0,22.0,9,4,14,383,0.7873201119946316,33.44859739008825
23,14,0,0,0,9.999999999999996,9,10.0,25.829399738814168,11,36.0,25.724333498883908,59,45.32203389830509,45.0,20,45.0,0,0.2,34755,0,0,0.0,0.0,False,0.008999854841050951,1,1.8030000000000004,37277,8,10,1.0,338.29399738814163,False,0.08712866885452379,0,0.2,57181,117,17,1.0,3459.353438922284,False,0.0535378636096562,19,5.601000000000002,27183,90,0,0.0,2324.645976493275,False,-0.4930821934609039,7,2.0880000000000005,72985,404,0,0.0,10392.630733549098,False,-0.0933292121354237,13,2.1120000000000005,75427,392,0,0.0,10083.938731562492,False,-0.0667992280348694,0.3333333333333333,304808,0.0,0.0,7,0,0,9,15,14.09090909090909,17,26,12,102.0,24.0,9,5,12,2295,0.6913710970547982,34.13996848714305
24,12,0,0,0,9.999999999999996,11,10.0,25.829399738814168,0,,25.347790206035082,8,11.625,45.0,20,45.0,0,0.2,34755,0,0,0.0,0.0,False,0.008999854841050951,0,1.802,37167,9,20,1.0,606.5879947762834,False,0.08782969944514861,0,0.2,57239,107,26,1.0,3422.788317410028,False,0.054248156351467604,7,5.652000000000002,26973,90,0,0.0,2324.645976493275,False,-0.49683775974664884,10,2.1810000000000005,72767,405,0,0.0,10265.855033444208,False,-0.09659247449556291,10,2.1990000000000007,75222,399,0,0.0,10113.768292207998,False,-0.06900365136898261,0.3333333333333333,304123,0.0,0.0,7,0,0,4,9,9.0,17,21,14,43.0,39.0,4,8,14,168,0.6513938520220108,34.79136233916506
25,14,0,0,0,9.999999999999998,7,10.0,25.829399738814168,0,,25.47084370117605,6,31.0,45.0,20,45.0,0,0.2,34755,0,0,0.0,0.0,False,0.008999854841050951,0,1.802,37097,6,30,1.0,834.881992164425,False,0.08911136583197027,0,0.2,57349,97,34,1.0,3371.46046050496,False,0.05575639305135248,4,5.685000000000001,26906,90,0,0.0,2324.645976493275,False,-0.4980359642282913,13,2.3010000000000006,72429,409,0,0.0,10417.575073781005,False,-0.09963251879425127,7,2.259000000000001,75013,401,0,0.0,10213.808324171596,False,-0.07084734646017228,0.3333333333333333,303549,0.0,0.0,4,0,0,8,12,12.0,20,28,10,143.0,17.0,11,3,10,180,0.8245826580096036,35.615944997174665
26,10,0,0,0,10.0,13,10.0,26.109747538355506,25,28.0,27.561360173306635,24,49.166666666666664,45.0,20,45.0,0,0.2,34755,0,0,0.0,0.0,False,0.008999854841050951,0,1.802,37667,9,15,1.0,481.6462130753326,False,0.10053195257766491,0,0.2,57989,107,24,1.0,3455.2156307633986,False,0.0679508524309548,4,5.721000000000002,26606,95,0,0.0,2480.4260161437733,False,-0.502008101148633,9,2.3780000000000006,72260,413,0,0.0,11382.841751575641,False,-0.09599530464475035,11,2.3620000000000005,73670,421,0,0.0,11603.332632962094,False,-0.07836497794847389,0.3333333333333333,302947,0.0,0.0,10,0,0,10,9,9.0,17,27,9,104.0,3.0,9,1,9,1990,0.6799385590129532,36.29588355618762
27,9,0,0,0,10.0,8,10.0,26.109747538355506,0,,28.017864201616757,13,36.61538461538461,45.0,20,45.0,0,0.2,34755,0,0,0.0,0.0,False,0.008999854841050951,0,1.802,37587,7,25,1.0,722.7436884588876,False,0.10170915500738688,0,0.2,58425,97,26,1.0,3261.1099804625196,False,0.07401246472863822,5,5.767000000000002,26471,95,0,0.0,2480.4260161437733,False,-0.5044223937608977,9,2.4590000000000005,71677,421,0,0.0,11795.520828880655,False,-0.1003634460049365,11,2.4610000000000007,73428,426,0,0.0,11935.610149888738,False,-0.07924474277859694,0.3333333333333333,302343,0.0,0.0,6,0,0,6,11,11.0,20,26,11,67.0,3.0,8,1,11,516,0.6790916809695773,36.974975237157196
28,11,0,0,0,10.0,9,10.0,25.675060689557146,7,14.857142857142858,28.260876737600924,10,33.9,45.0,20,45.0,0,0.2,34755,0,0,0.0,0.0,False,0.008999854841050951,0,1.802,37601,6,28,1.0,778.9016993076001,False,0.10293078384827396,0,0.2,58582,94,31,1.0,3289.542883684,False,0.0770744396488009,5,5.812000000000002,26363,95,0,0.0,2439.130765507929,False,-0.5067230827341602,11,2.5600000000000005,71418,425,0,0.0,12010.872613480393,False,-0.10211835569541336,9,2.540000000000001,72996,432,0,0.0,12208.6987506436,False,-0.08267115036331389,0.3333333333333333,301715,0.0,0.0,9,0,0,10,14,14.0,20,30,11,133.0,0.0,11,0,11,455,0.701552610960789,37.676527848117985
29,11,0,0,0,10.0,9,10.0,25.341773701474853,42,24.047619047619047,28.149335962317757,2,16.0,44.99999999999999,20,45.0,0,0.2,34755,0,0,0.0,0.0,False,0.008999854841050951,14,1.9420000000000002,38191,5,10,1.0,303.4177370147485,False,0.11315746461046236,0,0.2,57572,126,41,1.0,4347.186260840859,False,0.06846921563067453,2,5.827000000000002,26325,95,0,0.0,2407.468501640111,False,-0.5076857798018481,7,2.6190000000000007,71316,425,0,0.0,11963.467783985046,False,-0.10357612993317185,13,2.661000000000001,72699,434,0,0.0,12216.811807645907,False,-0.08606842357185,0.3333333333333333,300858,0.0,0.0,6,0,0,10,13,12.166666666666668,19,29,7,99.0,3.0,10,1,7,324,0.6258772909641266,38.30240513908211
