index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,6,0,0,0,9.999999999999998,9,10.0,7.156943235236872,4,2.0,25.202618679326466,5,32.0,50.00000000000002,20,50.0,0,0.2,47746,0,0,0.0,0.0,False,0.006747353772192468,4,1.9410000000000003,39979,212,0,0.0,2119.9999999999995,False,-0.13467296419685404,0,0.6410000000000002,66687,0,4,0.4,100.81047471730587,False,-0.0027732582616042303,0,0.29000000000000004,69534,0,17,0.4,428.4445175485499,False,0.042216013310435466,10,1.8570000000000004,99567,183,0,0.0,4612.079218316743,False,-0.04649863246171069,10,1.8030000000000002,101074,61,0,0.0,1537.3597394389144,False,-0.046782790597996456,0.13333333333333333,424587,0.0,0.0,5,0,0,7,7,7.0,14,21,10,79.0,0.0,6,0,10,250,0.7005226016044617,32.237479095347226
21,10,0,0,0,9.999999999999998,9,10.0,6.737739989992611,8,2.125,24.640316015290832,13,19.23076923076923,50.00000000000002,20,50.0,0,0.2,47746,0,0,0.0,0.0,False,0.006747353772192468,8,2.0170000000000003,39675,221,0,0.0,2209.9999999999995,False,-0.14013410365622234,1,0.6510000000000001,66776,0,1,0.1,24.640316015290832,False,-0.0020124597222533056,0,0.29000000000000004,69640,0,16,0.7,394.2450562446533,False,0.043544409666666624,9,1.9370000000000005,99301,191,0,0.0,4706.300358920549,False,-0.04854737245570258,11,1.9030000000000005,100745,66,0,0.0,1626.260857009195,False,-0.049446088781417326,0.13333333333333333,423883,0.0,0.0,5,0,0,11,10,9.2,13,24,10,129.0,13.0,9,1,10,210,0.7896733563393354,33.02715245168656
22,10,0,0,0,9.999999999999998,11,10.0,6.902781398189575,13,8.0,24.21290192342662,24,22.0,50.00000000000002,20,50.0,0,0.2,47746,0,0,0.0,0.0,False,0.006747353772192468,13,2.1390000000000007,39305,232,0,0.0,2319.9999999999995,False,-0.14677603002572429,14,0.7900000000000003,66583,0,0,0.0,0.0,False,-0.005080465609730586,0,0.29000000000000004,69689,3,17,1.0,432.3276768928213,False,0.044561120070027,10,2.0280000000000005,98969,200,0,0.0,4842.580384685324,False,-0.05101702349900629,10,1.9920000000000002,100190,81,0,0.0,1961.2450557975562,False,-0.053073047538877545,0.16666666666666666,422482,0.0,0.0,5,0,0,13,11,10.666666666666666,12,25,14,131.0,12.0,9,1,14,263,1.819239130243659,34.84639158193022
23,14,0,0,0,9.999999999999998,10,10.0,6.8039530356069005,11,6.0,24.384131918094653,3,32.0,50.000000000000014,20,50.0,0,0.2,47746,0,0,0.0,0.0,False,0.006747353772192468,11,2.2360000000000007,38963,242,0,0.0,2419.9999999999995,False,-0.1529329903428499,0,0.7760000000000002,66583,0,0,0.0,0.0,False,-0.005080465609730586,0,0.29000000000000004,69719,4,24,1.0,612.4349781766992,False,0.04635502725652387,12,2.1380000000000003,98733,200,0,0.0,4876.826383618931,False,-0.05306564715970962,8,2.0620000000000007,99968,84,0,0.0,2048.267081119951,False,-0.05474365140199004,0.16666666666666666,421712,0.0,0.0,4,0,0,11,9,9.0,17,28,8,198.0,3.0,13,1,8,196,0.861439854837954,35.707831436768174
24,8,0,0,0,9.999999999999998,12,10.0,6.278628801585079,9,1.0,24.35789917865394,9,24.0,50.00000000000002,20,50.0,0,0.2,47746,0,0,0.0,0.0,False,0.006747353772192468,9,2.3150000000000004,38580,254,0,0.0,2539.9999999999995,False,-0.15974360055665668,0,0.7760000000000002,66578,0,5,0.5,121.7894958932697,False,-0.004245255772355847,0,0.29000000000000004,69931,0,23,0.8,560.2316811090407,False,0.04913282190808114,9,2.2160000000000006,98577,200,0,0.0,4871.579835730789,False,-0.05455031385081205,11,2.1640000000000006,99539,93,0,0.0,2265.2846236148166,False,-0.05774335403255865,0.21666666666666667,420951,0.0,0.0,6,0,0,9,10,10.0,13,22,12,110.0,3.0,7,1,12,336,0.712722503580153,36.42055394034833
25,12,0,0,0,9.999999999999998,6,10.0,6.278628801585079,0,,23.414140247640795,24,18.75,50.00000000000002,20,50.0,0,0.2,47746,0,0,0.0,0.0,False,0.006747353772192468,0,2.306000000000001,38520,260,0,0.0,2599.9999999999995,False,-0.16037616497279972,10,0.8760000000000003,66388,0,0,0.0,0.0,False,-0.007994262062370187,0,0.29000000000000004,70165,0,14,0.0,327.7979634669711,False,0.05089280190268638,9,2.2970000000000006,98209,215,0,0.0,5034.04015324277,False,-0.05723439431846031,11,2.263000000000001,99111,102,0,0.0,2388.2423052593613,False,-0.06117388312885799,0.0,420139,0.0,0.0,3,0,0,9,9,8.615384615384615,14,23,10,106.0,16.0,8,4,10,294,0.7087539527565241,37.12930789310485
26,10,0,0,0,9.999999999999998,11,10.0,6.1501123317531485,10,5.0,23.414140247640795,0,,50.000000000000014,20,50.0,0,0.2,47746,0,0,0.0,0.0,False,0.006747353772192468,10,2.4060000000000006,38155,271,0,0.0,2709.9999999999995,False,-0.16691266393961118,0,0.8660000000000001,66348,0,5,0.5,117.07070123820398,False,-0.007717296734768282,0,0.29000000000000004,70155,0,19,0.5,444.8686647051751,False,0.05161804360761745,6,2.3480000000000008,98131,215,0,0.0,5034.04015324277,False,-0.057964451131855915,14,2.392000000000001,98798,102,0,0.0,2388.2423052593613,False,-0.06410347008517626,0.16666666666666666,419333,0.0,0.0,4,0,0,11,10,10.0,15,26,8,153.0,0.0,10,0,8,110,0.7498764749616385,37.87918436806649
27,8,0,0,0,10.0,13,10.0,6.1501123317531485,0,,24.034734014250645,10,32.0,50.00000000000002,20,50.0,0,0.2,47746,0,0,0.0,0.0,False,0.006747353772192468,0,2.3960000000000004,38025,284,0,0.0,2840.0,False,-0.16828322017458777,5,0.9160000000000001,66478,0,0,0.0,0.0,False,-0.006649432930382678,0,0.29000000000000004,70155,0,19,0.0,456.65994627076225,False,0.051706139490688946,7,2.4120000000000004,97710,225,0,0.0,5407.815153206395,False,-0.06015567453877066,13,2.508000000000001,98516,102,0,0.0,2451.542869453566,False,-0.06644666902474916,0.0,418630,0.0,0.0,5,0,0,9,9,9.0,14,23,10,124.0,0.0,8,0,10,365,0.7222292460501194,38.60141361411661
28,10,0,0,0,10.0,14,10.0,6.1153207191613745,1,3.0,24.213749753568166,8,27.0,50.00000000000002,20,50.0,0,0.2,47746,0,0,0.0,0.0,False,0.006747353772192468,1,2.4060000000000006,37860,298,0,0.0,2980.0,False,-0.17028634082570743,2,0.931,66516,0,0,0.0,0.0,False,-0.006081616185765731,0,0.29000000000000004,70254,0,14,0.1,338.99249654995435,False,0.05230632590103527,15,2.5550000000000006,97245,231,0,0.0,5593.376193074247,False,-0.06363953822467851,5,2.545000000000001,98347,104,0,0.0,2518.229974371089,False,-0.06771637304793529,0.016666666666666666,417968,0.0,0.0,7,0,0,8,10,10.0,17,25,6,127.0,8.0,9,1,6,242,0.742330314591527,39.343743928708136
29,6,0,0,0,10.0,10,10.0,5.877408075265663,5,2.0,27.576467817463165,19,48.68421052631579,50.000000000000014,20,50.0,0,0.2,47746,0,0,0.0,0.0,False,0.006747353772192468,5,2.455000000000001,37630,308,0,0.0,3080.0,False,-0.1740817273225657,5,0.9790000000000003,66621,0,5,0.5,137.8823390873158,False,-0.0034824922740514107,0,0.29000000000000004,70874,0,0,0.0,0.0,False,0.059037998894251605,8,2.6200000000000006,97123,231,0,0.0,6370.164065833991,False,-0.061146170169532346,12,2.6600000000000006,97179,123,0,0.0,3391.9055415479693,False,-0.07455983404522618,0.08333333333333333,417173,0.0,0.0,6,0,0,6,10,10.0,16,22,8,91.0,0.0,6,0,8,720,0.6435620840638876,39.987306012772024
