index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,36,0,0,0,10.000000000000002,20,10.0,13.943072857754721,50,12.96,34.011507848205326,1,47.0,43.0,8,43.0,25,0.7110000000000001,13950,204,0,0.0,2040.0000000000005,False,-0.11183625037080985,25,0.5940000000000001,14036,216,0,0.0,2160.0000000000005,False,-0.10317413230495402,0,0.8210000000000002,26525,40,12,1.0,965.8610084886527,False,-0.01391323143435954,1,0.7320000000000002,27960,0,0,0.0,0.0,False,0.02084778560736062,0,0.32600000000000007,35075,0,62,1.0,2666.0,False,-0.0004392708104546453,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.3333333333333333,153970,0.0,0.0,13,0,0,25,5,5.0,14,39,36,313.0,87.0,22,14,36,544,3.3240564027801156,29.782291615381837
21,36,0,0,0,10.000000000000002,20,10.0,13.892343154994887,2,12.0,32.779907246863615,6,17.0,43.0,0,,1,0.696,13854,212,0,0.0,2120.0000000000005,False,-0.1151587066152477,1,0.579,13900,228,0,0.0,2280.0000000000005,False,-0.10768318006526253,0,0.8210000000000002,26627,30,16,1.0,941.2488105996645,False,-0.010638416689187864,0,0.7310000000000001,27936,0,2,0.2,65.55981449372723,False,0.021168348871695296,0,0.32600000000000007,34973,0,68,0.6,2924.0,False,0.00030199868218756863,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.3,153714,0.0,0.0,10,0,0,24,2,2.0,14,38,32,270.0,63.0,20,16,32,302,1.4666256364434958,31.248917251825333
22,32,0,0,0,10.000000000000002,20,10.0,13.83899597085937,2,12.0,32.89290688234121,4,35.0,43.0,10,43.0,1,0.7050000000000001,13768,219,0,0.0,2190.0000000000005,False,-0.11818451498071789,1,0.588,13754,241,0,0.0,2410.0000000000005,False,-0.11248887570453871,0,0.8210000000000002,26708,21,23,1.0,1047.1557736818945,False,-0.005747640043778633,0,0.7310000000000001,27971,0,2,0.1,65.78581376468242,False,0.022450359884710714,0,0.32600000000000007,35263,0,62,0.4,2666.0,False,0.0047221612123874365,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.25,153888,0.0,0.0,17,0,0,18,2,2.0,20,38,32,295.0,95.0,17,15,32,770,1.1837231619283557,32.43264041375369
23,32,0,0,0,10.000000000000002,20,10.0,13.78314187866348,2,12.0,33.04671678617733,24,33.5,43.00000000000001,9,43.0,2,0.7240000000000002,13665,226,0,0.0,2260.0000000000005,False,-0.12221892613467814,0,0.5870000000000002,13624,254,0,0.0,2540.0000000000005,False,-0.11634529813111837,0,0.8210000000000002,27316,12,13,1.0,595.0050207642671,False,0.008196812968057677,2,0.7510000000000001,28069,0,1,0.1,33.04671678617733,False,0.025430769958490248,0,0.32600000000000007,34846,14,63,1.0,3171.654035006483,False,0.00021488627013081652,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.35000000000000003,153944,0.0,0.0,15,0,0,23,3,2.5,13,36,32,294.0,37.0,18,14,32,1207,1.2412753691896796,33.67391578294337
24,32,0,0,0,10.000000000000002,20,10.0,13.697228031772546,3,12.0,32.92383219647808,20,32.4,43.00000000000001,11,43.0,2,0.7420000000000002,13532,236,0,0.0,2360.0000000000005,False,-0.1271432809255414,1,0.597,13508,264,0,0.0,2640.0000000000005,False,-0.12026105013349155,0,0.8210000000000002,27492,3,19,1.0,666.6444958284012,False,0.015930565114250332,15,0.8990000000000002,27836,0,2,0.2,65.84766439295616,False,0.017522502909798704,0,0.32600000000000007,34671,24,62,1.0,3456.171972715474,False,-0.0006839999352697332,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.3666666666666667,153463,0.0,0.0,16,0,0,14,6,5.75,21,35,29,246.0,79.0,17,15,29,861,1.471762198023498,35.145677980966866
25,29,0,0,0,10.000000000000002,20,10.0,13.584152052604688,4,12.0,34.01999632859686,8,47.0,43.00000000000001,12,43.0,2,0.76,13409,245,0,0.0,2450.0000000000005,False,-0.13177098783743696,2,0.6160000000000001,13365,275,0,0.0,2750.0000000000005,False,-0.12548205280332245,0,0.8210000000000002,27656,0,20,0.5,680.3999265719372,False,0.02216948275898973,2,0.9040000000000001,27926,0,2,0.2,68.03999265719372,False,0.02084851569347533,0,0.32600000000000007,34811,22,60,1.0,3328.439919229131,False,0.001406214573209027,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.2833333333333333,153591,0.0,0.0,16,0,0,12,5,4.5,22,34,36,228.0,99.0,16,13,36,904,1.0584751777350903,36.204153158701956
26,36,0,0,0,10.000000000000002,20,10.0,13.500826281520494,3,12.0,34.5582655823207,4,47.0,43.000000000000014,12,43.0,2,0.7780000000000002,13286,254,0,0.0,2540.0000000000005,False,-0.13639869474933256,1,0.6240000000000001,13239,286,0,0.0,2860.0000000000005,False,-0.12969445268466331,0,0.8210000000000002,27632,0,22,0.2,760.2818428110554,False,0.022751503209519422,2,0.9219999999999999,28028,0,1,0.1,34.5582655823207,False,0.02396141271281032,0,0.32600000000000007,35139,16,58,1.0,3046.932249317132,False,0.006546950490296711,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.21666666666666667,153748,0.0,0.0,15,0,0,15,4,3.5,19,34,30,276.0,86.0,17,19,30,716,1.213129572570324,37.41728273127228
27,30,0,0,0,10.000000000000002,20,10.0,13.472146894814106,1,12.0,33.60205382542601,5,17.0,43.00000000000002,8,43.0,0,0.776,13196,263,0,0.0,2630.0000000000005,False,-0.13906852566004152,1,0.633,13113,297,0,0.0,2970.0000000000005,False,-0.13390685256600415,0,0.8210000000000002,27705,0,18,0.1,604.8369688576682,False,0.0225790822749584,0,0.9200000000000002,28028,0,1,0.0,33.60205382542601,False,0.02394395658522442,0,0.32600000000000007,35398,11,60,1.0,2949.6225920796874,False,0.012321856359538847,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.18333333333333335,153864,0.0,0.0,15,0,0,13,1,1.0,17,30,31,201.0,61.0,12,18,31,629,0.9136366434395313,38.33091937471181
28,31,0,0,0,10.000000000000002,20,10.0,13.383990983411326,3,12.0,33.60205382542601,0,,43.00000000000002,1,43.0,2,0.796,13053,274,0,0.0,2740.0000000000005,False,-0.14428952832987244,1,0.6420000000000001,13007,306,0,0.0,3060.0000000000005,False,-0.13752595668940967,0,0.8210000000000002,27693,0,19,0.1,638.4390226830942,False,0.02275437260730758,0,0.9200000000000002,28004,0,3,0.2,100.80616147627804,False,0.024294537249922914,0,0.32600000000000007,35441,1,69,1.0,3000.6020538254274,False,0.014202202583810445,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.21666666666666667,153622,0.0,0.0,9,0,0,15,3,3.0,20,35,32,200.0,48.0,15,16,32,243,1.3048469489440322,39.635766323655844
29,32,0,0,0,10.000000000000002,20,10.0,13.271215261027029,4,12.0,32.025133639991125,12,21.166666666666668,43.000000000000014,10,43.0,2,0.8140000000000001,12950,281,0,0.0,2810.0000000000005,False,-0.14832393948383268,2,0.661,12844,319,0,0.0,3190.0000000000005,False,-0.1433402551171759,0,0.8210000000000002,27829,0,11,0.2,352.2764700399024,False,0.0224958280703915,0,0.9200000000000002,28074,0,3,0.2,96.07540091997338,False,0.02676394539632651,0,0.32600000000000007,35617,3,69,1.0,3063.075400919974,False,0.019891766430375213,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.2333333333333333,153738,0.0,0.0,19,0,0,22,4,4.0,17,39,32,294.0,57.0,18,14,32,884,1.3110684212297201,40.946834744885564
