index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,21,0,0,0,10.0,11,10.0,29.989694666998755,16,30.0,26.286925038518657,98,26.612244897959183,37.000000000000014,20,37.0,0,0.2,36690,0,0,0.0,0.0,False,0.007773230422720905,0,0.542,40403,5,13,1.0,439.86603067098383,False,0.11580006634261239,90,7.247000000000003,22167,110,0,0.0,3298.866413369863,False,-0.5834831548323727,0,0.8750000000000002,56919,0,12,1.0,315.44310046222387,False,-0.0018061988417083675,0,0.23600000000000002,70066,65,21,1.0,2485.650127503713,False,0.013600538204341744,0,0.30800000000000005,58963,527,15,1.0,14408.209495299332,False,-0.05948509285237576,0.6666666666666666,285208,0.0,0.0,12,0,0,13,9,9.0,11,24,24,183.0,89.0,11,10,24,1698,1.4874237939948216,36.73620023706462
21,24,0,0,0,10.0,6,10.0,30.314223235478785,16,33.0,26.158787526246822,18,23.38888888888889,37.000000000000014,20,37.0,0,0.2,36690,0,0,0.0,0.0,False,0.007773230422720905,3,0.5720000000000001,40796,1,10,1.0,313.14223235478784,False,0.12485431692194891,14,7.297000000000003,21282,126,0,0.0,3819.592127670327,False,-0.5944072042001545,0,0.8750000000000002,57107,0,8,0.0,209.27030020997458,False,0.000553255510755276,0,0.23600000000000002,70356,60,21,1.0,2346.5272515748097,False,0.016733904164592493,0,0.30800000000000005,58992,530,15,1.0,14419.157388910817,False,-0.058995072002851194,0.5,285223,0.0,0.0,11,0,0,11,3,2.1875,13,24,25,168.0,114.0,11,13,25,988,2.8738449859665707,39.61004522303119
22,25,0,0,0,10.0,9,10.0,30.357513142379002,9,31.0,26.22365264753962,86,26.5,37.00000000000001,20,37.0,0,0.2,36690,0,0,0.0,0.0,False,0.007773230422720905,0,0.5690000000000002,40985,0,11,1.0,333.932644566169,False,0.13033115396168554,81,8.093000000000004,17185,135,0,0.0,4098.264274221166,False,-0.6636213337336379,0,0.8750000000000002,57337,0,3,0.0,78.67095794261886,False,0.003433639016637148,0,0.23600000000000002,70515,58,20,1.0,2260.971853557298,False,0.018385915493214867,0,0.30800000000000005,57294,598,16,1.0,16273.744283228692,False,-0.06995007758678723,0.5,280006,0.0,0.0,13,0,0,11,5,5.0,15,26,22,201.0,99.0,12,13,22,1339,1.4748363310354762,41.08488155406667
23,22,0,0,0,10.000000000000002,11,10.0,30.37790366028862,46,30.434782608695652,25.345646820269256,39,16.17948717948718,37.00000000000001,20,37.0,0,0.2,36690,0,0,0.0,0.0,False,0.007773230422720905,35,0.9190000000000003,41011,1,10,1.0,313.7790366028862,False,0.13076852029284056,39,8.402000000000001,14853,153,0,0.0,4647.819260024159,False,-0.6995993419025519,0,0.8750000000000002,56477,18,13,1.0,876.2956745486955,False,-0.004631902111326489,0,0.23600000000000002,70492,70,21,1.0,2551.195277418848,False,0.020121640304602954,0,0.30800000000000005,57426,605,15,1.0,15889.1163262629,False,-0.07080739477013519,0.6666666666666666,276949,0.0,0.0,11,0,0,17,10,9.666666666666666,9,26,25,201.0,90.0,12,10,25,1010,1.4525619340129197,42.53744348807959
24,25,0,0,0,10.000000000000002,7,10.0,30.37790366028862,0,,24.885901447872016,21,16.095238095238095,37.0,20,37.0,0,0.2,36690,0,0,0.0,0.0,False,0.007773230422720905,0,0.8840000000000001,40941,0,18,0.8,546.8022658851952,False,0.1320460662219518,21,8.573,14174,153,0,0.0,4647.819260024159,False,-0.7114741232946471,0,0.8750000000000002,56477,8,23,1.0,815.3989625833653,False,-0.005164402215955197,0,0.23600000000000002,70873,67,18,1.0,2333.355397007425,False,0.02398905075198593,0,0.30800000000000005,57447,609,18,1.0,15821.513981754057,False,-0.0709893536661782,0.6333333333333333,276602,0.0,0.0,10,0,0,16,4,4.0,14,30,21,214.0,65.0,15,10,21,810,1.39487746800296,43.93232095608255
25,21,0,0,0,10.000000000000002,11,10.0,30.37790366028862,0,,24.735953579080242,34,23.058823529411764,36.99999999999999,20,37.0,0,0.2,36690,0,0,0.0,0.0,False,0.007773230422720905,0,0.8840000000000001,40831,1,28,1.0,860.5813024880814,False,0.13333399212360367,25,8.802000000000001,13251,153,0,0.0,4647.819260024159,False,-0.7276161309896453,0,0.8750000000000002,56892,0,22,0.8,544.1909787397653,False,-0.00027814813973627245,0,0.23600000000000002,71039,68,15,1.0,2237.0448433774563,False,0.025664123574151824,0,0.30800000000000005,57237,622,21,1.0,16162.76312618791,False,-0.0715490453278662,0.6333333333333333,275940,0.0,0.0,15,0,0,12,4,4.0,14,26,13,183.0,75.0,11,10,13,1265,1.2531458159792237,45.18546677206177
26,13,0,0,0,10.000000000000002,9,10.0,28.971578960996855,13,12.0,25.571879222492264,81,29.419753086419753,36.99999999999999,20,37.0,0,0.2,36690,0,0,0.0,0.0,False,0.007773230422720905,0,0.8840000000000001,40897,0,25,1.0,724.2894740249213,False,0.13327504977099072,48,9.257000000000001,10691,166,0,0.0,4809.282107525478,False,-0.7709751477131386,11,0.9850000000000001,57970,0,0,0.0,0.0,False,0.013816019587268276,0,0.23600000000000002,71557,58,11,1.0,1890.1689949045513,False,0.030561810573292544,0,0.30800000000000005,55076,693,25,1.0,18646.31230118714,False,-0.08461513317896338,0.5,272881,0.0,0.0,10,0,0,9,8,7.333333333333334,11,20,16,96.0,33.0,7,6,16,986,1.0912560670403764,46.27672283910215
27,16,0,0,0,10.000000000000002,11,10.0,29.139932615031572,9,32.0,25.001331419542822,38,18.86842105263158,36.99999999999999,20,37.0,0,0.2,36690,0,0,0.0,0.0,False,0.007773230422720905,0,0.8840000000000001,41075,1,26,1.0,767.6382479908209,False,0.1387595551403689,34,9.549000000000001,9256,166,0,0.0,4837.228814095241,False,-0.7958269603524375,4,1.0140000000000002,57722,0,9,0.9,225.0119827758854,False,0.011446414679747201,0,0.23600000000000002,71649,64,12,1.0,2044.0852108507406,False,0.03296342115967388,0,0.30800000000000005,55007,705,24,1.0,18513.93865077769,False,-0.08653671074896453,0.65,271399,0.0,0.0,11,0,0,4,6,6.0,16,20,15,129.0,53.0,8,8,15,1138,1.2661591289797798,47.54288196808193
28,15,0,0,0,10.000000000000002,10,10.0,28.7809580157382,26,26.76923076923077,25.065474063937977,34,25.823529411764707,36.99999999999999,20,37.0,0,0.2,36690,0,0,0.0,0.0,False,0.007773230422720905,0,0.8840000000000001,41671,1,10,1.0,297.809580157382,False,0.1486775837085915,19,9.705000000000004,8543,171,0,0.0,4921.543820691232,False,-0.8075590781681424,6,1.0700000000000003,57552,11,10,1.0,567.2452788124999,False,0.01146594332644713,0,0.23600000000000002,71868,58,11,1.0,1860.7974957084027,False,0.034773691548985054,0,0.30800000000000005,54650,725,25,1.0,19097.468696355034,False,-0.08746397617441555,0.6666666666666666,270974,0.0,0.0,17,0,0,8,3,2.857142857142857,14,22,20,147.0,18.0,9,6,20,1912,1.2613654250162654,48.804247393098194
29,20,0,0,0,10.000000000000002,15,10.0,28.99008326486402,32,30.0,25.11521648888674,65,25.415384615384614,36.99999999999999,20,37.0,0,0.2,36690,0,0,0.0,0.0,False,0.007773230422720905,22,1.1040000000000003,41819,6,10,1.0,349.9008326486402,False,0.15345813761980714,55,10.236000000000002,6114,203,0,0.0,5884.986902767396,False,-0.841614315295843,0,1.0640000000000003,57702,1,10,1.0,280.14224815373143,False,0.011578718504317333,0,0.23600000000000002,71964,61,13,1.0,2013.028205822091,False,0.037220179993618555,0,0.30800000000000005,53642,767,23,1.0,20114.37104697613,False,-0.09456468155151149,0.6666666666666666,267931,0.0,0.0,13,0,0,9,6,5.375,15,24,18,165.0,75.0,10,10,18,1040,1.3330409590271302,50.137288352125324
