index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
955,032385ea-ca3d-47b4-a6da-1af83f9c8e21,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,46,4,54,26,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
947,d845279a-cdb4-4cc0-80ca-d091ab0a8aef,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,46,4,54,26,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
1114,94218475-024a-44c8-91ac-96fbebe46a2f,04Ind@2,06Ran@3,IndDecentralizingAgent,RandomAgent,46,7,67,39,-1,39,04Ind@2|06Ran@3,"[quantity: (1, 7), time: (44, 49), unit_price: (35, 70)]",04Ind@2,06Ran@3,p3,04Ind@2,False,3,11,-1,04Ind@2:product(1.0),-1,-1
1110,70da31c6-0638-4a04-9ff9-3a0acd2dd9c1,03Buy@1,05MyA@2,BuyCheapSellExpensiveAgent,MyAgent,46,69,24,-1,-1,38,,"[quantity: (1, 69), time: (38, 46), unit_price: (1, 24)]",03Buy@1,05MyA@2,p2,05MyA@2,True,2,2,-1,,-1,-1
1084,fccae49a-ea90-4dba-baf1-3537a7908836,04Ind@2,07Buy@3,IndDecentralizingAgent,BuyCheapSellExpensiveAgent,46,2,53,36,-1,36,04Ind@2|07Buy@3,"[quantity: (1, 2), time: (41, 46), unit_price: (35, 70)]",04Ind@2,07Buy@3,p3,04Ind@2,False,3,17,-1,04Ind@2:product(0.5),-1,-1
1091,45cf6c10-188a-4988-8e0f-511a65f12f79,02Dec@1,05MyA@2,DecentralizingAgent,MyAgent,46,1,36,-1,-1,36,,"[quantity: (1, 4), time: (41, 46), unit_price: (24, 48)]",02Dec@1,05MyA@2,p2,02Dec@1,False,2,17,-1,,-1,-1
1141,1fa64687-48ea-4eab-b284-d0c2e362e0f3,02Dec@1,04Ind@2,DecentralizingAgent,IndDecentralizingAgent,46,1,36,-1,-1,41,,"[quantity: (1, 5), time: (46, 49), unit_price: (24, 48)]",02Dec@1,04Ind@2,p2,02Dec@1,False,2,17,-1,,-1,-1
956,b767df51-b7e2-43c5-aa08-0894f158b7be,06Ran@3,BUYER,RandomAgent,_SystemAgent,46,4,54,26,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,False,4,0,-1,06Ran@3:product(1.0),-1,-1
1096,652a85a1-c765-495d-b333-094b9b7d473e,04Ind@2,07Buy@3,IndDecentralizingAgent,BuyCheapSellExpensiveAgent,47,4,53,37,-1,37,04Ind@2|07Buy@3,"[quantity: (1, 7), time: (42, 47), unit_price: (35, 70)]",04Ind@2,07Buy@3,p3,04Ind@2,False,3,17,47,,-1,-1
1154,37f0c53e-bbfe-4cc5-a11f-cfb47f32ac32,04Ind@2,07Buy@3,IndDecentralizingAgent,BuyCheapSellExpensiveAgent,47,1,52,-1,-1,42,,"[quantity: (1, 1), time: (47, 49), unit_price: (35, 70)]",04Ind@2,07Buy@3,p3,04Ind@2,False,3,17,-1,,-1,-1
