index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,17,0,0,0,10.0,11,10.0,3.552633539188352,21,1.6666666666666667,14.50810281962477,28,14.964285714285714,35.00000000000001,20,35.0,0,0.2,42310,0,0,0.0,0.0,False,0.007500892963448029,21,5.7920000000000025,21690.0,212,0,0.0,2120.0,False,-0.4582688415287534,0,0.2,65776,0,84,0.9,1218.6806368484808,False,0.017509009678038017,25,4.941000000000002,45905,526,0,0.0,1868.685241613073,False,-0.282078650264296,0,0.263,91477,0,15,0.5,525.0000000000001,False,0.034978959600175996,11,1.993,80629,385,0,0.0,5585.619585555537,False,-0.05885885679240774,0.2333333333333333,347787,0.0,0.0,12,0,0,10,11,11.0,16,26,17,135.0,27.0,8,9,17,533,1.215461085026618,58.813031678961124
21,17,0,0,0,10.0,9,10.0,3.5288174409074733,49,3.4081632653061225,14.528893553001517,20,14.75,35.00000000000001,20,35.0,0,0.2,42310,0,0,0.0,0.0,False,0.007500892963448029,49,6.261000000000003,20094.0,221,0,0.0,2210.0,False,-0.49520180973925465,0,0.2,65881,0,82,0.1,1191.3692713461244,False,0.018909072784407024,17,5.086000000000001,45321,574,0,0.0,2025.5412110808898,False,-0.2898277117002523,0,0.263,91645,2,15,1.0,554.0577871060032,False,0.037038198688534356,10,2.0820000000000003,80384,393,0,0.0,5709.855166329596,False,-0.06092208189211524,0.18333333333333335,345635,0.0,0.0,11,0,0,7,13,13.0,18,25,17,131.0,27.0,8,9,17,548,1.1984632420353591,60.01149492099648
22,17,0,0,0,10.0,6,10.0,3.464333575560344,7,1.0,14.48631140563162,6,13.0,35.00000000000001,20,35.0,0,0.2,42310,0,0,0.0,0.0,False,0.007500892963448029,7,6.282000000000002,19885.0,227,0,0.0,2270.0,False,-0.4994642219311823,0,0.2,65878,0,85,0.3,1231.3364694786876,False,0.019169385753864027,6,5.129000000000001,45221,578,0,0.0,2002.384806673879,False,-0.2915379059311047,0,0.263,91995,0,7,0.2,245.00000000000006,False,0.03924344814359368,10,2.172,80169,399,0,0.0,5780.038250847017,False,-0.06295175796857466,0.08333333333333333,345458,0.0,0.0,7,0,0,11,8,8.0,17,28,17,137.0,27.0,8,9,17,410,1.1008989959955215,61.112393916992005
23,17,0,0,0,10.0,12,10.0,3.4521264641532006,31,3.3548387096774195,14.269282949728229,30,12.866666666666667,35.00000000000001,20,35.0,0,0.2,42310,0,0,0.0,0.0,False,0.007500892963448029,31,6.585000000000002,18917.0,239,0,0.0,2390.0,False,-0.5210858435528039,0,0.2,65900,3,93,1.0,1337.3996937171848,False,0.02031941889334634,28,5.403000000000002,44293,596,0,0.0,2057.4673726353076,False,-0.30533952015821386,3,0.29300000000000004,91978,9,10,1.0,478.4235465475541,False,0.04036836802393735,10,2.2620000000000005,79887,410,0,0.0,5850.406009388574,False,-0.06573626727857623,0.3333333333333333,343285,0.0,0.0,10,0,0,10,19,18.25,15,25,16,133.0,27.0,8,9,16,332,1.065981362015009,62.178375279007014
24,16,0,0,0,10.0,8,10.0,3.506862538025626,44,3.8181818181818183,14.250592749425648,27,14.11111111111111,35.00000000000001,20,35.0,0,0.2,42310,0,0,0.0,0.0,False,0.007500892963448029,44,6.9940000000000015,17487.0,247,0,0.0,2470.0,False,-0.5541850220264317,0,0.2,65972,0,94,0.3,1339.5557184460108,False,0.021439508594377977,25,5.625000000000001,43431,640,0,0.0,2244.392024336401,False,-0.3171191390314946,2,0.31000000000000005,92172,8,10,1.0,464.00474199540525,False,0.0424756864472489,8,2.3320000000000003,79562,428,0,0.0,6099.253696754177,False,-0.06799911045502449,0.21666666666666667,340934,0.0,0.0,10,0,0,11,13,12.5,15,26,17,109.0,27.0,7,9,17,467,1.0450951260281727,63.22347040503519
25,17,0,0,0,10.000000000000002,10,10.0,3.3460963122648018,19,1.105263157894737,14.110226281739815,26,13.0,35.00000000000001,20,35.0,0,0.2,42310,0,0,0.0,0.0,False,0.007500892963448029,19,7.1400000000000015,16907.0,257,0,0.0,2570.0000000000005,False,-0.5668055720919157,0,0.2,66003,0,98,0.5,1382.8021756105018,False,0.02224608138505664,25,5.850000000000001,42712,654,0,0.0,2188.3469882211803,False,-0.3285689883342184,0,0.30800000000000005,92510,0,9,0.9,315.00000000000006,False,0.04544839179142364,10,2.424000000000001,79101,453,0,0.0,6391.932505628136,False,-0.07154902184349934,0.2333333333333333,339543,0.0,0.0,11,0,0,11,15,15.0,15,26,16,130.0,27.0,8,9,16,486,1.018513188988436,64.24198359402362
26,16,0,0,0,10.000000000000002,4,10.0,3.3234228575016034,21,3.0476190476190474,14.136788786132898,18,14.444444444444445,35.00000000000001,20,35.0,0,0.2,42310,0,0,0.0,0.0,False,0.007500892963448029,21,7.331000000000003,16366.0,261,0,0.0,2610.0000000000005,False,-0.5792118109298726,0,0.2,66075,0,96,0.0,1357.1317234687583,False,0.02315291850059581,16,5.985000000000002,42271,675,0,0.0,2243.3104288135823,False,-0.3349071131859849,3,0.3380000000000001,92661,0,10,1.0,350.00000000000006,False,0.04734936089080427,8,2.4940000000000007,78885,461,0,0.0,6517.059630407266,False,-0.0732800481142203,0.16666666666666666,338568,0.0,0.0,7,0,0,9,12,12.0,14,23,16,116.0,27.0,7,9,16,427,0.9775750260450877,65.21955862006871
27,16,0,0,0,10.0,9,10.0,3.0359987202429437,42,1.3333333333333333,14.354277614372325,16,17.125,35.00000000000001,20,35.0,0,0.2,42310,0,0,0.0,0.0,False,0.007500892963448029,42,7.730000000000003,14874.0,270,0,0.0,2700.0,False,-0.6136682938445053,0,0.2,66160,0,102,0.9,1464.1363166659771,False,0.025275786802154806,13,6.099000000000002,41965,708,0,0.0,2149.487093932004,False,-0.34031630141216673,0,0.3350000000000001,92851,0,9,0.9,315.00000000000006,False,0.049295456853078214,10,2.5860000000000007,78641,468,0,0.0,6717.801923526248,False,-0.07490042800840348,0.3,336801,0.0,0.0,12,0,0,9,13,13.0,15,24,16,122.0,27.0,7,9,16,548,1.0095042590401135,66.22906287910882
28,16,0,0,0,10.0,8,10.0,2.7602480637753506,41,1.0,14.347698553014173,21,14.285714285714286,35.00000000000001,20,35.0,0,0.2,42310,0,0,0.0,0.0,False,0.007500892963448029,41,8.098000000000003,13521.0,278,0,0.0,2780.0,False,-0.6449339207048458,0,0.2,66232,0,100,0.0,1434.7698553014172,False,0.02615429896924896,19,6.2760000000000025,41452,749,0,0.0,2067.4257997677378,False,-0.34880810355311886,5,0.385,92973,2,10,1.0,378.6953971060284,False,0.05103112285284146,6,2.6360000000000006,78427,477,0,0.0,6843.85220978776,False,-0.07660368342497231,0.16666666666666666,334915,0.0,0.0,8,0,0,8,13,12.333333333333334,18,26,16,118.0,27.0,7,9,16,397,1.0593182439915836,67.28838112310041
29,16,0,0,0,10.000000000000002,5,10.0,2.7903698778810164,63,2.9206349206349205,14.30566425167924,14,13.714285714285714,35.00000000000001,20,35.0,0,0.2,42310,0,0,0.0,0.0,False,0.007500892963448029,63,8.687000000000001,11028.0,283,0,0.0,2830.0000000000005,False,-0.7037028217644957,0,0.2,66254,0,101,0.2,1444.872089419603,False,0.026568919956314097,13,6.387000000000003,41013,810,0,0.0,2260.1996010836233,False,-0.35405944238398274,3,0.41000000000000003,93206,0,8,0.8,280.00000000000006,False,0.05310303590970115,7,2.7,78255,485,0,0.0,6938.247162064431,False,-0.07801167002073342,0.16666666666666666,332066,0.0,0.0,8,0,0,7,12,11.5,20,27,18,116.0,27.0,7,9,18,331,1.0699909530230798,68.35837207612349
