index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,18,0,0,0,10.000000000000002,20,10.0,23.105230975744362,8,2.125,23.14628544967659,0,,47.00000000000002,7,47.0,0,0.7220000000000002,35055,4,20,1.0,502.10461951488725,False,0.17428498336185194,8,2.1340000000000003,23301,209,0,0.0,2090.0000000000005,False,-0.19024812080090467,0,1.559,37528,215,0,0.0,4967.624659785038,False,-0.1988344013076665,0,0.2,49954,73,77,1.0,3468.945840854436,False,0.03497002363596202,0,0.2,63130,0,8,0.0,376.00000000000017,False,0.0028508980328803574,0,0.29000000000000004,66339,47,13,1.0,1698.8754161348,False,0.06415213830129878,0.5,275307,0.0,0.0,10,0,0,8,2,2.0,17,25,20,76.0,60.0,8,10,20,529,1.0684771310188808,33.142547385941725
21,20,0,0,0,10.000000000000002,20,10.0,23.52438685828438,10,31.0,24.792660673768577,34,30.147058823529413,47.00000000000002,11,47.0,0,0.7220000000000002,35305,0,20,1.0,470.4877371656876,False,0.18207423230834982,0,2.126000000000001,23161,223,0,0.0,2230.0000000000005,False,-0.19257633206944721,9,1.6490000000000002,37158,215,0,0.0,5057.743174531141,False,-0.20534076354039538,0,0.2,50660,73,62,1.0,3254.4252024284115,False,0.04695872414429145,0,0.2,63130,0,8,0.0,376.00000000000017,False,0.0028508980328803574,0,0.29000000000000004,65831,71,12,1.0,2324.278907837569,False,0.06105894158698073,0.5,275245,0.0,0.0,17,0,0,13,2,2.0,13,26,26,114.0,78.0,9,11,26,2043,1.345351297990419,34.487898683932144
22,26,0,0,0,10.000000000000002,20,10.0,22.32535227601641,10,2.0,22.68039106949591,13,1.5384615384615385,47.00000000000002,12,47.0,0,0.7220000000000002,35175,3,30,1.0,699.7605682804923,False,0.18156323701657165,10,2.2260000000000004,22852,230,0,0.0,2300.0000000000005,False,-0.2016896161777423,13,1.77,36577,216,0,0.0,4822.276091619545,False,-0.21933166381382863,0,0.2,50642,72,72,1.0,3240.413520876887,False,0.046458026519531515,0,0.2,63130,0,8,0.0,376.00000000000017,False,0.0028508980328803574,0,0.29000000000000004,66375,74,10,1.0,2148.3489391426974,False,0.06828177119280532,0.5,274751,0.0,0.0,13,0,0,13,5,5.0,19,32,27,145.0,62.0,15,11,27,764,1.5642386749968864,36.05213735892903
23,27,0,0,0,10.000000000000002,20,10.0,21.496359446291915,18,14.055555555555555,21.87025160285186,5,1.0,47.000000000000014,11,47.0,0,0.7220000000000002,35250,3,35,1.0,782.372580620217,False,0.1854315935046267,13,2.346000000000001,22446,240,0,0.0,2400.0000000000005,False,-0.21353023348633007,5,1.8070000000000002,36212,221,0,0.0,4750.695437630513,False,-0.2273567794879009,0,0.2,50564,75,82,1.0,3405.587589905746,False,0.04654987375261046,0,0.2,63130,0,8,0.0,376.0000000000001,False,0.0028508980328803574,1,0.30000000000000004,66831,69,10,1.0,1979.0473605967782,False,0.074163319717102,0.5,274433,0.0,0.0,13,0,0,8,5,4.5,19,27,24,156.0,72.0,13,14,24,798,1.3962100979988463,37.44834745692788
24,24,0,0,0,10.000000000000002,20,10.0,21.474857492522432,1,18.0,20.001591696889047,22,9.772727272727273,47.000000000000014,13,47.0,0,0.7220000000000002,35150,3,45,1.0,996.3685871635095,False,0.18566434821997455,1,2.343000000000001,22339,250,0,0.0,2500.0000000000005,False,-0.2154260626621433,19,1.9920000000000002,35386,221,0,0.0,4745.943505847457,False,-0.24394353944728422,0,0.2,50696,66,89,1.0,3197.482255529606,False,0.04710946953996248,0,0.2,63130,0,8,0.0,376.0000000000001,False,0.0028508980328803574,3,0.32900000000000007,67059,81,10,1.0,2090.1289274480127,False,0.07865413005993227,0.5,273760,0.0,0.0,14,0,0,9,4,4.0,20,29,27,141.0,93.0,12,12,27,820,2.7314161540125497,40.17976361094043
25,27,0,0,0,10.000000000000002,20,10.0,23.00457150979883,29,30.724137931034484,22.126205787348546,29,31.517241379310345,47.000000000000014,13,47.0,0,0.7220000000000002,35808,3,34,1.0,812.1554313331602,False,0.20448605453557436,8,2.4220000000000006,22165,260,0,0.0,2600.0000000000005,False,-0.2195503226235615,2,1.9930000000000003,34884,232,0,0.0,5337.060590273329,False,-0.24807716360705095,0,0.2,51143,74,72,1.0,3295.425108414209,False,0.05704041796898604,0,0.2,63130,0,8,0.0,376.0000000000001,False,0.0028508980328803574,3,0.35600000000000004,66584,100,10,1.0,2682.6205787348545,False,0.07582296381525265,0.5,273714,0.0,0.0,19,0,0,14,5,4.5,17,31,28,148.0,66.0,15,12,28,2281,1.3577483710250817,41.53751198196551
26,28,0,0,0,10.000000000000002,20,10.0,24.569320530890614,37,31.24324324324324,22.126205787348546,0,,47.00000000000001,8,47.0,0,0.7220000000000002,36638,5,21,1.0,565.9557311487029,False,0.2279976673177127,14,2.5540000000000007,21915,268,0,0.0,2680.0000000000005,False,-0.2265349564291891,0,1.9910000000000003,33934,255,0,0.0,6265.1767353771065,False,-0.2578072891015867,0,0.2,50937,78,82,1.0,3730.7558759720487,False,0.05727399659577151,0,0.2,63130,0,8,0.0,376.00000000000006,False,0.0028508980328803574,0,0.35300000000000004,66960,90,12,1.0,2555.3585208613695,False,0.08077036428823661,0.5,273514,0.0,0.0,11,0,0,14,2,2.0,22,36,25,254.0,35.0,20,8,25,1526,1.3026340220239945,42.8401460039895
27,25,0,0,0,10.000000000000002,20,10.0,25.303460679302866,24,30.66666666666667,22.126205787348546,0,,47.00000000000001,8,47.0,0,0.7220000000000002,37231,7,10,1.0,323.0346067930287,False,0.2436811449277094,3,2.5700000000000003,21781,276,0,0.0,2760.0000000000005,False,-0.22966141156123196,0,1.9910000000000003,33200,277,0,0.0,7009.0586081668935,False,-0.265056879899014,0,0.2,50935,70,92,1.0,3806.8531799872667,False,0.05799580693591839,0,0.2,63130,0,8,0.0,376.00000000000006,False,0.0028508980328803574,0,0.35300000000000004,67336,80,14,1.0,2428.0964629878836,False,0.08571776476122056,0.5,273613,0.0,0.0,13,0,0,11,2,2.0,14,25,30,109.0,57.0,10,15,30,1289,1.3539818770368584,44.19412788102636
28,30,0,0,0,10.000000000000002,20,10.0,25.207634912838788,25,24.52,21.812090752298275,3,7.0,47.00000000000001,13,47.0,8,0.802,37521,2,10,1.0,272.0763491283879,False,0.2524791516850992,7,2.637000000000001,21510,291,0,0.0,2910.0000000000005,False,-0.23618040311315106,3,2.0210000000000004,33038,281,0,0.0,7083.3454105077,False,-0.26755691191274183,0,0.2,50388,81,102,1.0,4266.651684674366,False,0.05164642670171761,0,0.2,63130,0,8,0.0,376.00000000000006,False,0.0028508980328803574,0,0.35300000000000004,67926,73,11,1.0,2109.2826249177742,False,0.09253763680285862,0.5,273513,0.0,0.0,11,0,0,15,7,6.444444444444445,15,30,24,139.0,62.0,17,13,24,811,1.460710656014271,45.65483853704063
29,24,0,0,0,10.000000000000002,20,10.0,24.180313482211506,11,7.0,23.48854290712633,41,28.804878048780488,47.00000000000001,11,47.0,0,0.7940000000000003,37421,2,20,1.0,503.6062696442301,False,0.25300349680110795,11,2.7400000000000007,21170,301,0,0.0,3010.0000000000005,False,-0.24582584979711303,14,2.1580000000000004,32391,290,0,0.0,7012.2909098413365,False,-0.2812233099411183,0,0.2,51482,73,85,1.0,3761.689031307178,False,0.06849634607451822,0,0.2,63130,0,8,0.0,376.00000000000006,False,0.0028508980328803574,0,0.35300000000000004,67262,104,10,1.0,2912.8084623411382,False,0.08838424136289669,0.5,272856,0.0,0.0,18,0,0,11,6,6.0,20,31,23,172.0,54.0,16,8,23,1833,1.4598017220268957,47.11464025906753
