index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
3730,653d5b58-7a91-40c5-845d-b629b8705074,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,112,1,35,57,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,112,,-1,-1
3731,0243a442-ad78-47e0-b539-c27d707993c7,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,112,2,35,57,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,112,,-1,-1
3729,445670fe-7c8b-41a1-a89e-f87fc36288bc,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,112,2,35,57,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,112,,-1,-1
3728,55da7d71-4e6a-433a-b7a5-99f0f97a36c7,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,112,2,35,57,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,112,,-1,-1
3727,2761b8fd-c5a7-438c-8af0-5d779687359a,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,112,2,35,57,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,112,,-1,-1
3726,cf32a2b8-1c09-4115-a642-503bc0952bad,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,112,1,10,57,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,112,,-1,-1
3747,d32ec20a-a518-408c-b0da-1a022e0ca49d,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,112,3,35,57,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,112,,-1,-1
3724,b4153480-aaaa-454d-a69c-02f38b300e5a,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,112,2,10,57,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,112,,-1,-1
3725,b94456a9-d7bb-451a-a6ca-33f82b0759fe,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,112,1,35,57,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,112,,-1,-1
4576,c9202758-d8b4-4164-a86d-0002455a900d,00Ind@0,02MyA@1,IndDecentralizingAgent,MyAgent,113,15,26,-1,-1,106,,"[quantity: (1, 15), time: (111, 116), unit_price: (18, 36)]",00Ind@0,02MyA@1,p1,00Ind@0,False,1,17,-1,,-1,-1
4638,a6b74728-0c57-4ec5-a9ad-2a739d731b95,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,113,5,9,112,-1,112,03Dec@1|00Ind@0,"[quantity: (1, 5), time: (112, 114), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,17,113,,-1,-1
4635,2943e2c8-94e1-4018-b3b1-5597fe772eba,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,113,5,10,112,-1,112,03Dec@1|00Ind@0,"[quantity: (1, 5), time: (112, 113), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,17,113,,-1,-1
4630,52abe9d7-d09a-4105-be4b-a1c77079fead,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,113,5,10,111,-1,111,03Dec@1|00Ind@0,"[quantity: (1, 5), time: (111, 114), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,17,113,,-1,-1
4532,7abbafa9-2c29-42d0-9986-25606e7c2615,03Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,113,5,38,103,-1,103,03Dec@1|05Dec@2,"[quantity: (1, 5), time: (108, 113), unit_price: (25, 50)]",03Dec@1,05Dec@2,p2,03Dec@1,False,2,17,113,,-1,-1
4534,cf70c708-b967-44e6-955d-d2d73384fe69,00Ind@0,02MyA@1,IndDecentralizingAgent,MyAgent,113,54,18,-1,-1,103,,"[quantity: (1, 54), time: (103, 113), unit_price: (1, 18)]",00Ind@0,02MyA@1,p1,02MyA@1,True,1,2,-1,,-1,-1
4561,4dc9ed06-c675-492e-8a4f-2fb746fb9bf7,01Dec@0,02MyA@1,DecentralizingAgent,MyAgent,113,12,26,-1,-1,105,,"[quantity: (1, 12), time: (110, 115), unit_price: (18, 36)]",01Dec@0,02MyA@1,p1,01Dec@0,False,1,17,-1,,-1,-1
4574,612a8f1c-b43c-4b69-a930-93eb3e590c2d,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,113,15,26,-1,-1,106,,"[quantity: (1, 15), time: (111, 116), unit_price: (18, 36)]",00Ind@0,03Dec@1,p1,00Ind@0,False,1,17,-1,,-1,-1
4604,3df8da8b-82e5-44a1-993e-9be47596b71b,03Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,113,9,37,-1,-1,108,,"[quantity: (1, 12), time: (113, 118), unit_price: (25, 50)]",03Dec@1,05Dec@2,p2,03Dec@1,False,2,17,-1,,-1,-1
4603,fc15781c-eab0-4dda-a669-32798a00f96f,03Dec@1,04Dec@2,DecentralizingAgent,DecentralizingAgent,113,9,37,-1,-1,108,,"[quantity: (1, 12), time: (113, 118), unit_price: (25, 50)]",03Dec@1,04Dec@2,p2,03Dec@1,False,2,17,-1,,-1,-1
4602,c8bfc6e0-7e08-4ed2-82cf-10d713773669,01Dec@0,02MyA@1,DecentralizingAgent,MyAgent,113,12,26,-1,-1,108,,"[quantity: (1, 12), time: (110, 115), unit_price: (18, 36)]",01Dec@0,02MyA@1,p1,01Dec@0,False,1,17,-1,,-1,-1
