index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1316,f84e01da-02c3-41ca-b3fd-ed82bdce73cb,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,57,2,10,2,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,57,,-1,-1
1317,20415d9b-38ed-4751-a9db-ec1886dddbea,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,37,23,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 23), time: (2, 37), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,-1,00Ind@0:product(0.782608695652174),-1,-1
1318,7637519b-0ce0-4258-87ba-9d711440facf,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,21,22,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 22), time: (2, 21), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,-1,00Ind@0:product(0.5454545454545454),-1,-1
1319,0a758dd2-4ddd-4dce-83bc-eb04575587a8,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,33,25,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 25), time: (2, 33), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,-1,00Ind@0:product(0.6),-1,-1
1320,dcc40c36-58f4-4888-9419-cb2a38b29c4c,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,57,1,10,2,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,57,,-1,-1
1321,13b20498-ea03-46d0-a07d-a036e6d4605a,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,3,5,9,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 5), time: (2, 5), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,17,-1,00Ind@0:product(0.8),-1,-1
1322,02b5f004-474b-454a-8ff9-25972e8a98df,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,18,25,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 25), time: (2, 18), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,-1,00Ind@0:product(0.68),-1,-1
1323,a56107d3-bb47-4e24-9348-81b52167d0b7,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,3,5,10,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 5), time: (2, 3), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,17,-1,00Ind@0:product(1.0),-1,-1
1324,02c0f65d-0755-48f2-b534-3d3415cd740c,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,43,32,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 32), time: (2, 43), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,-1,00Ind@0:product(1.0),-1,-1
1325,06604544-c346-4112-b59a-fdecf3eaabfc,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,57,1,10,2,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,57,,-1,-1
