index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
563,f6bbebf8-26b5-4057-b978-27ef2e82b609,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,39,3,10,20,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,39,,-1,-1
564,1c55ee1d-afed-4084-8e88-5a902b477578,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,39,2,10,20,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,39,,-1,-1
565,c2d94f8f-ec2f-4bec-9d2b-6ad7b35fb594,03Dec@1,04Ind@2,DecentralizingAgent,IndDecentralizingAgent,28,5,47,20,-1,20,03Dec@1|04Ind@2,"[quantity: (1, 5), time: (24, 29), unit_price: (32, 64)]",03Dec@1,04Ind@2,p2,03Dec@1,False,2,17,-1,03Dec@1:product(1.0),-1,-1
566,14f4d17e-15f0-4d05-b0ee-a0ecd9bf47a6,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,39,6,10,20,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,39,,-1,-1
567,581147aa-a1e9-4ac6-8e11-c707b198535d,03Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,25,3,49,20,-1,20,03Dec@1|05Dec@2,"[quantity: (1, 3), time: (25, 30), unit_price: (32, 64)]",03Dec@1,05Dec@2,p2,03Dec@1,False,2,17,-1,03Dec@1:product(1.0),-1,-1
568,4820c639-9c5b-47e4-b581-28c26aed39e6,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,39,2,10,20,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,39,,-1,-1
569,5e60ecf1-3884-4d3a-b5d1-827c7b4321cf,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,39,1,10,20,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,39,,-1,-1
570,e06b8382-609e-4c2e-8df7-3e14c4de1a62,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,39,4,46,20,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,39,,-1,-1
571,3bd2766f-7c7f-440c-8e54-f41f0cf9d74b,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,39,1,10,20,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,39,,-1,-1
572,40fd9a73-852b-4220-b156-f4f6f16485c0,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,39,2,46,20,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,39,,-1,-1
573,61d9f644-b981-4287-9417-038719b5e9bf,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,39,4,10,20,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,39,,-1,-1
574,6e13b947-2605-4701-8cc2-3b84b02fe7fd,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,39,4,46,20,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,-1,04Ind@2:product(0.5),-1,-1
575,f70499a4-0b45-4a30-ba23-5fbc840829c6,01Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,25,1,11,21,-1,21,03Dec@1|01Buy@0,"[quantity: (1, 5), time: (21, 25), unit_price: (1, 21)]",01Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,01Buy@0:product(1.0),-1,-1
576,1f59b22c-87f3-4e95-a6a7-acdc1b0072c4,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,40,3,10,21,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,40,,-1,-1
577,b2fc5e18-b7fa-4523-887d-9745c2e921f1,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,40,5,46,21,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,-1,04Ind@2:product(0.6),-1,-1
578,f8ed7408-2fe3-42ef-ac8c-2681b0d9e200,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,40,2,10,21,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,40,,-1,-1
579,9fa81efa-addd-4615-9e3c-a45923600820,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,40,3,46,21,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
580,71748de2-1d38-4f9a-b1a9-d4efb2ff4ebd,03Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,24,5,49,21,-1,21,03Dec@1|05Dec@2,"[quantity: (1, 5), time: (23, 28), unit_price: (32, 64)]",03Dec@1,05Dec@2,p2,03Dec@1,False,2,17,-1,03Dec@1:product(0.4),-1,-1
581,9d1300b5-7207-416e-a1a2-7e729f8f51ca,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,40,6,46,21,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
