index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,24,0,0,0,10.000000000000002,20,10.0,19.903532272314262,15,20.0,29.639503448964852,18,13.333333333333334,36.00000000000001,20,36.0,0,0.43400000000000005,31321,2,20,1.0,418.07064544628525,False,0.06115287324481347,0,0.398,30763,16,39,1.0,936.2377586202563,False,0.05109274995154068,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,8,1.7650000000000003,55314,203,10,1.0,4336.812085769444,False,-0.04569758374890475,14,1.9060000000000001,77288,213,0,0.0,6313.214234629513,False,-0.06493465009921133,0,0.6230000000000001,85225,0,13,0.6,468.0000000000001,False,-0.006648766142437029,0.6,340410,0.0,0.0,12,0,0,13,5,5.0,13,26,19,204.0,48.0,13,11,19,836,1.7991903380025178,50.10170634207316
21,19,0,0,0,10.000000000000002,20,10.0,19.9617392045693,10,21.0,28.41889585426013,26,19.846153846153847,36.00000000000001,20,36.0,0,0.43400000000000005,31293,0,27,0.9,538.9669585233711,False,0.062244925765210034,0,0.398,30801,19,41,1.0,1008.4313073873413,False,0.0535864992997567,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,16,1.9170000000000003,55006,203,10,1.0,4336.422017070169,False,-0.0508141278569754,11,2.0020000000000002,76625,239,0,0.0,6792.116109168171,False,-0.06985786455365997,0,0.623,85549,0,4,0.0,144.00000000000003,False,-0.004765723983215352,0.48333333333333334,339773,0.0,0.0,15,0,0,14,7,6.090909090909091,12,26,23,179.0,48.0,13,6,23,734,1.728304983000271,51.83001132507343
22,23,0,0,0,10.000000000000002,20,10.0,19.61813817770539,36,18.0,29.90843564620233,29,39.55172413793103,36.0,20,36.0,3,0.464,31772,0,7,0.7,137.32696724393773,False,0.07160715793161132,0,0.398,30719,22,45,1.0,1102.8162179967426,False,0.052415040857482255,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,19,2.0910000000000006,54897,229,10,1.0,4791.637999156558,False,-0.048845040265986864,8,2.071,75716,260,0,0.0,7776.1932680126065,False,-0.07470450611981376,8,0.7030000000000001,85280,0,8,0.8,288.0,False,-0.007055596238565168,0.5833333333333334,338883,0.0,0.0,13,0,0,15,8,6.438095238095238,14,29,19,225.0,39.0,15,8,19,948,1.8142929900204763,53.644304315093905
23,19,0,0,0,10.000000000000002,20,10.0,19.625568221259826,1,21.0,29.224289778322046,60,27.0,36.0,20,36.0,0,0.4610000000000001,31672,0,17,1.0,333.634659761417,False,0.0715450250691855,0,0.398,30640,22,54,1.0,1279.7806839480306,False,0.052734168275637476,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,50,2.5720000000000005,54896,220,10,1.0,4609.867906460382,False,-0.05037048305420123,11,2.1730000000000005,75563,260,0,0.0,7598.315342363732,False,-0.07751673616275688,1,0.7050000000000001,83941,50,10,1.0,1821.2144889161023,False,-0.01370892766028467,0.6666666666666666,337211,0.0,0.0,11,0,0,6,6,5.333333333333334,18,24,21,150.0,42.0,10,9,21,473,1.5620625379960984,55.20636685309
24,21,0,0,0,10.000000000000002,20,10.0,19.929654174787085,27,21.814814814814813,28.64426041633053,8,12.0,36.0,20,36.0,0,0.461,31846,0,14,0.9,279.0151584470192,False,0.07648192976890623,0,0.398,30855,23,49,1.0,1206.5530545645672,False,0.058737809284901674,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,0,2.5220000000000007,54403,237,12,1.0,5067.059164420506,False,-0.0547600301782974,10,2.262000000000001,75338,268,0,0.0,7676.661791576582,False,-0.07967673401694392,0,0.7040000000000002,84301,40,10,1.0,1505.7704166532212,False,-0.011357705846420358,0.65,337242,0.0,0.0,15,0,0,14,4,4.0,15,29,25,204.0,22.0,13,8,25,1245,1.9707183259888552,57.17708517907886
25,25,0,0,0,10.000000000000002,20,10.0,20.103135120705268,16,22.0,28.64426041633053,0,,36.0,20,36.0,0,0.461,31796,0,19,0.5,381.9595672934001,False,0.07653147725395283,0,0.398,31057,28,43,1.0,1144.4348101903265,False,0.06449087621900049,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,0,2.5220000000000007,54051,243,22,1.0,5515.235563490652,False,-0.05688357629708096,9,2.342000000000001,75234,268,0,0.0,7676.661791576582,False,-0.0808856005882961,1,0.7140000000000002,84654,30,10,1.0,1219.3278124899157,False,-0.008919297622427335,0.5833333333333334,337291,0.0,0.0,12,0,0,15,4,3.5,17,32,14,262.0,39.0,17,8,14,876,1.9290300969732925,59.10611527605215
26,14,0,0,0,10.000000000000002,20,10.0,19.589726231170083,36,17.13888888888889,27.58807372938374,15,12.533333333333333,36.0,20,36.0,3,0.49100000000000005,32055,3,10,1.0,225.89726231170084,False,0.08262203854056643,0,0.398,31164,25,39,1.0,1013.9993230156333,False,0.06589707069322573,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,0,2.5220000000000007,53622,269,17,1.0,5738.633609584275,False,-0.06215129401855839,12,2.4530000000000007,74867,283,0,0.0,7807.424865415599,False,-0.08439152825484063,0,0.7130000000000001,84942,20,12,1.0,983.7614745876748,False,-0.006940745344191841,0.6666666666666666,337149,0.0,0.0,16,0,0,13,6,5.2727272727272725,13,26,16,150.0,25.0,10,4,16,1073,1.433588323998265,60.539703600050416
27,16,0,0,0,10.000000000000002,20,10.0,19.589726231170083,0,,24.602029570032606,53,13.0,36.0,20,36.0,0,0.4880000000000001,31945,4,20,1.0,431.7945246234017,False,0.08238472258983276,0,0.398,31074,24,49,1.0,1199.8965853273342,False,0.06599630776642097,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,36,2.8820000000000006,52500,259,10,1.0,5319.759389573377,False,-0.08425533834503716,13,2.571000000000001,74146,325,0,0.0,7995.659610260597,False,-0.091678234530224,0,0.7130000000000001,85029,21,15,1.0,1056.6426209706847,False,-0.005505907051117046,0.6666666666666666,335193,0.0,0.0,12,0,0,9,8,7.8,14,23,22,150.0,33.0,10,6,22,632,1.871659119031392,62.41136271908181
28,22,0,0,0,10.000000000000002,20,10.0,19.805497684374338,43,20.74418604651163,23.2935305747718,27,12.0,36.0,20,36.0,6,0.548,32325,1,10,1.0,208.05497684374336,False,0.09140872643024503,0,0.398,31284,27,42,1.0,1101.8309027437222,False,0.07141370616806988,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,17,3.016000000000001,51289,292,10,1.0,6016.140629585025,False,-0.09857939213426564,9,2.6480000000000006,73725,352,0,0.0,8199.322762319674,False,-0.09538815797608029,0,0.7130000000000001,85425,11,14,1.0,760.2288363224898,False,-0.002625630084954875,0.6666666666666666,334547,0.0,0.0,14,0,0,8,6,5.6,19,27,16,219.0,39.0,13,9,16,1408,1.5727286119945347,63.98409133107634
29,16,0,0,0,10.000000000000002,20,10.0,19.844539327455685,52,20.0,22.59883073993694,16,12.4375,35.99999999999999,20,36.0,32,0.8620000000000001,32287,2,10,1.0,218.44539327455686,False,0.09030467124279877,0,0.398,31394,26,42,1.0,1093.4706517531388,False,0.07497510604370372,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,6,3.0590000000000006,50256,334,10,1.0,6854.064442769569,False,-0.10877343369494841,9,2.7290000000000005,73420,368,0,0.0,8316.369712296793,False,-0.0982531313579013,0,0.7130000000000001,85821,1,13,1.0,490.59883073993683,False,0.00041031041566376317,0.6666666666666666,333677,0.0,0.0,13,0,0,11,7,6.142857142857142,16,27,16,171.0,12.0,12,4,16,904,1.4119439820060506,65.3960353130824
