index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,31,0,0,0,10.000000000000002,20,10.0,15.490952674658944,23,16.47826086956522,28.1886314903739,58,24.948275862068964,37.0,11,37.0,10,3.909000000000001,32459.0,226,0,0.0,2260.0000000000005,False,-0.1858199006181069,0,0.7400000000000002,43354,0,17,1.0,263.34619546920203,False,0.054070369597251276,0,0.2,64655,220,97,1.0,6142.306842991236,False,0.021464389567525135,15,0.935,65232,58,10,1.0,1180.3615700339578,False,-0.007251847050405387,0,0.2,97392,0,0,0.0,0.0,False,0.0,0,0.7400000000000002,91758,202,12,1.0,6138.103561055528,False,-0.026336333779696863,0.6666666666666666,394850,0.0,0.0,16,0,0,20,4,3.4166666666666665,12,32,32,237.0,126.0,14,17,32,2043,1.6610486712306738,41.32829078938812
21,32,0,0,0,10.000000000000002,20,10.0,14.993460541368623,20,8.25,28.0108960064772,36,27.0,37.0,9,37.0,15,4.049000000000001,32109.0,239,0,0.0,2390.0000000000005,False,-0.19272815416313174,0,0.7400000000000002,43324,0,19,0.7,284.87575028600384,False,0.053604117686171494,0,0.2,64575,220,107,1.0,6295.727191794158,False,0.02141477151708195,26,1.1800000000000002,65287,58,10,1.0,1149.7296714641523,False,-0.006653321331884257,0,0.2,97392,0,0,0.0,0.0,False,0.0,0,0.7400000000000002,91119,228,13,1.0,6867.484289476802,False,-0.029152885814662428,0.6166666666666667,393806,0.0,0.0,15,0,0,19,4,3.7222222222222223,18,37,41,270.0,75.0,19,13,41,573,1.949827117845416,43.278117907233536
22,41,0,0,0,10.000000000000002,20,10.0,14.532912415199908,20,8.5,28.0108960064772,0,,37.0,8,37.0,15,4.184000000000002,31824.0,248,0,0.0,2480.0000000000005,False,-0.19854563083262636,0,0.7400000000000002,43254,1,24,1.0,358.7898979647978,False,0.052803174136041714,0,0.2,64495,220,117,1.0,6474.515564101812,False,0.021556457204815818,0,1.1540000000000004,65197,58,20,1.0,1403.1268402111386,False,-0.0060998232341588545,0,0.2,97392,0,0,0.0,0.0,False,0.0,0,0.7400000000000002,91415,218,15,1.0,6661.37532941203,False,-0.027171762930158404,0.6666666666666666,393577,0.0,0.0,15,0,0,23,2,2.0,17,40,35,352.0,125.0,21,20,35,536,1.955002699047327,45.23312060628086
23,35,0,0,0,10.000000000000002,20,10.0,15.586610701829487,76,19.105263157894736,28.0108960064772,0,,37.0,8,37.0,35,4.519000000000001,31266.0,256,0,0.0,2560.0000000000005,False,-0.21110168464428555,17,0.9100000000000001,43754,3,10,1.0,185.86610701829488,False,0.06282712528200582,0,0.2,64034,245,127,1.0,7376.103414770829,False,0.02140252639225093,0,1.1540000000000004,64206,89,30,1.0,2227.5352326571406,False,-0.01482938002309741,0,0.2,97392,0,0,0.0,0.0,False,0.0,0,0.7400000000000002,91711,208,17,1.0,6455.266369347258,False,-0.025190640045654383,0.6666666666666666,392363,0.0,0.0,12,0,0,18,6,5.416666666666667,20,38,30,282.0,73.0,19,16,30,887,2.0407046591863036,47.27382526546717
24,30,0,0,0,10.000000000000002,20,10.0,15.477492411740483,5,9.0,27.371153323025712,34,23.294117647058822,37.0,14,37.0,5,4.534000000000002,31106.0,267,0,0.0,2670.0000000000005,False,-0.21364683068718943,0,0.8930000000000002,43664,2,20,1.0,329.54984823480964,False,0.06238698155659683,0,0.2,63989,240,137,1.0,7464.446184072239,False,0.02139002898867499,4,1.1940000000000002,64870,79,10,1.0,1496.4334337577554,False,-0.01032808897216004,0,0.2,97392,0,0,0.0,0.0,False,0.0,0,0.7400000000000002,91437,232,13,1.0,6831.107570941966,False,-0.026074484706433962,0.6666666666666666,392458,0.0,0.0,16,0,0,16,2,1.4444444444444444,16,32,28,217.0,86.0,15,15,28,1393,1.8918924126774073,49.165717678144574
25,28,0,0,0,10.000000000000002,20,10.0,16.259203623580007,45,20.977777777777778,27.371153323025712,0,,37.0,10,37.0,11,4.639000000000001,30856.0,278,0,0.0,2780.0000000000005,False,-0.2183735304811538,14,1.033,44158,1,10,1.0,172.59203623580007,False,0.07245899934839173,0,0.2,63524,252,147,1.0,8120.8788516269415,False,0.01932702028284498,0,1.1900000000000002,64391,92,20,1.0,2043.269799829875,False,-0.013428730224651462,0,0.2,97392,0,0,0.0,0.0,False,0.0,0,0.7400000000000002,91807,222,13,1.0,6557.396037711708,False,-0.023680610123461353,0.6666666666666666,392128,0.0,0.0,14,0,0,18,3,2.8235294117647056,10,28,38,186.0,78.0,12,16,38,995,1.8205939484760165,50.98631162662059
26,38,0,0,0,10.000000000000002,20,10.0,16.176431720511726,26,15.26923076923077,26.37353735966939,35,19.942857142857143,37.0,8,37.0,14,4.768000000000002,30561.0,287,0,0.0,2870.0000000000005,False,-0.22443340201187734,2,1.0390000000000001,44286,2,10,1.0,181.76431720511727,False,0.0756728192607577,0,0.2,63835,256,141,1.0,7859.835288164386,False,0.022049042186359443,0,1.1900000000000002,64381,94,11,1.0,1810.6934926844656,False,-0.015333442734985825,0,0.2,97392,0,0,0.0,0.0,False,0.0,0,0.7400000000000002,91405,247,15,1.0,7069.263727838339,False,-0.02518038582307403,0.6666666666666666,391860,0.0,0.0,16,0,0,21,4,3.166666666666667,17,38,37,314.0,177.0,19,19,37,1194,1.9241684479638934,52.910480074584484
27,37,0,0,0,10.000000000000002,20,10.0,15.99434562218727,7,8.714285714285714,25.665907479913898,33,20.636363636363637,37.0,14,37.0,6,4.814000000000001,30426.0,294,0,0.0,2940.0000000000005,False,-0.22685735062416676,0,1.0370000000000001,44164,5,19,1.0,353.89256682155815,False,0.07480175211273242,0,0.2,64024,248,146,1.0,7713.820206369872,False,0.023798472213699868,17,1.36,64169,89,10,1.0,1680.155835173806,False,-0.01951528712747684,0,0.2,97392,0,0,0.0,0.0,False,0.0,0,0.7400000000000002,91242,270,11,1.0,7336.795019576753,False,-0.025480557850866795,0.6666666666666666,391417,0.0,0.0,21,0,0,22,4,3.7272727272727275,14,36,36,294.0,117.0,18,19,36,1147,1.8225773265585303,54.733057401143014
28,36,0,0,0,10.000000000000002,20,10.0,15.872379694851459,4,8.0,26.028628390308477,23,29.82608695652174,37.0,7,37.0,4,4.848000000000001,30292.0,303,0,0.0,3030.0000000000005,False,-0.22901466488910435,0,1.0370000000000001,44054,6,29,1.0,520.2990111506923,False,0.07415221198825228,0,0.2,64192,242,151,1.0,7771.438773090633,False,0.026766803712431043,8,1.4230000000000003,64399,79,10,1.0,1514.20427979635,False,-0.01729782755081707,0,0.2,97392,0,0,0.0,0.0,False,0.0,0,0.7400000000000002,90815,283,14,1.0,7884.1018344572985,False,-0.027055087509973562,0.6666666666666666,391144,0.0,0.0,15,0,0,20,2,1.4444444444444444,15,35,40,268.0,113.0,19,17,40,659,2.0050732865929604,56.738130687735975
29,40,0,0,0,10.000000000000002,20,10.0,16.340949433091037,57,18.280701754385966,25.596761807404356,21,20.714285714285715,37.0,12,37.0,21,5.054000000000001,29815.0,314,0,0.0,3140.0000000000005,False,-0.2392437280329657,7,1.1070000000000002,44695,5,10,1.0,213.40949433091038,False,0.0859703005009201,0,0.2,63550,273,161,1.0,8582.157846225953,False,0.02319772744993401,11,1.5250000000000001,64082,85,10,1.0,1644.9483198867815,False,-0.021092949641141563,0,0.2,97392,0,0,0.0,0.0,False,0.0,0,0.7400000000000002,90824,294,12,1.0,7969.447971376881,False,-0.026524519614666085,0.6666666666666666,390358,0.0,0.0,19,0,0,17,7,6.4375,19,36,40,298.0,123.0,19,21,40,1378,1.977468722499907,58.71559941023588
