index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,11,0,0,0,10.000000000000002,20,10.0,14.519133245721074,8,1.5,23.61813113299863,5,23.0,23.0,9,23.0,0,1.1,13568,16,26,1.0,537.497464388748,False,0.12111073830775998,8,1.8910000000000002,7337,194,0,0.0,1940.0000000000005,False,-0.32693242586290716,0,0.6770000000000002,14928,247,59,1.0,4979.695648540024,False,0.09456719815685359,4,2.0310000000000006,10896,48,0,0.0,696.9183957946116,False,-0.29337904870877235,0,0.2,18784,0,0,0.0,0.0,False,0.00508320402375729,9,1.8470000000000002,8813,368,0,0.0,8691.472256943496,False,-0.29591010067570506,0.3333333333333333,74326,0.0,0.0,8,0,0,9,8,8.0,16,25,15,86.0,12.0,7,4,15,239,0.5391155434772372,21.392033722251654
21,15,0,0,0,10.000000000000002,20,10.0,15.069833338607433,24,19.625000000000004,23.972351927798115,7,30.714285714285715,23.0,8,23.0,0,1.1,13934,15,18,1.0,421.2570000949338,False,0.1460564333209745,6,1.9430000000000005,7124,205,0,0.0,2050.0000000000005,False,-0.3397342408037595,0,0.6770000000000002,15088,248,62,1.0,5223.604487498126,False,0.11228569369377626,0,2.0270000000000006,10480,61,0,0.0,919.2598336550534,False,-0.31253503947542716,0,0.2,18784,0,0,0.0,0.0,False,0.00508320402375729,8,1.9180000000000001,8537,375,0,0.0,8989.631972924293,False,-0.30270126885001086,0.3333333333333333,73947,0.0,0.0,13,0,0,8,6,6.0,19,27,15,111.0,27.0,10,5,15,871,0.5908345133066177,21.98286823555827
22,15,0,0,0,10.000000000000002,20,10.0,15.085944381975342,9,15.444444444444445,24.687445525144046,20,29.2,22.999999999999996,9,23.0,0,1.1,13972,15,20,1.0,451.7188876395069,False,0.15036942503806144,1,1.9470000000000005,7006,215,0,0.0,2150.0000000000005,False,-0.34524388267703776,0,0.6770000000000002,15522,244,60,1.0,5162.217160710627,False,0.13763015021399574,8,2.1070000000000007,10287,64,0,0.0,965.5004404464219,False,-0.32321056870337384,0,0.2,18784,0,0,0.0,0.0,False,0.00508320402375729,9,2.0000000000000004,7876,395,0,0.0,9751.540982431898,False,-0.3176857782002274,0.3333333333333333,73447,0.0,0.0,11,0,0,11,7,7.0,15,26,13,98.0,26.0,10,5,13,818,0.659633819013834,22.642502054572105
23,13,0,0,0,10.000000000000002,20,10.0,14.9285544962617,5,9.0,25.364441420240905,8,36.5,23.0,9,23.0,0,1.1,13917,15,25,1.0,523.2138624065425,False,0.14880950666044973,0,1.9460000000000006,6906,225,0,0.0,2250.0000000000005,False,-0.34929508993680114,0,0.6770000000000002,15769,239,62,1.0,5140.519892661483,False,0.15247030392325403,0,2.0990000000000006,10287,64,0,0.0,955.4274877607488,False,-0.3235270694475979,0,0.2,18784,0,0,0.0,0.0,False,0.00508320402375729,9,2.0810000000000004,7515,403,0,0.0,10221.869892357085,False,-0.3244189123988152,0.3333333333333333,73178,0.0,0.0,13,0,0,9,3,3.0,15,24,17,48.0,26.0,8,5,17,537,0.649865604005754,23.29236765857786
24,17,0,0,0,10.000000000000002,20,10.0,15.066508260157672,30,15.866666666666667,25.364441420240905,0,,23.0,9,23.0,0,1.1,14191,19,17,1.0,446.1306404226805,False,0.16788732135888354,12,2.0660000000000007,6652,231,0,0.0,2310.0000000000005,False,-0.3674444984605412,0,0.6770000000000002,15293,259,72,1.0,5728.465421638182,False,0.14103140267825623,0,2.0990000000000006,10287,64,0,0.0,964.256528650091,False,-0.32324965347043016,0,0.2,18784,0,0,0.0,0.0,False,0.00508320402375729,9,2.1620000000000004,7442,403,0,0.0,10221.869892357085,False,-0.3283249533854919,0.3333333333333333,72649,0.0,0.0,11,0,0,10,5,5.0,16,26,21,117.0,46.0,10,7,21,614,0.6976304883137345,23.989998146891594
25,21,0,0,0,10.000000000000002,20,10.0,16.123458939916084,40,20.975,23.965677854099045,8,2.0,23.0,10,23.0,22,1.32,14427,18,10,1.0,341.2345893991609,False,0.1827594631906969,1,2.0640000000000005,6528,242,0,0.0,2420.0000000000005,False,-0.37303516447901475,0,0.6770000000000002,14904,274,82,1.0,6383.013333573128,False,0.13715243302875416,8,2.1790000000000007,9661,79,0,0.0,1273.7532562533706,False,-0.35286390824315433,0,0.2,18784,0,0,0.0,0.0,False,0.00508320402375729,10,2.2530000000000006,7339,411,0,0.0,9849.893598034707,False,-0.3437879608851541,0.3333333333333333,71643,0.0,0.0,9,0,0,8,8,7.291666666666667,21,29,19,149.0,49.0,13,8,19,200,0.7014412796124816,24.691439426504076
26,19,0,0,0,10.000000000000002,20,10.0,15.28250468820453,15,4.0,22.721307525484622,12,10.25,22.999999999999993,7,23.0,0,1.2980000000000003,14357,15,20,1.0,455.65009376409057,False,0.18172298224615507,15,2.2130000000000005,6173,255,0,0.0,2550.0000000000005,False,-0.3965321665856425,0,0.6770000000000002,14939,279,87,1.0,6240.572562726226,False,0.13487628237058472,7,2.241000000000001,9521,79,0,0.0,1207.3178703681579,False,-0.3637492028414454,0,0.2,18784,0,0,0.0,0.0,False,0.00508320402375729,7,2.3130000000000006,7165,423,0,0.0,9611.113083279995,False,-0.3594865139044358,0.3333333333333333,70939,0.0,0.0,10,0,0,11,5,5.0,19,30,23,171.0,24.0,13,6,23,295,0.8489912217482924,25.540430648252368
27,23,0,0,0,10.000000000000002,20,10.0,15.193654103363775,17,14.176470588235293,21.772446492990273,9,9.222222222222221,22.999999999999993,10,23.0,0,1.2980000000000003,14491,14,22,1.0,474.26039027400304,False,0.1933341593855941,9,2.2880000000000003,5889,266,0,0.0,2660.0000000000005,False,-0.41508669583535895,0,0.6770000000000002,14826,282,97,1.0,6396.537766968641,False,0.1326757294969095,9,2.3240000000000007,9240,83,0,0.0,1261.0732905791933,False,-0.379718679991856,0,0.2,18784,0,0,0.0,0.0,False,0.00508320402375729,10,2.4060000000000006,6991,432,0,0.0,9405.696884971798,False,-0.37429244783102905,0.3333333333333333,70221,0.0,0.0,10,0,0,6,9,9.0,20,26,20,112.0,76.0,10,13,20,424,0.8470503874123096,26.387481035664678
28,20,0,0,0,10.000000000000002,20,10.0,15.583853574052181,32,17.90625,22.162424709827018,25,23.96,22.999999999999996,8,23.0,1,1.3080000000000003,14930,10,10,1.0,255.83853574052182,False,0.22005503709854646,9,2.3690000000000007,5610,280,0,0.0,2800.0000000000005,False,-0.43202074218117,0,0.6770000000000002,14888,300,94,1.0,6758.423994939394,False,0.1479426882089925,12,2.4350000000000005,8884,87,0,0.0,1355.7952609425397,False,-0.39911408091049644,0,0.2,18784,0,0,0.0,0.0,False,0.00508320402375729,8,2.4760000000000004,6333,457,0,0.0,10128.228092390947,False,-0.3901699370648256,0.3333333333333333,69429,0.0,0.0,12,0,0,13,9,8.2,18,31,17,139.0,26.0,14,6,17,1185,0.7605103030800819,27.14799133874476
29,17,0,0,0,10.000000000000002,20,10.0,15.061634544669696,9,3.4444444444444446,23.312752411253246,9,39.44444444444444,22.999999999999996,12,23.0,0,1.3070000000000002,14840,9,20,1.0,391.2326908933939,False,0.21824796187382084,9,2.4500000000000006,5338,291,0,0.0,2910.0000000000005,False,-0.4496029816885432,0,0.6770000000000002,15212,299,95,1.0,6718.140207925298,False,0.1670376487125399,0,2.423000000000001,8884,87,0,0.0,1310.3622053862634,False,-0.4005416261740004,0,0.2,18784,0,0,0.0,0.0,False,0.00508320402375729,12,2.588,5858,466,0,0.0,10863.742623644013,False,-0.39590821810573024,0.3333333333333333,68916,0.0,0.0,10,0,0,9,8,8.0,15,24,14,69.0,60.0,8,9,14,555,0.648335549980402,27.79632688872516
