index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,15,0,0,0,10.000000000000002,20,10.0,15.781283068951858,34,17.205882352941178,17.812803286918545,39,18.205128205128204,40.0,20,40.0,4,0.4830000000000001,20402,2,10,1.0,177.8128306895186,False,0.07903667274064023,20,2.164,13605,113,0,0.0,1130.0000000000002,False,-0.2538177988414955,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,34,3.0150000000000006,14334.0,319,0,0.0,5034.229298995642,False,-0.4656716032121692,0,0.2,49121,11,20,1.0,995.940836156104,False,0.02899090475266074,12,1.0220000000000002,43051,231,0,0.0,4114.757559278184,False,-0.06454908069846976,0.3333333333333333,172794,0.0,0.0,14,0,0,8,14,13.285714285714285,20,28,18,129.0,51.0,8,7,18,730,0.9156032340251841,25.82002919993829
11,18,0,0,0,10.000000000000002,20,10.0,16.060321474164706,15,20.333333333333332,17.443852929859215,40,15.475,40.0,20,40.0,0,0.47900000000000004,20602,0,8,0.8,128.48257179331765,False,0.08826968330156187,5,2.1940000000000004,13400,127,0,0.0,1270.0000000000002,False,-0.26092680358083203,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,40,3.3810000000000007,12339.0,334,0,0.0,5364.147372371011,False,-0.523699981412769,0,0.2,49182,21,21,1.0,1206.3209115270436,False,0.032437329291460607,11,1.1200000000000003,42559,251,0,0.0,4378.407085394663,False,-0.07201834174535304,0.3,170363,0.0,0.0,16,0,0,5,12,12.0,23,28,17,129.0,60.0,8,10,17,820,1.9307171050459146,27.750746304984204
12,17,0,0,0,10.000000000000002,20,10.0,15.575452877633662,17,9.294117647058824,17.20806447243711,23,14.869565217391305,40.00000000000001,20,40.0,1,0.48900000000000005,20566,0,10,1.0,155.75452877633663,False,0.0870920097097508,8,2.2690000000000006,13184,137,0,0.0,1370.0000000000002,False,-0.26966824644549764,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,23,3.5710000000000006,11468.0,351,0,0.0,5466.983960049415,False,-0.5496879227566126,0,0.2,49484,18,21,1.0,1149.7451605038682,False,0.03811353103942127,10,1.2090000000000003,42161,267,0,0.0,4594.5532141407075,False,-0.07803080385992926,0.3333333333333333,169144,0.0,0.0,15,0,0,6,11,10.25,19,25,22,129.0,87.0,8,9,22,650,1.3226384539739229,29.073384758958127
13,22,0,0,0,10.000000000000002,20,10.0,15.575452877633662,0,,17.113539479376932,12,15.333333333333334,40.00000000000001,20,40.0,0,0.4880000000000001,20446,2,20,1.0,331.50905755267326,False,0.08540044911934361,0,2.2610000000000006,13104,145,0,0.0,1450.0000000000002,False,-0.27177461822011584,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,12,3.6680000000000006,11184.0,351,0,0.0,5466.983960049415,False,-0.5586932181239589,0,0.2,49620,20,23,1.0,1262.2707895875387,False,0.042100648986826646,12,1.3190000000000002,41953,267,0,0.0,4569.315040993641,False,-0.08260597000276192,0.3333333333333333,168588,0.0,0.0,13,0,0,11,7,7.0,18,29,14,164.0,66.0,10,12,14,520,1.3922081120545045,30.465592871012632
14,14,0,0,0,10.000000000000002,20,10.0,14.695721858130595,40,10.0,16.92252339522456,14,14.0,40.00000000000001,20,40.0,0,0.4880000000000001,20450,4,21,1.0,348.6101590207425,False,0.08606135226489574,31,2.5710000000000006,12366,153,0,0.0,1530.0000000000002,False,-0.3085308056872038,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,14,3.7960000000000007,10426.0,391,0,0.0,5746.027246529063,False,-0.57830441629627,0,0.2,49856,16,25,1.0,1270.7603743235932,False,0.04708281012757508,12,1.4270000000000003,41639,275,0,0.0,4653.693933686754,False,-0.08824273725465305,0.3333333333333333,167018,0.0,0.0,16,0,0,8,10,10.0,18,26,14,93.0,53.0,6,8,14,644,1.0058148700045422,31.471407741017174
15,14,0,0,0,10.000000000000002,20,10.0,15.834350722738007,47,21.361702127659573,16.566606605106728,39,14.692307692307692,40.00000000000001,20,40.0,12,0.6080000000000001,20978,4,10,1.0,198.34350722738006,False,0.10990899176480723,14,2.6800000000000006,12070,163,0,0.0,1630.0000000000002,False,-0.32148499210110587,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,39,4.1720000000000015,7797.0,438,0,0.0,6935.445616559247,False,-0.642809309437181,0,0.2,49935,23,27,1.0,1461.031951917455,False,0.05069401248333145,12,1.5350000000000001,41107,297,0,0.0,4920.282161716698,False,-0.09651104122978897,0.3333333333333333,164168,0.0,0.0,16,0,0,6,12,11.8,18,24,13,129.0,31.0,8,6,13,1022,1.0033104340545833,32.47471817507176
16,13,0,0,0,10.000000000000002,20,10.0,15.70364636229898,46,15.0,16.50481081890617,19,15.789473684210526,40.00000000000001,20,40.0,5,0.6460000000000001,21208,2,10,1.0,177.0364636229898,False,0.12145962252825153,31,2.976000000000001,11340,175,0,0.0,1750.0000000000002,False,-0.35676671932596105,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,19,4.323000000000001,6574.0,484,0,0.0,7600.564839352706,False,-0.6710440936146002,0,0.2,50195,17,29,1.0,1440.581783921405,False,0.05587380792519234,12,1.6430000000000005,40655,312,0,0.0,5149.500975498725,False,-0.10350779768670573,0.3333333333333333,162253,0.0,0.0,14,0,0,10,12,11.333333333333334,19,29,14,114.0,30.0,8,5,14,520,1.011209818010684,33.48592799308244
17,14,0,0,0,10.000000000000002,20,10.0,15.219152298915507,23,9.652173913043478,16.393508939318096,10,14.0,40.00000000000001,20,40.0,0,0.6410000000000001,21172,1,18,1.0,283.9447413804791,False,0.12237874516536285,21,3.1550000000000007,10936,186,0,0.0,1860.0000000000002,False,-0.375144813059505,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,10,4.404000000000001,6142.0,507,0,0.0,7716.110215550162,False,-0.6829103875519207,0,0.2,50455,17,29,1.0,1438.6896519684078,False,0.06124603027693752,10,1.7310000000000005,40509,312,0,0.0,5114.774789067246,False,-0.10689559746721089,0.3333333333333333,161495,0.0,0.0,14,0,0,6,6,6.0,22,28,15,132.0,30.0,9,5,15,654,0.9471922909724526,34.433120284054894
18,15,0,0,0,10.000000000000002,20,10.0,15.144312529395027,44,14.704545454545455,16.294178868369464,14,14.857142857142858,40.00000000000001,20,40.0,0,0.641,21347,7,16,1.0,312.3090004703204,False,0.13234094261375248,32,3.4540000000000006,10336,190,0,0.0,1900.0000000000002,False,-0.4056872037914692,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,14,4.534000000000002,5147.0,551,0,0.0,8344.51620369666,False,-0.7044976344659185,0,0.2,50735,7,32,1.0,1394.0592520785865,False,0.0665898597299785,13,1.8510000000000004,40061,326,0,0.0,5311.9023110884455,False,-0.11414215475530946,0.3333333333333333,159907,0.0,0.0,16,0,0,6,10,10.0,20,26,15,129.0,50.0,8,7,15,815,1.0337642200174741,35.46688450407237
19,15,0,0,0,10.000000000000002,20,10.0,15.696056371761278,60,18.2,16.005528939052727,46,14.782608695652174,40.00000000000001,20,40.0,15,0.7910000000000001,21675,10,10,1.0,256.9605637176128,False,0.14815588635380764,29,3.7120000000000006,9641,197,0,0.0,1970.0000000000005,False,-0.4404423380726698,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,46,4.980000000000001,1890.0,611,0,0.0,9590.290443146141,False,-0.7880221574159536,0,0.2,50905,7,34,1.0,1472.0387025733694,False,0.07092385788943993,12,1.9580000000000004,39321,362,0,0.0,5794.001475937087,False,-0.12448931507085002,0.3333333333333333,155713,0.0,0.0,15,0,0,4,17,16.875,22,26,16,147.0,34.0,9,6,16,940,1.1549707649974152,36.62185526906978
20,16,0,0,0,10.000000000000002,20,10.0,15.696056371761278,0,,15.743664565886123,36,14.166666666666666,40.00000000000001,20,40.0,0,0.7760000000000002,21565,11,20,1.0,423.92112743522557,False,0.14675937670972164,0,3.683000000000001,9551,206,0,0.0,2060.0000000000005,False,-0.4428120063191153,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,36,5.294000000000001,469.0,611,0,0.0,9590.290443146141,False,-0.8330803430391898,0,0.2,51265,0,32,0.7,1280.0000000000002,False,0.07639824972522345,11,2.0560000000000005,38637,398,0,0.0,6265.978497222677,False,-0.1337801113910674,0.2833333333333333,153768,0.0,0.0,14,0,0,4,9,9.0,25,29,14,168.0,45.0,11,5,14,560,1.2143372740247287,37.83619254309451
21,14,0,0,0,10.000000000000002,20,10.0,15.57311761521023,31,14.387096774193548,15.468373254688371,59,14.40677966101695,40.00000000000001,20,40.0,11,0.8860000000000001,21689,9,10,1.0,245.7311761521023,False,0.14859745066224606,0,3.683000000000001,9431,218,0,0.0,2180.0000000000005,False,-0.44597156398104265,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,59,5.848000000000001,-3346.0,642,0,0.0,9997.941508964966,False,-0.9475863032475351,0,0.2,51284,13,33,1.0,1521.088852310949,False,0.07929210149427579,11,2.1550000000000002,37944,434,0,0.0,6713.273992534753,False,-0.14351346931280193,0.3333333333333333,149283,0.0,0.0,13,0,0,3,16,15.55,24,27,15,111.0,50.0,7,7,15,846,0.9923848009784706,38.82857734407298
22,15,0,0,0,10.000000000000002,20,10.0,15.400740898080631,8,9.0,15.356314524477432,39,14.615384615384615,40.00000000000001,20,40.0,0,0.8750000000000002,21579,10,20,1.0,408.0148179616126,False,0.14707779931441853,8,3.763000000000001,9237,227,0,0.0,2270.0000000000005,False,-0.45381779884149553,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,39,6.179000000000001,-9763.0,650,0,0.0,10010.481583752411,False,-1.1508627709713606,0,0.2,51547,22,29,1.0,1497.8389195385037,False,0.08450507993963739,6,2.204,37605,454,0,0.0,6971.766794112754,False,-0.14786330857808053,0.3333333333333333,142486,0.0,0.0,15,0,0,4,8,59.18055555555556,24,28,10,132.0,33.0,9,6,10,760,0.9493103920249268,39.77788773609791
23,10,0,0,1,10.000000000000002,20,10.0,14.586791901830813,40,9.0,15.356314524477432,0,,40.00000000000001,20,40.0,6,0.935,21387,6,36,1.0,585.1245084659092,False,0.14163045045987124,66,4.415000000000001,7069,241,26,0.0,2789.2565894476015,False,-0.5543113062283411,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,0,6.1400000000000015,-32614.0,690,0,0.0,10064.88641226326,True,-1.8745776958451459,0,0.2,51947,12,29,1.0,1344.2757742937295,False,0.09120793610972112,10,2.2980000000000005,37459,454,0,0.0,6971.766794112754,False,-0.15089103508727775,0.3333333333333333,150143,0.0,0.125,13,0,0,1,16,265.22350427350426,22,23,8,90.0,29.0,5,5,8,600,0.6880792019655928,40.4659669380635
24,8,0,0,0,10.000000000000002,20,10.0,14.586791901830813,0,,15.356314524477432,0,,40.00000000000001,20,40.0,0,0.9290000000000003,21257,9,46,1.0,760.9924274842174,False,0.13941528245087467,0,4.349000000000001,6999,248,26,0.0,2859.2565894476015,False,-0.5561543815311321,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,0,6.1400000000000015,-32614.0,690,0,0.0,10064.88641226326,True,-1.8745776958451459,0,0.2,52427,2,27,1.0,1110.712629048955,False,0.09874030639191383,8,2.3680000000000008,37351,454,0,0.0,6971.766794112754,False,-0.15313072318997162,0.3333333333333333,150315,0.0,0.125,16,0,0,7,9,87.39903846153847,11,18,7,72.0,27.0,4,4,7,680,0.7210167610319331,41.186983699095435
25,7,0,0,0,10.000000000000002,20,10.0,14.586791901830813,0,,15.356314524477432,0,,40.00000000000001,20,40.0,0,0.9290000000000003,21167,8,56,1.0,896.8603465025255,False,0.138253300329187,0,4.349000000000001,6889,259,26,0.0,2969.2565894476015,False,-0.5590506427212322,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,0,6.1400000000000015,-32614.0,690,0,0.0,10064.88641226326,True,-1.8745776958451459,0,0.2,52867,0,18,0.2,720.0000000000001,False,0.10381369113042035,9,2.450000000000001,37217,454,0,0.0,6971.766794112754,False,-0.1559095954655362,0.19999999999999998,150421,0.0,0.125,17,0,0,7,14,110.49112426035504,15,22,6,39.0,12.0,3,4,6,640,0.7207013349980116,41.90768503409345
26,6,0,0,0,10.000000000000002,20,10.0,14.586791901830813,0,,15.356314524477432,0,,40.00000000000001,20,40.0,0,0.9290000000000003,21077,7,66,1.0,1032.7282655208337,False,0.13709131820749954,0,4.349000000000001,6779,270,26,0.0,3079.2565894476015,False,-0.5619469039113322,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,0,6.140000000000002,-32614.0,690,0,0.0,10064.88641226326,True,-1.8745776958451459,0,0.2,53107,0,12,0.0,480.0000000000001,False,0.10630223346674686,14,2.581000000000001,36941,454,0,0.0,6971.766794112754,False,-0.16163324283908714,0.16666666666666666,150185,0.0,0.125,11,0,0,1,13,13.0,19,20,7,18.0,15.0,1,5,7,440,0.556707832030952,42.4643928661244
27,7,0,0,0,10.000000000000002,20,10.0,14.586791901830813,0,,15.356314524477432,0,,40.00000000000001,20,40.0,0,0.9290000000000003,20987,6,76,1.0,1168.5961845391419,False,0.1359293360858121,0,4.349000000000001,6669,281,26,0.0,3189.2565894476015,False,-0.5648431651014323,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,0,6.1400000000000015,-32614.0,690,0,0.0,10064.88641226326,True,-1.8745776958451459,0,0.2,53507,0,2,0.0,80.00000000000001,False,0.11044980402729102,10,2.6670000000000007,36783,454,0,0.0,6971.766794112754,False,-0.16490982358191703,0.16666666666666666,150227,0.0,0.125,15,0,0,3,6,78.79910714285714,19,22,6,24.0,12.0,3,4,6,600,0.7341589090065099,43.19855177513091
28,6,0,0,0,10.000000000000002,20,10.0,14.586791901830813,0,,15.356314524477432,0,,40.00000000000001,20,40.0,0,0.9290000000000003,20907,4,86,1.0,1294.4641035574498,False,0.1350306504359519,0,4.349000000000001,6549,293,26,0.0,3309.2565894476015,False,-0.5680027227633596,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,0,6.1400000000000015,-32614.0,690,0,0.0,10064.88641226326,True,-1.8745776958451459,11,0.31000000000000005,53401,0,0,0.0,0.0,False,0.10742207751809378,7,2.7270000000000008,36693,454,0,0.0,6971.766794112754,False,-0.1667762303341619,0.16666666666666666,149831,0.0,0.125,11,0,0,5,15,243.06993006993008,17,22,5,30.0,3.0,5,1,5,280,0.6511704989825375,43.84972227411345
29,5,0,0,0,10.000000000000002,20,10.0,14.586791901830813,0,,15.356314524477432,0,,40.00000000000001,20,40.0,0,0.9290000000000003,20837,1,96,1.0,1410.332022575758,False,0.1343952612579188,0,4.349000000000001,6419,306,26,0.0,3439.2565894476015,False,-0.5714255768971143,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,0,6.1400000000000015,-32614.0,690,0,0.0,10064.88641226326,True,-1.8745776958451459,12,0.41900000000000004,53205,0,0,0.0,0.0,False,0.1033574583687605,8,2.8000000000000007,36597,454,0,0.0,6971.766794112754,False,-0.1687670642032231,0.16666666666666666,149339,0.0,0.125,9,0,0,2,6,6.0,18,20,5,21.0,9.0,2,3,5,200,0.6261677230359055,44.47588999714935
30,5,0,0,0,10.000000000000002,20,10.0,14.586791901830813,0,,15.356314524477432,0,,40.00000000000001,20,40.0,0,0.9290000000000003,20737,1,106,1.0,1556.199941594066,False,0.13296998266440407,0,4.349000000000001,6319,316,26,0.0,3539.2565894476015,False,-0.574058541615387,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,0,6.1400000000000015,-32614.0,690,0,0.0,10064.88641226326,True,-1.8745776958451459,12,0.5270000000000001,52993,0,0,0.0,0.0,False,0.09896103357458369,8,2.8720000000000008,36491,454,0,0.0,6971.766794112754,False,-0.1709652766003115,0.16666666666666666,148821,0.0,0.125,9,0,0,2,11,614.9629629629629,17,19,5,21.0,9.0,2,3,5,200,0.654577174980659,45.13046717213001
31,5,0,0,0,10.000000000000002,20,10.0,14.586791901830813,0,,15.356314524477432,0,,40.00000000000001,20,40.0,0,0.9290000000000003,20637,1,116,1.0,1702.0678606123743,False,0.13154470407088933,0,4.349000000000001,6219,326,26,0.0,3639.2565894476015,False,-0.5766915063336598,0,0.2,32281,0,0,0.0,0.0,False,0.023591337159526906,0,6.1400000000000015,-32614.0,690,0,0.0,10064.88641226326,True,-1.8745776958451459,10,0.6150000000000001,52843,0,0,0.0,0.0,False,0.09585035565417557,10,2.9640000000000004,36341,454,0,0.0,6971.766794112754,False,-0.1740759545207196,0.16666666666666666,148321,0.0,0.125,9,0,0,2,8,8.0,18,20,5,21.0,9.0,2,3,5,200,0.6093805599957705,45.73984773212578
