index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,30,0,0,0,10.000000000000002,20,10.0,19.90097506581607,10,23.0,24.64270952882765,26,35.76923076923077,36.0,8,36.0,0,1.1450000000000002,20689,1,20,1.0,408.0195013163214,False,0.10914740938887096,0,0.5960000000000001,20326,13,12,1.0,368.8117007897929,False,0.08883611245925031,0,0.2,39533,75,26,1.0,2133.283577685724,False,0.051422846346994934,6,3.086000000000001,23170,279,0,0.0,5552.372043362683,False,-0.3280627228030937,0,0.2,48328,0,10,0.0,360.0,False,0.0001030864070263695,8,1.8100000000000005,36538,448,0,0.0,11039.933868914786,False,-0.13287906037858704,0.5,188584,0.0,0.0,13,0,0,14,5,5.0,23,37,28,295.0,114.0,17,13,28,1270,1.4538100000354461,33.82371811114717
21,28,0,0,0,10.000000000000002,20,10.0,19.922380611917376,26,20.115384615384617,24.536162391584615,14,23.0,36.0,8,36.0,1,1.1550000000000002,21074,0,9,0.9,179.3014255072564,False,0.12351492874415394,0,0.5960000000000001,20246,15,17,1.0,488.68047040259546,False,0.08777088895266212,0,0.2,39491,79,31,1.0,2334.4891024805956,False,0.052940502181599916,9,3.1700000000000013,22723,291,0,0.0,5797.412758067956,False,-0.33646588338338485,0,0.2,48328,0,10,0.0,360.0,False,0.0001030864070263695,8,1.8820000000000006,36115,462,0,0.0,11335.707024912092,False,-0.13855115121835673,0.48333333333333334,187977,0.0,0.0,14,0,0,13,7,6.083333333333333,23,36,27,183.0,84.0,14,14,27,652,1.4940359799657017,35.317754091112874
22,27,0,0,0,10.000000000000002,20,10.0,19.786705142708044,15,17.666666666666668,24.536162391584615,0,,36.0,9,36.0,0,1.1540000000000004,20999,1,14,1.0,287.0138719979126,False,0.12239246886441352,0,0.5960000000000001,20386,14,17,1.0,476.3739874260368,False,0.09487641310787374,0,0.2,39456,74,41,1.0,2470.1988386153644,False,0.053791355966946806,0,3.1610000000000014,22493,301,0,0.0,5955.798247955121,False,-0.3403713905843072,0,0.2,48328,0,10,0.0,360.0,False,0.0001030864070263695,9,1.9640000000000004,36003,462,0,0.0,11335.707024912092,False,-0.1408602867357474,0.5,187665,0.0,0.0,15,0,0,11,4,4.0,24,35,19,207.0,81.0,14,13,19,465,1.2326212070183828,36.55037529813126
23,19,0,0,0,10.000000000000002,20,10.0,19.913009245705595,27,20.962962962962962,23.81050557859881,16,15.0,36.0,12,36.0,0,1.1540000000000004,21121,0,12,0.8,238.95611094846714,False,0.1275934626253773,0,0.5960000000000001,20630,17,10,1.0,369.130092457056,False,0.10498301461105944,0,0.2,39575,66,42,1.0,2314.299844517719,False,0.054854454919429765,7,3.231000000000001,21824,326,0,0.0,6491.641014100024,False,-0.35075826106981894,0,0.2,48328,0,10,0.0,360.0,False,0.0001030864070263695,12,2.0750000000000006,35579,478,0,0.0,11381.421666570232,False,-0.14913075823587998,0.4666666666666666,187057,0.0,0.0,17,0,0,12,7,7.0,17,29,18,117.0,74.0,9,10,18,901,1.0680422699660994,37.61841756809736
24,18,0,0,0,10.000000000000002,20,10.0,19.934722911105663,14,20.285714285714285,23.32650005144498,11,15.0,36.0,12,36.0,0,1.1540000000000001,21239,2,10,1.0,219.34722911105663,False,0.1333372413099501,0,0.5960000000000001,20596,15,18,1.0,508.825012399902,False,0.10688604906301169,0,0.2,39467,62,52,1.0,2448.9308231636905,False,0.05380083419438153,11,3.3340000000000005,21461,334,0,0.0,6658.197452309291,False,-0.358002311955388,0,0.2,48328,0,10,0.0,360.0,False,0.0001030864070263695,12,2.1830000000000007,35230,489,0,0.0,11406.658525156596,False,-0.1560660317386904,0.5,186321,0.0,0.0,14,0,0,8,7,7.0,25,33,21,147.0,56.0,9,9,21,484,1.8298496140050702,39.44826718210243
25,21,0,0,0,10.000000000000002,20,10.0,20.085231899081823,17,22.0,22.835315066646874,9,13.0,36.0,9,36.0,7,1.224,21347,6,10,1.0,260.8523189908182,False,0.14017232890032424,0,0.5960000000000001,20536,11,28,1.0,672.386493174291,False,0.10804232343723241,0,0.2,39467,52,62,1.0,2460.2215928843607,False,0.0539470346620962,9,3.4130000000000016,20916,351,0,0.0,7049.91639657772,False,-0.3670441239372026,0,0.2,48328,0,10,0.0,360.0,False,0.0001030864070263695,9,2.2610000000000006,34993,498,0,0.0,11371.986903190143,False,-0.16130974472517012,0.5,185587,0.0,0.0,12,0,0,9,7,6.411764705882353,20,29,22,165.0,92.0,10,11,22,200,0.9966134029673412,40.44488058506977
26,22,0,0,0,10.000000000000002,20,10.0,20.63678979987186,49,23.0,22.668695466328145,20,21.25,36.0,14,36.0,0,1.217,21431,6,12,1.0,307.6414775984623,False,0.14587358596375377,13,0.7260000000000002,21110,11,10,1.0,316.3678979987186,False,0.12906428566116462,0,0.2,39276,59,67,1.0,2736.3731944364254,False,0.052576438525359016,15,3.554000000000001,19848,383,0,0.0,7903.890493350922,False,-0.38364465616938265,0,0.2,48328,0,10,0.0,360.0,False,0.0001030864070263695,14,2.392000000000001,34318,518,0,0.0,11742.38425155798,False,-0.17140811649219662,0.5,184311,0.0,0.0,18,0,0,15,14,13.666666666666666,21,36,20,174.0,57.0,13,9,20,1159,1.1662763829808682,41.611156968050636
27,20,0,0,0,10.000000000000002,20,10.0,20.57720621282348,5,17.8,22.185964384510303,9,13.0,36.0,16,36.0,0,1.217,21386,5,19,1.0,440.9669180436461,False,0.14702359500036224,0,0.7130000000000001,21044,12,18,1.0,490.38971183082265,False,0.1301796918785057,0,0.2,39231,52,77,1.0,2778.333980674114,False,0.05195439452885111,9,3.6290000000000004,19633,385,0,0.0,7922.224391937039,False,-0.38897518527040664,0,0.2,48508,0,5,0.0,180.0,False,0.0019586417335010205,11,2.4880000000000004,34037,527,0,0.0,11692.00323063693,False,-0.1777209324099857,0.5,183839,0.0,0.0,14,0,0,8,6,6.0,24,32,23,168.0,86.0,11,9,23,469,0.8975458180066198,42.508702786057256
28,23,0,0,0,10.000000000000002,20,10.0,19.969842106685395,29,15.482758620689655,24.661097633898933,40,34.7,35.99999999999999,10,36.0,5,1.2670000000000001,21560,6,10,1.0,259.69842106685394,False,0.15144923345189926,0,0.7130000000000001,21029,11,23,1.0,569.3063684537641,False,0.1314781113885906,0,0.2,40094,69,55,1.0,2734.279475225733,False,0.0737333541620362,8,3.7000000000000015,19453,387,0,0.0,7728.328895287248,False,-0.39614739608319205,0,0.2,48508,0,5,0.0,179.99999999999997,False,0.0019586417335010205,10,2.577000000000001,32508,567,0,0.0,13982.842358420696,False,-0.18562931820278447,0.5,183152,0.0,0.0,15,0,0,11,7,6.2272727272727275,21,32,23,186.0,108.0,12,11,23,1587,1.0358693120069802,43.544572098064236
29,23,0,0,0,10.000000000000002,20,10.0,19.57005510550058,36,17.13888888888889,24.634286252572174,14,24.285714285714285,35.99999999999999,8,36.0,13,1.3920000000000001,21601,3,10,1.0,225.7005510550058,False,0.15272337821986007,0,0.7130000000000001,21171,14,20,1.0,531.4011021100116,False,0.1380103281337264,0,0.2,39682,95,60,1.0,3337.2124101768854,False,0.07087082936469785,9,3.782000000000001,19300,387,0,0.0,7573.611325828724,False,-0.4021130765288662,0,0.2,48508,0,5,0.0,179.99999999999997,False,0.0019586417335010205,8,2.6470000000000007,32078,581,0,0.0,14312.520312744433,False,-0.1910962176283485,0.5,182340,0.0,0.0,15,0,0,16,5,4.565217391304348,20,36,26,219.0,105.0,13,10,26,677,1.0308559500263073,44.575428048090544
