index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
18,37,0,0,0,10.000000000000002,20,10.0,18.883608717198303,12,26.0,35.594667707042454,22,18.181818181818183,33.99999999999999,10,34.0,0,0.35300000000000004,52559,17,44,1.0,1000.8787835567254,False,0.039993715905414846,0,2.1800000000000006,46614,177,0,0.0,1770.0000000000002,False,-0.0689939042317568,0,0.2,82291,4,70,1.0,2567.161174361765,False,0.014759535535653472,0,0.2,82638,75,28,1.0,2412.9213495870617,False,0.01803640980091468,0,0.44300000000000006,117635,64,14,1.0,2754.058733250717,False,-0.01781755232996875,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6666666666666666,502908,0.0,0.0,22,0,0,23,0,0.0,18,41,34,245.0,94.0,15,22,34,1252,2.052496775984764,47.392332630988676
19,34,0,0,0,10.000000000000002,20,10.0,18.711457648568246,53,18.169811320754718,35.92946169276312,5,43.8,33.99999999999999,14,34.0,0,0.35300000000000004,52859,17,36,1.0,843.6124753484569,False,0.04433262583888808,35,2.5300000000000007,46238,187,0,0.0,1870.0000000000002,False,-0.07538368058958428,0,0.2,82146,8,75,1.0,2844.4012881457797,False,0.014682070497127058,0,0.2,82039,104,38,1.0,3311.311139776096,False,0.016217481633920453,0,0.44300000000000006,117892,59,10,1.0,2459.838239873024,False,-0.01691065419996108,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6666666666666666,502345,0.0,0.0,26,0,0,19,2,2.0,17,36,32,201.0,81.0,12,22,32,1295,1.746687386999838,49.139020017988514
20,32,0,0,0,10.000000000000002,20,10.0,18.721508957584298,61,18.75409836065574,37.4984165685792,24,44.708333333333336,33.99999999999999,9,34.0,0,0.35300000000000004,53357,17,19,1.0,525.7086701941017,False,0.05097815196489642,34,2.835000000000001,45870,197,0,0.0,1970.0000000000005,False,-0.0816166526196123,0,0.2,83089,3,61,1.0,2343.5679375560844,False,0.023091392182736994,0,0.2,81025,150,48,1.0,4608.150338929447,False,0.011778617630917311,0,0.44300000000000006,117125,73,11,1.0,3111.384409506282,False,-0.020552011580715346,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6666666666666666,501637,0.0,0.0,25,0,0,13,2,2.0,19,32,25,144.0,102.0,8,24,25,2177,1.4569969619624317,50.596016979950946
21,25,0,0,0,10.000000000000002,20,10.0,19.029149302563578,12,25.0,37.4984165685792,0,,33.99999999999999,12,34.0,0,0.35300000000000004,53577,15,17,1.0,473.4955381435808,False,0.054778568162288425,0,2.801,45750,209,0,0.0,2090.0000000000005,False,-0.08279268507810815,0,0.2,82789,5,71,1.0,2757.5333228819413,False,0.021961979400441582,0,0.2,81025,140,58,1.0,4838.989063336494,False,0.013180035353370517,1,0.45300000000000007,117492,63,10,1.0,2702.40024382049,False,-0.019210866280626234,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6666666666666666,501804,0.0,0.0,17,0,0,19,1,0.5,14,33,25,102.0,63.0,9,16,25,840,1.4762741629965603,52.072291142947506
22,25,0,0,0,10.000000000000002,20,10.0,18.9389640819473,2,9.0,37.4984165685792,0,,33.99999999999999,10,34.0,0,0.35300000000000004,53477,15,27,1.0,661.3520302125771,False,0.05465955849989792,2,2.821000000000001,45626,219,0,0.0,2190.0000000000005,False,-0.08424312511025304,0,0.2,82789,0,76,0.5,2849.8796592120193,False,0.022522612338736626,0,0.2,81007,132,68,1.0,5049.8355854804295,False,0.014241525428189022,0,0.45200000000000007,117832,53,10,1.0,2327.4160781346977,False,-0.017952248978160196,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.5833333333333334,501902,0.0,0.0,15,0,0,20,1,1.0,16,36,20,138.0,57.0,11,14,20,540,2.2204239109996706,54.29271505394718
23,20,0,0,0,10.000000000000002,20,10.0,18.9389640819473,0,,37.67466486910858,4,43.0,33.99999999999999,6,34.0,0,0.35300000000000004,53347,18,37,1.0,880.7416710320501,False,0.0542615659953356,0,2.8190000000000004,45556,226,0,0.0,2260.0000000000005,False,-0.08492914404437563,0,0.2,82961,0,72,0.0,2712.575870575818,False,0.02377746130098605,0,0.2,81007,122,78,1.0,5249.17747778804,False,0.015451726452409782,0,0.452,117864,47,14,1.0,2246.7092488481035,False,-0.01802118803654293,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.5,501906,0.0,0.0,16,0,0,17,0,0.0,13,30,28,81.0,84.0,7,13,28,576,1.4161750289495103,55.70889008289669
24,28,0,0,0,10.000000000000002,20,10.0,18.499388880189848,16,13.0,36.70874850116061,5,15.0,33.99999999999999,7,34.0,0,0.35300000000000004,53245,20,45,1.0,1032.472499608543,False,0.053749313977229485,14,2.9590000000000005,45328,234,0,0.0,2340.0000000000005,False,-0.08861404574766263,0,0.2,82864,2,77,1.0,2863.572412349747,False,0.023516388083571614,0,0.2,80971,116,88,1.0,5376.298978204157,False,0.015786368084873357,0,0.45200000000000007,118027,42,17,1.0,2119.7674370487457,False,-0.017199794352407954,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6666666666666666,501606,0.0,0.0,18,0,0,20,3,3.0,17,37,31,190.0,108.0,12,16,31,531,1.9196015470079146,57.6284916299046
25,31,0,0,0,10.000000000000002,20,10.0,18.308017419395043,4,9.0,36.080138383823694,30,33.86666666666667,33.99999999999999,9,34.0,0,0.35300000000000004,53143,22,53,1.0,1190.3249232279372,False,0.053297055246358555,2,2.9650000000000007,45224,242,0,0.0,2420.0000000000005,False,-0.0898684803700582,0,0.2,83578,0,62,0.2,2236.968579797069,False,0.02838164972739515,0,0.2,81237,110,85,1.0,5080.693678758469,False,0.017221516038067826,0,0.45200000000000007,117317,62,18,1.0,2848.968579797069,False,-0.02005030667487652,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.5333333333333333,501670,0.0,0.0,19,0,0,19,1,1.0,19,38,36,247.0,105.0,16,15,36,1540,1.9790716920397244,59.607563321944326
26,36,0,0,0,10.000000000000002,20,10.0,18.093787549447264,35,17.0,37.793763796672394,30,44.766666666666666,33.99999999999999,9,34.0,0,0.35300000000000004,53063,20,63,1.0,1339.9086156151775,False,0.05319497261427287,35,3.313,44708,254,0,0.0,2540.0000000000005,False,-0.0988063270546267,0,0.2,83291,25,65,1.0,2908.939335519887,False,0.0289764284141374,0,0.2,82272,100,72,1.0,4530.529748305139,False,0.026448413338585493,0,0.45200000000000007,116280,82,19,1.0,3745.088631327136,False,-0.0249107103542632,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6666666666666666,500785,0.0,0.0,19,0,0,20,2,2.0,18,38,35,294.0,114.0,18,18,35,1849,2.0110022309818305,61.61856555292616
27,35,0,0,0,10.000000000000002,20,10.0,18.403695298515753,53,19.528301886792452,37.83152694102435,1,43.0,33.99999999999999,11,34.0,0,0.35300000000000004,53555,18,51,1.0,1118.5884602243034,False,0.06066944138678044,31,3.588000000000001,44232,266,0,0.0,2660.0000000000005,False,-0.10696015210019796,0,0.2,82969,30,75,1.0,3389.4753795322986,False,0.027984041692664375,0,0.2,81602,128,81,1.0,5420.026680432989,False,0.023713417358351776,0,0.45200000000000007,116611,73,18,1.0,3373.7014666947775,False,-0.023711525584938782,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6666666666666666,500140,0.0,0.0,23,0,0,18,3,3.0,22,40,32,222.0,138.0,14,21,32,1189,1.8440155549906194,63.462581107916776
28,32,0,0,0,10.000000000000002,20,10.0,18.01144733447255,53,16.37735849056604,37.88084356371194,1,44.0,33.99999999999999,10,34.0,0,0.35300000000000004,53819,20,41,1.0,938.4693407133745,False,0.06407876811299099,33,3.887000000000001,43747,274,0,0.0,2740.0000000000005,False,-0.11568239283404222,0,0.2,82893,29,85,1.0,3742.203675615219,False,0.029202659549139882,0,0.2,80854,162,90,1.0,6327.130388918627,False,0.020138238619450355,0,0.45200000000000007,116907,64,18,1.0,3036.3739880775643,False,-0.02266064492297015,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6666666666666666,499391,0.0,0.0,23,0,0,16,3,3.0,22,38,28,204.0,101.0,13,19,28,968,1.9251451820018701,65.38772628991865
29,28,0,0,0,10.000000000000002,20,10.0,18.219503590800304,17,21.235294117647058,38.09081523570403,4,44.0,33.99999999999999,11,34.0,0,0.35300000000000004,54062,20,36,1.0,855.902129268811,False,0.06803251856434674,2,3.8740000000000006,43623,284,0,0.0,2840.0000000000005,False,-0.1171328328661871,0,0.2,82875,21,95,1.0,4001.237022798689,False,0.030556690967585103,0,0.2,80687,167,96,1.0,6699.375362291237,False,0.020370423161349904,0,0.45200000000000007,117105,58,17,1.0,2787.2672836708334,False,-0.02205450444549093,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6666666666666666,499523,0.0,0.0,18,0,0,12,1,1.0,16,28,33,93.0,109.0,6,22,33,1093,1.8132033399888314,67.20092962990748
30,33,0,0,0,10.000000000000002,20,10.0,18.470134069853017,14,22.714285714285715,38.09081523570403,0,,33.99999999999999,9,34.0,0,0.35300000000000004,54300,18,32,1.0,771.0442902352966,False,0.07186581754087003,0,3.8720000000000008,43503,296,0,0.0,2960.0000000000005,False,-0.11830886532468296,0,0.2,82875,11,105,1.0,4202.707074517306,False,0.031779812009114346,0,0.2,80369,171,106,1.0,7196.019340929493,False,0.01952439527513379,0,0.45200000000000007,117411,48,18,1.0,2440.359131313793,False,-0.0209606294768806,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6666666666666666,499629,0.0,0.0,20,0,0,12,0,0.0,19,31,29,144.0,120.0,8,25,29,824,1.764100772968959,68.96503040287644
31,29,0,0,0,10.000000000000002,20,10.0,18.470134069853017,0,,38.09081523570403,0,,33.99999999999999,11,34.0,0,0.35300000000000004,54260,12,42,1.0,895.7456309338268,False,0.07230390277086801,0,3.8720000000000008,43343,312,0,0.0,3120.0000000000005,False,-0.11987690860267744,0,0.2,82875,1,115,1.0,4398.9138861758165,False,0.03297098001539486,0,0.2,80369,161,116,1.0,7392.226152588002,False,0.020715563281414308,0,0.452,117785,38,17,1.0,2025.4509789567528,False,-0.019586159316351406,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6666666666666666,499803,0.0,0.0,20,0,0,11,0,0.0,23,34,31,147.0,105.0,9,20,31,574,1.9405768779688515,70.90560728084529
32,31,0,0,0,10.000000000000002,20,10.0,18.470134069853017,0,,38.94270451008744,24,42.666666666666664,33.99999999999999,11,34.0,0,0.35300000000000004,54180,10,52,1.0,1060.446971632357,False,0.07234997718136725,0,3.872000000000001,43223,324,0,0.0,3240.0000000000005,False,-0.12105294106117329,0,0.2,83723,0,96,0.1,3738.499632968394,False,0.03925800236142008,0,0.2,80545,151,122,1.0,7540.000194778473,False,0.02374968245594569,0,0.45200000000000007,117135,52,16,1.0,2569.0206345245465,False,-0.022707493399722074,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.5166666666666667,499977,0.0,0.0,19,0,0,15,0,0.0,20,35,31,201.0,117.0,12,19,31,1598,2.171328913012985,73.07693619385827
