index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,33,0,0,0,10.000000000000002,20,10.0,31.693167830251138,34,37.794117647058826,28.001554157704764,0,,45.00000000000001,12,45.0,0,0.551,57289,6,18,1.0,630.4770209445205,False,0.08337700081759349,0,0.7310000000000001,56961,4,18,1.0,610.4770209445205,False,0.07702015215949039,0,0.47900000000000004,90920,27,30,1.0,1695.7621561479236,False,0.029491929212510332,0,2.0540000000000003,71091.0,270,0,0.0,8557.155314167807,False,-0.15447135757542818,0,0.2,125612,181,13,1.0,5653.281302544562,False,0.010198366010226952,0,0.2,126880,0,11,0.0,495.00000000000006,False,-0.00011404571266772585,0.6666666666666666,528753,0.0,0.0,18,0,0,20,0,0.0,14,34,27,180.0,126.0,15,18,27,2025,2.206246451474726,54.282860410399735
21,27,0,0,0,10.000000000000002,20,10.0,31.73145857418161,1,40.0,26.366351687523302,12,1.5833333333333333,45.00000000000001,10,45.0,0,0.5510000000000002,57189,6,28,1.0,948.4808400770851,False,0.08448666415975895,0,0.7310000000000001,56901,4,27,1.0,896.7493815029035,False,0.0785837146330039,0,0.47900000000000004,90920,17,40,1.0,1594.0888632620195,False,0.028921621642951086,12,2.174000000000001,70503.0,271,0,0.0,8599.225273603215,False,-0.16083181731002577,0,0.2,126043,183,13,1.0,5410.042358816764,False,0.0126317124113856,0,0.2,126880,0,11,0.0,495.00000000000006,False,-0.00011404571266772585,0.6666666666666666,528436,0.0,0.0,16,0,0,17,3,3.0,16,33,19,141.0,94.0,10,17,19,690,1.6553115537390113,55.938171964138746
22,19,0,0,0,10.000000000000002,20,10.0,32.07630122261388,35,34.0,27.27290615080263,14,38.57142857142857,45.0,12,45.0,0,0.5510000000000002,57803,8,15,1.0,561.1445183392082,False,0.09239194785070062,0,0.7310000000000001,57277,2,25,1.0,821.907530565347,False,0.0849514540874288,0,0.47900000000000004,90946,24,40,1.0,1860.7474753748384,False,0.030709046968077042,4,2.2020000000000004,69663.0,289,0,0.0,9270.05105333541,False,-0.1664924945683964,0,0.2,126043,187,11,1.0,5595.0334502000915,False,0.013359210371868092,0,0.2,126880,0,11,0.0,495.0,False,-0.00011404571266772585,0.6666666666666666,528612,0.0,0.0,23,0,0,15,1,1.0,14,29,18,84.0,91.0,7,12,18,2450,1.8901943238452077,57.828366287983954
23,18,0,0,0,10.000000000000002,20,10.0,32.29007110451371,30,33.766666666666666,25.97721776700926,9,1.5555555555555556,45.0,9,45.0,15,0.7010000000000001,58346,9,10,1.0,412.9007110451371,False,0.10121025287323103,0,0.7310000000000001,57187,1,35,1.0,1140.1524886579798,False,0.08625145745479666,0,0.47900000000000004,90453,31,50,1.0,2299.853092590388,False,0.02764139766314619,9,2.2880000000000007,68756.0,302,0,0.0,9751.60147356314,False,-0.1739664934901494,0,0.2,126434,186,12,1.0,5371.762504663722,False,0.015556474275470442,0,0.2,126880,0,11,0.0,495.0,False,-0.00011404571266772585,0.6666666666666666,528056,0.0,0.0,16,0,0,11,3,2.8823529411764706,23,34,27,121.0,69.0,9,9,27,1125,2.0312653463333845,59.85963163431734
24,27,0,0,0,10.000000000000002,20,10.0,32.07130010528087,52,31.173076923076923,28.240922875834038,21,45.57142857142857,45.00000000000001,9,45.0,22,0.9060000000000001,58615,8,10,1.0,400.7130010528087,False,0.10615479303617391,0,0.7310000000000001,57706,2,25,1.0,821.7825026320218,False,0.09301858628417765,0,0.47900000000000004,90411,53,41,1.0,2857.6567434890812,False,0.030299065187454927,2,2.2990000000000004,68051.0,322,0,0.0,10326.95863390044,False,-0.17864818634996776,0,0.2,125882,197,13,1.0,6148.461806539305,False,0.014269328021186157,0,0.2,126880,0,11,0.0,495.00000000000006,False,-0.00011404571266772585,0.6666666666666666,527545,0.0,0.0,21,0,0,15,4,3.411764705882353,22,37,29,194.0,72.0,15,12,29,2184,2.295194144360721,62.15482577867806
25,29,0,0,0,10.000000000000002,20,10.0,32.07130010528087,0,,28.240922875834038,0,,45.00000000000001,12,45.0,0,0.8840000000000001,58545,5,20,1.0,691.4260021056174,False,0.10757204117005144,0,0.7310000000000001,57576,5,35,1.0,1172.4955036848305,False,0.09387161708153717,0,0.47900000000000004,90411,43,51,1.0,2819.3529711946135,False,0.030084211014228358,0,2.2970000000000006,68051.0,322,0,0.0,10326.95863390044,False,-0.17864818634996776,0,0.2,126422,187,11,1.0,5776.052577780965,False,0.017052007117164144,0,0.2,126880,0,11,0.0,495.00000000000006,False,-0.00011404571266772585,0.6666666666666666,527885,0.0,0.0,17,0,0,14,0,0.0,24,38,29,189.0,104.0,17,12,29,740,2.555750529281795,64.71057630795985
26,29,0,0,0,10.000000000000002,20,10.0,32.38929683178914,36,34.5,27.5516693900521,5,5.0,45.0,9,45.0,0,0.8840000000000001,58435,6,30,1.0,1031.6789049536742,False,0.10870285404594304,1,0.7410000000000001,58704,4,10,1.0,363.89296831789136,False,0.10748239612117401,0,0.47900000000000004,89947,49,61,1.0,3267.7273775508456,False,0.02739388694931989,5,2.3470000000000004,67093.0,342,0,0.0,11077.139516471885,False,-0.1851875188387132,0,0.2,126802,182,12,1.0,5554.4038289894825,False,0.01916913305197921,0,0.2,126880,0,11,0.0,495.0,False,-0.00011404571266772585,0.6666666666666666,527861,0.0,0.0,20,0,0,14,2,1.0625,19,33,30,176.0,114.0,13,16,30,1383,2.2496628491207957,66.96023915708065
27,30,0,0,0,10.000000000000002,20,10.0,32.31490484680803,14,31.0,27.5516693900521,0,,45.0,11,45.0,0,0.8840000000000001,58345,5,40,1.0,1342.596193872321,False,0.10993395078024035,4,0.78,58932,5,10,1.0,373.14904846808025,False,0.11185748856019337,0,0.47900000000000004,89513,53,71,1.0,3668.8584835745246,False,0.02477511798188519,0,2.342000000000001,67093.0,342,0,0.0,11051.697457608345,False,-0.1853302288694715,0,0.2,127297,172,11,1.0,5233.887135088961,False,0.02180195031967787,0,0.2,126880,0,11,0.0,495.0,False,-0.00011404571266772585,0.6666666666666666,528060,0.0,0.0,15,0,0,17,1,0.2857142857142857,20,37,29,181.0,80.0,16,14,29,695,2.3188090873882174,69.27904824446887
28,29,0,0,0,10.000000000000002,20,10.0,31.595863294028124,49,28.142857142857142,28.299234812164187,42,31.0,45.0,9,45.0,1,0.8940000000000001,59420,7,10,1.0,385.95863294028123,False,0.1211558803947667,0,0.776,59012,3,12,1.0,409.1503595283375,False,0.11370061085486773,0,0.47900000000000004,90264,62,56,1.0,3543.700673710938,False,0.03249812469127393,17,2.512000000000001,65499.0,372,0,0.0,11753.661145378463,False,-0.1992749461774394,0,0.2,126400,204,12,1.0,6313.043901681494,False,0.018990750112793147,0,0.2,126880,0,11,0.0,495.0,False,-0.00011404571266772585,0.6666666666666666,527475,0.0,0.0,22,0,0,20,3,2.2,19,39,33,214.0,105.0,18,11,33,3129,2.224687366746366,71.50373561121523
29,33,0,0,0,10.000000000000002,20,10.0,31.911952612900997,10,40.0,28.654127936584477,17,32.294117647058826,44.99999999999999,7,45.0,0,0.8930000000000002,59700,9,10,1.0,409.11952612900996,False,0.12663970516004036,0,0.7760000000000002,58932,1,22,1.0,712.062957483822,False,0.11504450694442293,0,0.47900000000000004,90764,52,56,1.0,3264.0527003195825,False,0.036538735572081746,7,2.565000000000001,64861.0,382,0,0.0,12190.36589812818,False,-0.20398273540129352,0,0.2,126166,211,15,1.0,6721.0209946193245,False,0.018754703381334732,0,0.2,126880,0,11,0.0,494.99999999999994,False,-0.00011404571266772585,0.6666666666666666,527303,0.0,0.0,16,0,0,11,1,1.0,25,36,29,174.0,120.0,13,20,29,1415,1.8713582465425134,73.37509385775775
