index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,18,0,0,0,10.000000000000002,20,10.0,9.006150528380878,47,7.212765957446808,15.528066206226388,22,16.454545454545453,36.00000000000001,12,36.0,0,0.32600000000000007,21366,0,19,0.9,171.11686003923668,False,0.018254067025187115,47,2.515,13992.0,118,0,0.0,1180.0000000000002,False,-0.3078274077941805,0,0.2,28514,87,52,1.0,1590.9945386929087,False,0.0014178375477126946,17,2.134000000000001,21613.0,190,0,0.0,1711.168600392367,False,-0.23231569290022605,0,0.2,45130,0,1,0.0,36.00000000000001,False,0.00013291391608701432,12,1.0310000000000001,40471,232,0,0.0,3602.511359844522,False,-0.06357149262499981,0.31666666666666665,171086,0.0,0.0,11,0,0,14,14,14.0,21,35,13,230.0,39.0,15,3,13,375,1.6750534040038474,35.55988155090017
11,13,0,0,0,10.000000000000002,20,10.0,8.967185010735731,45,8.755555555555556,15.956335768372805,38,17.657894736842106,36.00000000000001,10,36.0,2,0.34600000000000003,21602,0,9,0.9,80.70466509662158,False,0.02731059631406043,24,2.7080000000000006,13336.0,129,0,0.0,1290.0000000000002,False,-0.33635543741396495,0,0.2,28657,90,52,1.0,1636.7761109216017,False,0.007085829419871546,28,2.3970000000000007,20675.0,222,0,0.0,1990.7150723833324,False,-0.2595887134005854,0,0.2,45130,0,1,0.0,36.00000000000001,False,0.00013291391608701432,10,1.1190000000000002,39670,270,0,0.0,4308.210657460657,False,-0.07349906232044816,0.31666666666666665,169070,0.0,0.0,14,0,0,13,12,11.4,15,28,15,132.0,57.0,9,4,15,792,1.1640791529789567,36.72396070387913
12,15,0,0,0,10.000000000000002,20,10.0,8.14372978570398,59,4.508474576271187,16.232540726076238,13,19.846153846153847,36.00000000000001,9,36.0,8,0.42400000000000004,21527,0,5,0.5,40.718648928519904,False,0.0228015058842864,42,3.104000000000001,12139.0,144,0,0.0,1440.0000000000002,False,-0.3896140883846775,0,0.2,28698,113,57,1.0,1845.4962871708954,False,0.012052348762657034,8,2.449000000000001,20402.0,248,0,0.0,2019.6449868545872,False,-0.2684220823620577,0,0.2,45130,0,1,0.0,36.00000000000001,False,0.00013291391608701432,9,1.199,39293,283,0,0.0,4593.809025479575,False,-0.07868715358779443,0.25,167189,0.0,0.0,9,0,0,9,11,10.470588235294118,21,30,17,162.0,42.0,11,4,17,370,1.1786953829578124,37.90265608683694
13,17,0,0,0,10.000000000000002,20,10.0,8.231593588026536,55,8.690909090909091,15.87381926644257,15,11.933333333333334,36.0,9,36.0,35,0.7660000000000002,21137,0,10,1.0,82.31593588026536,False,0.00527640233256434,15,3.212000000000001,11733.0,154,0,0.0,1540.0000000000002,False,-0.4065125551810889,0,0.2,28473,118,67,1.0,2034.8739342387835,False,0.007600005709969682,15,2.5910000000000006,19845.0,288,0,0.0,2370.6989533516426,False,-0.2814558741056504,0,0.2,45130,0,1,0.0,36.0,False,0.00013291391608701432,9,1.2800000000000002,38996,298,0,0.0,4730.398141399886,False,-0.08375350957644893,0.3333333333333333,165314,0.0,0.0,9,0,0,11,12,11.5,20,31,17,194.0,75.0,12,5,17,200,1.3724899800145067,39.27514606685145
14,17,0,0,0,10.000000000000002,20,10.0,7.5693115102551385,60,4.166666666666667,17.950465153568786,20,34.75,36.0,8,36.0,0,0.7310000000000001,21063,3,12,1.0,120.83173812306165,False,0.0026779260958622263,52,3.7170000000000014,10121.0,161,0,0.0,1610.0000000000002,False,-0.48136896568092274,0,0.2,29066,122,57,1.0,1946.6325180045476,False,0.02635356905160151,0,2.5760000000000005,19697.0,334,0,0.0,2528.150044425216,False,-0.2838227749688189,0,0.2,45130,0,1,0.0,36.0,False,0.00013291391608701432,8,1.3510000000000002,38206,318,0,0.0,5708.247918834873,False,-0.09042302158926409,0.3333333333333333,163283,0.0,0.0,12,0,0,9,11,11.0,18,27,17,142.0,67.0,9,8,17,951,1.3081448070006445,40.58329087385209
15,17,0,0,0,10.000000000000002,20,10.0,7.627463940534913,41,8.097560975609756,17.66530182546926,7,11.0,36.0,12,36.0,0,0.7310000000000001,21175,6,11,1.0,143.90210334588406,False,0.008541845145153198,30,3.9650000000000007,9601.0,168,0,0.0,1680.0000000000002,False,-0.5043907533108654,0,0.2,28824,123,67,1.0,2121.7532869922347,False,0.021076829421078244,7,2.646000000000001,19488.0,364,0,0.0,2776.3968743547084,False,-0.2867227539573133,0,0.2,45130,0,1,0.0,36.0,False,0.00013291391608701432,12,1.4630000000000003,37950,325,0,0.0,5741.22309327751,False,-0.09572877704490815,0.3333333333333333,162168,0.0,0.0,11,0,0,8,7,7.0,19,27,19,155.0,84.0,9,8,19,442,1.2679231039946899,41.85121397784678
16,19,0,0,0,10.000000000000002,20,10.0,8.010551684706686,56,10.303571428571429,16.961035690772054,22,12.045454545454545,36.0,12,36.0,31,1.0410000000000001,20912,5,10,1.0,130.10551684706687,False,-0.004269579986541267,14,4.075000000000001,9262.0,179,0,0.0,1790.0000000000002,False,-0.5178715526653059,0,0.2,28433,140,77,1.0,2427.476984048384,False,0.012940361214438737,22,2.8590000000000004,18767.0,393,0,0.0,3148.1468120897275,False,-0.30500637535722075,0,0.2,45130,0,1,0.0,36.0,False,0.00013291391608701432,12,1.5710000000000002,37494,347,0,0.0,5885.479384697903,False,-0.10423242894978178,0.3333333333333333,159998,0.0,0.0,9,0,0,12,15,14.923076923076923,18,30,15,178.0,36.0,12,7,15,272,1.3447497300221585,43.19596370786894
17,15,0,0,0,10.000000000000002,20,10.0,8.471449565203676,27,14.481481481481481,18.113909266957947,25,25.4,36.0,9,36.0,16,1.1700000000000002,20904,6,10,1.0,144.71449565203676,False,-0.004302594207717399,1,4.071000000000001,9155.0,188,0,0.0,1880.0000000000002,False,-0.5208145440736697,0,0.2,28568,156,72,1.0,2625.7475993927455,False,0.020940064223601607,10,2.9370000000000007,18596.0,394,0,0.0,3337.751128690248,False,-0.30760982764981815,0,0.2,45130,0,1,0.0,36.0,False,0.00013291391608701432,9,1.6490000000000002,36740,372,0,0.0,6738.374247308357,False,-0.11148847805471229,0.3333333333333333,159093,0.0,0.0,11,0,0,10,8,7.615384615384615,19,29,16,127.0,48.0,9,6,16,725,1.3419703890103847,44.537934096879326
18,16,0,0,0,10.000000000000002,20,10.0,8.796464956283993,24,13.416666666666666,18.113909266957947,0,,36.0,8,36.0,0,1.1540000000000004,21074,2,10,1.0,107.96464956283992,False,0.0028946848047382246,14,4.210000000000001,8831.0,202,0,0.0,2020.0000000000005,False,-0.5328713153272892,0,0.2,28476,160,82,1.0,2892.7749528959903,False,0.022358462363263467,0,2.9270000000000014,18366.0,404,0,0.0,3553.771842338733,False,-0.3117778488052013,0,0.2,45130,0,1,0.0,36.0,False,0.00013291391608701432,8,1.7200000000000002,36641,372,0,0.0,6738.374247308357,False,-0.11368155767014804,0.3333333333333333,158518,0.0,0.0,11,0,0,12,6,6.0,18,30,17,145.0,48.0,10,6,17,430,1.458445753029082,45.99637984990841
19,17,0,0,0,10.000000000000002,20,10.0,9.29792603679563,51,12.529411764705882,18.38477427089067,27,20.037037037037038,36.0,9,36.0,12,1.2740000000000002,21283,0,9,0.9,83.68133433116067,False,0.012239078519275614,29,4.4860000000000015,8092.0,215,0,0.0,2150.0000000000005,False,-0.5648644799924052,0,0.2,28443,182,82,1.0,3199.774028909839,False,0.026475571082920535,17,3.0970000000000004,17745.0,423,0,0.0,3933.0227135645514,False,-0.32651662714287694,0,0.2,45130,0,1,0.0,36.0,False,0.00013291391608701432,9,1.802,35981,399,0,0.0,7335.524934085377,False,-0.1216879520835876,0.31666666666666665,156674,0.0,0.0,11,0,0,14,13,12.09090909090909,17,31,15,183.0,16.0,12,5,15,545,1.5407638530014083,47.537143702909816
20,15,0,0,0,10.000000000000002,20,10.0,9.8927907364205,105,11.82857142857143,19.149402259720915,34,23.029411764705884,36.0,10,36.0,37,1.6320000000000001,21137,2,10,1.0,118.927907364205,False,0.006145343602890844,59,5.047000000000002,6276.0,223,0,0.0,2230.0000000000005,False,-0.6491669435610196,0,0.2,28465,209,76,1.0,3522.9478356506743,False,0.03274818634089575,18,3.2600000000000007,16670.0,491,0,0.0,4857.360251582465,False,-0.3474552369211687,0,0.2,45130,0,1,0.0,36.0,False,0.00013291391608701432,10,1.893,35059,433,0,0.0,8291.691178459156,False,-0.13152174052479787,0.3333333333333333,152737,0.0,0.0,12,0,0,11,14,13.818181818181818,18,29,18,165.0,45.0,10,5,18,930,1.3054390589823015,48.84258276189212
21,18,0,0,0,10.000000000000002,20,10.0,10.631194814631723,24,23.0,20.737775110769544,81,24.382716049382715,36.0,12,36.0,14,1.7350000000000003,21341,0,8,0.8,85.04955851705378,False,0.01502467267567879,0,4.988000000000001,6136.0,237,0,0.0,2370.0000000000005,False,-0.652489675796269,0,0.2,29842,208,38,1.0,2999.323975652641,False,0.0708508264256635,33,3.5720000000000014,15345.0,506,0,0.0,5379.384576203652,False,-0.38380851824170337,0,0.2,45130,0,1,0.0,36.0,False,0.00013291391608701432,12,2.0030000000000006,32908,514,0,0.0,10659.216406935546,False,-0.15294829197935902,0.3,150702,0.0,0.0,14,0,0,12,12,11.88888888888889,19,31,19,166.0,33.0,12,6,19,1991,1.501972815953195,50.34455557784531
22,19,0,0,0,10.000000000000002,20,10.0,11.37870990112927,38,18.92105263157895,18.929201906171595,65,12.246153846153845,36.0,10,36.0,21,1.9310000000000005,21433,0,9,0.9,102.40838911016343,False,0.01980368322756353,9,5.078000000000002,5909.0,248,0,0.0,2480.0000000000005,False,-0.6606541035743105,0,0.2,29473,226,38,1.0,3290.8981100897354,False,0.06322430829044923,55,4.089000000000001,12825.0,516,0,0.0,5871.414308982703,False,-0.46150378725941804,0,0.2,45130,0,1,0.0,36.0,False,0.00013291391608701432,10,2.091,31983,579,0,0.0,10960.007903673353,False,-0.17010757272968244,0.31666666666666665,146753,0.0,0.0,9,0,0,11,15,14.2,17,28,23,177.0,65.0,11,8,23,320,1.5304608970182016,51.875016474863514
23,23,0,0,0,10.000000000000002,20,10.0,11.700097170226632,63,13.634920634920634,17.56571384167122,61,11.426229508196721,36.0,12,36.0,26,2.1700000000000004,21446,2,10,1.0,137.00097170226633,False,0.021241775566105032,28,5.349000000000002,5367.0,256,0,0.0,2560.0000000000005,False,-0.6844828404613851,0,0.2,28944,268,40,1.0,3838.254595287586,False,0.05450072767677306,53,4.564000000000001,10346.0,527,0,0.0,6165.951208709435,False,-0.5411720785719996,0,0.2,45130,0,1,0.0,36.0,False,0.00013291391608701432,12,2.201000000000001,31109,640,0,0.0,11242.05685866958,False,-0.18634468057829087,0.3333333333333333,142342,0.0,0.0,10,0,0,16,18,17.18181818181818,19,35,12,190.0,28.0,15,8,12,288,2.6867389600374736,54.56175543490099
24,12,0,0,0,10.000000000000002,20,10.0,11.782667000028415,50,12.44,16.67778704318666,52,11.51923076923077,36.0,10,36.0,16,2.3040000000000007,21588,2,10,1.0,137.82667000028414,False,0.02800177220297826,24,5.561000000000002,4755.0,266,0,0.0,2660.0000000000005,False,-0.711159633550102,0,0.2,28680,292,50,1.0,4274.42811616763,False,0.05293200963796012,52,5.0310000000000015,7825.0,543,0,0.0,6397.988181015429,False,-0.6233431020053397,0,0.2,45130,0,1,0.0,36.0,False,0.00013291391608701432,10,2.289000000000001,30370,692,0,0.0,11541.02863388517,False,-0.19940378545605897,0.3333333333333333,138348,0.0,0.0,9,0,0,7,18,18.0,17,24,7,87.0,18.0,6,6,7,420,0.8219418210210279,55.383697255922016
25,7,0,0,0,10.000000000000002,20,10.0,11.286623822914185,28,4.142857142857143,16.347266343833265,24,11.958333333333334,36.0,8,36.0,0,2.2880000000000007,21518,0,19,0.9,214.44585263536953,False,0.026497504453300662,28,5.817000000000002,4145.0,279,0,0.0,2790.0000000000005,False,-0.737029477381687,0,0.2,28610,287,60,1.0,4220.097017806367,False,0.0496121535090605,24,5.219000000000001,7178.0,566,0,0.0,6388.229083769429,False,-0.6456158759776986,0,0.2,45130,0,1,0.0,36.0,False,0.00013291391608701432,8,2.359000000000001,29990,716,0,0.0,11704.642702184618,False,-0.20600945126285258,0.31666666666666665,136571,0.0,0.0,10,0,0,5,8,8.0,15,20,7,72.0,9.0,4,3,7,200,0.6469284130143933,56.03062566893641
26,7,0,0,0,10.000000000000002,20,10.0,10.6332388586665,102,8.147058823529411,16.864892702328298,27,22.77777777777778,36.0,12,36.0,0,2.288000000000001,21614,0,17,0.9,180.7650605973305,False,0.03025502113726046,91,6.6990000000000025,702.0,290,0,0.0,2900.0000000000005,False,-0.89784971756776,0,0.2,28503,341,58,1.0,4604.098227540318,False,0.05251636988417922,15,5.3450000000000015,6586.0,604,0,0.0,6422.476270634566,False,-0.6652576829534891,0,0.2,45130,0,1,0.0,36.0,False,0.00013291391608701432,12,2.471000000000001,29184,743,0,0.0,12530.615277829926,False,-0.2147156165230835,0.31666666666666665,131719,0.0,0.0,14,0,0,6,15,15.0,17,23,10,72.0,24.0,4,3,10,806,0.7933534629992209,56.82397913193563
27,10,0,0,0,10.000000000000002,20,10.0,10.970686270540112,29,16.103448275862068,15.846566441835305,69,11.391304347826088,35.99999999999999,13,36.0,2,2.3080000000000007,21905,0,10,1.0,109.70686270540112,False,0.042381612538695664,10,6.708000000000001,462.0,300,0,0.0,3000.0000000000005,False,-0.9068685622062942,0,0.2,28701,331,50,1.0,4423.625477640542,False,0.056198330559664826,51,5.840000000000002,4038.0,633,0,0.0,6944.444409251891,False,-0.7433981753237001,0,0.2,45130,0,1,0.0,35.99999999999999,False,0.00013291391608701432,13,2.589000000000001,28187,812,0,0.0,12867.411950770267,False,-0.2330710651857442,0.3333333333333333,128423,0.0,0.0,11,0,0,8,15,14.222222222222221,19,27,10,111.0,9.0,7,3,10,618,0.9211228200001642,57.745101951935794
28,10,0,0,0,10.000000000000002,20,10.0,10.970686270540112,0,,16.00198839470771,61,16.852459016393443,36.0,9,36.0,0,2.306000000000001,21805,0,20,1.0,219.41372541080224,False,0.04023861312504863,0,6.698000000000001,362.0,310,0,0.0,3100.0000000000005,False,-0.9092419423743295,0,0.2,29301,321,38,1.0,4129.665851842268,False,0.07167667506905613,39,6.179000000000001,2687.0,633,0,0.0,6944.444409251891,False,-0.7895578035866494,0,0.2,45130,0,1,0.0,36.0,False,0.00013291391608701432,9,2.666000000000001,27044,873,0,0.0,13969.73586857983,False,-0.24618165047428311,0.3333333333333333,126329,0.0,0.0,12,0,0,11,10,10.0,15,26,16,129.0,21.0,8,2,16,800,0.9711017920053564,58.71620374394115
29,16,0,0,0,10.000000000000002,20,10.0,11.412632061652157,17,22.41176470588235,15.681787059574635,29,11.758620689655173,36.0,9,36.0,0,2.306000000000001,22086,0,13,1.0,148.36421680147805,False,0.05189073472258693,0,6.698000000000001,262.0,320,0,0.0,3200.0000000000005,False,-0.9116153225423649,0,0.2,29333,321,27,1.0,4086.8631423988577,False,0.07203879907063782,8,6.2200000000000015,2383.0,640,0,0.0,7304.084519457381,False,-0.7938006607992111,0,0.2,45130,0,1,0.0,36.0,False,0.00013291391608701432,9,2.7470000000000008,26584,902,0,0.0,14144.97192773632,False,-0.2544307748024421,0.3333333333333333,125778,0.0,0.0,12,0,0,13,7,7.0,20,33,17,188.0,22.0,14,2,17,833,1.210517784988042,59.92672152892919
30,17,0,0,0,10.000000000000002,20,10.0,11.698716755245194,11,22.0,15.814785021301633,54,16.666666666666668,36.0,9,36.0,0,2.306000000000001,22208,2,12,1.0,160.38460106294232,False,0.05796707174877634,0,6.698000000000001,182.0,328,0,0.0,3280.0000000000005,False,-0.913514026676793,0,0.2,29632,322,13,1.0,3972.5790004658734,False,0.08030236094823477,30,6.512000000000002,1550.0,640,0,0.0,7487.178723356924,False,-0.8191338881482008,0,0.2,45130,0,1,0.0,36.0,False,0.00013291391608701432,9,2.8280000000000007,25569,956,0,0.0,15118.934480364362,False,-0.26612761419117054,0.3333333333333333,124271,0.0,0.0,13,0,0,14,9,9.0,19,33,14,204.0,24.0,14,3,14,983,1.0304016409791075,60.9571231699083
31,14,0,0,0,10.000000000000002,20,10.0,12.227944389638926,18,23.0,15.814785021301633,0,,36.0,9,36.0,6,2.366000000000001,22464,0,7,0.7,85.59561072747249,False,0.06834375114462135,0,6.698000000000001,32.0,343,0,0.0,3430.0000000000005,False,-0.9170740969288461,0,0.2,29425,321,23,1.0,4288.910204564033,False,0.07863383566632555,0,6.482000000000002,1343.0,649,0,0.0,7935.935908875663,False,-0.8185401136245104,0,0.2,45130,0,1,0.0,36.0,False,0.00013291391608701432,9,2.9090000000000007,25456,956,0,0.0,15118.934480364362,False,-0.2686308262774759,0.2833333333333333,123850,0.0,0.0,11,0,0,10,5,4.666666666666666,17,27,16,111.0,24.0,9,5,16,407,0.931208519032225,61.888331688940525
