index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,16,0,0,0,10.000000000000002,20,10.0,5.498132166062141,5,3.2,23.62976580151582,74,29.81081081081081,43.99999999999999,9,44.0,1,0.5070000000000001,51412,202,0,0.0,2020.0000000000005,False,-0.033072028036521255,4,0.7530000000000001,50555,218,0,0.0,2180.0000000000005,False,-0.04740385502167297,0,0.2,78620,0,22,0.5,519.8548476333481,False,0.029562454138441153,70,5.175000000000001,62547,0,0,0.0,0.0,False,-0.18361939567969718,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,91677,438,18,1.0,11141.837421063929,False,-0.017826763045943887,0.25,433824,0.0,0.0,16,0,0,16,4,4.0,15,31,20,157.0,90.0,11,5,20,772,1.811131464317441,39.99475554097444
21,20,0,0,0,10.000000000000002,20,10.0,5.404449165481786,1,1.0,22.731519233210893,38,15.368421052631579,44.0,9,44.0,1,0.516,51278,213,0,0.0,2130.0000000000005,False,-0.03452918933874389,0,0.7490000000000001,50465,227,0,0.0,2270.0000000000005,False,-0.04823388361154662,0,0.2,78619,0,23,0.1,522.8249423638505,False,0.029568785109729573,38,5.485000000000001,61110,0,0,0.0,0.0,False,-0.2023755139333029,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,91489,466,19,1.0,11428.887962676275,False,-0.018275943751445443,0.18333333333333335,431974,0.0,0.0,17,0,0,22,4,4.0,19,41,21,207.0,108.0,14,6,21,596,2.1738195726647973,42.168575113639235
22,21,0,0,0,10.000000000000002,20,10.0,5.026282948828743,13,3.769230769230769,22.30701185030772,18,14.88888888888889,44.0,12,44.0,6,0.5750000000000001,51090,221,0,0.0,2210.0000000000005,False,-0.037259061145439455,7,0.8190000000000002,50165,239,0,0.0,2390.0000000000005,False,-0.052660702757539424,0,0.2,78698,3,25,1.0,572.7541451041793,False,0.030925759610416863,10,5.5470000000000015,60900,0,0,0.0,0.0,False,-0.20511649154865236,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,91749,474,17,1.0,11321.52361704586,False,-0.01619219891809224,0.3333333333333333,431615,0.0,0.0,18,0,0,17,4,4.0,17,34,20,154.0,165.0,11,10,20,856,2.258741286583245,44.42731640022248
23,20,0,0,0,10.000000000000002,20,10.0,4.754094354957126,5,2.0,21.737687119188067,29,15.862068965517244,44.00000000000001,11,44.0,5,0.6190000000000001,50875,231,0,0.0,2310.0000000000005,False,-0.04030249930830951,0,0.812,50065,249,0,0.0,2490.0000000000005,False,-0.05358295674628793,0,0.2,78924,0,20,0.8,434.75374238376133,False,0.03297496405654091,16,5.697000000000002,60480,0,0,0.0,0.0,False,-0.2105984467793513,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,91773,493,16,1.0,11420.679749759716,False,-0.015449083707393327,0.3,431130,0.0,0.0,17,0,0,18,3,3.0,18,36,17,202.0,129.0,12,8,17,920,1.5369729939848185,45.9642893942073
24,17,0,0,0,10.000000000000002,20,10.0,4.4261271311425805,8,2.375,20.872926504332128,59,16.54237288135593,44.00000000000001,9,44.0,3,0.6440000000000001,50689,243,0,0.0,2430.0000000000005,False,-0.04262657935995573,5,0.8620000000000001,49870,257,0,0.0,2570.0000000000005,False,-0.05644194411140828,0,0.2,79021,0,24,0.8,500.95023610397106,False,0.03467304206815874,55,6.231000000000002,57671,0,0,0.0,0.0,False,-0.24726228545324022,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,91193,542,17,1.0,12061.126165348012,False,-0.018072747188005524,0.3,427457,0.0,0.0,16,0,0,17,7,7.0,16,33,12,149.0,126.0,10,7,12,712,1.4720909455791116,47.43638033978641
25,12,0,0,0,10.000000000000002,20,10.0,4.182401479775701,4,1.0,20.704788975497962,8,14.0,44.0,10,44.0,0,0.6410000000000001,50549,257,0,0.0,2570.0000000000005,False,-0.04391773494420363,4,0.8970000000000002,49714,263,0,0.0,2630.0000000000005,False,-0.05876602416305451,0,0.2,79017,0,28,0.4,579.7340913139429,False,0.03513498721734604,8,6.256000000000002,57503,0,0,0.0,0.0,False,-0.2494550675455198,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,91521,540,17,1.0,11928.5860467689,False,-0.015429357524926498,0.2333333333333333,427317,0.0,0.0,15,0,0,13,2,2.0,18,31,14,118.0,57.0,8,4,14,640,1.2555891871452332,48.69196952693164
26,14,0,0,0,10.000000000000002,20,10.0,3.9492854865223985,4,1.0,20.36265977571324,35,17.485714285714284,44.00000000000001,13,44.0,4,0.681,50373,265,0,0.0,2650.0000000000005,False,-0.046426265793599555,0,0.8930000000000002,49594,275,0,0.0,2750.0000000000005,False,-0.05987272894955271,0,0.2,79204,0,27,0.4,549.7918139442575,False,0.03738035511286473,30,6.548000000000001,56443,0,0,0.0,0.0,False,-0.26329047836585523,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,91481,565,14,1.0,12120.902773277981,False,-0.014862175808843386,0.2333333333333333,426108,0.0,0.0,18,0,0,14,5,5.0,18,32,11,115.0,96.0,7,7,11,963,1.1407361766323447,49.83270570356399
27,11,0,0,0,10.000000000000002,20,10.0,3.8904711449176896,1,1.0,20.129660424831826,39,18.358974358974358,44.00000000000001,14,44.0,1,0.687,50269,273,0,0.0,2730.0000000000005,False,-0.047606750899197636,0,0.8930000000000002,49474,287,0,0.0,2870.0000000000005,False,-0.06097943373605091,0,0.2,79423,0,23,0.1,462.98218977113197,False,0.03967227168159719,34,6.858000000000002,55195,0,0,0.0,0.0,False,-0.2795797167656464,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,91381,594,10,1.0,12397.018292350105,False,-0.014477804468352073,0.18333333333333335,424755,0.0,0.0,19,0,0,13,4,4.0,18,31,15,111.0,39.0,8,3,15,1036,1.2908642627298832,51.12356996629387
28,15,0,0,0,10.000000000000002,20,10.0,3.602180028304598,5,1.0,19.711583489765317,34,16.0,44.00000000000001,11,44.0,1,0.6960000000000002,50155,282,0,0.0,2820.0000000000005,False,-0.04887946140367057,4,0.933,49268,298,0,0.0,2980.0000000000005,False,-0.06376464078207138,0,0.2,79418,0,28,0.5,551.9243377134289,False,0.040187458968305334,34,7.1640000000000015,53995,0,0,0.0,0.0,False,-0.29524244599621485,0,0.2,99013,0,0,0.0,0.0,False,0.0,1,0.30000000000000004,91269,618,10,1.0,12621.758596674967,False,-0.014474066048524054,0.25,423118,0.0,0.0,18,0,0,11,6,5.5,19,30,10,122.0,96.0,8,7,10,596,1.4127603461965919,52.53633031249046
29,10,0,0,0,10.000000000000002,20,10.0,3.394560812929218,6,1.8333333333333333,19.56985653697256,12,16.0,44.000000000000014,10,44.0,1,0.7050000000000001,50031,292,0,0.0,2920.0000000000005,False,-0.05024439730701835,5,0.9790000000000001,49053,308,0,0.0,3080.0000000000005,False,-0.06680807894494144,0,0.2,79407,0,34,0.6,665.375122257067,False,0.04078427933340124,12,7.250000000000002,53767,0,0,0.0,0.0,False,-0.2982183645500228,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29900000000000004,91517,620,10,1.0,12573.311052922987,False,-0.01221399688463649,0.26666666666666666,422788,0.0,0.0,18,0,0,16,3,3.0,12,28,16,60.0,42.0,6,4,16,640,1.3233697488904,53.85970006138086
30,16,0,0,0,10.000000000000002,20,10.0,3.2319804292006187,15,2.7333333333333334,19.753511757111568,16,23.0,44.000000000000014,11,44.0,15,0.8540000000000001,49558,298,0,0.0,2980.0000000000005,False,-0.05841556764733007,0,0.9740000000000002,48913,322,0,0.0,3220.0000000000005,False,-0.06809923452918934,0,0.2,79755,0,26,0.8,513.5913056849008,False,0.04433590880170273,0,7.238000000000001,53746,7,0,0.0,22.62386300440433,False,-0.298344815878063,0,0.2,99013,0,0,0.0,0.0,False,0.0,1,0.30900000000000005,91581,626,10,1.0,12805.69835995184,False,-0.010394097946977454,0.3,422566,0.0,0.0,19,0,0,10,4,3.5,22,32,15,161.0,78.0,10,6,15,964,1.3476614346727729,55.207361496053636
