index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,23,0,0,0,10.000000000000002,20,10.0,7.084269545130705,17,6.235294117647059,33.637375967581136,12,24.833333333333332,40.999999999999986,14,41.0,10,1.9830000000000003,17020,201,0,0.0,2010.0000000000005,False,-0.1834284678807647,7,1.566,16541,219,0,0.0,2190.0000000000005,False,-0.2010510102382894,0,0.2,34286,3,94,1.0,3183.166149588019,False,0.0973080216171401,0,0.2,34345,1,91,1.0,3068.085482595014,False,0.09735266519750135,0,0.2,50424,0,0,0.0,0.0,False,0.0,4,0.546,50335,4,10,1.0,544.5495038703244,False,0.003634673011565157,0.5,202951,0.0,0.0,18,0,0,13,7,6.5,19,32,27,198.0,137.0,12,11,27,867,1.097348626703024,23.19932180456817
21,27,0,0,0,10.000000000000002,20,10.0,7.0898545092876475,13,7.153846153846154,34.01352323564212,5,40.0,40.999999999999986,10,41.0,10,2.0730000000000004,16760,212,0,0.0,2120.0000000000005,False,-0.1927154117966839,3,1.5890000000000002,16388,228,0,0.0,2280.0000000000005,False,-0.2059436441061883,0,0.2,34238,1,104,1.0,3544.496271016068,False,0.10136555344715044,0,0.2,34500,0,92,0.6,3129.244137679075,False,0.10302856829090838,0,0.2,50424,0,0,0.0,0.0,False,0.0,0,0.542,50545,0,9,0.9,368.9999999999999,False,0.0060586228779946055,0.4166666666666667,202855,0.0,0.0,16,0,0,17,3,3.0,21,38,26,247.0,125.0,18,9,26,810,1.0311212930828333,24.230443097651005
22,26,0,0,0,10.000000000000002,20,10.0,6.879925884857036,20,5.35,34.44415663455026,5,41.0,40.999999999999986,12,41.0,5,2.1130000000000004,16565,225,0,0.0,2250.0000000000005,False,-0.19860469330433994,15,1.736,15981,235,0,0.0,2350.0000000000005,False,-0.22279604965117333,0,0.2,34398,0,105,0.6,3616.6364466277773,False,0.10736231414588594,0,0.2,34438,5,102,1.0,3547.703606148412,False,0.10753155747107307,0,0.2,50424,0,0,0.0,0.0,False,0.0,3,0.5720000000000001,50681,0,5,0.5,204.99999999999994,False,0.007129541488180232,0.35000000000000003,202487,0.0,0.0,15,0,0,8,7,6.666666666666667,25,33,23,207.0,135.0,13,13,23,733,0.9624294443055987,25.192872541956604
23,23,0,0,0,10.000000000000002,20,10.0,7.006277894026705,24,7.791666666666667,35.23395303854167,10,41.0,40.999999999999986,10,41.0,15,2.258000000000001,16195,237,0,0.0,2370.0000000000005,False,-0.21264836459182748,9,1.8110000000000004,15730,243,0,0.0,2430.0000000000005,False,-0.23235480655975355,0,0.2,34348,0,110,0.5,3875.734834239584,False,0.10979530881819773,0,0.2,34711,14,102,1.0,3691.9511004476244,False,0.1180870917000187,0,0.2,50424,0,0,0.0,0.0,False,0.0,5,0.6190000000000002,50418,0,10,1.0,409.9999999999999,False,0.003946533396795177,0.4166666666666667,201826,0.0,0.0,14,0,0,11,9,8.5,22,33,35,170.0,158.0,11,12,35,774,1.0473530543968081,26.24022559635341
24,35,0,0,0,10.000000000000002,20,10.0,6.899199288370814,13,5.615384615384615,35.855637715914995,10,40.5,40.999999999999986,11,41.0,5,2.2930000000000006,16030,247,0,0.0,2470.0000000000005,False,-0.21785811361783095,8,1.8820000000000001,15472,253,0,0.0,2530.0000000000005,False,-0.24177765697200326,0,0.2,34475,3,115,1.0,4144.095935195337,False,0.11778345875940995,0,0.2,34916,4,107,1.0,3864.1500327563876,False,0.12699030512534232,0,0.2,50424,0,0,0.0,0.0,False,0.0,1,0.6240000000000001,50415,0,10,1.0,409.9999999999999,False,0.003887037918451531,0.5,201732,0.0,0.0,20,0,0,18,4,4.0,23,41,25,283.0,159.0,20,15,25,1015,1.0398606909438968,27.28008628729731
25,25,0,0,0,10.000000000000002,20,10.0,6.572820010379566,22,4.318181818181818,36.110721016315466,5,40.0,40.99999999999999,10,41.0,5,2.3380000000000005,15875,256,0,0.0,2560.0000000000005,False,-0.22284135181661682,17,2.044,14949,264,0,0.0,2640.0000000000005,False,-0.2629790703995651,0,0.2,34669,0,116,0.6,4188.843637892594,False,0.12440120561984032,0,0.2,34827,13,117,1.0,4310.401019043844,False,0.1310925039613996,0,0.2,50424,0,0,0.0,0.0,False,0.0,0,0.6230000000000001,50625,0,5,0.5,204.99999999999997,False,0.006018959225765509,0.35000000000000003,201369,0.0,0.0,17,0,0,14,5,5.0,21,35,32,174.0,148.0,13,12,32,810,1.0322889545932412,28.31237524189055
26,32,0,0,0,10.000000000000002,20,10.0,6.706151820922495,20,7.75,36.42368726263933,5,41.0,41.0,10,41.0,15,2.4830000000000005,15540,265,0,0.0,2650.0000000000005,False,-0.23597897979523422,5,2.0770000000000004,14734,275,0,0.0,2750.0000000000005,False,-0.2702274168705264,0,0.2,34824,0,116,0.5,4225.147722466163,False,0.12969702291512974,0,0.2,34722,18,127,1.0,4746.5190151318,False,0.1345503886581202,0,0.2,50424,0,0,0.0,0.0,False,0.0,5,0.673,50573,0,5,0.5,205.0,False,0.00498770426780898,0.3333333333333333,200817,0.0,0.0,15,0,0,14,6,6.0,19,33,27,207.0,176.0,13,19,27,610,0.9793058251962066,29.291681067086756
27,27,0,0,0,10.000000000000002,20,10.0,6.6608492624839535,23,6.3478260869565215,36.931318110149434,10,40.5,40.99999999999999,12,41.0,10,2.568000000000001,15270,277,0,0.0,2770.0000000000005,False,-0.24549243453837094,13,2.2020000000000004,14377,283,0,0.0,2830.0000000000005,False,-0.2845882033161185,0,0.2,34927,4,121,1.0,4495.332888378017,False,0.13697903242564868,0,0.2,34878,17,132,1.0,4988.168428001953,False,0.14301701168341624,0,0.2,50424,0,0,0.0,0.0,False,0.0,7,0.738,50279,0,10,1.0,409.99999999999994,False,0.0011899095668729176,0.5,200155,0.0,0.0,14,0,0,15,10,9.333333333333332,17,32,25,206.0,154.0,13,14,25,728,0.9721517702564597,30.263832837343216
28,25,0,0,0,10.000000000000002,20,10.0,6.4822954825533134,15,4.533333333333333,37.42586647773372,10,41.0,40.99999999999999,0,,5,2.6080000000000005,15090,289,0,0.0,2890.0000000000005,False,-0.25092869439159193,10,2.289,14069,291,0,0.0,2910.0000000000005,False,-0.2967291836549787,0,0.2,35331,0,118,0.7,4416.252244372579,False,0.14812595186525226,0,0.2,34816,19,142,1.0,5437.636654006701,False,0.14799419889293333,0,0.2,50424,0,0,0.0,0.0,False,0.0,0,0.7310000000000001,49869,0,20,1.0,819.9999999999999,False,-0.002875614786609551,0.45,199599,0.0,0.0,13,0,0,12,4,4.0,22,34,26,217.0,107.0,14,11,26,610,1.028463208116591,31.292296045459807
29,26,0,0,0,10.000000000000002,20,10.0,6.5948384939294025,20,7.5,37.588696474006916,5,40.0,40.99999999999999,0,,15,2.753000000000001,14695,303,0,0.0,3030.0000000000005,False,-0.2656518981607321,5,2.329,13909,297,0,0.0,2970.0000000000005,False,-0.3026184651626348,0,0.2,35226,5,128,1.0,4844.3273411425325,False,0.1514608414047977,0,0.2,34971,14,147,1.0,5617.866120594028,False,0.15549097933377218,0,0.2,50424,0,0,0.0,0.0,False,0.0,0,0.7310000000000001,49669,0,25,0.5,1024.9999999999998,False,-0.004809217832778042,0.4166666666666667,198894,0.0,0.0,12,0,0,9,4,4.0,24,33,25,174.0,103.0,12,14,25,400,1.5506081273779273,32.842904172837734
