index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,16,0,0,0,10.0,9,10.0,6.58832596590862,3,2.0,23.903147961672232,0,,37.000000000000014,20,37.0,0,0.2,17104,0,0,0.0,0.0,False,0.01609932869957821,3,1.832,11507,191,0,0.0,1910.0,False,-0.2596685082872928,0,0.32600000000000007,24954,0,38,0.0,908.3196225435448,False,0.1016849417366246,0,0.4970000000000001,23098,0,8,0.3,191.22518369337786,False,0.005663295835177107,11,1.7770000000000001,31455,78,0,0.0,1864.4455410104342,False,-0.11199762090082208,9,1.8830000000000005,31560,123,0,0.0,2940.0871992856846,False,-0.09437257074898985,0.049999999999999996,139678,0.0,0.0,5,0,0,12,13,13.0,22,34,15,197.0,20.0,13,3,15,90,0.6890589091926813,22.91086014173925
21,15,0,0,0,10.0,9,10.0,6.281636863329494,5,1.0,22.806031225595795,17,15.941176470588236,37.000000000000014,20,37.0,0,0.2,17104,0,0,0.0,0.0,False,0.01609932869957821,5,1.8790000000000004,11317,200,0,0.0,2000.0,False,-0.26828254024832177,0,0.32600000000000007,25104,0,32,0.0,729.7929992190655,False,0.10431845378352907,3,0.5270000000000001,23124,0,5,0.5,114.03015612797898,False,0.00511707401743003,11,1.8760000000000006,31144,84,0,0.0,1915.7066229500467,False,-0.11982196448028558,9,1.964,31317,134,0,0.0,3056.0081842298364,False,-0.09944603827278681,0.08333333333333333,139110,0.0,0.0,7,0,0,14,12,11.272727272727273,18,32,9,151.0,20.0,11,4,9,240,0.6115433629602194,23.52240350469947
22,9,0,0,0,10.0,11,10.0,6.095218716506674,3,1.0,21.830606895215244,10,11.0,37.00000000000001,20,37.0,0,0.2,17104,0,0,0.0,0.0,False,0.01609932869957821,3,1.9040000000000004,11147,211,0,0.0,2110.0,False,-0.27511435870017226,0,0.32600000000000007,25104,0,32,0.0,698.5794206468878,False,0.10364175130396924,5,0.5740000000000001,23081,0,3,0.3,65.49182068564573,False,0.0022003169727625527,6,1.9250000000000003,31081,84,0,0.0,1833.7709791980806,False,-0.1226725847335205,14,2.0950000000000006,30953,144,0,0.0,3143.6073929109953,False,-0.1082253866951223,0.049999999999999996,138470,0.0,0.0,6,0,0,12,13,12.5,15,27,9,99.0,15.0,7,2,9,110,0.5170923192054033,24.039495823904872
23,9,0,0,0,10.0,13,10.0,5.87010357648365,6,3.0,21.351266453522705,12,17.0,37.00000000000001,20,37.0,0,0.2,17104,0,0,0.0,0.0,False,0.01609932869957821,6,1.9610000000000005,10909,224,0,0.0,2240.0,False,-0.2853917899364344,0,0.32600000000000007,25305,0,21,0.1,448.3765955239768,False,0.10693267561730867,0,0.5690000000000001,23066,0,8,0.5,170.81013162818164,False,0.00383319888193606,8,1.9990000000000003,30881,88,0,0.0,1878.911447909998,False,-0.12753740612099698,12,2.201000000000001,30651,152,0,0.0,3245.392500935451,False,-0.11511032434558771,0.09999999999999999,137916,0.0,0.0,10,0,0,9,13,13.0,23,32,11,107.0,19.0,7,2,11,334,0.5300754327327013,24.569571256637573
24,11,0,0,0,10.0,11,10.0,5.548976109098774,7,2.142857142857143,21.351266453522705,0,,37.0,20,37.0,0,0.2,17104,0,0,0.0,0.0,False,0.01609932869957821,7,2.0250000000000004,10659,235,0,0.0,2350.0,False,-0.29697617774609397,0,0.32600000000000007,25290,0,28,0.7,597.8354606986358,False,0.1095225135649879,0,0.5690000000000001,23066,0,8,0.0,170.81013162818164,False,0.00383319888193606,14,2.1310000000000002,30627,88,0,0.0,1878.911447909998,False,-0.13450165266629202,6,2.2490000000000006,30587,152,0,0.0,3245.392500935451,False,-0.11686509512865417,0.11666666666666665,137333,0.0,0.0,7,0,0,12,12,12.0,20,32,11,131.0,6.0,9,2,11,110,0.5835858322679996,25.153157088905573
25,11,0,0,0,9.999999999999998,12,10.0,5.364906620858558,4,2.0,22.668076414924382,10,37.0,36.99999999999999,20,37.0,0,0.2,17104,0,0,0.0,0.0,False,0.01609932869957821,4,2.0580000000000007,10463,247,0,0.0,2469.9999999999995,False,-0.3050555456543694,0,0.32600000000000007,25475,0,23,0.0,521.3657575432608,False,0.11588617607300132,0,0.5690000000000002,23243,0,7,0.4,158.67653490447069,False,0.011244775937746015,8,2.1970000000000005,30531,88,0,0.0,1994.7907245133456,False,-0.13554520283349766,12,2.363000000000001,30021,162,0,0.0,3672.22837921775,False,-0.12653229355097406,0.06666666666666667,136837,0.0,0.0,7,0,0,9,11,11.0,22,31,9,136.0,18.0,9,2,9,490,0.5528256930410862,25.70598278194666
26,9,0,0,0,9.999999999999996,8,10.0,5.233748307118981,9,4.222222222222222,23.68886612201348,7,39.285714285714285,36.99999999999999,20,37.0,0,0.2,17104,0,0,0.0,0.0,False,0.01609932869957821,9,2.1440000000000006,10216,255,0,0.0,2549.999999999999,False,-0.31735281886770034,0,0.32600000000000007,25707,0,22,0.4,521.1550546842966,False,0.12594101059455187,0,0.5690000000000001,23248,0,10,0.5,236.8886612201348,False,0.013157192499244056,7,2.2590000000000003,30193,94,0,0.0,2226.753415469267,False,-0.14163257546241953,13,2.4810000000000008,29787,163,0,0.0,3861.2851778881973,False,-0.13035636683088128,0.15,136255,0.0,0.0,8,0,0,13,12,12.0,18,31,11,78.0,18.0,6,3,11,355,0.4958203714340925,26.20180315338075
27,11,0,0,0,9.999999999999996,12,10.0,5.019789033120537,5,2.0,26.248657692111912,22,38.18181818181818,36.99999999999999,20,37.0,0,0.2,17104,0,0,0.0,0.0,False,0.01609932869957821,5,2.185,10001,267,0,0.0,2669.999999999999,False,-0.32656092199845543,0,0.32600000000000007,26087,0,18,0.5,472.47583845801444,False,0.14136226506651373,3,0.5990000000000002,23608,0,0,0.0,0.0,False,0.023630923990807788,10,2.3520000000000003,29402,111,0,0.0,2913.601003824422,False,-0.15390435123074658,10,2.568000000000001,29454,168,0,0.0,4409.774492274802,False,-0.13196733806379138,0.08333333333333333,135656,0.0,0.0,10,0,0,12,13,12.375,22,34,9,160.0,3.0,10,1,9,760,0.5781570002436638,26.779960153624415
28,9,0,0,0,9.999999999999996,12,10.0,4.649344992884167,8,1.5,27.66150870964233,10,43.5,36.99999999999999,20,37.0,0,0.2,17104,0,0,0.0,0.0,False,0.01609932869957821,8,2.2600000000000007,9713,279,0,0.0,2789.999999999999,False,-0.34010574466821125,0,0.32600000000000007,26079,0,22,0.4,608.5531916121313,False,0.14396551167697466,10,0.6960000000000002,23709,0,4,0.4,110.64603483856932,False,0.030409010858053295,10,2.4420000000000006,29020,116,0,0.0,3208.7350103185104,False,-0.16033210393838412,10,2.658000000000001,29115,173,0,0.0,4785.441006768123,False,-0.13611207218183644,0.13333333333333333,134740,0.0,0.0,7,0,0,12,16,16.0,17,29,9,117.0,3.0,8,1,9,120,0.5234388560056686,27.303399009630084
29,9,0,0,0,9.999999999999998,9,10.0,4.4088422713485675,6,1.6666666666666667,28.45957871912363,5,46.0,36.99999999999999,20,37.0,0,0.2,17104,0,0,0.0,0.0,False,0.01609932869957821,6,2.3120000000000003,9503,288,0,0.0,2879.9999999999995,False,-0.34990791896869244,0,0.32600000000000007,26071,0,26,0.4,739.9490466972144,False,0.1464672645947451,1,0.6960000000000002,23907,0,2,0.2,56.91915743824726,False,0.03782940548580517,12,2.5520000000000005,28591,121,0,0.0,3443.609025013959,False,-0.1688746295101179,8,2.7280000000000006,29022,173,0,0.0,4923.507118408388,False,-0.1367692048913086,0.10000000000000002,134198,0.0,0.0,5,0,0,7,13,12.2,20,27,9,107.0,6.0,7,2,9,90,0.5269221272319555,27.83032113686204
