index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1099,b96b6581-6fbd-4601-ad3e-88f7d0055136,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,43,1,2,42,-1,42,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (42, 46), unit_price: (1, 14)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,12,-1,01Ran@0:product(1.0),-1,-1
1100,cd8c1ec6-1c70-45d7-b61a-7abe39c1fb24,00Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,43,5,8,42,-1,42,03Dec@1|00Buy@0,"[quantity: (1, 5), time: (42, 45), unit_price: (1, 14)]",00Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
1101,a62f3754-cdb6-4a8e-af27-c26f60bb222c,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,45,1,3,42,-1,42,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (42, 45), unit_price: (1, 14)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,15,-1,01Ran@0:product(1.0),-1,-1
1102,0af36c19-b11c-467f-8409-7261736ff86f,00Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,44,5,8,42,-1,42,03Dec@1|00Buy@0,"[quantity: (1, 5), time: (42, 46), unit_price: (1, 14)]",00Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
1103,282c503c-ab19-492e-992e-6bf27dedc995,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,47,5,1,43,-1,43,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (43, 47), unit_price: (1, 14)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,11,-1,01Ran@0:product(1.0),-1,-1
1104,0a14f382-40ff-49fa-8a0c-63d077549979,03Dec@1,04Ind@2,DecentralizingAgent,IndDecentralizingAgent,53,5,41,43,-1,43,03Dec@1|04Ind@2,"[quantity: (1, 5), time: (48, 53), unit_price: (27, 54)]",03Dec@1,04Ind@2,p2,03Dec@1,False,2,17,53,,-1,-1
1105,d9da0dde-212c-41e4-bdad-af715400dc0a,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,47,1,2,44,-1,44,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (44, 47), unit_price: (1, 14)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,12,-1,01Ran@0:product(1.0),-1,-1
1106,42e7b3b2-828d-4796-99d9-70134b0c8558,00Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,46,5,7,44,-1,44,03Dec@1|00Buy@0,"[quantity: (1, 5), time: (44, 47), unit_price: (1, 14)]",00Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
1107,10c8134b-ab5c-4f80-8684-3e68b26b942b,00Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,46,5,7,44,-1,44,03Dec@1|00Buy@0,"[quantity: (1, 5), time: (44, 48), unit_price: (1, 14)]",00Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
1108,a1609d00-4b1d-491a-9178-5c975ca2685c,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,48,2,2,44,-1,44,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (44, 48), unit_price: (1, 14)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,13,-1,01Ran@0:product(1.0),-1,-1
1109,1e00c3ac-16ee-4861-b2d1-375364a0063a,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,48,5,5,45,-1,45,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (45, 49), unit_price: (1, 14)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,15,-1,01Ran@0:product(1.0),-1,-1
