index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,19,0,0,0,10.000000000000002,7,10.0,24.672791824837162,20,26.0,23.1665527611752,71,28.535211267605632,44.99999999999999,12,45.0,0,0.2,22882,0,0,0.0,0.0,False,0.00952969204976617,12,0.788,25528,0,7,0.7,172.70954277386014,False,0.13007830104063048,37,2.0280000000000005,33931,0,10,1.0,231.665527611752,False,-0.09326925447266568,30,7.079000000000002,-11097.0,138,0,0.0,3404.8452718275284,False,-1.250195141390882,12,1.8770000000000004,40146,516,0,0.0,11953.941224766404,False,-0.1437779272966659,0,0.389,45115,402,55,1.0,11787.954209992431,False,-0.0530746063526358,0.45,156505,0.0,0.0,3,0,0,12,12,29.21782363977486,20,32,17,180.0,102.0,10,9,17,70,1.0454881861805916,31.84344374667853
21,17,0,0,0,10.000000000000002,10,10.0,24.672791824837162,0,,22.734822498818062,24,15.5,44.99999999999999,13,45.0,0,0.2,22882,0,0,0.0,0.0,False,0.00952969204976617,0,0.7760000000000002,25428,0,17,1.0,419.4374610222318,False,0.13110909426061568,0,1.9910000000000003,33931,0,10,0.0,227.34822498818062,False,-0.09332674338879626,24,7.289000000000002,-12836.0,138,0,0.0,3404.8452718275284,False,-1.2965079593088027,13,1.9950000000000003,39657,530,0,0.0,12049.455924373573,False,-0.1519691103774637,0,0.389,44965,402,65,1.0,12064.398644524861,False,-0.05329324789740793,0.3333333333333333,154027,0.0,0.0,5,0,0,7,11,11.0,24,31,17,162.0,84.0,9,8,17,100,0.8919705888256431,32.735414335504174
22,17,0,0,0,10.0,10,10.0,24.541935745316046,12,23.166666666666668,22.734822498818062,0,,44.99999999999999,7,45.0,0,0.2,22882,0,0,0.0,0.0,False,0.00952969204976617,0,0.7760000000000002,25606,0,15,1.0,368.1290361797407,False,0.1378304296342483,0,1.9910000000000003,33913,0,12,0.2,272.81786998581674,False,-0.09320064622245851,0,7.265000000000002,-31069.0,148,0,0.0,3632.206490306775,False,-1.779059276008592,7,2.052000000000001,39556,530,0,0.0,12049.455924373573,False,-0.15384406396772135,0,0.389,44965,392,75,1.0,12287.050419536681,False,-0.05122660559574626,0.3666666666666667,135853,0.0,0.0,7,0,0,11,5,58.315384615384616,20,31,13,180.0,66.0,10,7,13,118,0.8435649117454886,33.57897924724966
23,13,0,0,0,10.000000000000002,11,10.0,24.541935745316046,0,,22.352957213889844,24,16.25,44.99999999999999,10,45.0,0,0.2,22882,0,0,0.0,0.0,False,0.00952969204976617,0,0.776,25496,1,25,1.0,623.5483936329011,False,0.13861176197019554,0,1.9910000000000005,34066,0,3,0.0,67.05887164166953,False,-0.09186584367570817,15,7.415000000000002,-33956.0,148,0,0.0,3632.206490306775,False,-1.8559454780379403,10,2.1450000000000005,38995,554,0,0.0,12383.538296494973,False,-0.1611574747856337,0,0.389,44965,382,85,1.0,12363.82965570592,False,-0.05051394468231676,0.3333333333333333,132448,0.0,0.0,5,0,0,7,7,7.0,20,27,15,108.0,66.0,6,7,15,263,0.7495279712602496,34.32850721850991
24,15,0,0,1,10.000000000000002,8,10.0,24.582262544214984,12,25.0,22.138874899501413,11,15.0,44.999999999999986,14,45.0,0,0.2,22882,0,0,0.0,0.0,False,0.00952969204976617,0,0.776,25716,0,22,0.9,540.8097759727297,False,0.14649275955115,8,2.0710000000000006,33635,2,10,1.0,270.5532740834441,False,-0.10063446065030432,0,7.400000000000001,-38419.22222222222,148,0,0.0,3638.1748565438174,True,-1.974729947374106,14,2.275000000000001,38699,554,0,0.0,12264.936694323784,False,-0.16775324223728574,0,0.389,44800,383,95,1.0,12754.189086509039,False,-0.04995369155612758,0.48333333333333334,165732,0.0,0.125,5,0,0,18,13,134.96727272727273,12,30,15,180.0,60.0,10,5,15,380,0.8963745459914207,35.22488176450133
25,15,0,0,0,10.000000000000002,13,10.0,24.74234257790994,18,25.833333333333332,22.015089891649936,6,15.0,45.0,11,45.0,0,0.2,22882,0,0,0.0,0.0,False,0.00952969204976617,0,0.776,26051,3,14,1.0,376.3927960907392,False,0.1576456541977133,0,2.0630000000000006,33260,10,14,1.0,555.6346842621984,False,-0.1068252858363445,0,7.400000000000001,-38419.22222222222,148,0,0.0,3661.8667015306714,True,-1.974414468333561,11,2.371000000000001,38408,560,0,0.0,12328.450339323965,False,-0.17256580586504086,0,0.389,44800,373,105,1.0,12936.628529585427,False,-0.04826029804721326,0.5,165401,0.0,0.125,11,0,0,12,7,7.0,19,31,7,150.0,75.0,10,5,7,685,0.8581549609079957,36.08303672540933
26,7,0,0,0,10.000000000000002,9,10.0,24.83440608991852,10,26.0,21.487993329245608,29,15.827586206896552,45.0,9,45.0,0,0.2,22882,0,0,0.0,0.0,False,0.00952969204976617,0,0.776,26221,2,14,1.0,367.68168525885926,False,0.16495371228401262,15,2.213000000000001,32838,10,10,1.0,463.2239941916413,False,-0.11929446863842401,0,7.400000000000003,-38419.22222222222,148,0,0.0,3675.492101307941,True,-1.9742330334114955,9,2.4500000000000006,38172,566,0,0.0,12162.204224353014,False,-0.17848997341322292,0,0.389,44431,386,115,1.0,13469.365425088805,False,-0.05016553960524981,0.5,164544,0.0,0.125,6,0,0,15,9,8.666666666666666,10,25,6,93.0,3.0,6,1,6,554,0.6679580910131335,36.75099481642246
27,6,0,0,0,10.000000000000002,9,10.0,24.83440608991852,0,,23.463950430069662,25,47.68,44.99999999999999,11,45.0,0,0.2,22882,0,0,0.0,0.0,False,0.00952969204976617,0,0.776,26131,1,24,1.0,606.0257461580445,False,0.1662407514814711,15,2.3480000000000003,33475,0,10,1.0,234.63950430069661,False,-0.10537378486376878,0,7.400000000000003,-38419.22222222222,148,0,0.0,3675.492101307941,True,-1.9742330334114955,11,2.5510000000000006,36962,587,0,0.0,13773.338902450892,False,-0.18599781964755613,0,0.389,44243,380,125,1.0,14541.30116342647,False,-0.04370589994591901,0.5,163693,0.0,0.125,6,0,0,15,10,149.5886155674391,10,25,7,90.0,3.0,5,1,7,466,0.7760274931788445,37.52702230960131
28,7,0,0,0,10.000000000000002,8,10.0,24.938055261244653,12,26.0,23.77543306270089,4,47.0,44.99999999999999,20,45.0,0,0.2,22882,0,0,0.0,0.0,False,0.00952969204976617,0,0.776,26363,0,21,0.9,523.6991604861377,False,0.17466026560677092,0,2.3330000000000006,33351,2,16,1.0,430.28303952570354,False,-0.10607096008514602,0,7.400000000000004,-38419.22222222222,148,0,0.0,3690.8321786642086,True,-1.9740287659562201,9,2.630000000000001,36632,591,0,0.0,14051.280940056227,False,-0.1895440619657661,0,0.389,44738,370,124,1.0,14376.910233199327,False,-0.03604263910671146,0.48333333333333334,163966,0.0,0.125,10,0,0,13,6,6.0,13,26,8,108.0,3.0,6,1,8,1075,0.6970293801277876,38.224051689729095
29,8,0,0,0,10.000000000000002,10,10.0,24.95525941326836,2,26.0,24.191007645127385,5,46.8,45.0,20,45.0,0,0.2,22882,0,0,0.0,0.0,False,0.00952969204976617,0,0.7760000000000002,26315,0,29,1.0,723.7025229847825,False,0.17695452490480865,0,2.3330000000000006,33533,0,15,0.4,362.86511467691076,False,-0.10212169279239246,0,7.400000000000003,-38419.22222222222,148,0,0.0,3693.3783931637176,True,-1.9739948607323858,8,2.7010000000000005,36298,596,0,0.0,14417.840556495921,False,-0.1923420160717316,0,0.389,45278,360,122,1.0,14198.762752245859,False,-0.02767169050042823,0.39999999999999997,164306,0.0,0.125,13,0,0,11,5,743.8311965811965,13,24,4,93.0,6.0,6,2,4,926,0.7433941345661879,38.96744582429528
