index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,9,0,0,0,10.000000000000002,20,10.0,9.77005760382591,1,24.0,16.025643698450914,28,14.75,37.000000000000014,20,37.0,0,0.7040000000000002,28059,0,22,1.0,214.94126728417,False,0.028423785367390313,0,2.8730000000000007,18560,217,0,0.0,2170.0000000000005,False,-0.28271505768949906,0,0.2,47077,0,0,0.0,0.0,False,0.013236623477250227,28,4.323000000000001,26767,519,0,0.0,5070.659896385647,False,-0.36932697799937964,8,0.9100000000000001,61400,0,9,0.9,333.0000000000001,False,0.008691591847434302,12,1.868,52946,363,0,0.0,5817.308662537682,False,-0.08488999391721534,0.31666666666666665,234809,0.0,0.0,11,0,0,10,15,15.0,18,28,9,126.0,0.0,9,0,9,224,1.1062937609967776,48.69454033795046
21,9,0,0,0,10.000000000000002,20,10.0,9.77005760382591,0,,15.927254236891033,17,14.764705882352942,37.000000000000014,20,37.0,0,0.7040000000000002,27959,0,32,1.0,312.6418433224291,False,0.02655618963273024,0,2.873,18460,227,0,0.0,2270.0000000000005,False,-0.2845406747480648,0,0.2,47077,0,0,0.0,0.0,False,0.013236623477250227,17,4.465000000000002,26314,519,0,0.0,5070.659896385647,False,-0.37907688114603716,0,0.9020000000000001,61733,0,0,0.0,0.0,False,0.011419490136968347,11,1.9660000000000002,52531,380,0,0.0,6052.356610018593,False,-0.08976377375631935,0.16666666666666666,234074,0.0,0.0,13,0,0,3,8,8.0,23,26,11,110.0,6.0,7,2,11,533,0.999563634977676,49.69410397292813
22,11,0,0,0,10.000000000000002,20,10.0,9.671087529987679,13,8.076923076923077,15.781267229240463,20,14.35,37.00000000000001,20,37.0,0,0.704,27965,0,37,0.9,357.8302386095441,False,0.027600230732611832,9,2.963,18188,238,0,0.0,2380.0000000000005,False,-0.2924638527822404,0,0.2,47077,0,0,0.0,0.0,False,0.013236623477250227,20,4.6480000000000015,25639,532,0,0.0,5145.018565953445,False,-0.39280467300209365,15,1.0520000000000003,61342,0,7,0.7,259.00000000000006,False,0.007135133363916377,5,2.0050000000000003,52314,393,0,0.0,6202.038021091502,False,-0.09209287943925304,0.26666666666666666,232525,0.0,0.0,10,0,0,7,14,14.0,26,33,12,160.0,3.0,10,1,12,296,1.0754137300536968,50.76951770298183
23,12,0,0,0,10.000000000000002,20,10.0,10.432498084156403,43,13.976744186046512,15.651839520041202,11,13.363636363636363,37.00000000000001,20,37.0,0,0.7040000000000002,28457,0,22,0.9,229.51495785144087,False,0.04322175693463267,19,3.1440000000000006,17736,249,0,0.0,2490.0000000000005,False,-0.3069592522272528,0,0.2,47077,0,0,0.0,0.0,False,0.013236623477250227,11,4.738,24775,575,0,0.0,5998.686398389932,False,-0.40221378332411506,7,1.1070000000000002,61528,0,0,0.0,0.0,False,0.008060816567271775,6,2.0600000000000005,52103,404,0,0.0,6323.343166096645,False,-0.09455613763928955,0.15,231676,0.0,0.0,16,0,0,5,8,7.75,22,27,11,143.0,9.0,9,3,11,1004,1.1413151349988766,51.910832837980706
24,11,0,0,0,10.000000000000002,20,10.0,10.22275528977739,22,8.136363636363637,15.471828887164481,43,14.69767441860465,37.0,20,37.0,0,0.7040000000000002,28557,0,18,0.6,184.00959521599304,False,0.04604223738892928,12,3.2450000000000006,17359,263,0,0.0,2630.0000000000005,False,-0.31816854096684677,0,0.2,47077,0,0,0.0,0.0,False,0.013236623477250227,43,5.157000000000002,22712,597,0,0.0,6102.984907997103,False,-0.4454932535405589,9,1.1900000000000002,61317,0,6,0.6,222.0,False,0.006422439216200275,11,2.1640000000000006,51398,441,0,0.0,6823.076539239536,False,-0.10201293876368421,0.19999999999999998,228420,0.0,0.0,12,0,0,5,18,18.0,24,29,8,146.0,6.0,9,2,8,360,0.9737953310250305,52.88462816900574
25,8,0,0,0,10.000000000000002,20,10.0,10.523548373897656,34,12.441176470588236,15.257690716931693,23,13.347826086956522,36.99999999999999,20,37.0,8,0.784,28692,0,8,0.8,84.18838699118125,False,0.04914905044163837,8,3.313,17143,275,0,0.0,2750.0000000000005,False,-0.3238644661895721,0,0.2,47077,0,0,0.0,0.0,False,0.013236623477250227,23,5.344000000000001,21574,631,0,0.0,6640.359023929421,False,-0.46420344556918103,0,1.181,61502,0,1,0.0,36.99999999999999,False,0.007937938265941412,15,2.303000000000001,50808,464,0,0.0,7079.568492656305,False,-0.10957821209895544,0.13333333333333333,226796,0.0,0.0,16,0,0,3,12,11.88888888888889,22,25,7,78.0,6.0,6,2,7,671,0.8807953450013883,53.765423514007125
26,7,0,0,0,10.000000000000002,20,10.0,11.025417075906978,29,14.931034482758621,15.116132922154522,35,14.285714285714286,36.99999999999999,20,37.0,7,0.8460000000000003,28828,0,8,0.8,88.20333660725582,False,0.0541880264460212,14,3.4450000000000007,16841,287,0,0.0,2870.0000000000005,False,-0.3327004527530305,0,0.2,47077,0,0,0.0,0.0,False,0.013236623477250227,35,5.671,19786,660,0,0.0,7276.775270098605,False,-0.4958377246986935,7,1.2510000000000001,61456,0,0,0.0,0.0,False,0.0068811848745002945,12,2.408000000000001,50116,499,0,0.0,7542.950328155106,False,-0.11711981184747444,0.13333333333333333,224104,0.0,0.0,10,0,0,2,17,16.303030303030305,20,22,6,75.0,6.0,5,2,6,296,0.7555391910136677,54.52096270502079
27,6,0,0,0,10.000000000000002,20,10.0,10.916378879281744,24,9.875,14.972936838523612,38,14.157894736842104,36.99999999999999,20,37.0,1,0.8490000000000002,28866,5,10,1.0,159.16378879281746,False,0.05687096153046618,15,3.581000000000001,16536,292,0,0.0,2920.0000000000005,False,-0.342923908280999,0,0.2,47077,0,0,0.0,0.0,False,0.013236623477250227,38,6.016000000000002,18061,684,0,0.0,7466.803153428713,False,-0.5309198575886884,13,1.3740000000000003,61100,0,9,0.9,332.99999999999994,False,0.0037764597942198047,7,2.4660000000000006,49631,528,0,0.0,7905.710650740467,False,-0.12209425051821493,0.31666666666666665,221271,0.0,0.0,11,0,0,2,18,17.11111111111111,22,24,5,81.0,3.0,5,1,5,200,0.735902186948806,55.2568648919696
28,5,0,0,0,10.000000000000002,20,10.0,10.916378879281744,0,,14.885451847311744,26,14.115384615384615,36.99999999999999,20,37.0,0,0.8480000000000003,28736,8,20,1.0,298.3275775856349,False,0.05466495504574336,0,3.566000000000001,16466,299,0,0.0,2990.0000000000005,False,-0.344201840221995,0,0.2,47077,0,0,0.0,0.0,False,0.013236623477250227,26,6.2379999999999995,17206,684,0,0.0,7466.803153428713,False,-0.5493219926668168,2,1.3810000000000002,61312,0,7,0.7,258.99999999999994,False,0.006643620158594927,9,2.549000000000001,49248,547,0,0.0,8142.342160479524,False,-0.1264307772422871,0.2833333333333333,220045,0.0,0.0,14,0,0,2,11,10.5,22,24,7,90.0,0.0,5,0,7,496,0.7392949640052393,55.99615985597484
29,7,0,0,0,10.000000000000002,20,10.0,11.608369317798882,12,24.75,14.757250287635156,56,14.232142857142858,36.99999999999999,20,37.0,0,0.8480000000000001,28943,7,18,1.0,278.9506477203799,False,0.06186926113115932,0,3.566000000000001,16356,310,0,0.0,3100.0000000000005,False,-0.3462100189864174,0,0.2,47077,0,0,0.0,0.0,False,0.013236623477250227,56,6.772000000000001,13970,696,0,0.0,8079.425045188022,False,-0.6123775876502516,7,1.4490000000000003,61405,0,7,0.7,258.99999999999994,False,0.00816731109509142,6,2.600000000000001,48493,596,0,0.0,8795.321171430553,False,-0.1334513961315408,0.2833333333333333,216244,0.0,0.0,16,0,0,5,12,12.0,20,25,7,126.0,0.0,7,0,7,756,0.83621492999373,56.83237478596857
