index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,8,0,0,0,10.000000000000002,20,10.0,8.954581509820237,1,1.0,21.918820176882317,5,41.0,29.999999999999996,20,30.0,1,0.5070000000000001,16752,101,0,0.0,1010.0000000000002,False,-0.06395096550227815,0,0.3440000000000001,17046,119,0,0.0,1190.0000000000002,False,-0.043122152310696465,0,0.5150000000000001,28164,0,5,0.1,109.59410088441159,False,-0.01031820396162436,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,10,0.9570000000000003,35028,0,5,0.5,149.99999999999997,False,-0.030196706818432974,10,0.903,34001,75,0,0.0,1643.9115132661739,False,-0.03793359054500265,0.09999999999999999,159996,0.0,0.0,11,0,0,12,10,10.0,14,26,6,128.0,0.0,8,0,6,405,0.8757057664915919,11.63004119694233
11,6,0,0,0,10.000000000000002,20,10.0,8.196058049869304,7,3.5714285714285716,22.29458261980234,12,24.666666666666668,29.999999999999993,20,30.0,5,0.556,16540,112,0,0.0,1120.0000000000002,False,-0.07246691256237796,2,0.3640000000000001,16932,128,0,0.0,1280.0000000000002,False,-0.046864829681058796,7,0.5850000000000001,28211,0,7,0.7,156.0620783386164,False,-0.007854977057156062,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,3,0.9770000000000001,35158,0,0,0.0,0.0,False,-0.028677201900762516,12,1.0130000000000001,33551,87,0,0.0,1939.6286879228037,False,-0.04628096077021219,0.11666666666666665,159397,0.0,0.0,12,0,0,6,12,11.5,19,25,7,104.0,0.0,6,0,7,525,0.6231120200827718,12.253153217025101
12,7,0,0,0,10.000000000000002,20,10.0,7.7941239906694095,5,4.2,22.29458261980234,0,,30.0,20,30.0,4,0.5910000000000001,16338,125,0,0.0,1250.0000000000002,False,-0.07989802560208288,1,0.3720000000000001,16850,135,0,0.0,1350.0000000000002,False,-0.04941418962898676,0,0.5780000000000001,28190,0,12,0.5,267.5349914376281,False,-0.006636709721221417,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,9,1.0640000000000003,35059,0,0,0.0,0.0,False,-0.031412310752569346,11,1.1110000000000002,33417,87,0,0.0,1939.6286879228037,False,-0.04998302729690022,0.08333333333333333,158859,0.0,0.0,10,0,0,9,12,12.0,19,28,5,123.0,0.0,7,0,5,200,0.6861943732947111,12.939347590319812
13,5,0,0,0,10.000000000000002,20,10.0,7.522840482122759,6,5.5,22.29458261980234,0,,29.999999999999996,20,30.0,6,0.6470000000000001,16135,136,0,0.0,1360.0000000000002,False,-0.08792579735300499,0,0.37100000000000005,16760,144,0,0.0,1440.0000000000002,False,-0.051855066174875245,0,0.5780000000000001,28157,0,18,0.6,401.3024871564421,False,-0.005448348347132165,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,8,1.1350000000000002,34978,0,0,0.0,0.0,False,-0.033650127085865844,12,1.2200000000000002,33262,87,0,0.0,1939.6286879228037,False,-0.05426526842851698,0.09999999999999999,158297,0.0,0.0,11,0,0,7,12,12.0,18,25,5,86.0,0.0,5,0,5,200,0.5312793292105198,13.470626919530332
14,5,0,0,0,10.000000000000002,20,10.0,6.978239188825105,6,2.8333333333333335,22.29458261980234,0,,29.999999999999996,20,30.0,6,0.7010000000000001,15936,145,0,0.0,1450.0000000000002,False,-0.09627901931004557,0,0.37100000000000005,16650,155,0,0.0,1550.0000000000002,False,-0.05483835973096116,0,0.5780000000000001,28140,0,24,0.6,535.0699828752562,False,-0.0036988394263098422,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,13,1.2570000000000001,34802,0,0,0.0,0.0,False,-0.038512542822411316,7,1.2780000000000002,33193,87,0,0.0,1939.6286879228037,False,-0.05617155641613992,0.09999999999999999,157726,0.0,0.0,11,0,0,3,12,12.0,21,24,5,67.0,3.0,4,1,5,200,0.5084343152120709,13.979061234742403
15,5,0,0,0,10.000000000000002,20,10.0,6.569862732976622,7,3.857142857142857,21.343756155138742,9,13.0,30.0,20,30.0,6,0.7550000000000001,15688,159,0,0.0,1590.0000000000002,False,-0.10593404209155999,1,0.38100000000000006,16578,161,0,0.0,1610.0000000000002,False,-0.05711651117379041,0,0.5780000000000001,28230,0,22,0.7,469.5626354130523,False,-0.001691112204730283,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,11,1.354,34548,0,9,0.9,270.0,False,-0.041800198917007404,9,1.3610000000000002,33097,87,0,0.0,1856.9067854970706,False,-0.05996647715911892,0.26666666666666666,157146,0.0,0.0,11,0,0,4,12,12.0,22,26,7,71.0,3.0,4,1,7,317,0.5072738854214549,14.486335120163858
16,7,0,0,0,10.000000000000002,20,10.0,6.835826944634287,11,8.0,20.569952891285354,11,15.0,30.000000000000004,20,30.0,0,0.7490000000000001,15568,171,0,0.0,1710.0000000000002,False,-0.10918854415274463,11,0.49000000000000005,16355,169,0,0.0,1690.0000000000002,False,-0.06704274246040356,0,0.5780000000000001,28307,1,21,1.0,438.8048376616267,False,0.0004700459029500223,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,2,1.3630000000000002,34806,0,0,0.0,0.0,False,-0.038402033373853464,9,1.4420000000000002,32834,98,0,0.0,2015.8553833459646,False,-0.06503680816463202,0.16666666666666666,156875,0.0,0.0,15,0,0,3,8,7.666666666666667,25,28,7,107.0,3.0,6,1,7,605,0.5866364520043135,15.072971572168171
17,7,0,0,0,10.000000000000002,20,10.0,6.835826944634287,0,,20.569952891285354,0,,30.000000000000004,20,30.0,0,0.7490000000000001,15478,180,0,0.0,1800.0000000000002,False,-0.1116294206986331,0,0.4790000000000001,16245,180,0,0.0,1800.0000000000002,False,-0.07002603601648948,0,0.5780000000000001,28307,0,22,0.1,452.53896360827775,False,0.0007108856242464208,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,10,1.461,34689,0,0,0.0,0.0,False,-0.041634434744170626,10,1.5330000000000004,32724,98,0,0.0,2015.8553833459646,False,-0.06807581799997293,0.016666666666666666,156448,0.0,0.0,11,0,0,4,10,10.0,24,28,7,107.0,0.0,7,0,7,200,0.570855806581676,15.643827378749847
18,7,0,0,0,10.000000000000002,20,10.0,6.3347606113020785,5,1.0,19.85867994224267,9,13.444444444444445,30.000000000000004,20,30.0,5,0.7990000000000002,15268,191,0,0.0,1910.0000000000002,False,-0.12003688435669342,0,0.47900000000000004,16155,189,0,0.0,1890.0000000000002,False,-0.07246691256237796,0,0.5780000000000001,28423,0,18,0.5,357.45623896036807,False,0.0031118479107839765,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,10,1.5510000000000002,34576,0,0,0.0,0.0,False,-0.044756326665929935,10,1.6230000000000004,32495,107,0,0.0,2124.878753819966,False,-0.0728964698610348,0.08333333333333333,155922,0.0,0.0,11,0,0,5,8,8.0,23,28,7,123.0,0.0,7,0,7,321,0.5881209401413798,16.231948318891227
19,7,0,0,0,10.000000000000002,20,10.0,6.305605697863172,5,6.0,22.178192562522216,10,41.0,30.000000000000007,20,30.0,5,0.8440000000000001,15063,204,0,0.0,2040.0000000000005,False,-0.1276307224994576,0,0.47900000000000004,16085,196,0,0.0,1960.0000000000005,False,-0.074365372098069,0,0.5780000000000001,28803,0,13,0.5,288.3165033127888,False,0.015226677363181496,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,6,1.601,34321,0,5,0.5,150.00000000000003,False,-0.04972925185103327,14,1.7530000000000003,32084,112,0,0.0,2483.9575670024883,False,-0.07929111549615299,0.16666666666666666,155361,0.0,0.0,10,0,0,2,12,12.0,24,26,7,105.0,3.0,6,1,7,610,0.56410410720855,16.796052426099777
20,7,0,0,0,10.000000000000002,20,10.0,6.305605697863172,0,,21.535187717486988,7,14.0,30.000000000000007,20,30.0,0,0.8390000000000002,14943,216,0,0.0,2160.0000000000005,False,-0.13088522456064222,0,0.47900000000000004,16005,204,0,0.0,2040.0000000000005,False,-0.07653504013885876,0,0.5780000000000001,28901,0,6,0.0,129.21112630492192,False,0.01587365633754643,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,3,1.6250000000000002,34451,0,0,0.0,0.0,False,-0.0482097469333628,12,1.8590000000000004,31829,119,0,0.0,2562.6873383809516,False,-0.08524854488920104,0.0,155134,0.0,0.0,13,0,0,4,8,7.333333333333333,25,29,5,124.0,0.0,7,0,5,388,0.5645055240020156,17.360557950101793
21,5,0,0,0,10.000000000000002,20,10.0,6.406012417537515,2,9.0,21.535187717486988,0,,30.00000000000001,20,30.0,0,0.8390000000000002,14813,229,0,0.0,2290.0000000000005,False,-0.1344109351269256,2,0.49900000000000005,15911,211,0,0.0,2110.0000000000005,False,-0.07973530049902365,0,0.5780000000000001,28883,0,8,0.2,172.2815017398959,False,0.01599764145722823,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,8,1.7020000000000002,34369,0,0,0.0,0.0,False,-0.05047519062879876,12,1.9670000000000005,31672,119,0,0.0,2562.6873383809516,False,-0.08958604074509673,0.03333333333333333,154653,0.0,0.0,10,0,0,5,11,11.0,22,27,5,70.0,0.0,5,0,5,200,0.499800899066031,17.860358849167824
22,5,0,0,0,10.000000000000002,20,10.0,6.336928645513009,1,3.0,21.535187717486988,0,,30.00000000000001,20,30.0,1,0.8490000000000002,14645,244,0,0.0,2440.0000000000005,False,-0.13945541332176178,0,0.49700000000000005,15861,216,0,0.0,2160.0000000000005,False,-0.08109134302451725,0,0.5780000000000001,28880,0,9,0.1,193.8166894573829,False,0.016270064347093965,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,12,1.8140000000000003,34213,0,0,0.0,0.0,False,-0.05478505912255498,8,2.0350000000000006,31592,119,0,0.0,2562.6873383809516,False,-0.09179622971625376,0.016666666666666666,154196,0.0,0.0,11,0,0,3,11,11.0,20,23,3,86.0,0.0,5,0,3,200,0.4925125762820244,18.352871425449848
23,3,0,0,0,10.000000000000002,20,10.0,6.378919657788182,3,7.0,20.683955113962003,12,15.0,30.00000000000001,20,30.0,1,0.8580000000000003,14517,255,0,0.0,2550.0000000000005,False,-0.1434150574962031,2,0.5170000000000001,15747,225,0,0.0,2250.0000000000005,False,-0.08483402039487958,3,0.6080000000000001,28943,0,3,0.3,62.051865341886014,False,0.01616897319366401,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,14,1.9420000000000002,34013,0,0,0.0,0.0,False,-0.06031053155044756,6,2.087,31363,131,0,0.0,2709.5981199290222,False,-0.09609351696418078,0.049999999999999996,153588,0.0,0.0,9,0,0,1,13,12.25,22,23,3,51.0,0.0,3,0,3,200,0.4214196726679802,18.77429109811783
24,3,0,0,0,10.000000000000002,20,10.0,6.378919657788182,0,,21.69499013635347,6,35.666666666666664,30.000000000000007,20,30.0,0,0.8570000000000002,14427,264,0,0.0,2640.0000000000005,False,-0.14585593404209157,0,0.5150000000000001,15637,236,0,0.0,2360.0000000000005,False,-0.08781731395096551,3,0.6350000000000001,29058,0,0,0.0,0.0,False,0.019114088310595165,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,11,2.0380000000000007,33871,0,1,0.1,30.000000000000007,False,-0.06381920654215935,9,2.1710000000000007,31065,136,0,0.0,2950.518658544072,False,-0.10099847139816451,0.016666666666666666,153063,0.0,0.0,10,0,0,3,12,11.4,18,21,4,51.0,0.0,3,0,4,200,0.431717149913311,19.20600824803114
25,4,0,0,0,10.000000000000002,20,10.0,6.496364360958635,2,9.0,21.69499013635347,0,,30.000000000000004,8,30.0,0,0.8570000000000002,14317,275,0,0.0,2750.0000000000005,False,-0.14883922759817747,2,0.5350000000000001,15523,245,0,0.0,2450.0000000000005,False,-0.09155999132132783,0,0.6320000000000001,29040,0,2,0.2,43.38998027270694,False,0.019243677976233824,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,0,2.027,33871,0,1,0.0,30.000000000000004,False,-0.06381920654215935,8,2.2420000000000004,30987,136,0,0.0,2950.518658544072,False,-0.1031534056450426,0.03333333333333333,152743,0.0,0.0,8,0,0,1,4,4.0,22,23,6,50.0,3.0,3,1,6,200,0.4438997255638242,19.649907973594964
26,6,0,0,0,10.000000000000002,20,10.0,6.062320582064903,7,3.5714285714285716,23.83942938010105,10,41.0,30.000000000000007,12,30.0,5,0.9070000000000003,14079,289,0,0.0,2890.0000000000005,False,-0.15795183336949448,2,0.5530000000000002,15439,251,0,0.0,2510.0000000000005,False,-0.094489043176394,8,0.7120000000000002,29149,0,7,0.7,166.87600566070734,False,0.025231929394674467,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,0,2.027,33666,0,6,0.5,180.00000000000006,False,-0.06741076362028954,12,2.3540000000000005,30626,141,0,0.0,3361.3595425942476,False,-0.10745165843471312,0.19999999999999998,151964,0.0,0.0,12,0,0,1,10,9.6,25,26,6,86.0,3.0,5,1,6,200,0.5815160237252712,20.231423997320235
27,6,0,0,0,10.000000000000002,20,10.0,6.194486363922032,2,9.0,24.836890829270672,5,41.0,30.00000000000001,10,30.0,0,0.9020000000000001,13959,301,0,0.0,3010.0000000000005,False,-0.1612063354306791,2,0.5710000000000002,15335,259,0,0.0,2590.0000000000005,False,-0.09796051204165762,0,0.7040000000000002,29336,0,4,0.2,99.34756331708269,False,0.030606171979747517,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,0,2.027,33666,0,6,0.0,180.00000000000006,False,-0.06741076362028954,10,2.4420000000000006,30305,146,0,0.0,3626.186061073518,False,-0.11266181261640075,0.03333333333333333,151606,0.0,0.0,10,0,0,2,6,6.0,26,28,6,86.0,3.0,5,1,6,405,0.534599132835865,20.7660231301561
28,6,0,0,0,10.000000000000002,20,10.0,5.8396145393937555,5,3.0,25.81743472923291,5,41.0,30.000000000000007,10,30.0,5,0.9520000000000002,13739,314,0,0.0,3140.0000000000005,False,-0.16961379908873941,0,0.5690000000000001,15265,266,0,0.0,2660.0000000000005,False,-0.09985897157734866,1,0.7140000000000002,29494,0,5,0.5,129.08717364616456,False,0.036669013671766615,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,0,2.027,33461,0,11,0.5,330.00000000000006,False,-0.07100232069841972,10,2.532000000000001,30192,146,0,0.0,3769.345470468005,False,-0.11380614611465349,0.16666666666666666,151156,0.0,0.0,11,0,0,9,6,5.2,17,26,7,101.0,0.0,6,0,7,200,0.5649262266233563,21.330949356779456
29,7,0,0,0,10.000000000000002,20,10.0,5.91962619678165,3,7.0,26.776206141284245,5,41.0,30.000000000000007,10,30.0,1,0.9570000000000003,13631,323,0,0.0,3230.0000000000005,False,-0.1730310262529833,2,0.5890000000000001,15131,277,0,0.0,2770.0000000000005,False,-0.10414406595790844,0,0.7130000000000001,29678,0,3,0.3,80.32861842385273,False,0.04226718722028291,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,0,2.027,33256,0,16,0.5,480.0000000000001,False,-0.0745938777765499,10,2.6220000000000003,30077,146,0,0.0,3909.3260966274997,False,-0.11504964503498319,0.13333333333333333,150778,0.0,0.0,11,0,0,10,7,7.0,17,27,8,109.0,0.0,7,0,8,405,0.7623223792761564,22.093271736055613
30,8,0,0,0,10.000000000000002,20,10.0,5.6646983892625835,9,4.555555555555555,27.70879809711056,5,41.0,30.000000000000004,13,30.0,7,1.0260000000000002,13409,332,0,0.0,3320.0000000000005,False,-0.18263180733347797,2,0.607,14997,288,0,0.0,2880.0000000000005,False,-0.10842916033846821,2,0.7330000000000001,29778,0,9,0.9,249.37918287399503,False,0.04873880655970947,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,0,2.027,33256,0,16,0.0,480.00000000000006,False,-0.0745938777765499,13,2.742000000000001,29700,151,0,0.0,4184.0285126636945,False,-0.12167050899735198,0.15,150145,0.0,0.0,10,0,0,10,10,9.4,17,27,4,125.0,0.0,8,0,4,200,0.8159512123093009,22.909222948364913
31,4,0,0,0,10.000000000000002,20,10.0,5.359352474537032,9,3.888888888888889,27.70879809711056,0,,30.00000000000001,11,30.0,7,1.0890000000000002,13214,338,0,0.0,3380.0000000000005,False,-0.19158168800173572,2,0.6250000000000001,14833,302,0,0.0,3020.0000000000005,False,-0.11352788023432415,0,0.7310000000000001,29743,0,18,0.9,498.75836574799007,False,0.051884374947357204,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,0,2.027,33256,0,16,0.0,480.00000000000017,False,-0.0745938777765499,11,2.8390000000000004,29566,151,0,0.0,4184.0285126636945,False,-0.12537257552404002,0.15,149617,0.0,0.0,10,0,0,11,8,8.0,14,25,4,69.0,0.0,4,0,4,200,0.5180130256339908,23.427235973998904
