index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,15,0,0,0,10.000000000000002,20,10.0,20.902834500042104,32,18.0,33.85337565079452,22,29.40909090909091,32.0,20,32.0,0,0.2,31727,5,146,1.0,3101.813837006147,False,0.0252921378594163,22,0.49200000000000005,34190,7,10,1.0,279.02834500042104,False,0.05769215184706567,0,0.2,38145,0,0,0.0,0.0,False,0.0065174943268774075,12,0.5630000000000001,37712,107,10,1.0,2575.1370480124506,False,0.029066666420555783,10,2.0010000000000003,50648,107,0,0.0,3622.3111946350136,False,-0.08715884322897081,7,0.7830000000000001,56829,0,0,0.0,0.0,False,-0.011119231572353309,0.5,249251,0.0,0.0,12,0,0,8,12,11.4375,18,26,17,121.0,21.0,8,7,17,488,2.149353865010198,105.21319909690646
21,17,0,0,0,10.000000000000002,20,10.0,21.74967615540695,23,28.0,33.74679864294277,7,31.857142857142858,32.0,20,32.0,0,0.2,31617,6,156,1.0,3452.949480243484,False,0.027312282100062826,13,0.6000000000000001,34446,6,10,1.0,277.4967615540695,False,0.06555591646723459,0,0.2,38145,0,0,0.0,0.0,False,0.0065174943268774075,0,0.5510000000000002,37291,120,13,1.0,3048.6695210070898,False,0.02420536071833725,10,2.091,50457,110,0,0.0,3712.147850723705,False,-0.0897008087046382,10,0.8760000000000003,56569,0,4,0.4,128.0,False,-0.014529825294076704,0.5666666666666667,248525,0.0,0.0,13,0,0,10,10,9.09090909090909,18,28,19,114.0,21.0,10,7,19,423,2.4232691220240667,107.63646821893053
22,19,0,0,0,10.000000000000002,20,10.0,21.32767769133976,22,18.0,33.056089797661166,9,24.0,32.0,20,32.0,0,0.2,31517,6,166,1.0,3600.3944967623997,False,0.02650267271717037,12,0.7070000000000001,34478,6,10,1.0,273.2767769133976,False,0.06647682744729017,0,0.2,38145,0,0,0.0,0.0,False,0.0065174943268774075,0,0.5510000000000002,37111,132,14,1.0,3278.0387124241042,False,0.022481908180169267,7,2.1510000000000002,50171,119,0,0.0,3933.6746859216787,False,-0.09275009843807266,9,0.9560000000000002,56594,0,0,0.0,0.0,False,-0.015208463840746155,0.5,248016,0.0,0.0,13,0,0,7,9,8.045454545454545,20,27,18,119.0,43.0,8,11,18,512,2.3729658169904724,110.009434035921
23,18,0,0,0,10.000000000000002,20,10.0,21.32812200683692,15,21.333333333333332,33.292926021947366,10,36.0,32.0,20,32.0,0,0.2,31407,7,176,1.0,3823.7494732032983,False,0.0265543561204562,5,0.7450000000000001,34598,5,10,1.0,263.28122006836924,False,0.07002004529174553,0,0.2,38145,0,0,0.0,0.0,False,0.0065174943268774075,0,0.5510000000000002,37151,137,14,1.0,3388.053679243921,False,0.02498883422929869,15,2.2940000000000005,49568,129,0,0.0,4294.78745683121,False,-0.10010103486434876,5,0.9970000000000001,56551,0,0,0.0,0.0,False,-0.015956706340920165,0.5,247420,0.0,0.0,12,0,0,9,12,12.0,22,31,21,142.0,36.0,10,8,21,840,2.3922011989634484,112.40163523488445
24,21,0,0,0,10.000000000000002,20,10.0,20.905428154496562,25,18.0,33.058041045946744,22,31.863636363636363,32.0,20,32.0,0,0.2,31307,7,186,1.0,3958.4096367363604,False,0.0255477961107984,15,0.8900000000000001,34618,5,10,1.0,259.05428154496565,False,0.07057112921010812,0,0.2,38145,0,0,0.0,0.0,False,0.0065174943268774075,8,0.631,37144,152,10,1.0,3508.205489942945,False,0.026389327800186678,11,2.3890000000000007,49102,141,0,0.0,4661.183787478491,False,-0.10502206630230317,9,1.0820000000000003,56065,0,10,1.0,320.0,False,-0.021629428551541728,0.6666666666666666,246381,0.0,0.0,9,0,0,15,14,13.1,17,32,22,150.0,34.0,11,10,22,371,2.4088190239854157,114.81045425886987
25,22,0,0,0,10.000000000000002,20,10.0,20.571564303080905,23,18.0,32.615584063079865,7,25.0,32.0,20,32.0,0,0.2,31207,7,196,1.0,4102.026603403858,False,0.02467921562996966,13,1.0050000000000001,34646,5,10,1.0,255.71564303080905,False,0.07138237734588547,0,0.2,38145,0,0,0.0,0.0,False,0.0065174943268774075,0,0.6230000000000001,36905,165,13,1.0,3818.3107028283875,False,0.02417424010275456,11,2.4880000000000004,48778,148,0,0.0,4827.10644133582,False,-0.10921637745061752,0,1.073,56353,0,1,0.0,32.0,False,-0.019123686225377603,0.5,246034,0.0,0.0,16,0,0,11,7,6.565217391304348,23,34,16,146.0,37.0,14,8,16,663,2.8255968170124106,117.63605107588228
26,16,0,0,0,10.000000000000002,20,10.0,20.829869377488137,9,26.0,32.00504693650904,10,25.0,32.0,20,32.0,0,0.2,31117,6,206,1.0,4350.953091762556,False,0.02574102800262736,0,0.9920000000000002,34770,6,11,1.0,289.1285631523695,False,0.07571754264337992,0,0.2,38145,0,0,0.0,0.0,False,0.0065174943268774075,0,0.6230000000000001,36921,164,13,1.0,3832.1641880826724,False,0.024779199272820192,11,2.5870000000000006,48382,158,0,0.0,5056.797415968428,False,-0.11410874385772583,8,1.1530000000000002,56305,0,0,0.0,0.0,False,-0.020237349481450548,0.5,245640,0.0,0.0,13,0,0,8,9,9.0,20,28,17,126.0,36.0,8,8,17,716,2.073274984024465,119.70932605990674
27,17,0,0,0,10.000000000000002,20,10.0,20.276546107437188,26,16.653846153846153,32.00504693650904,0,,32.0,20,32.0,0,0.2,30987,9,216,1.0,4469.733959206433,False,0.02356554763543208,15,1.1420000000000001,34738,3,10,1.0,232.76546107437187,False,0.0738633493710814,0,0.2,38145,0,0,0.0,0.0,False,0.0065174943268774075,0,0.6230000000000001,36488,180,23,1.0,4385.894378878402,False,0.020659327390342618,11,2.6860000000000004,48236,158,0,0.0,5056.797415968428,False,-0.11664928816064224,9,1.235,56202,0,0,0.0,0.0,False,-0.02202965128419294,0.5,244796,0.0,0.0,7,0,0,11,15,15.0,19,30,17,98.0,21.0,10,7,17,508,2.531695034005679,122.24102109391242
28,17,0,0,0,10.000000000000002,20,10.0,20.83249477957904,19,26.0,33.778572961695964,14,48.0,32.0,20,32.0,0,0.2,30897,8,226,1.0,4788.143820184863,False,0.025697751181330147,9,1.217,34924,4,10,1.0,248.3249477957904,False,0.07983370224906472,0,0.2,38145,0,0,0.0,0.0,False,0.0065174943268774075,0,0.623,36666,189,19,1.0,4579.134399612662,False,0.0279056203442486,15,2.8250000000000006,47322,172,0,0.0,5809.914549411706,False,-0.1260013002939748,5,1.276,56159,0,0,0.0,0.0,False,-0.02277789378436695,0.5,244113,0.0,0.0,13,0,0,9,12,11.9,23,32,20,142.0,36.0,10,7,20,1106,2.0270690649631433,124.26809015887557
29,20,0,0,0,10.000000000000002,20,10.0,21.087479954896118,47,22.04255319148936,33.778572961695964,0,,32.0,20,32.0,0,0.2,30757,12,236,1.0,5096.645269355484,False,0.026136815931162603,37,1.5780000000000003,34826,0,10,1.0,210.87479954896116,False,0.07623740332669329,0,0.2,38145,0,0,0.0,0.0,False,0.0065174943268774075,0,0.6230000000000001,35630,226,29,1.0,5745.349085695706,False,0.01595531539521488,11,2.920000000000001,47176,172,0,0.0,5809.914549411706,False,-0.12854184459689122,9,1.361,56057,0,0,0.0,0.0,False,-0.024552794598733208,0.5,242591,0.0,0.0,13,0,0,6,13,13.0,20,26,14,125.0,51.0,8,12,14,460,1.9813363410066813,126.24942649988225
