,game_index,t,sold_quantity_0,unit_price_0,sold_quantity_1,unit_price_1,sold_quantity_2,unit_price_2
206,2,6,20,10.0,24,22.0,19,21.36842105263158
207,2,7,20,10.0,53,10.924528301886792,23,22.217391304347824
208,2,8,20,10.0,50,19.16,13,18.384615384615387
209,2,9,20,10.0,24,15.666666666666664,49,20.10204081632653
210,2,10,20,10.0,51,16.098039215686278,13,38.0
211,2,11,20,10.0,13,8.692307692307693,40,29.175
212,2,12,20,10.0,56,10.482142857142858,11,26.72727272727273
213,2,13,20,10.0,13,8.615384615384615,33,15.87878787878788
214,2,14,20,10.0,82,11.024390243902438,42,17.19047619047619
215,2,15,20,10.0,2,8.0,16,18.25
216,2,16,20,10.0,27,17.85185185185185,20,22.75
217,2,17,20,10.0,25,18.52,14,17.642857142857142
218,2,18,20,10.0,60,16.066666666666666,26,17.423076923076927
219,2,19,20,10.0,0,,24,23.29166666666667
220,2,20,20,10.0,57,17.333333333333332,38,15.86842105263158
221,2,21,20,10.0,5,8.0,29,29.896551724137932
222,2,22,20,10.0,11,7.1818181818181825,38,29.894736842105264
223,2,23,20,10.0,19,7.0,4,12.0
224,2,24,20,10.0,49,11.693877551020408,5,30.2
225,2,25,20,10.0,66,12.909090909090908,5,12.0
226,2,26,20,10.0,7,8.0,31,19.774193548387093
227,2,27,20,10.0,20,20.75,48,17.3125
228,2,28,20,10.0,51,14.705882352941178,12,25.33333333333333
229,2,29,20,10.0,28,6.678571428571429,8,16.0
230,2,30,20,10.0,16,14.125,17,22.352941176470583
231,2,31,20,10.0,13,22.0,18,27.277777777777782
232,2,32,20,10.0,47,6.297872340425532,28,14.642857142857142
233,2,33,20,10.0,51,7.019607843137255,6,18.0
234,2,34,20,10.0,17,19.47058823529412,12,17.25
235,2,35,20,10.0,19,23.0,70,17.728571428571428
236,2,36,20,10.0,29,15.10344827586207,49,19.346938775510203
237,2,37,20,10.0,37,7.756756756756758,43,17.372093023255815
238,2,38,20,10.0,42,15.428571428571427,11,17.09090909090909
239,2,39,20,10.0,0,,41,17.975609756097562
240,2,40,20,10.0,67,12.014925373134327,42,20.5
241,2,41,20,10.0,68,10.308823529411764,56,19.428571428571427
242,2,42,20,10.0,67,16.26865671641791,54,17.12962962962963
243,2,43,20,10.0,0,,55,14.49090909090909
244,2,44,20,10.0,14,20.857142857142858,51,17.901960784313726
245,2,45,20,10.0,9,23.0,19,19.0
246,2,46,20,10.0,22,21.272727272727273,12,18.58333333333333
247,2,47,20,10.0,2,8.0,0,
248,2,48,20,10.0,11,23.0,9,18.222222222222218
249,2,49,20,10.0,50,17.000000000000004,7,15.0
250,2,50,20,10.0,17,20.647058823529417,22,36.0
251,2,51,20,10.0,13,22.0,0,
252,2,52,20,10.0,13,20.69230769230769,0,
253,2,53,20,10.0,11,22.0,21,23.23809523809524
254,2,54,20,10.0,5,23.0,11,20.63636363636364
255,2,55,20,10.0,10,22.0,13,23.30769230769231
256,2,56,20,10.0,43,17.418604651162788,39,23.76923076923077
257,2,57,20,10.0,16,22.3125,4,12.0
258,2,58,20,10.0,17,17.705882352941178,22,21.318181818181817
259,2,59,20,10.0,6,23.0,14,36.285714285714285
260,2,60,20,10.0,14,22.0,10,27.0
261,2,61,20,10.0,0,,9,19.0
262,2,62,20,10.0,17,21.235294117647054,8,30.75
263,2,63,20,10.0,11,22.63636363636364,1,19.0
264,2,64,20,10.0,13,22.23076923076923,14,24.857142857142854
265,2,65,20,10.0,28,15.0,5,35.0
266,2,66,20,10.0,69,18.536231884057973,3,18.0
267,2,67,20,10.0,0,,10,38.0
268,2,68,20,10.0,12,22.0,12,25.25
