index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,19,0,0,0,10.000000000000002,20,10.0,21.19117693539982,39,22.23076923076923,31.884064525775848,5,48.0,36.00000000000001,20,36.0,0,0.2,21496,4,13,1.0,315.48530016019765,False,0.13186674246406865,3,0.554,16039,228,0,0.0,2280.0000000000005,False,-0.1020333490146882,0,0.7220000000000002,28981,38,24,1.0,1570.4822721638136,False,0.027485023682495894,0,0.2,29432,0,4,0.0,127.53625810310339,False,0.018148710012134976,12,1.9670000000000005,35247,97,0,0.0,3092.754259000257,False,-0.1229648853570717,8,1.693,37143,109,0,0.0,3475.3630333095675,False,-0.07321029946951797,0.3333333333333333,168338,0.0,0.0,12,0,0,9,9,9.0,16,25,20,156.0,54.0,11,8,20,1304,0.8226280082017183,20.616172472015023
21,20,0,0,0,10.000000000000002,20,10.0,21.19117693539982,0,,32.11687394334534,49,32.57142857142857,36.00000000000001,20,36.0,0,0.2,21396,4,23,1.0,527.3970695141959,False,0.13217806360133286,0,0.551,15939,238,0,0.0,2380.0000000000005,False,-0.10464690815953165,25,0.9720000000000002,29681,28,10,1.0,914.5216936246484,False,0.040326573932078884,0,0.2,29432,0,4,0.0,128.46749577338136,False,0.018164782460707293,8,2.0350000000000006,35154,97,0,0.0,3115.3367725044977,False,-0.12491255753593994,12,1.805,35374,158,0,0.0,5074.466083048564,False,-0.0963188157531397,0.3333333333333333,166976,0.0,0.0,8,0,0,8,10,9.41025641025641,18,26,23,156.0,69.0,12,8,23,236,0.8500731810927391,21.466245653107762
22,23,0,0,0,10.000000000000002,20,10.0,21.19117693539982,0,,32.651263781915425,16,37.0,36.0,20,36.0,0,0.2,21316,2,33,1.0,719.308838868194,False,0.13301209656756557,0,0.551,15819,250,0,0.0,2500.0000000000005,False,-0.10778317913334379,6,1.0070000000000001,30099,18,10,1.0,707.953822656351,False,0.051190090139046476,0,0.2,29432,0,4,0.0,130.6050551276617,False,0.018201675097129166,9,2.1170000000000004,35037,97,0,0.0,3167.172586845796,False,-0.12708366005380195,11,1.903,34625,174,0,0.0,5681.319898053284,False,-0.10693983721809103,0.3333333333333333,166328,0.0,0.0,7,0,0,14,9,8.375,15,29,21,180.0,54.0,15,8,21,200,0.9049348495900631,22.371180502697825
23,21,0,0,0,10.000000000000002,20,10.0,21.136137899534642,14,20.642857142857142,33.188247616708615,39,35.0,36.0,20,36.0,0,0.2,21502,2,32,1.0,696.3564127851085,False,0.14213466135552522,3,0.5810000000000001,15659,260,0,0.0,2600.0000000000005,False,-0.11353300925199937,29,1.2910000000000001,30334,22,10,1.0,796.8775099568484,False,0.060836684673055655,0,0.2,29432,0,4,0.0,132.75299046683446,False,0.018238746815098957,8,2.1880000000000006,34956,97,0,0.0,3219.2600188207357,False,-0.12839364012656454,12,2.0120000000000005,33076,213,0,0.0,7069.096742358935,False,-0.12732293165571448,0.3333333333333333,164959,0.0,0.0,9,0,0,10,9,8.743589743589745,23,33,17,215.0,45.0,16,5,17,486,0.9797606132924557,23.35094111599028
24,17,0,0,0,10.000000000000002,20,10.0,21.419335353785243,13,24.153846153846153,33.188247616708615,0,,36.0,20,36.0,0,0.2,21704,3,30,1.0,672.5800606135573,False,0.15207203127420313,1,0.5880000000000001,15550,269,0,0.0,2690.0000000000005,False,-0.11687836495739899,0,1.262,30020,25,20,1.0,1199.2483361788036,False,0.05694249803553337,0,0.2,29432,0,4,0.0,132.75299046683446,False,0.018238746815098957,12,2.3000000000000007,34777,97,0,0.0,3219.2600188207357,False,-0.13266042120970717,8,2.0800000000000005,32996,213,0,0.0,7069.096742358935,False,-0.12922987292192348,0.3333333333333333,164479,0.0,0.0,10,0,0,6,8,8.0,22,28,13,133.0,28.0,12,5,13,512,0.8933386206626892,24.24427973665297
25,13,0,0,0,10.000000000000002,20,10.0,20.45531864724322,7,3.2857142857142856,33.188247616708615,0,,36.0,20,36.0,0,0.2,21592,6,38,1.0,837.3021085952424,False,0.15052276693835248,5,0.6370000000000001,15380,276,0,0.0,2760.0000000000005,False,-0.12393497464847629,0,1.2620000000000002,29997,22,30,1.0,1445.6644387406093,False,0.06040152638489148,0,0.2,29432,0,4,0.0,132.75299046683446,False,0.018238746815098957,7,2.3580000000000005,34708,97,0,0.0,3219.2600188207357,False,-0.13430515805181245,13,2.2020000000000004,32791,213,0,0.0,7069.096742358935,False,-0.13411640991658405,0.3333333333333333,163900,0.0,0.0,9,0,0,5,9,9.0,17,22,14,91.0,29.0,7,6,14,218,0.6829410642385483,24.92722080089152
26,14,0,0,0,10.000000000000002,20,10.0,20.592217542059593,3,26.0,33.188247616708615,0,,36.0,20,36.0,0,0.2,21590,4,45,1.0,966.6497893926817,False,0.15379880271268306,0,0.6320000000000001,15260,288,0,0.0,2880.0000000000005,False,-0.12707124562228844,0,1.2620000000000002,29919,15,40,1.0,1636.4131677992386,False,0.06100126282014568,0,0.2,29432,0,4,0.0,132.75299046683446,False,0.018238746815098957,13,2.4810000000000008,34499,97,0,0.0,3219.2600188207357,False,-0.13928704210978346,7,2.259000000000001,32720,213,0,0.0,7069.096742358935,False,-0.13580882029034455,0.3333333333333333,163420,0.0,0.0,8,0,0,7,8,8.0,19,26,14,84.0,45.0,9,5,14,278,0.6822530813515186,25.609473882243037
27,14,0,0,0,10.000000000000002,20,10.0,20.432550981792595,8,18.25,31.960759098664816,14,18.5,36.0,20,36.0,0,0.2,21653,2,48,1.0,1000.7624471260445,False,0.15798344172092527,1,0.6420000000000001,15122,300,0,0.0,3000.0000000000005,False,-0.1311483978882442,0,1.2620000000000002,30032,13,36,1.0,1416.2104903152372,False,0.061101320164225675,0,0.2,29432,0,4,0.0,127.84303639465926,False,0.018154004770360044,8,2.548000000000001,34241,104,0,0.0,3323.9189462611407,False,-0.1441895625207244,12,2.3720000000000003,32444,220,0,0.0,7031.3670017062595,False,-0.1428374451551028,0.3333333333333333,162924,0.0,0.0,12,0,0,4,9,9.0,19,23,17,125.0,60.0,9,5,17,602,0.7382697071880102,26.347743589431047
28,17,0,0,0,10.000000000000002,20,10.0,20.86336886733838,11,25.0,31.005393681361156,8,13.0,36.0,20,36.0,0,0.2,21848,0,47,1.0,980.5783367649038,False,0.16764879872366592,0,0.6410000000000001,15002,312,0,0.0,3120.0000000000005,False,-0.13428466886205634,0,1.2620000000000002,29861,14,38,1.0,1470.2921240344613,False,0.05613206979693577,0,0.2,29432,0,4,0.0,124.02157472544462,False,0.018088049270373625,12,2.660000000000001,34060,104,0,0.0,3224.5609428615603,False,-0.14968820386558976,8,2.4400000000000004,32247,228,0,0.0,7069.229759350344,False,-0.14708202517936753,0.3333333333333333,162450,0.0,0.0,9,0,0,6,8,8.0,21,27,16,164.0,63.0,11,6,16,579,0.8220294360071421,27.16977302543819
29,16,0,0,0,10.000000000000002,20,10.0,19.960142865221908,5,1.0,31.005393681361156,0,,35.99999999999999,20,36.0,0,0.2,21758,0,56,0.9,1117.7680004524268,False,0.16652992526403299,5,0.6910000000000002,14792,323,0,0.0,3230.0000000000005,False,-0.14238670221107103,0,1.2620000000000002,29856,9,48,1.0,1667.9001824923325,False,0.05937004111999193,0,0.2,29432,0,4,0.0,124.02157472544462,False,0.018088049270373625,11,2.758000000000001,33901,104,0,0.0,3224.5609428615603,False,-0.15347824963218015,9,2.5220000000000007,32141,228,0,0.0,7069.229759350344,False,-0.14960872235709446,0.31666666666666665,161880,0.0,0.0,9,0,0,9,9,9.0,16,25,17,114.0,64.0,10,6,17,200,0.8252753000706434,27.995048325508833
