index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,6,0,0,0,10.000000000000002,20,10.0,23.334330520412497,23,23.0,7.749976812241469,15,7.4,25.0,5,25.0,13,0.51,66157,11,10,1.0,343.343305204125,False,0.042280895889280946,0,0.2,61488,215,0,0.0,2150.0000000000005,False,-0.016892422766271724,9,0.9020000000000001,78815,178,0,0.0,4153.510832633425,False,-0.036475267213989714,6,1.1150000000000002,80648,39,0,0.0,910.0388902960874,False,-0.033958841208899526,0,0.2,104606,0,16,0.0,400.0,False,0.0004677491718930477,0,0.45200000000000007,107208,5,10,1.0,288.74988406120735,False,0.024775193467077117,0.3333333333333333,498922,0.0,0.0,6,0,0,7,4,3.2857142857142856,9,16,6,96.0,0.0,6,0,6,325,1.0163282610010356,28.843898469931446
21,6,0,0,0,10.000000000000002,20,10.0,23.312287446553974,10,23.0,7.871964000591245,9,9.0,25.0,10,25.0,0,0.4970000000000001,66307,9,10,1.0,323.1228744655397,False,0.04447910740803874,0,0.2,61368,227,0,0.0,2270.0000000000005,False,-0.017835255664854333,7,0.9630000000000001,78494,188,0,0.0,4382.710039952147,False,-0.03893376110755795,2,1.1290000000000002,80604,39,0,0.0,909.179210415605,False,-0.034488057683876853,0,0.2,104606,0,16,0.0,400.0,False,0.0004677491718930477,0,0.45200000000000007,107377,4,10,1.0,281.487856002365,False,0.026353789512884,0.3333333333333333,498756,0.0,0.0,9,0,0,9,2,2.0,8,17,6,76.0,15.0,5,1,6,680,0.9667751319939271,29.810673601925373
22,6,0,0,0,10.000000000000002,20,10.0,23.274131196623024,19,23.0,7.885731007537405,10,8.0,24.999999999999996,13,25.0,9,0.5870000000000002,66493,7,10,1.0,302.7413119662302,False,0.04724175266323767,0,0.2,61248,239,0,0.0,2390.0000000000005,False,-0.01877808856343694,7,1.026,77966,207,0,0.0,4817.745157700966,False,-0.04263200587404434,3,1.1570000000000003,80535,39,0,0.0,907.6911166682979,False,-0.0353187988858882,0,0.2,104606,0,16,0.0,399.99999999999994,False,0.0004677491718930477,3,0.48200000000000004,107532,4,10,1.0,281.5429240301496,False,0.027833667077284383,0.3333333333333333,498380,0.0,0.0,7,0,0,8,4,2.973684210526316,8,16,4,97.0,0.0,6,0,4,375,0.9074026000453159,30.71807620197069
23,4,0,0,0,10.000000000000002,20,10.0,23.232584554654746,25,23.0,7.636903142636767,17,6.411764705882353,25.0,8,25.0,15,0.7280000000000002,66713,4,10,1.0,272.3258455465475,False,0.050459834104988804,0,0.2,61118,252,0,0.0,2520.0000000000005,False,-0.019799490870234766,7,1.0890000000000002,77300,232,0,0.0,5389.959616679901,False,-0.047157016838507385,10,1.2540000000000002,80311,39,0,0.0,906.0707976315351,False,-0.037996576710868174,0,0.2,104606,0,16,0.0,400.0,False,0.0004677491718930477,0,0.47900000000000004,107623,11,12,1.0,384.00593456900447,False,0.0291913950121185,0.3333333333333333,497671,0.0,0.0,7,0,0,9,4,3.9375,6,15,6,63.0,0.0,4,0,6,607,0.8970299439970404,31.61510614596773
24,6,0,0,0,10.000000000000002,20,10.0,23.232584554654746,0,,7.772357208523009,10,9.0,25.0,7,25.0,0,0.7130000000000001,66613,4,20,1.0,504.65169109309494,False,0.05071381636045351,0,0.2,61018,262,0,0.0,2620.0000000000005,False,-0.02058518495238694,8,1.1620000000000001,77196,232,0,0.0,5389.959616679901,False,-0.04839579045262941,2,1.2640000000000002,80265,39,0,0.0,906.0707976315351,False,-0.038544495809422145,0,0.2,104606,0,16,0.0,400.0,False,0.0004677491718930477,0,0.47900000000000004,107708,11,15,1.0,460.4959292937531,False,0.03036787961326566,0.3333333333333333,497406,0.0,0.0,8,0,0,8,2,2.0,8,16,8,77.0,12.0,5,1,8,375,0.97960757301189,32.59471371897962
25,8,0,0,0,10.000000000000002,20,10.0,23.232584554654746,0,,7.771964775395519,13,7.769230769230769,24.999999999999996,8,25.0,0,0.7130000000000001,66503,5,30,1.0,746.9775366396424,False,0.050889229207703224,0,0.2,60928,271,0,0.0,2710.0000000000005,False,-0.021292309626323894,7,1.224,77105,232,0,0.0,5389.959616679901,False,-0.04947971736498617,6,1.322,80145,39,0,0.0,906.0707976315351,False,-0.039973849979562937,0,0.2,104606,0,16,0.0,399.99999999999994,False,0.0004677491718930477,0,0.47900000000000004,107807,14,17,1.0,533.8075068555372,False,0.031662836406424144,0.3333333333333333,497094,0.0,0.0,6,0,0,10,2,2.0,9,19,6,112.0,16.0,7,1,6,400,1.0141094470163807,33.608823165996
26,6,0,0,0,10.000000000000002,20,10.0,23.232584554654746,0,,7.368780584477603,7,2.0,24.999999999999993,9,25.0,0,0.7130000000000001,66403,5,40,1.0,979.3033821861899,False,0.05114321146316816,0,0.2,60828,281,0,0.0,2810.0000000000005,False,-0.02207800370847607,0,1.217,77105,232,0,0.0,5389.959616679901,False,-0.04947971736498617,7,1.3860000000000001,79991,39,0,0.0,906.0707976315351,False,-0.04180818783124362,0,0.2,104606,0,16,0.0,399.9999999999999,False,0.0004677491718930477,0,0.47900000000000015,108018,11,18,1.0,531.0565864292536,False,0.0336638916083376,0.3333333333333333,496951,0.0,0.0,8,0,0,9,1,1.0,7,16,6,94.0,0.0,6,0,6,425,0.9415214780019596,34.55034464399796
27,6,0,0,0,10.000000000000002,20,10.0,23.40923067538392,19,24.789473684210527,7.263156509006988,21,6.809523809523809,24.999999999999993,8,25.0,0,0.7130000000000001,66754,7,31,1.0,795.6861509369015,False,0.0552161142001391,0,0.2,60748,289,0,0.0,2890.0000000000005,False,-0.022706558974197807,8,1.2970000000000002,76530,251,0,0.0,5875.716899521364,False,-0.0534357094389704,13,1.5090000000000003,79692,39,0,0.0,912.9599963399729,False,-0.045328632368082634,0,0.2,104606,0,16,0.0,399.9999999999999,False,0.0004677491718930477,0,0.4790000000000001,108075,22,20,1.0,659.7894431981537,False,0.03482244357512221,0.3333333333333333,496405,0.0,0.0,9,0,0,9,3,3.0,6,15,8,65.0,9.0,5,1,8,871,0.9594885589904152,35.509833202988375
28,8,0,0,0,10.000000000000002,20,10.0,23.802696256464138,37,25.405405405405407,7.226391042006528,3,6.0,24.999999999999996,9,25.0,6,0.7730000000000001,67440,11,10,1.0,348.0269625646414,False,0.062478605256015646,0,0.2,60688,295,0,0.0,2950.0000000000005,False,-0.023177975423489112,0,1.2890000000000001,75782,282,0,0.0,6712.360344322887,False,-0.0573626012797312,3,1.5260000000000005,79446,45,0,0.0,1071.121331540886,False,-0.047316856066769324,0,0.2,104606,0,16,0.0,399.99999999999994,False,0.0004677491718930477,0,0.47900000000000004,108282,15,21,1.0,633.3958656300978,False,0.0366724699334178,0.3333333333333333,496244,0.0,0.0,11,0,0,10,2,1.375,8,18,6,126.0,0.0,8,0,6,965,1.0710897410172038,36.58092294400558
29,6,0,0,0,10.000000000000002,20,10.0,23.93367389873892,17,25.235294117647058,7.5259899434858255,8,11.0,24.999999999999993,10,25.0,7,0.8370000000000002,67604,13,10,1.0,369.33673898738925,False,0.06522311149774812,0,0.2,60608,303,0,0.0,3030.0000000000005,False,-0.023806530689210847,8,1.369,75377,295,0,0.0,7060.433800127981,False,-0.060113670580746785,0,1.5230000000000006,79318,49,0,0.0,1172.750021038207,False,-0.04823623638517403,0,0.2,104606,0,16,0.0,399.9999999999999,False,0.0004677491718930477,0,0.47900000000000004,108444,13,21,1.0,622.8378692653156,False,0.03816851317461039,0.3333333333333333,495957,0.0,0.0,8,0,0,8,4,3.090909090909091,9,17,6,96.0,0.0,6,0,6,450,0.9639733519870788,37.54489629599266
