index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,3,0,0,0,10.000000000000002,20,10.0,3.73325132242096,28,1.5714285714285714,19.41635435692887,9,18.0,44.0,20,44.0,24,1.9250000000000005,36686,206,0,0.0,2060.0000000000005,False,-0.13671633591979673,4,1.9500000000000006,36221,214,0,0.0,2140.0000000000005,False,-0.1464441850351347,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,9,3.1970000000000005,54679,369,0,0.0,1377.5697379733342,False,-0.16977380613305343,8,0.5950000000000001,100769,0,9,0.9,396.0,False,0.027131230925737538,2,0.256,102241,16,10,1.0,750.6616697108619,False,0.04390977451531462,0.31666666666666665,397924,0.0,0.0,16,0,0,11,11,10.333333333333332,17,28,4,42.0,0.0,3,0,4,552,0.9663693830370903,37.12872778810561
21,4,0,0,0,10.000000000000002,20,10.0,3.5524585426261943,38,2.789473684210526,19.156228328534027,21,17.428571428571427,44.00000000000001,20,44.0,25,2.1510000000000002,35936,219,0,0.0,2190.0000000000005,False,-0.15239533978804734,13,2.0760000000000005,35835,221,0,0.0,2210.0000000000005,False,-0.15447824395156676,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,21,3.398,53880,407,0,0.0,1445.850626848861,False,-0.181242685358758,3,0.617,100974,0,9,0.9,396.00000000000006,False,0.02921668362156663,0,0.254,102389,18,12,1.0,872.8121099136126,False,0.046036684180638957,0.31666666666666665,396342,0.0,0.0,20,0,0,11,9,8.666666666666668,16,27,4,56.0,0.0,4,0,4,904,1.0022531133145094,38.130980901420116
22,4,0,0,0,10.000000000000002,20,10.0,3.156188948290509,56,1.8928571428571428,19.056552273220504,7,17.0,44.00000000000001,20,44.0,34,2.4660000000000006,34723,229,0,0.0,2290.0000000000005,False,-0.17901531277896038,22,2.283000000000001,35109,231,0,0.0,2310.0000000000005,False,-0.1699512463091396,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,7,3.447,53620,463,0,0.0,1461.3154830585056,False,-0.18502537499581262,2,0.6340000000000001,101351,0,0,0.0,0.0,False,0.03103763987792472,0,0.254,102666,15,13,1.0,857.8482840983077,False,0.04877847550406063,0.16666666666666666,394797,0.0,0.0,24,0,0,15,8,8.0,12,27,3,68.0,0.0,4,0,3,992,0.9871880058199167,39.11816890724003
23,3,0,0,0,10.000000000000002,20,10.0,3.152574773440204,5,3.0,18.514042580054966,31,16.129032258064516,44.00000000000001,20,44.0,0,2.432000000000001,34573,244,0,0.0,2440.0000000000005,False,-0.18073199203460824,5,2.3110000000000004,34954,236,0,0.0,2360.0000000000005,False,-0.17292682368559592,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,31,3.750000000000001,52296,468,0,0.0,1475.4049939700153,False,-0.20477279206800106,6,0.6920000000000002,100983,7,10,1.0,569.5982980603849,False,0.030191242614752735,1,0.264,103020,19,10,1.0,791.7668090210444,False,0.05204357481699408,0.3333333333333333,393154,0.0,0.0,20,0,0,12,10,10.0,14,26,1,46.0,0.0,3,0,1,772,0.9169851150363684,40.0351540222764
24,1,0,0,0,10.000000000000002,20,10.0,3.1306623219926424,2,1.0,18.269954135890114,25,16.8,44.00000000000001,20,44.0,2,2.4520000000000004,34407,256,0,0.0,2560.0000000000005,False,-0.18315823204925724,0,2.306000000000001,34874,244,0,0.0,2440.0000000000005,False,-0.1738423859552748,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,25,3.9690000000000007,51350,470,0,0.0,1471.4112913365418,False,-0.2189877695956175,0,0.6860000000000002,101291,0,10,0.7,440.00000000000006,False,0.03266531027466938,3,0.29300000000000004,103016,34,10,1.0,1061.178440620264,False,0.05337323723611521,0.2833333333333333,392266,0.0,0.0,22,0,0,7,6,6.0,16,23,4,18.0,0.0,1,0,4,948,0.890472368337214,40.925626390613616
25,4,0,0,0,10.000000000000002,20,10.0,3.0876066750017497,7,2.0,18.170293038255974,22,17.454545454545453,44.00000000000001,20,44.0,0,2.450000000000001,34347,262,0,0.0,2620.0000000000005,False,-0.1838449037515164,7,2.376000000000001,34580,258,0,0.0,2580.0000000000005,False,-0.17896953466547644,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,22,4.164000000000001,50599,477,0,0.0,1472.7883839758347,False,-0.2302385036439059,1,0.6960000000000002,101543,0,10,1.0,440.00000000000006,False,0.03522889114954222,0,0.29000000000000004,103208,36,11,1.0,1138.1305493772152,False,0.05571785630405498,0.3333333333333333,391605,0.0,0.0,21,0,0,10,5,5.0,16,26,3,69.0,0.0,4,0,3,1036,0.9988305950537324,41.92445698566735
26,3,0,0,0,10.000000000000002,20,10.0,3.4556366036335984,20,6.5,17.90653531225255,35,16.685714285714287,44.00000000000001,20,44.0,10,2.5500000000000007,34117,272,0,0.0,2720.0000000000005,False,-0.1879649339650713,10,2.4690000000000007,34260,268,0,0.0,2680.0000000000005,False,-0.18514957998580878,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,35,4.492,48928,497,0,0.0,1717.4513920058985,False,-0.2534604034187592,0,0.6950000000000001,101617,9,11,1.0,645.158817810273,False,0.03702522287797695,0,0.29000000000000004,103430,42,10,1.0,1192.0744831146071,False,0.058250633179626726,0.3333333333333333,389680,0.0,0.0,22,0,0,3,6,6.0,24,27,3,53.0,0.0,3,0,3,1080,0.9386004554107785,42.863057441078126
27,3,0,0,0,10.000000000000002,20,10.0,3.5265553103227765,25,4.0,17.73674297278659,11,15.0,44.0,20,44.0,14,2.680000000000001,33744,278,0,0.0,2780.0000000000005,False,-0.1958158804275676,11,2.569000000000001,33900,282,0,0.0,2820.0000000000005,False,-0.19178740644098058,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,11,4.567,48516,522,0,0.0,1840.8618719884894,False,-0.2587129864148412,0,0.6950000000000002,101881,0,14,0.9,616.0,False,0.03956256358087487,4,0.33000000000000007,103664,43,10,1.0,1202.6799478298235,False,0.06068504551286793,0.31666666666666665,389033,0.0,0.0,16,0,0,2,7,6.5,22,24,3,54.0,0.0,3,0,3,860,0.9891223618760705,43.8521798029542
28,3,0,0,0,10.000000000000002,20,10.0,3.5265553103227765,0,,17.614717598136725,19,16.526315789473685,43.99999999999999,20,44.0,0,2.666000000000001,33634,289,0,0.0,2890.0000000000005,False,-0.19707477854837602,0,2.558000000000001,33810,291,0,0.0,2910.0000000000005,False,-0.1928174139943693,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,19,4.746,47885,522,0,0.0,1840.8618719884894,False,-0.268174674823898,0,0.6950000000000002,102277,0,5,0.0,219.99999999999997,False,0.04157680569684639,1,0.336,103782,52,10,1.0,1355.9653151031096,False,0.06266513385098231,0.16666666666666666,388716,0.0,0.0,24,0,0,3,4,4.0,24,27,3,54.0,0.0,3,0,3,1036,1.0096440399065614,44.86182384286076
29,3,0,0,0,10.000000000000002,20,10.0,3.797778453617407,19,6.2631578947368425,17.386930074707635,43,16.488372093023255,43.99999999999999,20,44.0,7,2.7360000000000007,33401,299,0,0.0,2990.0000000000005,False,-0.20126347593215685,12,2.6780000000000013,33506,301,0,0.0,3010.0000000000005,False,-0.1986312344068301,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,43,5.157,45576,541,0,0.0,2054.5981434070172,False,-0.3011950956409731,3,0.7250000000000001,102127,10,10,1.0,613.8693007470763,False,0.04205426907806249,2,0.3550000000000001,103834,65,10,1.0,1570.1504548559963,False,0.0642835730155442,0.3333333333333333,385772,0.0,0.0,20,0,0,2,11,9.833333333333332,24,26,3,54.0,0.0,3,0,3,728,1.0721970414742827,45.93402088433504
