index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,2,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,22.62954347038522,4,15.0,40.00000000000001,0,,0,0.45200000000000007,12365,203,0,0.0,2030.0000000000005,False,-0.10561497326203209,0,0.5690000000000001,11851,217,0,0.0,2170.0000000000005,False,-0.13529411764705881,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,4,2.7240000000000006,17921,48,0,0.0,337.0270582669788,False,-0.23310524295686416,0,0.542,35451,0,8,0.4,320.00000000000006,False,0.06269770217845419,0,0.5780000000000001,33447,19,34,1.0,1789.9613259373193,False,0.024827832377459183,0.2333333333333333,135452,0.0,0.0,8,0,0,3,1,1.0,14,17,2,36.0,0.0,2,0,2,200,0.3309612129814923,9.963538419164252
21,2,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,22.408947686281643,4,15.0,40.00000000000001,0,,0,0.45200000000000007,12225,217,0,0.0,2170.0000000000005,False,-0.11029411764705882,0,0.5690000000000001,11791,223,0,0.0,2230.0000000000005,False,-0.1372994652406417,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,4,2.7600000000000007,17845,48,0,0.0,337.0270582669788,False,-0.23632722023344546,0,0.542,35391,0,12,0.4,480.0000000000001,False,0.06329453894359893,0,0.5780000000000001,33447,9,44,1.0,1961.680529176535,False,0.027390040721822353,0.2333333333333333,135116,0.0,0.0,7,0,0,5,1,1.0,13,18,2,36.0,0.0,2,0,2,200,0.32194936397718266,10.285487783141434
22,2,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,22.408947686281643,0,,40.00000000000001,0,,0,0.45200000000000007,12105,229,0,0.0,2290.0000000000005,False,-0.1143048128342246,0,0.5690000000000001,11711,231,0,0.0,2310.0000000000005,False,-0.13997326203208557,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,0,2.756000000000001,17845,48,0,0.0,337.0270582669788,False,-0.23632722023344546,0,0.542,35391,0,12,0.0,480.0000000000001,False,0.06329453894359893,0,0.5780000000000001,33447,0,53,0.9,2120.0000000000005,False,0.029752312742464936,0.15,134916,0.0,0.0,8,0,0,7,0,0.0,10,17,2,36.0,0.0,2,0,2,200,0.32882789202267304,10.614315675164107
23,2,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,22.178336710897103,4,15.0,40.00000000000001,0,,0,0.45200000000000007,12025,237,0,0.0,2370.0000000000005,False,-0.11697860962566844,0,0.5690000000000001,11591,243,0,0.0,2430.0000000000005,False,-0.14398395721925134,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,4,2.7960000000000007,17769,48,0,0.0,337.0270582669788,False,-0.2395491975100268,0,0.542,35331,0,16,0.4,640.0000000000001,False,0.06389137570874366,0,0.5780000000000001,33447,0,53,0.0,2120.0000000000005,False,0.029752312742464936,0.06666666666666667,134580,0.0,0.0,8,0,0,8,1,1.0,9,17,2,36.0,0.0,2,0,2,200,0.3338846480473876,10.948200323211495
24,2,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,21.607080975862935,10,15.0,40.00000000000001,0,,0,0.45200000000000007,11965,243,0,0.0,2430.0000000000005,False,-0.11898395721925134,0,0.5690000000000001,11451,257,0,0.0,2570.0000000000005,False,-0.14866310160427806,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,10,2.8920000000000012,17547,48,0,0.0,337.0270582669788,False,-0.2489607627126722,0,0.542,35241,0,22,0.6,880.0000000000001,False,0.06478663085646076,0,0.5780000000000001,33387,0,57,0.4,2280.0000000000005,False,0.03034914950760967,0.16666666666666666,134008,0.0,0.0,7,0,0,7,2,2.0,10,17,2,36.0,0.0,2,0,2,200,0.3436689949594438,11.291869318170939
25,2,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,21.381377289832784,4,15.0,40.00000000000001,0,,0,0.45200000000000007,11875,252,0,0.0,2520.0000000000005,False,-0.12199197860962567,0,0.5690000000000001,11341,268,0,0.0,2680.0000000000005,False,-0.15233957219251337,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,4,2.922000000000001,17471,48,0,0.0,337.0270582669788,False,-0.2521827399892535,0,0.542,35181,0,26,0.4,1040.0000000000002,False,0.06538346762160549,0,0.5780000000000001,33387,0,57,0.0,2280.0000000000005,False,0.03034914950760967,0.06666666666666667,133672,0.0,0.0,8,0,0,7,1,1.0,10,17,2,36.0,0.0,2,0,2,200,0.3477996150031686,11.639668933174107
26,2,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,21.092322982729133,5,15.0,40.000000000000014,6,40.0,0,0.45200000000000007,11745,265,0,0.0,2650.0000000000005,False,-0.12633689839572193,0,0.5690000000000001,11271,275,0,0.0,2750.0000000000005,False,-0.15467914438502675,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,5,2.968000000000001,17376,48,0,0.0,337.0270582669788,False,-0.25621021158498014,0,0.542,35421,0,20,0.0,800.0000000000002,False,0.06896448821247389,0,0.5780000000000001,33312,0,62,0.5,2480.000000000001,False,0.031095195464040586,0.08333333333333333,133542,0.0,0.0,9,0,0,8,1,1.0,8,16,2,36.0,0.0,2,0,2,440,0.35467137896921486,11.994340312143322
27,2,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,20.856518519447683,4,15.0,40.000000000000014,0,,0,0.45200000000000007,11605,279,0,0.0,2790.0000000000005,False,-0.13101604278074866,0,0.5690000000000001,11211,281,0,0.0,2810.0000000000005,False,-0.15668449197860962,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,4,3.003000000000001,17300,48,0,0.0,337.0270582669788,False,-0.25943218886156144,0,0.542,35361,0,24,0.4,960.0000000000003,False,0.06956132497761862,0,0.5780000000000001,33312,0,62,0.0,2480.000000000001,False,0.031095195464040586,0.06666666666666667,133206,0.0,0.0,8,0,0,7,1,1.0,9,16,2,36.0,0.0,2,0,2,200,0.3367002920131199,12.331040604156442
28,2,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,20.138339448867622,13,15.0,40.000000000000014,12,40.0,0,0.45200000000000007,11535,286,0,0.0,2860.0000000000005,False,-0.13335561497326204,0,0.5690000000000001,11081,294,0,0.0,2940.0000000000005,False,-0.1610294117647059,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,13,3.129000000000001,16997,48,0,0.0,337.0270582669788,False,-0.27227770353003694,0,0.542,35551,0,23,0.6,920.0000000000003,False,0.07463443748134885,0,0.5780000000000001,33407,0,64,0.7,2560.000000000001,False,0.03512384362876753,0.21666666666666665,132988,0.0,0.0,12,0,0,9,2,2.0,8,17,2,36.0,0.0,2,0,2,680,0.343530154961627,12.674570759118069
29,2,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,19.564275283415295,12,15.0,40.000000000000014,6,40.0,0,0.45200000000000007,11435,296,0,0.0,2960.0000000000005,False,-0.13669786096256684,0,0.5690000000000001,10981,304,0,0.0,3040.0000000000005,False,-0.1643716577540107,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,12,3.236,16721,48,0,0.0,337.0270582669788,False,-0.2839785683765691,0,0.542,35461,0,29,0.6,1160.0000000000005,False,0.07552969262906595,0,0.5780000000000001,33557,0,64,0.6,2560.000000000001,False,0.039600119367353026,0.19999999999999998,132572,0.0,0.0,9,0,0,6,2,2.0,10,16,2,36.0,0.0,2,0,2,440,0.34683340101037174,13.02140416012844
