index,contract,contract_id,type,level,id,perpetrator,perpetrator_type,victims,step,resolved
41,"BUYER, 07Buy@3 agreed on {'time': 4, 'quantity': 3, 'unit_price': 41} [id 1629b1b9-e229-4eb7-a252-be9307c2eaba]",1629b1b9-e229-4eb7-a252-be9307c2eaba,product,1.0,f3809380-afd5-4731-8a49-c3cac8bbe088,07Buy@3,str,['BUYER'],-1,False
42,"BUYER, 07Buy@3 agreed on {'time': 4, 'quantity': 2, 'unit_price': 41} [id 853db58b-d9f6-4764-9d47-778ae1d5d2ad]",853db58b-d9f6-4764-9d47-778ae1d5d2ad,product,1.0,416730ac-30ff-48ea-8be3-60b1514bd9d7,07Buy@3,str,['BUYER'],-1,False
43,"03Ind@1, 00Buy@0 agreed on {'quantity': 2, 'time': 5, 'unit_price': 9} [id e2863220-a7b6-4903-b02e-bb6abee30420]",e2863220-a7b6-4903-b02e-bb6abee30420,product,1.0,d652c77d-d650-4d50-b2f5-6d377ad97434,00Buy@0,str,['03Ind@1'],-1,False
44,"07Buy@3, 05Ran@2 agreed on {'quantity': 9, 'time': 5, 'unit_price': 7} [id 5ab365ab-8a7c-400c-a986-1732aa932559]",5ab365ab-8a7c-400c-a986-1732aa932559,product,1.0,8598d923-a380-4882-931c-bf0e653895e7,05Ran@2,str,['07Buy@3'],-1,False
45,"07Buy@3, 04Ran@2 agreed on {'quantity': 8, 'time': 5, 'unit_price': 9} [id 8fde5dd0-1380-4bc2-8bc3-5fadba9a28c2]",8fde5dd0-1380-4bc2-8bc3-5fadba9a28c2,product,1.0,5e143adf-f155-4bf8-a6e7-e846eefdedec,04Ran@2,str,['07Buy@3'],-1,False
46,"06Dec@3, 04Ran@2 agreed on {'quantity': 3, 'time': 5, 'unit_price': 1} [id be878e30-abbc-49e6-a935-6530595b9051]",be878e30-abbc-49e6-a935-6530595b9051,product,1.0,6fe90a2d-6212-47b7-ade2-b3fbefe702bd,04Ran@2,str,['06Dec@3'],-1,False
47,"07Buy@3, 05Ran@2 agreed on {'quantity': 6, 'time': 5, 'unit_price': 2} [id 05b9803b-213c-47e3-9d63-557792d38e15]",05b9803b-213c-47e3-9d63-557792d38e15,product,1.0,1085b657-1166-4718-8e10-0a3b96fd6c65,05Ran@2,str,['07Buy@3'],-1,False
48,"07Buy@3, 04Ran@2 agreed on {'quantity': 6, 'time': 5, 'unit_price': 1} [id 37a5fb6e-78e5-46e5-aed6-1d19dbdf5c24]",37a5fb6e-78e5-46e5-aed6-1d19dbdf5c24,product,1.0,e661accd-53ed-4c5f-8191-10f565f85c07,04Ran@2,str,['07Buy@3'],-1,False
49,"07Buy@3, 05Ran@2 agreed on {'quantity': 13, 'time': 5, 'unit_price': 4} [id a67662c9-1452-4aec-b59f-bd748033bae7]",a67662c9-1452-4aec-b59f-bd748033bae7,product,1.0,cf49eccf-0a66-42a5-a519-be3557fc9fab,05Ran@2,str,['07Buy@3'],-1,False
50,"BUYER, 07Buy@3 agreed on {'time': 5, 'quantity': 1, 'unit_price': 41} [id f0fe2143-9ceb-4269-ae4a-8be874c822b6]",f0fe2143-9ceb-4269-ae4a-8be874c822b6,product,1.0,d924dad0-b720-4124-a386-5dd65aa05cf8,07Buy@3,str,['BUYER'],-1,False
