index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,41,0,0,0,10.000000000000002,20,10.0,16.61421495422932,39,12.051282051282051,26.721255204083995,0,,25.0,11,25.0,14,1.33,47273,4,10,1.0,206.14214954229317,False,0.03348685837506052,0,0.45200000000000007,46466,7,40,1.0,734.5685981691727,False,0.021646218430762622,0,0.263,55360,81,109,1.0,4258.36822853773,False,-0.016404597004707356,0,0.254,55101,90,130,1.0,4969.042522411558,False,-0.014756343053555634,0,0.2,73837,0,0,0.0,0.0,False,0.0,1,1.0200000000000002,72131,10,10,1.0,517.2125520408399,False,-0.019602553245386158,0.8333333333333334,350168,0.0,0.0,16,0,0,15,2,1.0833333333333335,19,34,40,216.0,177.0,12,29,40,535,2.0188908353447914,89.3963395897299
21,40,0,0,0,10.000000000000002,20,10.0,16.33205004105995,25,13.6,27.308314629831095,16,31.0,25.0,8,25.0,0,1.316,47383,5,10,1.0,213.3205004105995,False,0.035964753173039404,0,0.45200000000000007,46496,6,35,1.0,631.6217514370983,False,0.02117778573151867,0,0.263,55320,76,119,1.0,4490.925244070457,False,-0.015099530830221234,0,0.254,55297,100,124,1.0,5019.436018205051,False,-0.010971838059428517,0,0.2,73837,0,0,0.0,0.0,False,0.0,0,1.0190000000000001,71835,16,12,1.0,736.9330340772975,False,-0.02212350830831909,0.8333333333333334,350168,0.0,0.0,18,0,0,14,0,0.0,20,34,37,183.0,162.0,11,29,37,1236,1.886165188625455,91.28250477835536
22,37,0,0,0,10.000000000000002,20,10.0,16.412747409774116,16,17.625,27.333719039113962,1,30.0,25.0,9,25.0,1,1.326,47477,8,10,1.0,244.12747409774119,False,0.03835133912979362,0,0.45200000000000007,46466,3,40,1.0,686.5098963909646,False,0.021122029366625612,0,0.263,55108,77,128,1.0,4762.497587559194,False,-0.01640349038838633,0,0.254,55257,95,134,1.0,5221.929355169812,False,-0.009923955009839459,0,0.2,73837,0,0,0.0,0.0,False,0.0,0,1.0190000000000003,72030,7,13,1.0,516.3360332737977,False,-0.020976366636822945,0.8333333333333334,350175,0.0,0.0,17,0,0,12,1,0.09090909090909091,19,31,38,198.0,153.0,11,26,38,495,2.0747044384479523,93.35720921680331
23,38,0,0,0,10.000000000000002,20,10.0,16.29968694319257,47,15.74468085106383,28.037721930151815,23,30.956521739130434,25.000000000000004,10,25.0,27,1.5950000000000002,47516,8,10,1.0,242.9968694319257,False,0.03918977410431628,0,0.45200000000000007,46481,3,40,1.0,681.9874777277028,False,0.021399920134025217,0,0.263,54628,99,138,1.0,5482.874633737014,False,-0.018453371939698447,0,0.254,55709,100,121,1.0,5022.533047867626,False,-0.003896343349065676,0,0.2,73837,0,0,0.0,0.0,False,0.0,0,1.0190000000000001,71568,20,13,1.0,885.7544386030363,False,-0.024731811702784275,0.8333333333333334,349739,0.0,0.0,20,0,0,8,1,1.0,19,27,34,108.0,183.0,6,32,34,1497,1.828682010062039,95.18589122686535
24,34,0,0,0,10.000000000000002,20,10.0,16.36061998575021,16,17.3125,28.178253036233006,17,29.058823529411764,25.000000000000007,13,25.0,1,1.5780000000000003,47620,10,10,1.0,263.6061998575021,False,0.04168327697756923,0,0.45200000000000007,46436,1,45,1.0,746.2278993587594,False,0.021118953549865333,0,0.263,55057,94,132,1.0,5257.427679443276,False,-0.013042125654913079,0,0.254,55497,101,130,1.0,5315.5955132710615,False,-0.00501646323851059,0,0.2,73837,0,0,0.0,0.0,False,0.0,0,1.0190000000000001,71399,27,10,1.0,1010.8128319782911,False,-0.026173782575278758,0.8333333333333334,349846,0.0,0.0,21,0,0,15,1,0.09090909090909091,19,34,29,165.0,117.0,10,24,29,1054,1.7731324257329106,96.95902365259826
25,29,0,0,0,10.000000000000002,20,10.0,15.952706505117705,50,14.0,28.178253036233006,0,,25.000000000000004,8,25.0,25,1.8270000000000002,47665,10,10,1.0,259.5270650511771,False,0.04262043874535003,0,0.45200000000000007,46441,1,40,1.0,648.1082602047082,False,0.020157809168699525,0,0.263,55022,89,142,1.0,5421.102810100563,False,-0.012240771197469845,0,0.254,54832,136,140,1.0,6114.523509768629,False,-0.009559578516214211,0,0.2,73837,0,0,0.0,0.0,False,0.0,0,1.0190000000000001,71599,17,12,1.0,779.0303016159612,False,-0.025034668921976963,0.8333333333333334,349396,0.0,0.0,20,0,0,12,1,1.0,16,28,33,162.0,105.0,9,20,33,725,1.7355577098205686,98.69458136241883
26,33,0,0,0,10.000000000000002,20,10.0,15.157494651597498,45,10.555555555555555,28.360544077897654,27,29.11111111111111,25.000000000000007,8,25.0,0,1.802,47775,11,10,1.0,261.574946515975,False,0.04504237414668065,0,0.45200000000000007,46606,0,15,1.0,227.36241977396247,False,0.019168020110533753,0,0.263,54612,119,151,1.0,6086.184019302647,False,-0.013566041444509276,0,0.254,55553,131,124,1.0,5502.3392650185815,False,-0.0024608261615574087,0,0.2,73837,0,0,0.0,0.0,False,0.0,0,1.0190000000000001,71013,34,14,1.0,1314.2584986485203,False,-0.029346679180840697,0.8333333333333334,349396,0.0,0.0,28,0,0,14,0,0.0,17,31,21,147.0,72.0,9,24,21,1661,1.6713565476238728,100.3659379100427
27,21,0,0,0,10.000000000000002,20,10.0,15.354173210067078,45,16.555555555555557,28.661437345408473,16,31.0,25.000000000000007,10,25.0,10,1.9020000000000001,47925,12,10,1.0,273.5417321006708,False,0.04844507899152143,10,0.552,46621,0,9,0.9,138.1875588906037,False,0.018522584137459882,0,0.263,54698,134,145,1.0,6213.367625233217,False,-0.011006641585398795,0,0.254,55218,141,134,1.0,6005.571026904194,False,-0.0038874638404719723,0,0.2,73837,0,0,0.0,0.0,False,0.0,0,1.0190000000000001,70767,40,14,1.0,1496.4574938163391,False,-0.03144455019965378,0.8166666666666668,349066,0.0,0.0,23,0,0,7,3,3.0,16,23,25,3.0,60.0,1,20,25,1356,1.3431804571300745,101.70911836717278
28,25,0,0,0,10.000000000000002,20,10.0,15.348126994771452,5,15.0,28.661437345408473,0,,25.00000000000001,6,25.0,0,1.8920000000000001,47845,10,20,1.0,406.962539895429,False,0.04815517266088679,0,0.542,46576,2,14,1.0,234.87377792680033,False,0.018595512509836147,0,0.263,54623,129,155,1.0,6422.431170863831,False,-0.010501375830962334,0,0.254,55218,131,144,1.0,6137.8516140538795,False,-0.00275585465667016,0,0.2,73837,0,0,0.0,0.0,False,0.0,0,1.0190000000000001,70917,30,18,1.0,1309.8431203622545,False,-0.03067673984342362,0.8333333333333334,349016,0.0,0.0,14,0,0,9,0,0.0,19,28,26,42.0,93.0,4,21,26,425,2.0610063429921865,103.77012471016496
29,26,0,0,0,10.000000000000002,20,10.0,15.193345372659625,30,13.833333333333334,28.68230059293883,2,30.0,25.00000000000001,9,25.0,5,1.9420000000000002,48050,8,10,1.0,231.93345372659627,False,0.0507180630192033,0,0.542,46496,4,19,1.0,328.67356208053286,False,0.01787344911848047,0,0.263,54613,124,164,1.0,6587.872123451762,False,-0.009257184818541627,0,0.254,54873,146,153,1.0,6606.620415127947,False,-0.00464840186894374,0,0.2,73837,0,0,0.0,0.0,False,0.0,0,1.0190000000000001,71082,22,19,1.0,1106.0106130446545,False,-0.029822374872728676,0.8333333333333334,348951,0.0,0.0,18,0,0,8,1,0.2,22,30,20,126.0,102.0,7,19,20,525,1.5382094327360392,105.308334142901
