index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,24,0,0,0,10.000000000000002,20,10.0,27.51777186823076,30,27.666666666666668,13.70182657804372,0,,33.99999999999999,20,34.0,20,0.40900000000000003,36459,13,10,1.0,405.1777186823076,False,0.103998700895602,0,0.2,35899,0,37,0.8,1018.1575591245381,False,0.09636469463870957,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,0,1.9460000000000002,27550.0,379,0,0.0,10429.235538059458,False,-0.22233414580295904,12,1.1840000000000002,59980,0,0,0.0,0.0,False,0.005178394865177389,0,0.7580000000000002,61514,0,6,0.4,203.99999999999994,False,0.03259539809957936,0.3666666666666667,263586,0.0,0.0,9,0,0,7,5,5.0,17,24,23,186.0,81.0,12,12,23,762,1.127986954525113,28.805243967100978
21,23,0,0,0,10.000000000000002,20,10.0,27.57901370377276,15,28.333333333333332,13.564780378396888,5,11.0,33.99999999999999,20,34.0,0,0.389,36359,13,20,1.0,681.5802740754552,False,0.10514906459400535,0,0.2,36224,0,32,1.0,882.5284385207283,False,0.10410937783848372,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,5,1.9960000000000004,27035.0,394,0,0.0,10866.131399286467,False,-0.22937278791314836,10,1.2720000000000002,59860,0,0,0.0,0.0,False,0.0031673677330696652,4,0.7980000000000003,61632,0,5,0.5,169.99999999999997,False,0.0342880126024367,0.4166666666666667,263294,0.0,0.0,9,0,0,5,6,6.0,16,21,27,165.0,69.0,10,13,27,829,1.1457333602011204,29.9509773273021
22,27,0,0,0,10.000000000000002,20,10.0,27.511498115356577,12,26.5,13.43398247057656,6,11.5,33.99999999999999,20,34.0,0,0.389,36229,16,30,1.0,985.3449434606973,False,0.10580801227807611,0,0.2,36472,0,27,0.7,742.8104491146275,False,0.10947377814253527,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,6,2.051,26603.0,406,0,0.0,11169.66823483477,False,-0.2360240644304238,11,1.372,59715,0,0,0.0,0.0,False,0.0007373766151061654,4,0.8340000000000001,61702,0,6,0.6,203.99999999999994,False,0.035746007273214794,0.3833333333333333,262905,0.0,0.0,9,0,0,8,7,6.25,15,23,23,168.0,63.0,11,16,23,586,1.1153843896463513,31.06636171694845
23,23,0,0,0,10.000000000000002,20,10.0,27.511498115356577,0,,13.378185716493254,2,11.0,33.99999999999999,20,34.0,0,0.389,36159,13,40,1.0,1230.4599246142632,False,0.10739068785555078,0,0.2,36342,3,37,1.0,1047.9254302681934,False,0.11015305694814796,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,2,2.0650000000000004,26567.0,406,0,0.0,11169.66823483477,False,-0.23687852184996241,11,1.471,59578,0,0,0.0,0.0,False,-0.0015585460273834862,3,0.8600000000000001,61860,0,2,0.2,67.99999999999999,False,0.037254277622295585,0.3666666666666667,262690,0.0,0.0,7,0,0,6,6,5.5,18,24,18,156.0,34.0,12,11,18,336,1.0467330077663064,32.113094724714756
24,18,0,0,0,10.000000000000002,20,10.0,27.410626785329292,1,10.0,13.31138089213419,4,12.0,33.99999999999999,20,34.0,0,0.389,36059,14,49,1.0,1483.1207124811353,False,0.108183580951595,0,0.2,36252,2,47,1.0,1308.2994589104767,False,0.11136321758176461,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,4,2.1030000000000006,26489.0,407,0,0.0,11156.125101629023,False,-0.23889056890689953,10,1.5600000000000003,59453,0,0,0.0,0.0,False,-0.003653365956662365,8,0.9370000000000003,61799,0,4,0.4,135.99999999999997,False,0.03680179651757135,0.39999999999999997,262236,0.0,0.0,7,0,0,5,7,6.333333333333333,17,22,18,120.0,39.0,10,8,18,210,0.9625992933288217,33.07569401804358
25,18,0,0,0,10.000000000000002,20,10.0,27.497192854406816,9,29.0,13.082599145643528,12,11.666666666666666,33.99999999999999,20,34.0,0,0.389,35969,13,59,1.0,1752.334378410002,False,0.10952683658169718,0,0.2,36403,3,48,1.0,1349.865257011527,False,0.11653615479721036,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,12,2.2190000000000007,25960.0,416,0,0.0,11438.832227433235,False,-0.24809132930512162,6,1.6100000000000003,59403,0,0,0.0,0.0,False,-0.004491293928373917,10,1.0290000000000001,61669,2,10,1.0,366.16519829128697,False,0.03655180236874938,0.5,261588,0.0,0.0,7,0,0,7,9,8.6,14,21,17,147.0,42.0,9,9,17,529,1.0302702831104398,34.10596430115402
26,17,0,0,0,10.000000000000002,20,10.0,27.474615288264726,45,27.4,12.912056743469217,20,12.25,33.99999999999999,20,34.0,0,0.389,37122,11,24,1.0,769.3907669183534,False,0.12944758442119902,0,0.2,36283,5,58,1.0,1643.527686719354,False,0.11734412922668273,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,20,2.407000000000001,24201.0,461,0,0.0,12665.797647890038,False,-0.27528010006776277,5,1.6540000000000004,59362,0,0,0.0,0.0,False,-0.005178394865177389,5,1.0690000000000002,61729,12,10,1.0,494.94468092163055,False,0.0386363952415883,0.5,260881,0.0,0.0,12,0,0,6,9,8.833333333333334,14,20,21,129.0,25.0,8,9,21,1739,1.0577988317236304,35.16376313287765
27,21,0,0,0,10.000000000000002,20,10.0,27.59770229874291,26,28.423076923076923,12.840931894522772,11,12.272727272727273,33.99999999999999,20,34.0,0,0.389,37361,9,23,1.0,724.7471528710869,False,0.13597246375679187,0,0.2,36583,7,53,1.0,1532.6782218333742,False,0.1247090794662938,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,11,2.4970000000000008,23236.0,487,0,0.0,13440.081019487798,False,-0.2889955257347408,7,1.7190000000000005,59307,0,0,0.0,0.0,False,-0.006100115634060096,3,1.0940000000000003,61910,13,10,1.0,506.93211462879594,False,0.041770140559306855,0.5,260581,0.0,0.0,11,0,0,6,7,6.5,15,21,20,147.0,66.0,9,12,20,1211,1.1888291770592332,36.35259230993688
28,20,0,0,0,10.000000000000002,20,10.0,27.768454761439845,25,29.0,12.788975151297114,16,12.5,33.99999999999999,20,34.0,0,0.389,37281,7,33,1.0,986.3590071275149,False,0.1375023941087616,0,0.2,37188,9,38,1.0,1145.201280934714,False,0.1370934907392,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,16,2.646000000000001,22157.0,512,0,0.0,14217.4488378572,False,-0.3053801286687411,10,1.8120000000000005,59078,0,8,0.8,271.99999999999994,False,-0.007658661661443582,0,1.0910000000000002,62154,11,10,1.0,480.6787266642682,False,0.04563924457998244,0.6333333333333333,260042,0.0,0.0,12,0,0,7,6,6.0,14,21,22,132.0,75.0,9,11,22,1265,1.1301608802750707,37.48275319021195
29,22,0,0,0,10.000000000000002,20,10.0,27.784182422069488,32,27.875,12.807326820425283,9,13.0,33.99999999999999,20,34.0,0,0.389,37557,10,29,1.0,905.7412902400151,False,0.14459981465670937,0,0.2,37604,6,30,1.0,893.5254726620847,False,0.1458312074298677,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,9,2.7200000000000006,21103.0,544,0,0.0,15114.595237605801,False,-0.31974989037304424,2,1.8220000000000005,59336,0,0,0.0,0.0,False,-0.005614117410467396,0,1.0910000000000002,62377,10,10,1.0,468.07326820425277,False,0.04927077867141709,0.5,260161,0.0,0.0,14,0,0,10,3,2.4,16,26,18,207.0,41.0,14,8,18,1602,1.2683785539120436,38.751131744123995
