index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,19,0,0,0,10.000000000000002,20,10.0,21.478758179746336,7,13.714285714285714,28.00487451359565,24,14.083333333333334,38.0,20,38.0,0,0.30800000000000005,29252,3,19,1.0,438.09640541518036,False,0.055855839879177006,6,0.8450000000000002,25553,119,0,0.0,1190.0000000000002,False,-0.06319862424763542,6,0.26,38740,58,10,1.0,1525.816719561244,False,-0.006815800277049734,0,0.2,39802,0,10,0.0,280.0487451359565,False,0.00422447761271121,0,0.7220000000000002,58969,30,11,1.0,1258.1462354078694,False,-0.022517703208018006,8,0.8740000000000001,59482,21,0,0.0,588.1023647855086,False,-0.01959864226611419,0.5,251798,0.0,0.0,18,0,0,15,8,7.125,15,30,17,153.0,69.0,11,8,17,829,1.4774675220251083,23.988824211002793
11,17,0,0,0,10.000000000000002,20,10.0,22.20203706837252,12,29.166666666666668,28.367224710208735,25,29.8,37.99999999999999,20,38.0,0,0.30800000000000005,29512,2,17,1.0,397.43463016233284,False,0.06444243748499445,0,0.8390000000000002,25443,130,0,0.0,1300.0000000000002,False,-0.06516910289481227,15,0.404,38901,50,10,1.0,1393.7741005207133,False,-0.004427841045397668,0,0.2,39512,0,20,1.0,567.3444942041747,False,0.0005448847765395467,1,0.7320000000000002,59380,20,10,1.0,947.3444942041747,False,-0.018325560559904152,8,0.9460000000000002,58631,46,0,0.0,1304.8923366696017,False,-0.027677975294241555,0.6666666666666666,251379,0.0,0.0,17,0,0,14,8,6.233766233766234,14,28,23,165.0,66.0,10,7,23,740,2.0933353300206363,26.08215954102343
12,23,0,0,0,10.000000000000002,20,10.0,21.304408063956398,10,11.0,30.989311928713754,26,42.23076923076923,38.00000000000001,20,38.0,0,0.30800000000000005,29507,0,20,0.8,426.088161279128,False,0.06477658643735897,5,0.8890000000000002,25238,144,0,0.0,1440.0000000000002,False,-0.07000573230151906,16,0.549,39345,50,10,1.0,1375.1135224849575,False,0.00650064769051336,0,0.2,39512,0,20,0.0,619.7862385742751,False,0.001204131324159971,1,0.7410000000000001,59548,15,10,1.0,844.8396789307064,False,-0.016410755285867867,9,1.0280000000000002,57613,67,0,0.0,2076.2838992238217,False,-0.03804854849663098,0.4666666666666666,250763,0.0,0.0,17,0,0,12,8,7.25,17,29,23,168.0,67.0,11,12,23,931,1.498065330029931,27.58022487105336
13,23,0,0,0,10.000000000000002,20,10.0,21.304408063956398,0,,31.378164458404648,5,41.0,38.0,20,38.0,0,0.30800000000000005,29397,1,30,1.0,649.132241918692,False,0.06483111640009119,0,0.8840000000000001,25148,153,0,0.0,1530.0000000000002,False,-0.07161794210375466,0,0.533,39550,40,15,1.0,1322.8487894343257,False,0.010997747139265941,0,0.2,39512,0,20,0.0,627.563289168093,False,0.0013018968317001945,3,0.77,59903,5,10,1.0,536.8908222920232,False,-0.013113686651916246,7,1.0890000000000002,57323,72,0,0.0,2259.2278410051345,False,-0.041304654335625655,0.5,250833,0.0,0.0,16,0,0,12,6,5.333333333333333,20,32,24,150.0,51.0,10,13,24,709,1.4852419960079715,29.065466867061332
14,24,0,0,0,10.000000000000002,20,10.0,22.157332985745548,14,29.0,28.90666694098816,18,13.0,38.00000000000001,20,38.0,0,0.30800000000000005,29703,1,26,1.0,586.0906576293843,False,0.07466485127596348,0,0.8840000000000001,25048,163,0,0.0,1630.0000000000002,False,-0.07340928632846087,3,0.5630000000000001,39276,44,10,1.0,1263.9893207826858,False,0.0033689007992995755,0,0.2,39512,0,20,0.0,578.1333388197631,False,0.0006805116259336153,0,0.7670000000000001,60169,0,8,0.5,304.00000000000006,False,-0.010660805956930345,13,1.2120000000000002,56858,90,0,0.0,2601.6000246889344,False,-0.04612356673919625,0.4166666666666667,250566,0.0,0.0,15,0,0,13,8,7.3,17,30,16,201.0,79.0,12,12,16,976,1.4605429260409437,30.526009793102276
15,16,0,0,0,10.000000000000002,20,10.0,24.42183611051238,44,30.272727272727273,28.90666694098816,0,,38.00000000000001,20,38.0,18,0.4880000000000001,30481,0,10,1.0,244.2183611051238,False,0.09641405777273435,0,0.8840000000000001,24938,174,0,0.0,1740.0000000000002,False,-0.07537976497563773,0,0.56,37944,78,20,1.0,2483.0365554397285,False,-0.014795638414042734,0,0.2,39512,0,20,0.0,578.1333388197631,False,0.0006805116259336153,1,0.7770000000000001,60466,0,0,0.0,0.0,False,-0.00828262616653819,11,1.3090000000000002,56693,90,0,0.0,2601.6000246889344,False,-0.04882977132826318,0.3333333333333333,250034,0.0,0.0,12,0,0,10,7,6.142857142857142,17,27,20,96.0,56.0,7,9,20,938,1.3275540989707224,31.853563892072998
16,20,0,0,0,10.000000000000002,20,10.0,24.751165587558294,11,29.0,26.143414586320187,27,13.814814814814815,38.00000000000001,20,38.0,1,0.48000000000000004,30686,0,9,0.9,222.76049028802464,False,0.10337418476440288,0,0.8840000000000001,24828,185,0,0.0,1850.0000000000002,False,-0.07735024362281456,7,0.6300000000000001,37754,79,10,1.0,2216.776227280307,False,-0.022919793995068282,0,0.2,39512,0,20,0.0,522.8682917264038,False,-1.4226734469645463e-05,11,0.8860000000000001,60297,0,0,0.0,0.0,False,-0.01105443571534008,9,1.3880000000000003,56201,117,0,0.0,3058.779506599462,False,-0.05315002618786425,0.31666666666666665,249278,0.0,0.0,11,0,0,11,13,11.202020202020202,17,28,14,168.0,72.0,11,9,14,366,1.5446961020352319,33.39825999410823
17,14,0,0,0,10.000000000000002,20,10.0,24.751165587558294,0,,24.212206438033444,25,13.96,38.00000000000001,20,38.0,0,0.47900000000000004,30576,1,19,1.0,480.2721461636076,False,0.10404614764552182,0,0.8840000000000001,24738,194,0,0.0,1940.0000000000005,False,-0.07896245342505016,15,0.7730000000000001,37497,69,10,1.0,1949.9524899218568,False,-0.03273554973196244,0,0.2,39512,0,20,0.0,484.2441287606689,False,-0.0004997721028729391,13,1.0050000000000001,59976,0,6,0.6,228.00000000000006,False,-0.014449492381624051,7,1.449,55865,136,0,0.0,3292.8600755725483,False,-0.056741237017823645,0.43333333333333335,248164,0.0,0.0,11,0,0,7,14,13.428571428571429,19,26,14,93.0,54.0,6,8,14,278,1.0029427949921228,34.40120278910035
18,14,0,0,0,10.000000000000002,20,10.0,25.40198180008112,16,31.0,24.40693257056436,23,25.608695652173914,38.00000000000001,20,38.0,0,0.47900000000000004,30992,0,12,0.9,304.82378160097346,False,0.11580724744914322,0,0.8840000000000001,24618,206,0,0.0,2060.0000000000005,False,-0.08111206649469763,3,0.788,37068,75,10,1.0,2149.2179607117278,False,-0.041016518822450235,0,0.2,39932,0,10,0.0,244.06932570564362,False,0.00704064622247751,2,1.0120000000000002,59896,0,7,0.7,266.00000000000006,False,-0.01544996801758213,12,1.562,55375,152,0,0.0,3709.853750725783,False,-0.061358237926835826,0.4333333333333333,247881,0.0,0.0,17,0,0,6,8,7.75,26,32,16,168.0,24.0,11,3,16,1461,1.3015033220290206,35.70270611112937
19,16,0,0,0,10.000000000000002,20,10.0,25.760650207956505,15,29.066666666666666,23.406569375442693,16,14.125,38.00000000000001,20,38.0,3,0.5090000000000001,31276,0,8,0.8,206.08520166365204,False,0.1242133347962104,0,0.8840000000000001,24498,218,0,0.0,2180.0000000000005,False,-0.08326167956434509,6,0.8450000000000002,36654,80,10,1.0,2294.9177103909474,False,-0.0495937332127653,0,0.2,39932,0,10,0.0,234.06569375442695,False,0.006914890302137405,1,1.0200000000000002,60155,0,0,0.0,0.0,False,-0.013383411785931016,12,1.6700000000000002,54949,168,0,0.0,3932.3036550743723,False,-0.06652093901137941,0.3,247464,0.0,0.0,15,0,0,10,10,8.571428571428571,21,31,17,153.0,30.0,11,5,17,593,1.2830884750001132,36.98579458612949
20,17,0,0,0,10.000000000000002,20,10.0,26.243425525678703,14,31.0,22.924682767592696,9,15.0,38.00000000000001,20,38.0,6,0.5660000000000001,31436,3,10,1.0,292.434255256787,False,0.13149244509989952,0,0.8840000000000001,24428,225,0,0.0,2250.0000000000005,False,-0.08451562052163944,0,0.8390000000000002,36355,84,11,1.0,2456.619254600531,False,-0.055078452574539485,0,0.2,39932,0,10,0.0,229.24682767592697,False,0.006854312209935282,8,1.0990000000000002,60053,0,0,0.0,0.0,False,-0.015056338259172393,12,1.7780000000000005,54616,177,0,0.0,4057.6688498639073,False,-0.07095447958977291,0.3333333333333333,246820,0.0,0.0,13,0,0,13,11,10.428571428571429,19,32,18,171.0,60.0,12,5,18,335,1.3977719300310127,38.3835665161605
21,18,0,0,0,10.000000000000002,20,10.0,26.11894297322996,17,25.11764705882353,22.924682767592696,0,,38.000000000000014,20,38.0,2,0.5800000000000001,31630,6,10,1.0,321.1894297322996,False,0.13895796484903092,5,0.9340000000000002,24293,232,0,0.0,2320.0000000000005,False,-0.08809830897105188,0,0.8390000000000002,35928,91,21,1.0,2858.2421486833728,False,-0.06076529706990273,0,0.2,39932,0,10,0.0,229.24682767592697,False,0.006854312209935282,11,1.2010000000000003,59884,0,0,0.0,0.0,False,-0.017828147807974284,9,1.8560000000000005,54491,177,0,0.0,4057.6688498639073,False,-0.07300463458149029,0.3333333333333333,246158,0.0,0.0,11,0,0,10,12,11.166666666666668,21,31,20,153.0,37.0,11,7,20,200,1.4343794889864512,39.81794600514695
22,20,0,0,0,10.000000000000002,20,10.0,26.544798676274564,24,29.0,21.718741933353026,27,15.407407407407407,38.00000000000001,20,38.0,14,0.7180000000000002,31906,2,10,1.0,285.44798676274564,False,0.14820593269494742,0,0.929,24153,246,0,0.0,2460.0000000000005,False,-0.09060619088564058,6,0.8990000000000002,35444,105,10,1.0,3004.3912803423596,False,-0.07109680594933425,0,0.2,39932,0,10,0.0,217.18741933353027,False,0.006702713070517477,15,1.3400000000000003,59592,0,0,0.0,0.0,False,-0.02261730986862607,5,1.8970000000000005,54032,204,0,0.0,4430.623354404018,False,-0.07747434555441099,0.3333333333333333,245059,0.0,0.0,11,0,0,12,13,11.712121212121211,24,36,19,222.0,34.0,14,6,19,440,1.6154660509782843,41.433412056125235
23,19,0,0,0,10.000000000000002,20,10.0,26.544798676274564,0,,22.45643814312669,40,25.25,38.00000000000001,20,38.0,0,0.7040000000000002,31816,1,20,1.0,540.8959735254913,False,0.14955746584847898,0,0.9290000000000003,24043,257,0,0.0,2570.0000000000005,False,-0.09257666953281743,30,1.1930000000000003,35126,95,10,1.0,2746.320255677351,False,-0.08233619631320276,0,0.2,39932,0,10,0.0,224.5643814312669,False,0.006795449055051847,10,1.4250000000000003,58658,16,10,1.0,739.303010290027,False,-0.0318733249389872,10,1.9920000000000002,53663,218,0,0.0,4895.503515201618,False,-0.07971409756112233,0.5,243238,0.0,0.0,10,0,0,10,13,13.0,24,34,15,138.0,54.0,11,8,15,330,1.2579565780470148,42.69136863417225
24,15,0,0,0,10.000000000000002,20,10.0,24.881956297901823,17,10.588235294117647,22.90200815869361,8,32.5,38.00000000000001,20,38.0,0,0.7040000000000002,31847,0,19,1.0,472.75716966013465,False,0.14944749873997093,6,0.9890000000000003,23839,268,0,0.0,2680.0000000000005,False,-0.09791487532244196,0,1.1630000000000003,35206,102,12,1.0,2812.7836402903094,False,-0.07948931914956624,0,0.2,39932,0,10,0.0,229.0200815869361,False,0.006851461778887364,0,1.4150000000000003,58993,9,10,1.0,586.1180734282425,False,-0.02763512101303703,10,2.0820000000000003,53301,223,0,0.0,5107.147819388675,False,-0.0839157319103453,0.5,243118,0.0,0.0,16,0,0,7,8,8.0,22,29,18,114.0,50.0,8,7,18,961,1.0732842069701292,43.76465284114238
25,18,0,0,0,10.000000000000002,20,10.0,25.308386885015207,11,31.0,22.486828473556965,9,15.0,38.0,20,38.0,0,0.7040000000000002,32068,2,18,1.0,475.5509639302737,False,0.15741528668548074,0,0.9830000000000001,23759,276,0,0.0,2760.0000000000005,False,-0.09934795070220694,0,1.1630000000000003,35000,103,13,1.0,2899.0926193128066,False,-0.08358358953948797,0,0.2,39932,0,10,0.0,224.86828473556966,False,0.006799269431482459,0,1.4150000000000003,59238,8,10,1.0,559.8946277884558,False,-0.023831865741184715,10,2.172,53164,223,0,0.0,5014.562749603203,False,-0.08692195675318422,0.5,243161,0.0,0.0,19,0,0,6,5,5.0,22,28,19,144.0,75.0,8,10,19,1056,1.113617250986863,44.87827009212924
26,19,0,0,0,10.000000000000002,20,10.0,25.872578002535487,56,27.303571428571427,21.85500589396214,11,13.0,37.99999999999999,20,38.0,29,0.9940000000000002,32499,3,10,1.0,288.7257800253549,False,0.16950999176027082,9,1.0730000000000002,23527,285,0,0.0,2850.0000000000005,False,-0.1060475781026082,0,1.1630000000000003,33614,149,12,1.0,4117.274193105333,False,-0.10311668183857128,0,0.2,39932,0,10,0.0,218.5500589396214,False,0.006719842848841267,3,1.4450000000000003,59597,0,8,0.8,303.99999999999994,False,-0.020042315199029048,7,2.2320000000000007,52942,234,0,0.0,5114.07137918714,False,-0.08974699956383249,0.4666666666666666,242111,0.0,0.0,19,0,0,6,8,8.0,24,30,23,129.0,79.0,8,11,23,1281,1.2178144729696214,46.09608456509886
27,23,0,0,0,10.000000000000002,20,10.0,25.872578002535487,0,,21.303717331709976,13,15.0,37.99999999999999,15,38.0,0,0.9650000000000001,32389,4,20,1.0,557.4515600507098,False,0.17038283820669797,0,1.0640000000000003,23437,294,0,0.0,2940.0000000000005,False,-0.10765978790484379,1,1.1730000000000003,33775,139,10,1.0,3809.3255156695323,False,-0.10294004229308672,0,0.2,39932,0,10,0.0,213.03717331709976,False,0.006650540218699465,0,1.4420000000000002,59901,0,0,0.0,0.0,False,-0.01754932672910072,7,2.2950000000000004,52664,247,0,0.0,5262.018180932364,False,-0.09309328876898551,0.3333333333333333,242098,0.0,0.0,15,0,0,13,5,4.2,21,34,23,207.0,59.0,14,9,23,624,1.45636511198245,47.55244967708131
28,23,0,0,0,10.000000000000002,20,10.0,25.43945174285617,5,10.0,22.39612628008247,33,27.21212121212121,37.99999999999999,20,38.0,0,0.9650000000000001,32319,1,30,1.0,773.1835522856851,False,0.1717394588758542,5,1.1140000000000003,23237,307,0,0.0,3070.0000000000005,False,-0.11249641731155059,23,1.4020000000000004,33691,134,10,1.0,3632.8477963435516,False,-0.10727048076201089,0,0.2,39932,0,10,0.0,223.9612628008247,False,0.006787867234887339,12,1.562,59706,0,0,0.0,0.0,False,-0.020747568516179822,8,2.3680000000000008,51664,280,0,0.0,6270.915358423092,False,-0.10122094636447578,0.3333333333333333,240549,0.0,0.0,10,0,0,12,14,13.09090909090909,18,30,18,189.0,90.0,13,10,18,200,1.3513666979852132,48.903816375066526
29,18,0,0,0,10.000000000000002,20,10.0,25.382376298262745,22,24.954545454545453,21.34281504947351,21,13.285714285714286,37.99999999999999,20,38.0,0,0.9650000000000001,32703,2,23,1.0,603.7946548600431,False,0.18246264429027023,5,1.1590000000000003,23082,316,0,0.0,3160.0000000000005,False,-0.11643737460590427,11,1.4890000000000003,33029,146,10,1.0,3919.255090041096,False,-0.12031408596016115,0,0.2,39932,0,10,0.0,213.42815049473512,False,0.006655455203081516,8,1.6300000000000003,59602,0,0,0.0,0.0,False,-0.022453297469288678,12,2.4800000000000004,51184,301,0,0.0,6424.187329891527,False,-0.10783661634308499,0.3333333333333333,239532,0.0,0.0,13,0,0,11,15,14.333333333333332,17,28,26,150.0,69.0,10,8,26,778,2.2645668129553087,51.168383188021835
30,26,0,0,0,10.000000000000002,20,10.0,25.409664238175104,1,30.0,20.515300310046587,18,13.0,37.99999999999999,20,38.0,0,0.9650000000000001,32623,3,32,1.0,843.1092556216033,False,0.18388344181036118,0,1.1540000000000001,22992,325,0,0.0,3250.0000000000005,False,-0.11804958440813987,8,1.5580000000000003,32961,137,10,1.0,3686.277003730455,False,-0.12495251918677455,0,0.2,39932,0,10,0.0,205.15300310046587,False,0.006551428107563558,8,1.7020000000000002,59498,0,0,0.0,0.0,False,-0.024159026422397534,12,2.588000000000001,50758,319,0,0.0,6544.380798904861,False,-0.11383788359297974,0.3333333333333333,238764,0.0,0.0,12,0,0,12,12,11.8,26,38,25,246.0,59.0,17,9,25,334,1.6959223530138843,52.86430554103572
31,25,0,0,0,10.000000000000002,20,10.0,24.95162314432207,5,11.0,20.284431453697405,6,14.0,37.999999999999986,20,38.0,0,0.9650000000000001,32533,2,42,1.0,1067.968172061527,False,0.18468701941927368,5,1.2040000000000002,22817,336,0,0.0,3360.0000000000005,False,-0.1223488105474348,0,1.5500000000000003,32990,132,14,1.0,3577.596295402277,False,-0.12558962770399906,0,0.2,39932,0,10,0.0,202.84431453697405,False,0.006522405522916571,8,1.7740000000000002,59400,0,0,0.0,0.0,False,-0.025766347935903954,12,2.696000000000001,50485,325,0,0.0,6592.440222451656,False,-0.11792130502655646,0.3333333333333333,238157,0.0,0.0,11,0,0,14,10,10.0,22,36,14,231.0,85.0,17,8,14,284,1.6236442240187898,54.48794976505451
