index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,10,0,0,0,10.000000000000002,20,10.0,14.42224372096641,1,7.0,38.65730449693243,19,46.94736842105263,36.00000000000001,20,36.0,0,0.5150000000000001,48518,8,59,1.0,930.9123795370182,False,0.0250587240984496,1,2.028000000000001,41898,218,0,0.0,2180.0000000000005,False,-0.10040597664587955,0,0.2,64657,175,85,1.0,5809.763533408379,False,0.03058226835737126,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,6,1.619,90854,59,0,0.0,2280.7809653190134,False,-0.03291048112841514,14,2.041000000000001,89587,54,0,0.0,2087.4944428343515,False,-0.0472457585133543,0.3333333333333333,401392,0.0,0.0,14,0,0,5,12,12.0,21,26,14,109.0,6.0,8,2,14,1092,2.3354633254930377,158.88448467850685
21,14,0,0,0,10.000000000000002,20,10.0,14.431983312097795,3,15.0,38.732184739732624,5,40.0,36.00000000000001,20,36.0,0,0.5150000000000001,48388,11,69,1.0,1105.806848534748,False,0.024168238066952105,3,2.057000000000001,41807,225,0,0.0,2250.0000000000005,False,-0.1015778679948102,0,0.2,64812,168,90,1.0,5910.469823008366,False,0.03371470493622629,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,9,1.703,90540,64,0,0.0,2478.859823342888,False,-0.03517025060003743,11,2.1370000000000005,89425,54,0,0.0,2091.537975945562,False,-0.04892752706467507,0.3333333333333333,400850,0.0,0.0,12,0,0,5,11,11.0,25,30,17,96.0,29.0,8,6,17,400,2.5684253200888634,161.45290999859571
22,17,0,0,0,10.000000000000002,20,10.0,13.493829939578083,39,9.64102564102564,38.68946214455197,5,38.0,36.0,20,36.0,0,0.5150000000000001,48258,14,79,1.0,1206.0125652266686,False,0.022496260047154736,39,2.444000000000001,40889,232,0,0.0,2320.0000000000005,False,-0.12005608337169882,0,0.2,64626,197,95,1.0,6333.783401829319,False,0.03410607106662376,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,10,1.7940000000000003,90213,69,0,0.0,2669.572887974086,False,-0.03760539874915063,10,2.2260000000000004,89282,54,0,0.0,2089.2309558058064,False,-0.05044293847145438,0.3333333333333333,399146,0.0,0.0,13,0,0,9,14,14.0,27,36,20,139.0,48.0,12,5,20,390,2.401202481240034,163.85411247983575
23,20,0,0,0,10.000000000000002,20,10.0,13.493829939578083,0,,38.6474839776838,5,38.0,36.0,20,36.0,0,0.5150000000000001,48148,15,89,1.0,1350.9508646224494,False,0.021710865783100247,0,2.4050000000000007,40799,241,0,0.0,2410.0000000000005,False,-0.12099778177708953,0,0.2,64816,187,100,1.0,6388.094596469481,False,0.03741854108996357,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,15,1.9340000000000004,89745,74,0,0.0,2859.913814348601,False,-0.04152476313088775,5,2.2660000000000005,89233,54,0,0.0,2086.964134794925,False,-0.05096996512591368,0.3333333333333333,398619,0.0,0.0,13,0,0,7,11,11.0,26,33,18,96.0,71.0,10,10,18,390,2.392572132870555,166.2466846127063
24,18,0,0,0,10.000000000000002,20,10.0,14.339507197028468,13,26.0,38.83640624823636,12,40.0,36.0,20,36.0,0,0.5150000000000001,48376,16,86,1.0,1393.197618944448,False,0.02692417882794599,0,2.4050000000000007,40709,250,0,0.0,2500.0000000000005,False,-0.12193948018248023,0,0.2,64958,190,98,1.0,6530.474179762572,False,0.040670517105439244,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,6,1.9790000000000003,89204,86,0,0.0,3339.9309373483266,False,-0.04468893068410859,14,2.4010000000000007,88989,54,0,0.0,2097.165937404763,False,-0.05348138797684752,0.3333333333333333,398114,0.0,0.0,13,0,0,7,10,10.0,23,30,12,177.0,32.0,11,7,12,1018,1.9915331220254302,168.23821773473173
25,12,0,0,0,10.000000000000002,20,10.0,15.654890251798857,22,26.0,38.35694942205326,3,26.0,36.0,20,36.0,0,0.5150000000000001,48818,19,74,1.0,1348.4618786331155,False,0.03570566566183728,0,2.4050000000000007,40639,257,0,0.0,2570.0000000000005,False,-0.12267191227556189,0,0.2,64464,202,105,1.0,7189.767520178962,False,0.03816348765333186,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,9,2.0630000000000006,89103,86,0,0.0,3298.6976502965804,False,-0.04596742365152912,11,2.4970000000000003,88745,57,0,0.0,2186.346117057036,False,-0.05557768138209186,0.3333333333333333,397647,0.0,0.0,13,0,0,5,10,10.0,27,32,10,108.0,6.0,10,2,10,850,2.1182369189336896,170.35645465366542
26,10,0,0,0,10.000000000000002,20,10.0,15.654890251798857,0,,36.78119411746953,5,14.0,36.0,20,36.0,0,0.5150000000000001,48708,20,84,1.0,1515.010781151104,False,0.03514638995889065,0,2.405000000000001,40549,266,0,0.0,2660.0000000000005,False,-0.12361361068095258,0,0.2,64534,192,110,1.0,7051.670281267028,False,0.03817799991814014,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,10,2.1540000000000004,88894,91,0,0.0,3347.0886646897275,False,-0.04791017784657166,10,2.5860000000000007,88608,57,0,0.0,2096.5280646957635,False,-0.057489997031822504,0.3333333333333333,397171,0.0,0.0,11,0,0,6,10,10.0,23,29,7,73.0,9.0,7,3,7,270,2.032756056636572,172.389210710302
27,7,0,0,0,10.000000000000002,20,10.0,15.654890251798857,0,,36.17367494435403,13,32.92307692307692,36.0,20,36.0,0,0.5150000000000001,48618,19,94,1.0,1661.5596836690927,False,0.03479638056825322,0,2.4050000000000007,40439,277,0,0.0,2770.0000000000005,False,-0.12476457539865232,0,0.2,64962,182,107,1.0,6719.773244873273,False,0.042175307327007576,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,8,2.224,88796,91,0,0.0,3291.804419936217,False,-0.04923098859429065,12,2.696000000000001,87987,70,0,0.0,2532.157246104782,False,-0.06172847702441634,0.3333333333333333,396680,0.0,0.0,11,0,0,4,11,11.0,21,25,10,60.0,3.0,6,1,10,628,1.7105741249397397,174.09978483524173
28,10,0,0,0,10.000000000000002,20,10.0,16.368265447501983,13,26.0,37.01923461836881,9,44.0,36.0,20,36.0,0,0.5150000000000001,48856,19,91,1.0,1679.5121557226805,False,0.03996476118238272,0,2.405000000000001,40339,287,0,0.0,2870.0000000000005,False,-0.12581090696019756,0,0.2,65020,185,108,1.0,7026.2064465716985,False,0.045397184485041354,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,6,2.2760000000000002,88539,96,0,0.0,3553.846523363406,False,-0.05055534021885201,14,2.824000000000001,87546,74,0,0.0,2739.423361759292,False,-0.06527504146250047,0.3333333333333333,396178,0.0,0.0,15,0,0,6,9,9.0,23,29,14,74.0,15.0,8,2,14,934,1.9359079133719206,176.03569274861366
29,14,0,0,0,10.000000000000002,20,10.0,16.368265447501983,0,,36.32767821626359,27,34.40740740740741,35.99999999999999,20,36.0,0,0.5150000000000001,48756,19,101,1.0,1843.1948101977002,False,0.039584761333839445,0,2.405000000000001,40239,297,0,0.0,2970.0000000000005,False,-0.12685723852174277,0,0.2,65949,175,91,1.0,6170.265170992834,False,0.05303983686709922,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,9,2.3600000000000008,88342,102,0,0.0,3705.4231780588866,False,-0.05182957593661564,11,2.920000000000001,86541,95,0,0.0,3451.1294305450415,False,-0.07209918827571601,0.3333333333333333,395705,0.0,0.0,16,0,0,6,9,9.0,28,34,14,107.0,15.0,9,5,14,1129,1.7425469998270273,177.77823974844068
