index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,19,0,0,0,10.000000000000002,20,10.0,18.51265314134501,0,,21.489610753329192,32,13.0,33.0,9,33.0,0,0.929,37969,4,20,1.0,410.2530628269002,False,0.032626231643947484,0,0.7850000000000001,38468,7,20,1.0,440.2530628269002,False,0.04653014854505114,32,2.0860000000000007,53818,335,0,0.0,6201.738802350578,False,-0.1284682141638168,0,0.23600000000000002,66625,15,37,1.0,1072.8053949933553,False,0.02836366653136143,0,0.2,83894,147,25,1.0,3983.972780739391,False,0.002860620384742085,0,0.2,85628,0,1,0.0,33.0,False,4.086827570906458e-05,0.6666666666666666,366402,0.0,0.0,16,0,0,17,3,3.0,15,32,27,96.0,65.0,7,12,27,497,1.7273426409810781,55.86168454866856
21,27,0,0,0,10.000000000000002,20,10.0,18.616892787905222,21,19.904761904761905,23.413228220972382,34,32.529411764705884,33.0,10,33.0,0,0.9290000000000003,37929,5,25,1.0,515.4223196976305,False,0.032966651153668355,0,0.7850000000000001,38726,6,14,1.0,320.6364990306731,False,0.05189131815395309,6,2.1140000000000003,53410,349,0,0.0,6497.2955829789225,False,-0.1324526819965171,0,0.23600000000000002,67541,12,19,1.0,668.2540496533379,False,0.039292088759997346,0,0.2,83118,171,25,1.0,4828.662025786278,False,-0.0012688897503166305,0,0.2,85628,0,1,0.0,33.0,False,4.086827570906458e-05,0.6666666666666666,366352,0.0,0.0,27,0,0,15,1,1.0,17,32,20,153.0,77.0,11,16,20,1976,1.8742037490010262,57.73588829766959
22,20,0,0,0,10.000000000000002,20,10.0,18.699341026664065,16,20.0,23.413228220972382,0,,33.0,11,33.0,0,0.929,37859,2,35,1.0,674.4769359332423,False,0.03322436885865129,2,0.8050000000000002,38882,9,10,1.0,276.99341026664064,False,0.05552090199992757,0,2.1080000000000005,53090,365,0,0.0,6825.259474732384,False,-0.13484160318843966,0,0.23600000000000002,67541,2,29,1.0,716.3823004615272,False,0.03966055444472834,0,0.2,83481,161,24,1.0,4561.529743576553,False,0.0014101291646322366,0,0.2,85628,0,1,0.0,33.0,False,4.086827570906458e-05,0.6666666666666666,366481,0.0,0.0,19,0,0,18,1,0.125,13,31,23,120.0,76.0,10,10,23,563,1.6569894440472126,59.3928777417168
23,23,0,0,0,10.000000000000002,20,10.0,18.699341026664065,0,,23.15504417434931,28,21.535714285714285,33.00000000000001,12,33.0,0,0.9290000000000003,37739,4,45,1.0,881.4703461998829,False,0.03277794776833866,0,0.8030000000000002,38802,7,20,1.0,443.9868205332813,False,0.055615489349346396,18,2.2880000000000007,52674,365,0,0.0,6825.259474732384,False,-0.14121132252268148,0,0.23600000000000002,67921,0,21,0.2,486.25592766133553,False,0.043717220656122026,0,0.2,83274,179,22,1.0,4870.752907208526,False,0.0007984079308305383,0,0.2,85628,0,1,0.0,33.00000000000001,False,4.086827570906458e-05,0.5333333333333333,366038,0.0,0.0,22,0,0,18,2,2.0,18,36,28,186.0,123.0,12,11,28,976,1.7655962808057666,61.15847402252257
24,28,0,0,0,10.000000000000002,20,10.0,18.842444812477307,29,20.03448275862069,23.522763576091553,5,37.0,33.00000000000001,10,33.0,0,0.929,37909,9,39,1.0,824.855347686615,False,0.03661078970578097,0,0.8030000000000002,39013,2,17,1.0,340.3215618121142,False,0.0599210338916376,0,2.2700000000000005,52170,389,0,0.0,7329.711032053672,False,-0.14506644542058772,0,0.23600000000000002,68029,0,21,0.5,493.9780350979226,False,0.04543001757106917,0,0.2,83419,174,22,1.0,4818.96086223993,False,0.002189143414018631,0,0.2,85628,0,1,0.0,33.00000000000001,False,4.086827570906458e-05,0.5833333333333334,366168,0.0,0.0,20,0,0,10,0,0.0,25,35,25,204.0,105.0,13,15,25,1296,1.9436234226450324,63.1020974451676
25,25,0,0,0,10.000000000000002,20,10.0,19.05369983383321,29,20.82758620689655,22.64330198524875,14,12.0,33.00000000000001,12,33.0,0,0.9290000000000003,38159,8,32,1.0,689.7183946826627,False,0.04154563940005775,0,0.8030000000000002,39167,3,15,1.0,315.80549750749816,False,0.06375521393512622,14,2.410000000000001,51591,401,0,0.0,7640.533633367118,False,-0.1515523615936003,0,0.23600000000000002,67689,7,31,1.0,835.3182603795437,False,0.04283726791391342,0,0.2,83647,178,20,1.0,4690.507753374278,False,0.00410146865037942,0,0.2,85628,0,1,0.0,33.00000000000001,False,4.086827570906458e-05,0.6666666666666666,365881,0.0,0.0,20,0,0,12,2,2.0,19,31,24,186.0,114.0,12,13,24,1200,1.8467128556221724,64.94881030078977
26,24,0,0,0,10.000000000000002,20,10.0,19.123609055455457,15,20.266666666666666,22.64330198524875,0,,33.000000000000014,14,33.0,0,0.929,38363,8,27,1.0,596.3374444972974,False,0.04580092843130953,0,0.8030000000000002,39067,3,25,1.0,508.0902263863864,False,0.06365086326534276,0,2.3960000000000004,51329,414,0,0.0,7917.174148958559,False,-0.1534461242021884,0,0.23600000000000002,67647,0,40,0.9,905.7320794099501,False,0.04273325329900884,0,0.2,84109,168,16,1.0,4332.07473352179,False,0.007403432547038155,0,0.2,85628,0,1,0.0,33.000000000000014,False,4.086827570906458e-05,0.65,366143,0.0,0.0,21,0,0,13,0,0.0,23,36,21,201.0,66.0,12,12,21,966,1.7827573511749506,66.73156765196472
27,21,0,0,0,10.000000000000002,20,10.0,19.02395774352439,56,18.607142857142858,22.727025837691958,14,23.714285714285715,33.000000000000014,10,33.0,5,0.9790000000000003,38848,5,10,1.0,240.23957743524392,False,0.054104084308526944,0,0.8030000000000002,39339,6,11,1.0,269.26353517876834,False,0.06777839665628059,8,2.4760000000000004,50791,438,0,0.0,8332.493491663683,False,-0.15850423761148016,0,0.23600000000000002,67235,22,44,1.0,1418.5162072159828,False,0.04035061176266661,0,0.2,84107,172,16,1.0,4437.048444083017,False,0.00799294989597867,0,0.2,85628,0,1,0.0,33.000000000000014,False,4.086827570906458e-05,0.6666666666666666,365948,0.0,0.0,21,0,0,12,2,1.3125,20,32,22,156.0,57.0,12,9,22,1480,2.399985841475427,69.13155349344015
28,22,0,0,0,10.000000000000002,20,10.0,19.087193187342955,17,20.058823529411764,25.055951678578587,47,33.04255319148936,33.000000000000014,10,33.0,0,0.974,38758,4,20,1.0,421.7438637468591,False,0.0541244300982858,6,0.8630000000000002,39464,7,10,1.0,260.87193187342956,False,0.07104620119932693,10,2.568000000000001,50550,439,0,0.0,8379.277809243556,False,-0.16183621086493774,0,0.23600000000000002,68358,28,17,1.0,960.3925877814387,False,0.05403843718156339,0,0.2,82884,209,16,1.0,5764.693900822925,False,0.0014636324939160201,0,0.2,85628,0,1,0.0,33.000000000000014,False,4.086827570906458e-05,0.6666666666666666,365642,0.0,0.0,19,0,0,9,4,3.3125,25,34,26,162.0,84.0,9,13,26,1973,2.1315870163962245,71.26314050983638
29,26,0,0,0,10.000000000000002,20,10.0,18.87843539312874,6,10.166666666666666,26.170576647788334,42,31.142857142857142,33.000000000000014,13,33.0,0,0.9740000000000002,38699,6,24,1.0,513.0824494350898,False,0.053763828844339646,0,0.8570000000000002,39384,5,20,1.0,427.5687078625748,False,0.07113677650755489,9,2.6480000000000006,50293,445,0,0.0,8400.903749942288,False,-0.1656057836596619,16,0.3960000000000001,69068,18,10,1.0,601.5176035542006,False,0.062162317625091563,0,0.2,82005,241,13,1.0,6736.108972116988,False,-0.003128706039648155,0,0.2,85628,0,1,0.0,33.000000000000014,False,4.086827570906458e-05,0.6666666666666666,365077,0.0,0.0,25,0,0,18,4,3.6818181818181817,15,33,24,165.0,93.0,10,16,24,1070,2.3821486020460725,73.64528911188245
