index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01MyA@0,spot_market_loss_01MyA@0,balance_01MyA@0,inventory_01MyA@0_input,inventory_01MyA@0_output,productivity_01MyA@0,assets_01MyA@0,bankrupt_01MyA@0,score_01MyA@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,18,0,0,0,9.999999999999998,14,10.0,22.469033775310344,28,26.214285714285715,9.624059666012887,6,11.0,32.99999999999999,20,33.0,0,0.6860000000000002,17923,9,13,1.0,382.0974390790345,False,0.17753680813492284,0,0.2,15655,0,0,0.0,0.0,False,0.01768185659494247,1,0.6060000000000001,26238,2,10,1.0,141.17866421074956,False,0.02105834557577325,5,5.101000000000002,-4711.0,178,0,0.0,3999.488012005241,False,-1.1052261116974842,0,0.2,38752,25,15,1.0,735.601491650322,False,0.1157639755233781,8,1.8730000000000004,29313,448,0,0.0,4311.578730373773,False,-0.10245602335395776,0.5,123170,0.0,0.0,10,0,0,6,7,97.9847076461769,15,21,14,89.0,72.0,7,11,14,812,0.9276721570058726,28.253308946150355
21,14,0,0,0,9.999999999999998,7,10.0,22.39076851894023,19,21.842105263157894,9.246616515739271,18,3.6666666666666665,32.99999999999999,20,33.0,6,0.7460000000000002,18160,6,10,1.0,283.9076851894023,False,0.18975192372064612,0,0.2,15655,0,0,0.0,0.0,False,0.01768185659494247,0,0.6050000000000001,26103,1,20,1.0,207.32309883372565,False,0.017102443119493202,18,5.276000000000002,-12367.0,188,0,0.0,4209.4644815607635,False,-1.398287190841404,0,0.2,38983,15,18,1.0,732.699247736089,False,0.12231110418607699,13,1.9950000000000003,29069,466,0,0.0,4308.9232963345,False,-0.10945319163266166,0.5,115603,0.0,0.0,4,0,0,8,9,26.834523809523812,12,20,14,84.0,57.0,7,7,14,301,0.7920463159680367,29.04535526211839
22,14,0,0,1,9.999999999999998,9,10.0,22.39076851894023,0,,9.350839574385594,1,36.0,32.99999999999999,20,33.0,1,0.7500000000000002,18052,5,21,1.0,520.2061388977448,False,0.19041169274191463,0,0.2,15655,0,0,0.0,0.0,False,0.01768185659494247,0,0.6050000000000001,26139,0,20,0.1,187.01679148771188,False,0.01810558083303014,0,5.258000000000002,-15314.333333333334,188,0,0.0,4209.4644815607635,True,-1.5126756614357275,0,0.2,39346,5,17,1.0,607.7541978719279,False,0.1308826644686678,9,2.0720000000000005,28951,467,0,0.0,4366.842081238073,False,-0.11199278284649508,0.35000000000000003,128143,0.0,0.125,8,0,0,6,6,61.28099173553719,17,23,13,144.0,43.0,10,4,13,489,0.8075399890076369,29.85289525112603
23,13,0,0,0,9.999999999999996,11,10.0,22.436056519347726,11,23.0,9.45815692571352,7,13.0,32.99999999999999,20,33.0,0,0.7490000000000001,18195,6,20,1.0,508.72113038695454,False,0.1993343668460949,0,0.2,15655,0,0,0.0,0.0,False,0.01768185659494247,0,0.6050000000000001,25977,1,23,1.0,239.9736658107587,False,0.012845875685220012,0,5.258000000000001,-15314.333333333334,188,0,0.0,4217.978625637373,True,-1.5125104409110708,0,0.2,39742,0,10,0.5,329.99999999999994,False,0.13821625167565102,8,2.1430000000000007,28783,474,0,0.0,4483.1663827882085,False,-0.11512554714942233,0.4166666666666667,128352,0.0,0.125,10,0,0,9,7,70.80972222222222,10,19,9,142.0,35.0,9,4,9,850,0.7346360249794088,30.587531276105437
24,9,0,0,0,9.999999999999998,9,10.0,21.648988105505847,29,18.03448275862069,11.233269360849768,16,35.0,32.99999999999999,20,33.0,9,0.8390000000000002,18466,5,10,1.0,266.48988105505845,False,0.20907787431109207,0,0.2,15655,0,0,0.0,0.0,False,0.01768185659494247,0,0.6050000000000001,26014,20,17,1.0,623.945341244563,False,0.021733007475831824,0,5.258000000000001,-15314.333333333334,188,0,0.0,4070.0097638350994,True,-1.5153818385242486,0,0.2,39479,6,11,1.0,430.39961616509856,False,0.13214682433708538,11,2.2450000000000006,28640,474,0,0.0,5324.56967704279,False,-0.1072050187238985,0.5,128254,0.0,0.125,8,0,0,8,10,9.818181818181818,12,20,12,111.0,21.0,7,2,12,1217,0.6712350019952282,31.258766278100666
25,12,0,0,0,9.999999999999998,13,10.0,21.648988105505847,0,,12.941461197790822,16,35.0625,32.999999999999986,20,33.0,0,0.8300000000000001,18336,8,20,1.0,512.9797621101169,False,0.2086387493372592,0,0.2,15655,0,0,0.0,0.0,False,0.01768185659494247,0,0.6050000000000001,26575,10,11,1.0,358.8459542307575,False,0.038361522049032856,0,5.258000000000001,-15314.333333333334,188,0,0.0,4070.0097638350994,True,-1.5153818385242486,0,0.2,39743,0,9,0.6,296.9999999999999,False,0.1377741650266678,12,2.3540000000000005,27925,490,0,0.0,6341.315986917503,False,-0.11309837159639628,0.43333333333333335,128234,0.0,0.125,8,0,0,5,8,8.0,14,19,15,75.0,66.0,5,7,15,955,0.8215306780184619,32.08029695611913
26,15,0,0,0,10.0,14,10.0,21.552538058514934,11,20.272727272727273,14.38826837138903,37,22.243243243243242,32.999999999999986,20,33.0,0,0.8300000000000001,18419,12,19,1.0,529.4982231117838,False,0.21457122222946703,0,0.2,15655,0,0,0.0,0.0,False,0.01768185659494247,26,0.865,26229,11,10,1.0,380.96060235755454,False,0.02536211678874397,0,5.258000000000001,-15314.333333333334,188,0,0.0,4051.8771550008073,True,-1.5157337093779761,2,0.22000000000000003,39436,6,10,1.0,416.32961022833405,False,0.13071974002778494,9,2.4320000000000004,27594,511,0,0.0,7352.405137779794,False,-0.10812006021248974,0.5,127333,0.0,0.125,11,0,0,5,11,10.40909090909091,15,20,16,108.0,57.0,6,9,16,704,0.8962040600017644,32.97650101612089
27,16,0,0,0,10.0,13,10.0,21.552538058514934,0,,14.58829212185582,2,36.0,32.999999999999986,20,33.0,0,0.8300000000000001,18289,15,29,1.0,775.023603696933,False,0.21410074769865878,0,0.2,15655,0,0,0.0,0.0,False,0.01768185659494247,0,0.8390000000000002,26301,1,18,1.0,284.1417962519197,False,0.02627768757765891,0,5.258000000000002,-15314.333333333334,188,0,0.0,4051.8771550008073,True,-1.5157337093779761,0,0.21800000000000003,39730,0,7,0.7,230.9999999999999,False,0.13646216593936283,10,2.5230000000000006,27442,512,0,0.0,7469.20556639018,False,-0.11078968702560997,0.45,127417,0.0,0.125,9,0,0,6,5,5.0,16,22,11,147.0,51.0,9,7,11,532,0.7636982280528173,33.74019924417371
28,11,0,0,0,9.999999999999998,6,10.0,21.363342217854335,2,8.0,14.58829212185582,0,,32.999999999999986,20,33.0,0,0.8300000000000001,18245,11,37,1.0,900.4436620606103,False,0.21531702730483696,0,0.2,15655,0,0,0.0,0.0,False,0.01768185659494247,0,0.839,26285,0,21,0.3,306.35413455897225,False,0.026087753911336047,0,5.258000000000002,-15314.333333333334,188,0,0.0,4016.3083369566148,True,-1.51642393715963,6,0.278,39904,0,0,0.0,0.0,False,0.1381306865177833,7,2.5830000000000006,27379,512,0,0.0,7469.20556639018,False,-0.11258655534083202,0.21666666666666667,127468,0.0,0.125,4,0,0,3,5,4.5,15,18,15,90.0,33.0,5,6,15,241,0.6423661079606973,34.38256535213441
29,15,0,0,0,9.999999999999998,8,10.0,21.409165313735244,10,22.0,14.58829212185582,0,,32.99999999999999,20,33.0,0,0.8300000000000001,18385,9,37,1.0,882.1391166082041,False,0.22382302270715085,0,0.2,15655,0,0,0.0,0.0,False,0.01768185659494247,0,0.8390000000000002,26065,0,31,1.0,452.23705577753043,False,0.020380289058789264,0,5.258000000000002,-15314.333333333334,188,0,0.0,4024.923078982226,True,-1.5162567644897236,8,0.3520000000000001,39820,0,0,0.0,0.0,False,0.13573486209748722,12,2.696000000000001,27222,512,0,0.0,7469.20556639018,False,-0.1170644652692425,0.3333333333333333,127147,0.0,0.125,3,0,0,10,8,47.0671768707483,9,19,9,93.0,27.0,6,9,9,300,0.6789013640373014,35.06146671617171
