index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
16,11,0,0,0,10.000000000000002,20,10.0,34.70460926697474,15,35.6,12.508634435883348,6,13.0,41.0,7,41.0,0,0.389,62029,7,20,1.0,764.0921853394948,False,0.06242418106818992,1,0.372,62985,2,10,1.0,367.0460926697474,False,0.07531872270078427,6,1.358,84818.0,112,0,0.0,3886.9162379011714,False,-0.08029322719904824,0,1.3970000000000005,83590.0,229,0,0.0,7947.355522137216,False,-0.07178937244457459,0,0.2,119857,0,10,0.0,410.0,False,0.001292668484742342,0,0.272,122446,105,19,1.0,2092.4066157677516,False,0.02989986662900308,0.5,535725,0.0,0.0,12,0,0,13,2,1.1428571428571428,13,26,9,123.0,34.0,8,3,9,783,1.2990196300670505,33.43503585923463
17,9,0,0,0,10.000000000000002,20,10.0,34.70460926697474,0,,12.682582304006099,24,13.5,41.0,9,41.0,0,0.38900000000000007,61969,3,30,1.0,1071.1382780092422,False,0.0640162252996837,0,0.371,62845,6,20,1.0,754.0921853394948,False,0.07622984632762067,4,1.3920000000000001,84674.0,112,0,0.0,3886.9162379011714,False,-0.0818196858150591,20,1.5970000000000004,83010.0,229,0,0.0,7947.355522137216,False,-0.07793760853684054,0,0.2,119857,0,10,0.0,410.0,False,0.001292668484742342,0,0.272,122491,119,20,1.0,2329.227294176726,False,0.03126267563268504,0.5,534846,0.0,0.0,13,0,0,11,3,3.0,14,25,7,126.0,3.0,8,1,7,569,1.1922944411635399,34.62733030039817
18,7,0,0,0,10.000000000000002,20,10.0,35.11896955054348,34,37.44117647058823,12.784879809305572,26,13.26923076923077,40.99999999999999,9,41.0,0,0.38900000000000007,62433,5,23,1.0,857.7362996625001,False,0.07009853176207359,0,0.371,63454,4,13,1.0,496.5466041570653,False,0.08440476137271093,5,1.4380000000000004,83643.0,133,0,0.0,4670.822950222283,False,-0.08859384036729193,21,1.7870000000000004,81975.0,242,0,0.0,8498.790631231523,False,-0.08598631152883558,0,0.2,119857,0,10,0.0,409.99999999999994,False,0.001292668484742342,0,0.272,122515,135,21,1.0,2586.958774256252,False,0.03253754482330581,0.5,533877,0.0,0.0,18,0,0,10,3,3.0,14,24,9,97.0,3.0,6,1,9,1842,1.1904332423582673,35.81776354275644
19,9,0,0,0,10.000000000000002,20,10.0,35.00850844622546,38,34.421052631578945,12.36610410503342,6,3.0,40.99999999999999,9,41.0,0,0.38900000000000007,62877,5,16,1.0,610.1361351396074,False,0.07554929980201897,8,0.45100000000000007,63881,4,10,1.0,390.0850844622546,False,0.09076744079788784,6,1.4930000000000003,83151.0,140,0,0.0,4901.191182471564,False,-0.09258824212139809,0,1.7660000000000002,80955.0,273,0,0.0,9557.322805819551,False,-0.09118829075952162,0,0.2,119857,0,10,0.0,409.99999999999994,False,0.001292668484742342,0,0.272,122866,131,22,1.0,2521.959637759378,False,0.03519377366525461,0.5,533587,0.0,0.0,14,0,0,12,5,4.071428571428571,14,26,7,127.0,3.0,8,1,7,1113,1.2572217686101794,37.07498531136662
20,7,0,0,0,10.000000000000002,20,10.0,35.1825032809217,57,35.8421052631579,12.435824858662995,28,12.75,40.99999999999999,11,41.0,26,0.649,63400,8,10,1.0,431.825032809217,False,0.08293464041271628,5,0.49300000000000005,64191,1,10,1.0,361.825032809217,False,0.09580403984074298,9,1.5770000000000004,82216.0,156,0,0.0,5488.470511823785,False,-0.0993869227451674,19,1.9560000000000002,79028.0,314,0,0.0,11047.306030209415,False,-0.10371806081342537,0,0.2,119857,0,10,0.0,409.99999999999994,False,0.001292668484742342,0,0.272,122960,149,21,1.0,2713.9379039407863,False,0.0367782444058345,0.5,531652,0.0,0.0,12,0,0,12,8,6.964102564102564,8,20,7,81.0,17.0,5,2,7,1035,1.1189321354031563,38.193917446769774
21,7,0,0,0,10.000000000000002,20,10.0,35.37525393940658,7,42.142857142857146,11.934639674638635,7,2.0,40.99999999999999,10,41.0,0,0.6230000000000001,63280,10,20,1.0,807.5050787881316,False,0.08408948214956535,0,0.48800000000000004,64406,0,12,0.9,424.50304727287903,False,0.09999747248461871,7,1.6380000000000003,81667.0,163,0,0.0,5766.166392123273,False,-0.1037347015342856,0,1.9370000000000005,79028.0,314,0,0.0,11107.829736973667,False,-0.10339727284931705,0,0.2,119857,0,10,0.0,409.99999999999994,False,0.001292668484742342,0,0.272,123356,146,21,1.0,2603.4573924972406,False,0.03962011138839788,0.48333333333333334,531594,0.0,0.0,13,0,0,12,2,2.0,13,25,8,87.0,3.0,6,1,8,905,1.1616432508453727,39.35556069761515
22,8,0,0,0,10.000000000000002,20,10.0,35.09689655458032,24,32.458333333333336,11.934639674638635,0,,40.99999999999999,10,41.0,3,0.6530000000000001,63848,9,10,1.0,440.9689655458032,False,0.09063877983747963,0,0.48800000000000004,64339,1,21,1.0,747.0348276461867,False,0.10160216215823052,0,1.6310000000000002,81624.0,164,0,0.0,5755.8910349511725,False,-0.10424498052201084,0,1.9370000000000003,78292.0,337,0,0.0,11827.654138893568,False,-0.10738395660779788,0,0.2,119857,0,10,0.0,409.99999999999994,False,0.001292668484742342,0,0.272,123766,136,21,1.0,2484.1109957508543,False,0.042541765684033644,0.5,531726,0.0,0.0,14,0,0,12,1,0.3,12,24,10,110.0,13.0,7,1,10,1069,1.1598527589812875,40.515413456596434
23,10,0,0,0,10.000000000000002,20,10.0,35.29278208614323,33,36.63636363636363,11.863607462845234,5,10.0,40.99999999999999,11,41.0,7,0.7200000000000002,64243,11,10,1.0,462.9278208614323,False,0.09754977377146114,0,0.48800000000000004,64771,0,14,0.9,494.09894920600516,False,0.10680323904744317,5,1.6810000000000003,80792.0,181,0,0.0,6387.993557591924,False,-0.10971424717185421,0,1.9370000000000003,77780.0,353,0,0.0,12458.352076408559,False,-0.10946853758687791,0,0.2,119857,0,10,0.0,409.99999999999994,False,0.001292668484742342,0,0.272,124167,131,20,1.0,2374.1325776327258,False,0.04542742532809898,0.48333333333333334,531610,0.0,0.0,15,0,0,12,2,1.4117647058823528,15,27,8,140.0,11.0,9,1,8,1163,1.2731147054582834,41.78852816205472
24,8,0,0,0,10.000000000000002,20,10.0,35.29278208614323,0,,11.620569386477243,48,11.0,41.0,10,41.0,0,0.7130000000000001,64133,12,20,1.0,825.8556417228646,False,0.09876630499900303,0,0.48800000000000004,64681,0,23,0.9,811.7339879812943,False,0.10797472072025478,18,1.8560000000000003,80016.0,181,0,0.0,6387.993557591924,False,-0.11794016304702382,30,2.2370000000000005,76721.0,353,0,0.0,12458.352076408559,False,-0.12069436865879107,0,0.2,119857,0,10,0.0,410.0,False,0.001292668484742342,0,0.272,124049,169,20,1.0,2783.876226314654,False,0.04615191867995473,0.48333333333333334,529457,0.0,0.0,13,0,0,11,5,5.0,11,22,10,86.0,23.0,6,2,10,610,1.2105801505967975,42.999108312651515
25,10,0,0,0,10.000000000000002,20,10.0,35.131863993129535,27,33.74074074074074,11.244608832425302,7,3.0,41.0,11,41.0,0,0.7130000000000001,64397,14,18,1.0,772.3735518763316,False,0.10280516777778435,0,0.48800000000000004,65128,0,16,0.8,562.1098238900726,False,0.11345933051792587,7,1.9080000000000004,79659.0,184,0,0.0,6464.262974735834,False,-0.12132026493207342,0,2.2070000000000007,75929.0,377,0,0.0,13244.712725409834,False,-0.12492201956087903,0,0.2,119857,0,10,0.0,410.0,False,0.001292668484742342,0,0.272,124479,166,19,1.0,2645.6050661826002,False,0.049161454569718974,0.4666666666666666,529449,0.0,0.0,19,0,0,12,1,1.0,15,27,11,134.0,13.0,9,1,11,1562,1.2603501426056027,44.25945845525712
26,11,0,0,0,10.000000000000002,20,10.0,34.80943566370847,39,32.87179487179487,10.972142472142258,23,9.26086956521739,41.00000000000001,12,41.0,8,0.7930000000000001,64965,13,10,1.0,478.09435663708473,False,0.10996948076941547,0,0.48800000000000004,65434,1,13,1.0,462.5226636282101,False,0.11782073627628538,12,2.0210000000000004,79186.0,184,0,0.0,6404.936162122359,False,-0.12664870165089492,11,2.3170000000000006,74427.0,416,0,0.0,14480.725236102724,False,-0.1342927130888381,0,0.2,119857,0,10,0.0,410.00000000000006,False,0.001292668484742342,0,0.272,124758,179,17,1.0,2661.013502513464,False,0.051552509455300634,0.5,528627,0.0,0.0,14,0,0,12,4,3.4705882352941178,15,27,9,138.0,17.0,9,2,9,1396,1.3022945187985897,45.56175297405571
27,9,0,0,0,10.000000000000002,20,10.0,34.90158940311542,17,36.23529411764706,11.311825151071869,9,17.0,41.00000000000001,12,41.0,1,0.7950000000000002,65191,13,10,1.0,479.0158940311543,False,0.11382452585822511,0,0.48800000000000004,65598,1,17,1.0,603.3270198529622,False,0.12181096809761818,0,2.0090000000000003,78922.0,190,0,0.0,6631.3019865919305,False,-0.12824742417215104,9,2.3960000000000004,73895.0,427,0,0.0,14902.978675130285,False,-0.13769410047526773,0,0.2,119857,0,10,0.0,410.00000000000006,False,0.001292668484742342,0,0.272,125097,178,15,1.0,2628.5048768907927,False,0.05424414286443161,0.5,528560,0.0,0.0,16,0,0,13,2,1.0909090909090908,12,25,9,86.0,32.0,6,3,9,956,1.1602107407525182,46.721963714808226
28,9,0,0,0,10.000000000000002,20,10.0,35.284864253362265,22,39.40909090909091,11.975927346823,19,17.0,41.00000000000001,7,41.0,0,0.7940000000000003,65421,12,12,1.0,543.4183710403472,False,0.11828798150483748,0,0.48800000000000004,66035,2,13,1.0,478.70323529370944,False,0.12818928941929142,0,2.0090000000000003,78055.0,212,0,0.0,7480.3912217128,False,-0.1329376313299652,19,2.577000000000001,73379.0,427,0,0.0,15066.637036185688,False,-0.14229648789335098,0,0.2,119857,0,10,0.0,410.00000000000006,False,0.001292668484742342,0,0.272,125061,187,18,1.0,2977.4984138559007,False,0.0553991777538255,0.5,527808,0.0,0.0,14,0,0,12,2,2.0,13,25,9,105.0,15.0,7,2,9,1354,1.203727019019425,47.92569073382765
29,9,0,0,0,10.000000000000002,20,10.0,35.00501342090853,33,33.03030303030303,11.975927346823,0,,41.00000000000001,13,41.0,5,0.8440000000000001,65779,11,10,1.0,460.05013420908534,False,0.12367263153861732,3,0.518,66359,3,10,1.0,380.05013420908534,False,0.13286505970149354,0,2.0090000000000003,78055.0,212,0,0.0,7421.062845232609,False,-0.1332520838002851,0,2.5580000000000007,72289.0,460,0,0.0,16102.306173617924,False,-0.14836167436812076,0,0.2,119857,0,10,0.0,410.00000000000006,False,0.001292668484742342,0,0.272,125594,177,15,1.0,2734.739140387671,False,0.058832007891064256,0.5,527933,0.0,0.0,14,0,0,11,2,0.48161764705882354,13,24,9,105.0,15.0,7,2,9,733,1.554320284165442,49.48001101799309
30,9,0,0,0,10.000000000000002,20,10.0,34.682028886464366,40,32.75,12.290230660818583,24,14.208333333333334,41.00000000000001,7,41.0,18,1.0190000000000001,66005,14,10,1.0,486.82028886464366,False,0.1277476873286177,2,0.5350000000000001,66631,0,10,1.0,346.82028886464366,False,0.1372124837333569,3,2.0390000000000006,77907.0,213,0,0.0,7387.2721528169095,False,-0.1350000415916675,21,2.7680000000000007,70404.0,499,0,0.0,17306.332414345718,False,-0.16196185753929715,0,0.2,119857,0,10,0.0,410.00000000000006,False,0.001292668484742342,0,0.272,125540,191,18,1.0,3085.4340562163493,False,0.05984402101718981,0.5,526344,0.0,0.0,13,0,0,12,7,6.888888888888889,13,25,9,111.0,19.0,7,2,9,1113,1.1587815135717392,50.63879253156483
31,9,0,0,0,10.000000000000002,20,10.0,34.682028886464366,0,,12.321846492491767,16,12.625,41.00000000000001,12,41.0,0,1.0010000000000001,65915,13,20,1.0,823.6405777292873,False,0.1290824644025713,0,0.533,66521,1,20,1.0,703.6405777292873,False,0.13837703065614612,5,2.0860000000000007,77737.0,213,0,0.0,7387.2721528169095,False,-0.13680211079112478,11,2.857000000000001,70184.0,499,0,0.0,17306.332414345718,False,-0.16429394709153594,0,0.2,119857,0,10,0.0,410.00000000000006,False,0.001292668484742342,0,0.272,125830,197,16,1.0,3083.403759020878,False,0.06225409592025852,0.5,526044,0.0,0.0,14,0,0,11,2,2.0,13,24,8,119.0,3.0,8,1,8,692,1.2057548314332962,51.84454736299813
