index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,32,0,0,0,10.000000000000002,20,10.0,14.04263998381663,25,13.2,34.97045898613942,14,38.0,36.0,10,36.0,0,0.6410000000000001,35217,1,10,1.0,150.4263998381663,False,0.09105058274087496,15,2.8070000000000013,23117.0,214,0,0.0,2140.0000000000005,False,-0.2522645067548768,0,0.2,51406,43,51,1.0,2387.326927597225,False,0.05397474179053848,0,0.45200000000000007,50664,129,45,1.0,3385.1712122886192,False,0.04910402769495275,0,0.533,73370,142,10,1.0,5325.805176031798,False,-0.04198446937546901,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6666666666666666,313139,0.0,0.0,19,0,0,16,5,5.0,22,38,35,256.0,147.0,18,14,35,1342,1.312340050993953,33.23424710909603
21,35,0,0,0,10.000000000000002,20,10.0,14.280816506345285,20,16.9,35.073639495030626,5,38.0,36.0,8,36.0,2,0.661,35387,1,10,1.0,152.80816506345286,False,0.09634290915793514,8,2.872000000000001,22863.0,224,0,0.0,2240.0000000000005,False,-0.2585711194237487,0,0.2,51385,36,61,1.0,2653.6014034252985,False,0.056221710850652244,0,0.45200000000000007,50537,136,50,1.0,3695.8730196144897,False,0.049672113770032555,0,0.533,73468,137,12,1.0,5237.088610819196,False,-0.041308583060422156,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6666666666666666,313005,0.0,0.0,16,0,0,12,3,2.166666666666667,25,37,35,222.0,160.0,16,19,35,678,1.4600991070037708,34.6943462160998
22,35,0,0,0,10.000000000000002,20,10.0,14.507013981061812,22,16.727272727272727,35.647062139068794,22,39.09090909090909,36.0,0,,3,0.6890000000000002,35562,1,10,1.0,155.07013981061812,False,0.10178795776749958,9,2.954000000000001,22589.0,234,0,0.0,2340.0000000000005,False,-0.265496027452314,0,0.2,51850,30,59,1.0,2538.387085636913,False,0.06438491449562095,0,0.45200000000000007,50564,144,50,1.0,3871.3631202263405,False,0.05197133731641822,0,0.533,72608,149,22,1.0,6103.4122587212505,False,-0.04668674945680559,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6666666666666666,312538,0.0,0.0,12,0,0,13,4,3.230769230769231,21,34,36,217.0,151.0,14,21,36,1060,1.257253608026076,35.95159982412588
23,36,0,0,0,10.000000000000002,20,10.0,14.90481834362571,23,18.608695652173914,36.056264186279726,22,38.63636363636363,36.0,0,,5,0.7360000000000002,35784,0,7,0.7,104.33372840537997,False,0.10786678406661182,8,3.025000000000001,22303.0,248,0,0.0,2480.0000000000005,False,-0.2721736173370019,0,0.2,51502,38,69,1.0,3054.265325911078,False,0.06258030423106521,0,0.45200000000000007,51334,139,38,1.0,3441.9077888426036,False,0.06309770156737263,0,0.533,71758,161,32,1.0,6957.058533991036,False,-0.05201878325463966,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6166666666666667,312046,0.0,0.0,14,0,0,12,5,4.166666666666667,23,35,38,200.0,172.0,13,23,38,1050,1.3470836699707434,37.29868349409662
24,38,0,0,0,10.000000000000002,20,10.0,14.180884309110173,36,9.88888888888889,36.65715137726524,26,40.0,36.0,0,,0,0.7310000000000001,35759,0,14,1.0,198.53238032754243,False,0.10854997960131602,33,3.3470000000000013,21517.0,258,0,0.0,2580.0000000000005,False,-0.29492688657371624,0,0.2,51422,36,79,1.0,3406.4267939319197,False,0.06450553835141992,0,0.45200000000000007,52098,157,22,1.0,3032.856166830132,False,0.07430826119935605,0,0.533,70718,177,42,1.0,8000.315793775947,False,-0.05855026904948055,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6666666666666666,310879,0.0,0.0,13,0,0,9,5,5.0,22,31,39,144.0,172.0,10,28,39,1315,1.2857069439487532,38.584390438045375
25,39,0,0,0,10.000000000000002,20,10.0,14.203732035854221,19,14.473684210526315,36.739243323361606,10,38.0,36.0,10,36.0,0,0.7310000000000001,35949,0,11,0.7,156.24105239439643,False,0.11377007222299437,9,3.4040000000000004,21196.0,271,0,0.0,2710.0000000000005,False,-0.30284106717779086,0,0.2,51527,45,79,1.0,3541.568164159007,False,0.0679634529331043,0,0.45200000000000007,52098,147,32,1.0,3263.604395618142,False,0.07662008972486413,0,0.533,70698,177,42,1.0,8014.846068235004,False,-0.058710728480848,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6166666666666667,310833,0.0,0.0,19,0,0,16,5,5.0,27,43,32,247.0,120.0,19,20,32,1200,1.5461600120179355,40.13055045006331
26,32,0,0,0,10.000000000000002,20,10.0,14.354134698073905,34,15.323529411764707,36.90315139859735,22,38.0,36.0,12,36.0,0,0.7310000000000001,35929,7,15,1.0,285.3120204711086,False,0.11514687637912505,28,3.6750000000000007,20747.0,274,0,0.0,2740.0000000000005,False,-0.316258076483136,0,0.2,51921,47,74,1.0,3405.4775343056776,False,0.07449482561521342,0,0.45200000000000007,52019,159,35,1.0,3573.917715944658,False,0.07814609181205322,0,0.533,70294,189,40,1.0,8414.6956143349,False,-0.06128207891176908,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6666666666666666,310275,0.0,0.0,24,0,0,19,4,4.0,15,34,38,145.0,95.0,14,18,38,1618,1.2049951499793679,41.33554560004268
27,38,0,0,0,10.000000000000002,20,10.0,15.095286771193745,54,18.22222222222222,36.90315139859735,0,,35.99999999999999,8,36.0,16,0.891,36156,8,10,1.0,230.95286771193747,False,0.12132427841394779,23,3.8770000000000016,20356.0,283,0,0.0,2830.0000000000005,False,-0.3269545862058305,0,0.2,51566,56,84,1.0,3945.2007766690276,False,0.07278885080620588,0,0.45200000000000007,51390,184,45,1.0,4438.17457883653,False,0.07420124412732473,0,0.533,70582,179,42,1.0,8117.664100348926,False,-0.05952457569237749,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6666666666666666,309415,0.0,0.0,19,0,0,21,4,3.7777777777777777,16,37,39,177.0,138.0,17,21,39,765,1.3042731849709526,42.63981878501363
28,39,0,0,0,10.000000000000002,20,10.0,15.279529862517116,26,17.076923076923077,37.01336960410059,16,38.0625,35.99999999999999,15,36.0,7,0.9450000000000001,36301,7,10,1.0,222.79529862517114,False,0.12568082509390635,9,3.944000000000001,20119.0,294,0,0.0,2940.0000000000005,False,-0.3325810739790398,0,0.2,52080,54,79,1.0,3749.150811299871,False,0.08112402127299194,0,0.45200000000000007,51041,192,54,1.0,4932.391692224718,False,0.07215957692686967,0,0.533,70513,185,37,1.0,8179.4733767586085,False,-0.06000457773099855,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6666666666666666,309419,0.0,0.0,24,0,0,21,4,3.166666666666667,15,36,41,162.0,147.0,14,25,41,1479,1.3543261889717542,43.994144973985385
29,41,0,0,0,10.000000000000002,20,10.0,15.788489575256165,43,18.767441860465116,37.01336960410059,0,,36.0,13,36.0,18,1.1180000000000003,36461,7,10,1.0,227.88489575256165,False,0.1307058598286172,15,4.085000000000001,19728.0,304,0,0.0,3040.0000000000005,False,-0.343123009861811,0,0.2,51348,73,89,1.0,4446.749633758653,False,0.07344557401673796,0,0.45200000000000007,50966,196,64,1.0,5463.399611412646,False,0.07597683255933806,0,0.533,70981,175,34,1.0,7701.339680717603,False,-0.05712001713149614,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6666666666666666,308849,0.0,0.0,19,0,0,14,7,6.75,23,37,36,196.0,196.0,14,27,36,876,1.3754336400306784,45.36957861401606
