index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,16,0,0,0,10.000000000000002,20,10.0,15.409269810621916,24,22.125,17.512861877547632,0,,33.99999999999999,20,34.0,0,0.2,44183,9,11,1.0,259.50196791684107,False,0.05980940839850817,4,2.067,34534,218,0,0.0,2180.0000000000005,False,-0.14799579068210084,0,0.2,56532,0,40,0.0,700.5144751019053,False,-0.002153192920779663,0,2.4230000000000005,47876.0,340,0,0.0,5239.151735611452,False,-0.11419040666948997,2,0.4630000000000001,84356,0,0,0.0,0.0,False,0.038151028847100525,0,1.199,79831,20,16,1.0,894.2572375509526,False,-0.012034451378661588,0.3333333333333333,347312,0.0,0.0,20,0,0,18,2,1.6666666666666665,12,30,20,103.0,48.0,10,6,20,1289,1.3197647419874556,178.48561347997747
21,20,0,0,0,10.000000000000002,20,10.0,15.409269810621916,0,,17.512861877547632,0,,33.99999999999999,20,34.0,0,0.2,44113,6,21,1.0,383.59466602306026,False,0.05961918427751668,0,2.0630000000000006,34404,231,0,0.0,2310.0000000000005,False,-0.14955036831531618,0,0.2,56532,0,40,0.0,700.5144751019053,False,-0.002153192920779663,0,2.4230000000000005,47876.0,340,0,0.0,5239.151735611452,False,-0.11419040666948997,12,0.5810000000000001,84177,0,0,0.0,0.0,False,0.035948114600767946,0,1.199,80103,10,18,1.0,787.1286187754762,False,-0.009346210625827701,0.3333333333333333,347205,0.0,0.0,14,0,0,19,6,6.0,13,32,21,123.0,42.0,11,9,21,472,1.3366158389835618,179.82222931896104
22,21,0,0,0,10.000000000000002,20,10.0,14.989155806284739,5,2.0,16.930601162923967,15,11.4,33.99999999999999,20,34.0,0,0.2,44003,7,31,1.0,534.663829994827,False,0.058794889385760364,5,2.1130000000000004,34219,240,0,0.0,2400.0000000000005,False,-0.1528986893714723,0,0.2,56532,0,40,0.0,677.2240465169587,False,-0.00235747700625419,15,2.5730000000000004,47506.0,345,0,0.0,5171.258753168235,False,-0.12127656562434666,8,0.6490000000000001,83920,5,10,1.0,424.65300581461975,False,0.03539832754390209,0,1.199,80511,0,16,1.0,543.9999999999999,False,-0.005821108595057595,0.5,346691,0.0,0.0,16,0,0,16,8,8.0,12,28,18,143.0,78.0,10,11,18,608,1.3195901289582253,181.14181944791926
23,18,0,0,0,10.000000000000002,20,10.0,13.339334572827939,50,8.6,16.930601162923967,0,,33.99999999999999,20,34.0,0,0.2,44183,5,31,1.0,463.5193717576661,False,0.06224910757387427,40,2.508000000000001,32989,252,0,0.0,2520.0000000000005,False,-0.18088108676934853,0,0.2,56532,0,40,0.0,677.2240465169587,False,-0.00235747700625419,0,2.5580000000000007,47076.0,395,0,0.0,5269.037156267036,False,-0.12796213352980412,2,0.661,84246,0,5,0.5,169.99999999999997,False,0.037843359259623906,0,1.1990000000000003,80783,0,8,0.0,271.99999999999994,False,-0.004147386039184799,0.25,345809,0.0,0.0,18,0,0,13,4,4.0,11,24,14,114.0,45.0,8,10,14,1072,1.7028688720311038,182.84468831995036
24,14,0,0,0,10.000000000000002,20,10.0,13.314576373396756,1,9.0,16.716807948924327,6,11.666666666666666,33.99999999999999,20,34.0,0,0.2,44132,1,40,1.0,542.5830549358702,False,0.06197482845757038,0,2.468000000000001,32849,266,0,0.0,2660.0000000000005,False,-0.1825552472974266,0,0.2,56532,0,40,0.0,668.6723179569731,False,-0.0024324855893608703,6,2.6180000000000003,46955.0,396,0,0.0,5272.5722438651155,False,-0.13005374753210144,6,0.7190000000000001,84285,0,6,0.6,203.99999999999994,False,0.038532539135571524,1,1.209,81048,0,0,0.0,0.0,False,-0.0025598109678054543,0.26666666666666666,345801,0.0,0.0,17,0,0,14,7,6.25,12,26,14,73.0,53.0,6,8,14,583,1.2433680630056188,184.08805638295598
25,14,0,0,0,10.000000000000002,20,10.0,14.252393982402783,28,19.535714285714285,16.3527253425771,21,14.047619047619047,33.99999999999999,20,34.0,0,0.2,44576,0,29,1.0,413.3194254896807,False,0.07104801762041615,7,2.5380000000000003,32594,277,0,0.0,2770.0000000000005,False,-0.18733856309193533,0,0.2,56604,0,38,0.0,621.4035630179297,False,-0.001584040320867224,19,2.802000000000001,45917.0,424,0,0.0,6043.01504853878,False,-0.1415049991357005,2,0.7330000000000001,84252,9,10,1.0,487.1745280831938,False,0.03986889908488716,12,1.3280000000000003,80796,0,2,0.2,67.99999999999999,False,-0.005242689770601556,0.3666666666666667,344739,0.0,0.0,17,0,0,17,14,13.666666666666666,10,27,13,128.0,27.0,10,4,13,976,1.9281605110154487,186.01621689397143
26,13,0,0,0,10.000000000000002,20,10.0,15.386487882586644,58,18.655172413793103,17.03981393937049,20,21.8,33.99999999999999,20,34.0,15,0.35000000000000003,45239,0,9,0.9,138.4783909432798,False,0.08361808082540029,14,2.6710000000000007,32154,288,0,0.0,2880.0000000000005,False,-0.19654644599636467,0,0.2,56892,0,30,0.0,511.19441818111466,False,0.0025014859940453668,12,2.9030000000000014,44595.0,482,0,0.0,7416.287159406763,False,-0.15265075730719438,1,0.7410000000000001,84541,3,10,1.0,391.1194418181114,False,0.04283449494079284,7,1.3860000000000001,80403,6,10,1.0,442.2388836362229,False,-0.007776417226812651,0.48333333333333334,343824,0.0,0.0,18,0,0,13,9,8.789473684210527,14,27,12,147.0,39.0,10,3,12,1508,1.7773959999904037,187.79361289396184
27,12,0,0,0,10.000000000000002,20,10.0,15.885593092005061,10,26.0,16.82536503427227,8,13.0,33.99999999999999,20,34.0,1,0.34500000000000003,45368,1,10,1.0,168.8559309200506,False,0.08706658292978152,0,2.6570000000000005,32064,297,0,0.0,2970.0000000000005,False,-0.19762269205012914,0,0.2,56892,0,30,0.0,504.7609510281681,False,0.0024450570215609315,8,2.971000000000001,44207.0,492,0,0.0,7815.7118012664905,False,-0.15595376018536544,0,0.7400000000000002,84881,0,3,0.3,101.99999999999997,False,0.04523973614256178,0,1.3790000000000002,80639,4,10,1.0,407.301460137089,False,-0.0050869999745428275,0.3833333333333333,344051,0.0,0.0,19,0,0,16,2,1.1,11,27,11,117.0,39.0,9,3,11,880,1.6021591479657218,189.39577204192756
28,11,0,0,0,10.000000000000002,20,10.0,13.535328162182903,37,1.3783783783783783,16.851620263308273,24,17.0,33.99999999999999,20,34.0,0,0.3440000000000001,45238,4,20,1.0,310.7065632436581,False,0.08565371858848723,37,3.0270000000000006,30855,304,0,0.0,3040.0000000000005,False,-0.22570075576389553,0,0.2,56892,0,30,0.0,505.5486078992482,False,0.0024519656863367634,24,3.2030000000000007,43619.0,529,0,0.0,7160.188597794756,False,-0.17201834402425442,7,0.8100000000000003,84748,4,10,1.0,407.40648105323305,False,0.04548221965795291,0,1.379,80739,4,10,1.0,407.40648105323305,False,-0.003855675389797408,0.5,342091,0.0,0.0,15,0,0,9,11,10.571428571428571,12,21,11,68.0,34.0,4,7,11,540,1.2749655980151147,190.67073763994267
29,11,0,0,0,10.000000000000002,20,10.0,14.168499240166666,11,26.0,16.851620263308273,0,,33.99999999999999,20,34.0,0,0.3440000000000001,45404,6,19,1.0,329.20148556316667,False,0.08984503833305237,0,2.9900000000000007,30775,312,0,0.0,3120.0000000000005,False,-0.22665741892279728,0,0.2,56892,0,30,0.0,505.5486078992482,False,0.0024519656863367634,0,3.1790000000000007,43333.0,540,0,0.0,7650.98958969,False,-0.17273055355065348,0,0.8030000000000002,85020,0,6,0.4,203.99999999999994,False,0.04757802500738407,2,1.3990000000000002,81065,0,4,0.4,135.99999999999997,False,-0.001513734370384956,0.3,342489,0.0,0.0,18,0,0,13,1,0.4,11,24,11,96.0,27.0,7,4,11,996,1.3974310460034758,192.06816868594615
