index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,30,0,0,0,10.000000000000002,20,10.0,23.13637192075114,36,23.77777777777778,24.89764155670507,28,29.714285714285715,22.0,20,22.0,0,0.31700000000000006,56588,4,18,1.0,456.45469457352056,False,0.038706874847561384,0,0.2,57211,7,26,1.0,671.5456699395297,False,0.05206261238724226,6,1.6550000000000002,64989,189,10,1.0,4621.7507085890165,False,-0.05872983742018063,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,0,0.6050000000000001,88272,61,21,1.0,1980.7561349590094,False,-0.010976055449907504,13,1.8600000000000003,84961,126,0,0.0,3137.102836144839,False,-0.04125567661936542,0.6666666666666666,423610,0.0,0.0,12,0,0,11,5,5.0,13,24,21,209.0,106.0,14,16,21,1936,3.021650046983268,65.6161210599239
21,21,0,0,0,10.000000000000002,20,10.0,23.257073544146955,10,25.4,24.69051652575066,11,21.363636363636363,22.000000000000004,20,22.0,0,0.31700000000000006,56618,6,22,1.0,571.655617971233,False,0.040308375088861176,0,0.2,57235,5,32,1.0,794.2263534127026,False,0.05362279340950198,1,1.6590000000000003,64945,189,10,1.0,4642.492065101281,False,-0.059200184162706615,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,0,0.6050000000000001,88382,51,26,1.0,1831.216342813284,False,-0.010585707163123237,15,1.9970000000000006,84578,137,0,0.0,3382.6007640278403,False,-0.044139248756119714,0.6666666666666666,423347,0.0,0.0,9,0,0,12,5,4.5,9,21,19,146.0,75.0,11,10,19,717,1.8402038010535762,67.45632486097747
22,19,0,0,0,10.000000000000002,20,10.0,23.416557416129482,17,25.0,26.17324585610314,32,34.0,22.000000000000004,20,22.0,0,0.31700000000000006,56843,6,19,1.0,504.91459090646015,False,0.04381172042364992,0,0.2,57235,5,38,1.0,939.8291818129203,False,0.054953739390234936,22,1.8780000000000003,64938,196,10,1.0,4851.37771212241,False,-0.05783732840933162,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,0,0.6050000000000001,88434,49,30,1.0,1942.4890469490538,False,-0.009393100246257469,14,2.1220000000000008,83444,161,0,0.0,4213.8925828326055,False,-0.052098586291687794,0.6666666666666666,422483,0.0,0.0,10,0,0,10,5,4.583333333333334,9,19,19,134.0,59.0,9,10,19,757,1.8241901830187999,69.28051504399627
23,19,0,0,0,10.000000000000002,20,10.0,23.589549318379877,12,26.0,24.750470017437962,47,19.27659574468085,22.000000000000004,20,22.0,0,0.31700000000000006,56703,10,29,1.0,784.0969302330165,False,0.04380424624063529,0,0.2,57487,1,36,1.0,859.2237754616756,False,0.058823961822534965,37,2.226000000000001,64415,198,10,1.0,4918.2354652135955,False,-0.0646845727547686,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,0,0.6050000000000001,88048,71,27,1.0,2351.2833712380952,False,-0.011405253170320675,7,2.1780000000000004,83170,176,0,0.0,4356.082723069081,False,-0.054346765630676586,0.6666666666666666,421412,0.0,0.0,10,0,0,7,4,3.5555555555555554,13,20,19,150.0,24.0,10,9,19,906,1.6910248919739388,70.97153993597021
24,19,0,0,0,10.000000000000002,20,10.0,23.94897016311351,19,27.0,24.42457909157561,9,17.0,22.000000000000004,20,22.0,0,0.31700000000000006,57106,11,20,1.0,588.9794032622702,False,0.049388283179420775,0,0.2,57397,0,46,1.0,1101.6526275032215,False,0.059394619897102534,0,2.189,64055,207,11,1.0,5226.107193771828,False,-0.06756662894745495,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,0,0.6050000000000002,88290,61,26,1.0,2061.8993245861125,False,-0.01032708428203982,9,2.261000000000001,82957,185,0,0.0,4518.547131941487,False,-0.05580674807518044,0.6666666666666666,421394,0.0,0.0,10,0,0,9,2,2.0,11,20,18,116.0,45.0,9,10,18,1108,1.6073482939973474,72.57888822996756
25,18,0,0,0,10.000000000000002,20,10.0,24.015699350106576,11,25.0,24.269437614949297,7,20.0,22.000000000000004,20,22.0,0,0.31700000000000006,56996,12,30,1.0,840.4709805031973,False,0.04967614563797513,0,0.2,57582,0,44,0.9,1056.6907714046893,False,0.06236577242184211,0,2.1890000000000005,63920,208,14,1.0,5335.037591431458,False,-0.06869300555650104,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,0,0.6050000000000001,88510,51,26,1.0,1809.7413183624144,False,-0.00928644300819687,10,2.3520000000000008,82737,192,0,0.0,4659.732022070265,False,-0.05746217842027263,0.65,421334,0.0,0.0,10,0,0,8,3,3.0,10,18,24,117.0,60.0,8,10,24,835,1.698088998964522,74.27697722893208
26,24,0,0,0,10.000000000000002,20,10.0,24.303595498440558,30,25.8,24.309357186616133,35,24.514285714285716,22.000000000000004,20,22.0,0,0.31700000000000006,57540,10,16,1.0,488.8575279750489,False,0.05640740715529581,0,0.2,57612,2,48,1.0,1186.5725839251468,False,0.0641014697153984,21,2.3990000000000005,63479,228,10,1.0,5784.313345510608,False,-0.07171909155715045,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,0,0.6050000000000001,87996,64,28,1.0,2171.7988599434325,False,-0.012975752274476017,12,2.4620000000000006,82467,204,0,0.0,4959.108866069691,False,-0.05879522638544038,0.6666666666666666,420683,0.0,0.0,13,0,0,17,4,3.9130434782608696,8,25,22,209.0,72.0,15,9,22,1318,1.8003827120410278,76.07735994097311
27,22,0,0,0,10.000000000000002,20,10.0,24.468349591575382,18,26.0,24.309357186616133,0,,22.0,20,22.0,0,0.31700000000000006,57450,9,26,1.0,726.17708938096,False,0.05693136153659993,0,0.2,57970,3,40,1.0,1008.7339836630154,False,0.06902076805483659,0,2.3780000000000006,63011,236,20,1.0,6260.717647344113,False,-0.07493309243944596,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,0,0.6050000000000001,88194,54,29,1.0,1950.7052880772712,False,-0.012006773802104817,11,2.5600000000000005,82376,204,0,0.0,4959.108866069691,False,-0.059803503118623765,0.6666666666666666,420590,0.0,0.0,9,0,0,10,3,3.0,13,23,23,148.0,75.0,12,10,23,866,1.7222831639810465,77.79964310495416
28,23,0,0,0,10.000000000000002,20,10.0,24.571142233450875,12,26.0,25.11361097830321,23,31.869565217391305,21.999999999999996,20,22.0,0,0.31700000000000006,57662,9,24,1.0,679.707413602821,False,0.060382341666235434,0,0.2,57870,3,50,1.0,1258.5571116725437,False,0.06947619802622121,3,2.408000000000001,63355,238,10,1.0,6099.067961344341,False,-0.07125226953283018,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,0,0.6050000000000001,87809,65,25,1.0,2182.3847135897086,False,-0.01498906012215822,6,2.609000000000001,82300,206,0,0.0,5173.403861530462,False,-0.0594583899619377,0.6666666666666666,420585,0.0,0.0,10,0,0,14,4,3.0476190476190474,10,24,28,197.0,87.0,14,9,28,820,1.9069024820346385,79.7065455869888
29,28,0,0,0,10.000000000000002,20,10.0,24.603939507183505,31,24.774193548387096,26.95597112045487,34,37.5,21.999999999999996,20,22.0,0,0.31700000000000006,58100,6,13,1.0,379.8512135933856,False,0.06564883465505206,0,0.2,58000,6,50,1.0,1290.1969753591752,False,0.07214205904458189,24,2.6450000000000005,63126,259,10,1.0,6641.980043565077,False,-0.07065847044318754,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,0,0.6050000000000001,87490,72,24,1.0,2468.8299206727506,False,-0.016936667364670685,9,2.693000000000001,81529,223,0,0.0,6011.181559861436,False,-0.06335976887271651,0.6666666666666666,419834,0.0,0.0,11,0,0,13,4,3.411764705882353,11,24,26,215.0,116.0,14,14,26,1210,1.9699828859884292,81.67652847297722
