index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
2263,e7212057-2504-4cf2-b1b5-590304af0384,07Ran@3,BUYER,RandomAgent,_SystemAgent,97,3,56,48,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
2264,9726a220-af4e-4a74-ab2c-9a79bb01bab9,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,97,3,10,48,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,97,,-1,-1
2265,1181ccb0-c595-4185-a9c0-c894cde65f89,02Ind@1,05Dec@2,IndDecentralizingAgent,DecentralizingAgent,56,20,28,48,-1,48,05Dec@2|02Ind@1,"[quantity: (1, 20), time: (48, 56), unit_price: (1, 28)]",02Ind@1,05Dec@2,p2,05Dec@2,True,2,2,56,,-1,-1
2266,bac42916-7e41-4a15-95f9-280b4c87d537,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,97,1,10,48,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,97,,-1,-1
2267,32397efc-73e8-4896-8c14-950ade449602,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,97,1,56,48,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,True,4,0,97,,-1,-1
2268,9c7aa09b-4f49-47ed-b93e-e073793642c8,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,97,2,56,48,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,True,4,0,97,,-1,-1
2269,6dc9248d-7b0d-4323-85bc-93df17cac648,03Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,58,5,41,48,-1,48,03Dec@1|05Dec@2,"[quantity: (1, 5), time: (53, 58), unit_price: (28, 56)]",03Dec@1,05Dec@2,p2,03Dec@1,False,2,17,58,,-1,-1
2270,bc82b4ab-df61-4f15-baae-c1ec08d4407e,00Dec@0,02Ind@1,DecentralizingAgent,IndDecentralizingAgent,57,3,28,49,-1,49,00Dec@0|02Ind@1,"[quantity: (1, 3), time: (54, 59), unit_price: (19, 38)]",00Dec@0,02Ind@1,p1,00Dec@0,False,1,17,57,,-1,-1
2271,fd1707c1-9147-4546-a27f-7549445f4309,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,98,1,10,49,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,98,,-1,-1
2272,61bd36bc-5331-46b2-b21f-7cbd9eb72777,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,98,1,56,49,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,False,4,0,98,,-1,-1
