index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1120,19488f07-6294-488d-86e1-4271791dec67,05Ran@2,BUYER,RandomAgent,_SystemAgent,48,1,34,3,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
1121,62607b93-e794-4749-941a-a4afa3a1ae89,05Ran@2,BUYER,RandomAgent,_SystemAgent,48,1,34,3,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
1122,f4099378-a4b7-4e8b-a7f5-69a5a5c69c20,02Ind@1,05Ran@2,IndDecentralizingAgent,RandomAgent,7,6,25,3,-1,3,05Ran@2|02Ind@1,"[quantity: (1, 6), time: (3, 7), unit_price: (1, 26)]",02Ind@1,05Ran@2,p2,05Ran@2,True,2,11,7,,-1,-1
1123,7f133324-828a-428f-9072-77e4c70fb996,00Dec@0,02Ind@1,DecentralizingAgent,IndDecentralizingAgent,27,1,8,3,-1,3,02Ind@1|00Dec@0,"[quantity: (1, 1), time: (3, 29), unit_price: (1, 18)]",00Dec@0,02Ind@1,p1,02Ind@1,True,1,17,27,,-1,-1
1124,52fa1235-9095-473b-9542-756f291e3a52,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,48,2,10,3,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,48,,-1,-1
1125,098d8336-4cc4-45ad-af88-b1a687990fc0,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,48,1,10,3,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,48,,-1,-1
1126,fa16a044-7c37-4492-bafa-85723288bf64,05Ran@2,BUYER,RandomAgent,_SystemAgent,48,1,34,3,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
1127,4d49dc04-f327-4057-93da-f47afa0b4376,02Ind@1,05Ran@2,IndDecentralizingAgent,RandomAgent,36,4,24,3,-1,3,05Ran@2|02Ind@1,"[quantity: (1, 10), time: (3, 42), unit_price: (1, 26)]",02Ind@1,05Ran@2,p2,05Ran@2,True,2,13,36,,-1,-1
1128,62a70ade-824c-46ea-a40d-25adc4d512f3,05Ran@2,BUYER,RandomAgent,_SystemAgent,48,1,34,3,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
1129,53b99370-f1dd-402e-a210-ac89e7713786,02Ind@1,04Dec@2,IndDecentralizingAgent,DecentralizingAgent,13,55,39,3,-1,3,02Ind@1|04Dec@2,"[quantity: (1, 55), time: (8, 13), unit_price: (26, 52)]",02Ind@1,04Dec@2,p2,02Ind@1,False,2,17,-1,02Ind@1:product(1.0),-1,-1
1130,1ab12324-d0b5-4fb2-b7e8-093b0dac0ca2,05Ran@2,BUYER,RandomAgent,_SystemAgent,49,1,34,4,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
1131,da4cfcdb-c89a-468a-a9d5-39ad3b95af68,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,49,1,10,4,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,49,,-1,-1
1132,6a482f57-decc-4e2c-a920-ada369aeaf8e,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,49,1,10,4,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,49,,-1,-1
