index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1954,6780c16b-9cd4-46e7-b752-105a4bdd072e,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,110,1,10,56,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,110,,-1,-1
1955,a26cb6ef-ec9b-45cc-9c5a-75bf6caffbdd,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,110,1,10,56,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,110,,-1,-1
1956,d7c68f5b-549e-4d23-bf8d-bfee048ce907,05Ran@2,BUYER,RandomAgent,_SystemAgent,110,1,38,56,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
1957,b2c8cf83-d347-4684-968f-41db40fcc788,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,110,2,10,56,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,110,,-1,-1
1958,64089008-2a29-48e8-8d0a-81d72c9a8f86,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,110,3,10,56,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,110,,-1,-1
1959,dff14ede-1469-4f4a-8f53-ad60c1b49aff,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,110,3,10,56,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,110,,-1,-1
1960,3a5fac6b-931c-4148-b562-0b915fc183d1,05Ran@2,BUYER,RandomAgent,_SystemAgent,110,1,38,56,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
1961,901a9fb1-5c62-4c49-8fee-7b7d70dde14a,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,110,4,10,56,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,110,,-1,-1
1962,14d2a2f9-d966-425c-9d47-9b5225b76e64,02Dec@1,05Ran@2,DecentralizingAgent,RandomAgent,63,4,46,56,-1,56,02Dec@1|05Ran@2,"[quantity: (1, 4), time: (60, 65), unit_price: (29, 58)]",02Dec@1,05Ran@2,p2,02Dec@1,False,2,16,63,,-1,-1
1963,a0836273-0bf1-473b-bf09-53f461fcc50d,03Ind@1,05Ran@2,IndDecentralizingAgent,RandomAgent,58,7,23,56,-1,56,05Ran@2|03Ind@1,"[quantity: (1, 8), time: (56, 60), unit_price: (1, 29)]",03Ind@1,05Ran@2,p2,05Ran@2,True,2,14,58,,-1,-1
1964,b7e48d3e-1898-41b1-8050-50d1291e6d0d,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,110,3,10,56,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,110,,-1,-1
1965,56002ccf-3ff9-41d4-b2cb-710f70b8f662,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,110,2,10,56,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,110,,-1,-1
1966,99c9b48b-8e16-44d4-b430-39870409c0a3,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,111,1,10,57,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,111,,-1,-1
1967,69458c16-815f-4b56-a731-f0d03fa35196,05Ran@2,BUYER,RandomAgent,_SystemAgent,111,2,38,57,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
1968,f455c3a1-62e6-41e3-b0db-51f8fc8a4ce4,03Ind@1,05Ran@2,IndDecentralizingAgent,RandomAgent,65,5,57,57,-1,57,03Ind@1|05Ran@2,"[quantity: (1, 5), time: (62, 67), unit_price: (29, 58)]",03Ind@1,05Ran@2,p2,03Ind@1,False,2,9,65,,-1,-1
1969,97f17edb-ced0-4be3-b464-bdbe985b362e,03Ind@1,05Ran@2,IndDecentralizingAgent,RandomAgent,59,12,24,57,-1,57,05Ran@2|03Ind@1,"[quantity: (1, 12), time: (57, 61), unit_price: (1, 29)]",03Ind@1,05Ran@2,p2,05Ran@2,True,2,13,59,,-1,-1
1970,15345c27-8c35-4f1f-9530-b995bd8dc28e,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,111,2,10,57,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,111,,-1,-1
1971,1bb715fe-f4de-4d78-8b7b-ff8ca6d95eff,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,111,3,10,57,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,111,,-1,-1
1972,4a94287d-130c-468d-9d02-950b44f4d2d7,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,111,3,10,57,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,111,,-1,-1
1973,426fbbd7-a573-4c68-b4ba-a1fa8cd03682,05Ran@2,BUYER,RandomAgent,_SystemAgent,111,4,38,57,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
