index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
534,18047984-50e5-4cc2-a087-f1f095432aaa,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,48,1,38,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
535,a946b43b-818e-4e9d-a913-4cb659d5441d,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,32,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,32,,-1,-1
536,1626959a-8e6d-428e-b284-9b237af63a36,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,35,3,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,35,,-1,-1
537,6e860a25-af48-42fe-80ab-6782f9cd028d,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,50,2,38,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
538,06889ba8-bce5-4527-9db2-c504b7c9cfad,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,18,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,18,,-1,-1
539,e4acee6d-b46b-4b0e-8a3c-e0f861bc9305,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,54,2,38,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
540,f5374706-4be4-47bb-8cbf-7be33345ecb6,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,68,3,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,68,,-1,-1
541,62c1ac64-e2d4-48a5-a7b9-3f4d58ad8a1d,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,75,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,75,,-1,-1
542,3f96d734-95e0-4f2f-b4f9-95e9e75f9036,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,26,3,38,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
543,b884cde4-f5d3-44d1-844c-18b60a31b8af,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,21,3,38,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
