index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,41,0,0,0,10.000000000000002,20,10.0,20.771713713559716,8,25.0,39.686193790295604,0,,38.00000000000001,20,38.0,0,0.47900000000000004,41016,9,43,1.0,983.1836896830678,False,0.04188337671230534,0,0.2,39308,9,129,1.0,2769.5510690492033,False,0.021430646716147597,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,66425,81,60,1.0,4063.680438216073,False,0.015047599702085326,13,1.9770000000000005,84690,77,0,0.0,3055.8369218527614,False,-0.0502124078949681,7,1.683,84601,92,0,0.0,3651.1298287071954,False,-0.047913931938468324,0.5,383680,0.0,0.0,10,0,0,18,10,10.0,25,43,38,336.0,117.0,22,19,38,400,4.895926779019646,236.71224260504823
21,38,0,0,0,10.000000000000002,20,10.0,20.771713713559716,0,,39.82842722330277,18,41.0,38.000000000000014,20,38.0,0,0.47900000000000004,40906,10,53,1.0,1200.9008268186649,False,0.04185472560579657,0,0.2,39218,8,139,1.0,2967.2682061848004,False,0.02165300592616284,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,67163,71,52,1.0,3545.8698892744837,False,0.02215140334861416,8,2.0440000000000005,84592,77,0,0.0,3066.788896194313,False,-0.05123166422736015,12,1.7960000000000003,83666,110,0,0.0,4381.126994563305,False,-0.054193140287282456,0.5,383185,0.0,0.0,11,0,0,18,10,10.0,20,38,41,330.0,99.0,20,18,41,938,4.560329117986839,241.27257172303507
22,41,0,0,0,10.000000000000002,20,10.0,20.159469364299586,27,17.0,39.86630813327139,5,41.0,38.00000000000001,20,38.0,0,0.47900000000000004,41285,8,36,1.0,805.7408971147851,False,0.046408555650427744,0,0.2,39098,10,149,1.0,3103.7609352806385,False,0.020353936284553228,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,66909,88,57,1.0,4046.4128676548326,False,0.022096118647540425,9,2.126000000000001,84266,82,0,0.0,3269.0372669282538,False,-0.053708924897945126,11,1.8940000000000001,83495,110,0,0.0,4385.293894659852,False,-0.056053946557130495,0.5,382693,0.0,0.0,13,0,0,17,10,10.0,22,39,41,327.0,126.0,19,22,41,864,4.178901840001345,245.45147356303642
23,41,0,0,0,10.000000000000002,20,10.0,20.159469364299586,0,,39.86630813327139,0,,38.00000000000001,20,38.0,0,0.47900000000000004,41225,4,46,1.0,967.3355907577809,False,0.04693059051128014,0,0.2,38958,14,159,1.0,3345.355628923634,False,0.01987192987930959,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,66909,78,67,1.0,4243.481255344551,False,0.023557139878299514,10,2.2170000000000005,84118,82,0,0.0,3269.0372669282538,False,-0.05533931178434682,10,1.983,83349,110,0,0.0,4385.293894659852,False,-0.05766230118831055,0.5,382199,0.0,0.0,9,0,0,18,10,10.0,22,40,36,330.0,123.0,20,21,36,200,6.338539376971312,251.79001294000773
24,36,0,0,0,10.000000000000002,20,10.0,20.433980557138703,9,25.0,39.86630813327139,0,,38.00000000000001,20,38.0,0,0.47900000000000004,41350,4,47,1.0,1000.397086185519,False,0.05048315828943396,0,0.2,38858,14,169,1.0,3593.3427141564407,False,0.020474192551977285,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,66684,77,77,1.0,4643.122229161577,False,0.023183789249737442,10,2.307000000000001,83971,82,0,0.0,3269.0372669282538,False,-0.05695868254313769,10,2.0730000000000004,83207,110,0,0.0,4385.293894659852,False,-0.059226591309047304,0.5,381710,0.0,0.0,11,0,0,16,10,10.0,19,35,34,276.0,87.0,17,19,34,425,4.806328800972551,256.5963417409803
25,34,0,0,0,10.000000000000002,20,10.0,20.919637632116846,17,25.0,39.90562464038612,5,41.0,38.0,20,38.0,0,0.47900000000000004,41645,7,40,1.0,906.7855052846738,False,0.0567130889992805,0,0.2,38788,11,179,1.0,3854.6151361489156,False,0.021996224003475454,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,66464,84,82,1.0,5029.510781609477,False,0.022786325891947765,10,2.3970000000000007,83620,87,0,0.0,3471.7893437135926,False,-0.05970857195892318,10,2.1630000000000003,83062,110,0,0.0,4389.6187104424735,False,-0.060800108451339145,0.5,381219,0.0,0.0,13,0,0,16,10,10.0,22,38,35,279.0,78.0,18,16,35,830,4.863363456970546,261.4597051979508
26,35,0,0,0,10.000000000000002,20,10.0,20.300191628960484,27,17.0,39.90562464038612,0,,37.99999999999999,20,38.0,0,0.47900000000000004,41994,8,23,1.0,546.9044074660911,False,0.06095665563224594,0,0.2,38698,10,189,1.0,3936.7362178735316,False,0.020767793090608885,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,66005,101,92,1.0,5721.636821440532,False,0.02111174654844561,9,2.4770000000000008,83495,87,0,0.0,3471.7893437135926,False,-0.06108558791027596,11,2.2630000000000003,82889,110,0,0.0,4389.6187104424735,False,-0.0627058985280114,0.5,380721,0.0,0.0,11,0,0,13,11,11.0,22,35,37,255.0,91.0,15,20,37,659,4.86582244100282,266.32552763895364
27,37,0,0,0,10.000000000000002,20,10.0,20.300191628960484,0,,40.20697407806689,14,43.0,37.99999999999999,20,38.0,0,0.47900000000000004,41874,10,33,1.0,769.906323755696,False,0.06074332091362356,0,0.2,38618,8,199,1.0,4119.738134163136,False,0.021056479005034524,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,66607,91,88,1.0,5385.531157105291,False,0.027546122276217253,8,2.548000000000001,83403,87,0,0.0,3498.0067447918195,False,-0.061954664532520645,12,2.3720000000000003,82098,124,0,0.0,4985.664785680295,False,-0.06813659565479696,0.5,380240,0.0,0.0,11,0,0,19,10,10.0,20,39,38,303.0,78.0,21,16,38,802,4.897332010034006,271.22285964898765
28,38,0,0,0,10.000000000000002,20,10.0,20.5871819709083,10,25.0,40.2585504691506,9,41.0,37.99999999999999,20,38.0,0,0.47900000000000004,42004,12,33,1.0,799.3770050399739,False,0.06437632728030292,0,0.2,38538,6,209,1.0,4362.721031919835,False,0.022097957176633886,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,66726,91,89,1.0,5456.444551107059,False,0.029836337527854053,9,2.630000000000001,83282,87,0,0.0,3502.493890816102,False,-0.06326290048682409,11,2.47,81567,133,0,0.0,5354.3872123970295,False,-0.07195521276330177,0.5,379757,0.0,0.0,12,0,0,18,9,9.0,19,37,36,294.0,105.0,18,20,36,819,4.338168844988104,275.56102849397575
29,36,0,0,0,10.000000000000002,20,10.0,19.997404731593846,29,17.0,40.33825130901235,15,41.0,37.99999999999999,20,38.0,0,0.47900000000000004,42387,13,14,1.0,409.9636662423138,False,0.06910268413165886,0,0.2,38448,5,219,1.0,4429.431636219052,False,0.020676116822950605,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,66848,110,84,1.0,5588.12763043236,False,0.03262156838789159,14,2.761000000000001,82414,102,0,0.0,4114.5016335192595,False,-0.0694539215568033,6,2.5190000000000006,81503,133,0,0.0,5364.987424098643,False,-0.07260185828799103,0.5,379240,0.0,0.0,13,0,0,15,10,10.0,22,37,37,261.0,118.0,17,19,37,1308,4.47884807898663,280.0398765729624
