index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,6,0,0,0,10.000000000000002,20,10.0,19.729656991058576,12,23.0,17.801867443008828,5,11.0,29.000000000000004,8,29.0,0,0.263,16654,5,28,1.0,602.4303957496402,False,0.1242765862923426,0,0.5690000000000001,12164,227,0,0.0,2270.0000000000005,False,-0.11816192560175055,0,0.2,22113,0,0,0.0,0.0,False,0.0359803232607168,5,3.796000000000001,10156,186,0,0.0,3669.7162003368953,False,-0.43823574138353494,0,0.7490000000000001,29512,31,40,1.0,1711.857890733274,False,0.014665673606423039,8,1.6210000000000002,23242,243,0,0.0,4325.853788651145,False,-0.1511601826213514,0.3333333333333333,113841,0.0,0.0,13,0,0,7,5,5.0,20,27,6,70.0,3.0,5,1,6,476,0.5553207760676742,20.24715820234269
21,6,0,0,0,10.000000000000002,20,10.0,20.31553285054642,26,22.884615384615383,17.597382072094373,5,11.0,29.0,9,29.0,0,0.263,17169,3,12,1.0,273.786394206557,False,0.14752955355104302,0,0.5690000000000001,12044,239,0,0.0,2390.0000000000005,False,-0.1221404416152775,0,0.2,22113,0,0,0.0,0.0,False,0.0359803232607168,5,3.841000000000001,9486,212,0,0.0,4306.892964315841,False,-0.4546991575470639,0,0.7490000000000001,29457,26,50,1.0,1907.5319338744537,False,0.016096961707281435,9,1.703,23142,243,0,0.0,4276.1638435189325,False,-0.15533155395237178,0.3333333333333333,113411,0.0,0.0,16,0,0,8,7,7.0,19,27,5,68.0,3.0,5,1,5,795,0.5691465651616454,20.816304767504334
22,5,0,0,0,10.000000000000002,20,10.0,20.998523855059425,43,23.0,17.597382072094373,0,,29.000000000000004,8,29.0,31,0.5730000000000001,17295,0,9,0.9,188.98671469553483,False,0.1530729631554783,0,0.5690000000000001,11904,253,0,0.0,2530.0000000000005,False,-0.12678204363105894,0,0.2,22113,0,0,0.0,0.0,False,0.0359803232607168,0,3.836000000000001,8497,255,0,0.0,5354.623583040153,False,-0.4764904290690993,0,0.7490000000000001,29457,16,60,1.0,2021.5581131535102,False,0.018001906397699677,8,1.7740000000000002,23063,243,0,0.0,4276.1638435189325,False,-0.15797113429251008,0.31666666666666665,112329,0.0,0.0,10,0,0,5,7,6.833333333333334,23,28,6,69.0,0.0,5,0,6,430,0.5281636100262403,21.344468377530575
23,6,0,0,0,10.000000000000002,20,10.0,20.998523855059425,0,,17.597382072094373,0,,29.000000000000004,12,29.0,0,0.542,17145,5,19,1.0,448.9719532461291,False,0.15174630174544565,0,0.5690000000000002,11854,258,0,0.0,2580.0000000000005,False,-0.12843975863669518,0,0.2,22113,0,0,0.0,0.0,False,0.0359803232607168,0,3.836000000000001,8497,255,0,0.0,5354.623583040153,False,-0.4764904290690993,0,0.7490000000000001,29457,6,70,1.0,2135.5842924325666,False,0.019906851088118044,12,1.8860000000000001,22907,243,0,0.0,4276.1638435189325,False,-0.16318347015404908,0.3333333333333333,111973,0.0,0.0,10,0,0,10,7,7.0,19,29,5,76.0,0.0,6,0,5,200,0.5985592873767018,21.943027664907277
24,5,0,0,0,10.000000000000002,20,10.0,20.998523855059425,0,,17.702013397526684,19,18.526315789473685,29.0,9,29.0,0,0.542,17045,5,29,1.0,658.9571917967234,False,0.1520773553410492,0,0.5690000000000002,11754,268,0,0.0,2680.0000000000005,False,-0.13175518864796765,0,0.2,22113,0,0,0.0,0.0,False,0.0359803232607168,19,4.026000000000001,8220,255,0,0.0,5354.623583040153,False,-0.4894677071201651,0,0.7490000000000001,29397,1,80,1.0,2337.7020133975266,False,0.021278726542776634,9,1.9640000000000004,22520,257,0,0.0,4549.417443164358,False,-0.17154904201335902,0.3333333333333333,111049,0.0,0.0,13,0,0,10,7,7.0,18,28,6,68.0,0.0,5,0,6,200,0.537909222766757,22.480936887674034
25,6,0,0,0,10.000000000000002,20,10.0,20.998523855059425,0,,18.133246475403073,19,21.57894736842105,29.0,8,29.0,0,0.542,16985,1,39,1.0,828.9424303473176,False,0.15373458094116174,0,0.5690000000000001,11614,282,0,0.0,2820.0000000000005,False,-0.1363967906637491,0,0.2,22113,0,0,0.0,0.0,False,0.0359803232607168,19,4.197000000000001,8032,255,0,0.0,5354.623583040153,False,-0.4982753904183614,0,0.7490000000000001,29397,0,81,0.1,2349.0,False,0.021467473019479436,8,2.0350000000000006,22032,276,0,0.0,5004.776027211248,False,-0.18024698407545775,0.18333333333333335,110173,0.0,0.0,10,0,0,8,6,6.0,19,27,6,75.0,0.0,6,0,6,200,0.5578085109591484,23.038745398633182
26,6,0,0,0,10.000000000000002,20,10.0,20.998523855059425,0,,18.386749477485505,13,21.384615384615383,29.0,11,29.0,0,0.542,16865,3,49,1.0,1058.9276688979119,False,0.15340254853451082,0,0.5690000000000001,11534,290,0,0.0,2900.0000000000005,False,-0.13904913467276706,0,0.2,22113,0,0,0.0,0.0,False,0.0359803232607168,13,4.308000000000001,7939,255,0,0.0,5354.623583040153,False,-0.5026323826882138,0,0.7490000000000001,29397,0,81,0.0,2349.0,False,0.021467473019479436,11,2.1370000000000005,21630,289,0,0.0,5313.770598993311,False,-0.18851664607916555,0.16666666666666666,109478,0.0,0.0,10,0,0,11,7,7.0,16,27,5,73.0,0.0,6,0,5,200,0.6577867781743407,23.696532176807523
27,5,0,0,0,10.000000000000002,20,10.0,21.09919930076562,17,22.0,17.98773076684721,10,12.0,29.0,12,29.0,0,0.542,17169,0,42,1.0,886.166370632156,False,0.16783258307248047,0,0.5690000000000001,11404,303,0,0.0,3030.0000000000005,False,-0.14335919368742125,0,0.2,22113,0,0,0.0,0.0,False,0.0359803232607168,10,4.395000000000001,7425,272,0,0.0,5738.982209808249,False,-0.5177094820846042,0,0.7490000000000001,29277,0,91,1.0,2639.0,False,0.022302783253700425,12,2.2460000000000004,21488,289,0,0.0,5198.454191618844,False,-0.19518770771461047,0.3333333333333333,108876,0.0,0.0,11,0,0,8,5,5.0,20,28,6,74.0,0.0,5,0,6,574,0.5481516113504767,24.244683788158
28,6,0,0,0,10.000000000000002,20,10.0,21.216389563048498,10,23.0,17.98773076684721,0,,29.0,15,29.0,0,0.542,17309,0,41,0.9,869.8719720849884,False,0.17657555772445432,0,0.5690000000000001,11294,314,0,0.0,3140.0000000000005,False,-0.14700616669982097,0,0.2,22113,0,0,0.0,0.0,False,0.0359803232607168,0,4.385000000000001,7195,282,0,0.0,5983.021856779676,False,-0.5227682863251423,0,0.7490000000000001,29364,0,88,0.0,2552.0,False,0.023756223061244947,12,2.3540000000000005,21332,289,0,0.0,5198.454191618844,False,-0.20040004357614943,0.15,108607,0.0,0.0,13,0,0,10,7,7.0,19,29,3,75.0,0.0,6,0,3,517,0.5985311670228839,24.843214955180883
29,3,0,0,0,10.000000000000002,20,10.0,21.24049598158037,2,23.0,17.98773076684721,0,,29.000000000000007,20,29.0,0,0.542,17265,0,48,0.9,1019.5438071158578,False,0.17862024425157008,0,0.5690000000000001,11184,325,0,0.0,3250.0000000000005,False,-0.15065313971222066,0,0.2,22113,0,0,0.0,0.0,False,0.0359803232607168,0,4.385000000000002,7149,284,0,0.0,6032.3008587688255,False,-0.5237690124439254,0,0.7490000000000001,29799,0,73,0.0,2117.0000000000005,False,0.031023422098967558,5,2.3920000000000003,21291,289,0,0.0,5198.454191618844,False,-0.20176995236027187,0.15,108801,0.0,0.0,20,0,0,5,3,3.0,22,27,5,37.0,0.0,3,0,5,681,0.4189088437706232,25.262123798951507
