index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
891,2367fe13-909d-4783-89e3-d64d118a1981,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,41,3,10,24,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,41,,-1,-1
892,a41d8309-e4c4-493d-9d53-87c66120e180,SELLER,01Ran@0,_SystemAgent,RandomAgent,41,1,10,24,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,41,,-1,-1
893,0d43db0d-8412-4ac0-9100-750110f3994c,SELLER,01Ran@0,_SystemAgent,RandomAgent,41,4,10,24,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,41,,-1,-1
894,6f63bafc-3e47-4c80-b828-5d42c9a553f5,SELLER,01Ran@0,_SystemAgent,RandomAgent,41,1,10,24,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,41,,-1,-1
895,ae3b3bd3-4090-4391-9105-3046e39a4a45,00Ind@0,03Buy@1,IndDecentralizingAgent,BuyCheapSellExpensiveAgent,34,11,23,24,-1,24,00Ind@0|03Buy@1,"[quantity: (1, 12), time: (29, 34), unit_price: (15, 30)]",00Ind@0,03Buy@1,p1,00Ind@0,False,1,17,34,,-1,-1
896,bfcda11e-c224-49fd-802d-5b0ca6534b76,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,41,4,10,24,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,41,,-1,-1
897,1d027dc2-af26-4019-8907-505b418eb449,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,41,1,10,24,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,41,,-1,-1
898,745d8286-f97d-4a1b-bd2f-aae649812c49,05Ran@2,BUYER,RandomAgent,_SystemAgent,41,1,29,24,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
899,3859509b-da71-47f7-a51a-d6d9c764af4b,03Buy@1,05Ran@2,BuyCheapSellExpensiveAgent,RandomAgent,25,8,21,24,-1,24,05Ran@2|03Buy@1,"[quantity: (1, 8), time: (24, 28), unit_price: (1, 22)]",03Buy@1,05Ran@2,p2,05Ran@2,True,2,10,-1,03Buy@1:product(1.0),-1,-1
900,ea3162ee-0517-4091-9fee-2347069e04d3,05Ran@2,BUYER,RandomAgent,_SystemAgent,41,1,29,24,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
901,e3b9d323-917d-4dd9-ac88-bcb8806114e8,SELLER,01Ran@0,_SystemAgent,RandomAgent,41,2,10,24,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,41,,-1,-1
902,54047465-3bf9-402a-bee8-1e94e297d72c,05Ran@2,BUYER,RandomAgent,_SystemAgent,41,3,29,24,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
903,fab495f1-9d28-4b69-b544-db6fdb030326,05Ran@2,BUYER,RandomAgent,_SystemAgent,41,2,29,24,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
904,cc91594c-ac15-4348-90f9-daf16f8796a0,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,41,1,10,24,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,41,,-1,-1
905,aa7ff8dc-3a51-4dd0-a6ee-d7d6d3f1ccf2,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,41,1,10,24,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,41,,-1,-1
906,a5aaac59-89d7-4bb4-9322-7f660676dec7,05Ran@2,BUYER,RandomAgent,_SystemAgent,41,1,29,24,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
907,6049b9ab-a0c7-4794-8b01-5eb87ae2e749,SELLER,01Ran@0,_SystemAgent,RandomAgent,41,1,10,24,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,41,,-1,-1
908,8ce9fde9-fb84-4f40-852c-a30ab8461ec9,00Ind@0,03Buy@1,IndDecentralizingAgent,BuyCheapSellExpensiveAgent,35,12,23,25,-1,25,00Ind@0|03Buy@1,"[quantity: (1, 14), time: (30, 35), unit_price: (15, 30)]",00Ind@0,03Buy@1,p1,00Ind@0,False,1,17,35,,-1,-1
909,9008715e-6b2f-487a-9d14-7b97aff2df10,03Buy@1,05Ran@2,BuyCheapSellExpensiveAgent,RandomAgent,26,11,22,25,-1,25,05Ran@2|03Buy@1,"[quantity: (1, 11), time: (25, 29), unit_price: (1, 22)]",03Buy@1,05Ran@2,p2,05Ran@2,True,2,8,-1,03Buy@1:product(1.0),-1,-1
910,aadd85b9-e21b-46b7-9004-4da7eab5eb97,05Ran@2,BUYER,RandomAgent,_SystemAgent,42,1,29,25,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
911,1a09f369-1d96-4f85-a78a-5f56ed58e4a3,05Ran@2,BUYER,RandomAgent,_SystemAgent,42,1,29,25,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
912,04f55737-134a-47c0-a605-e52ee5fb07fb,05Ran@2,BUYER,RandomAgent,_SystemAgent,42,1,29,25,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
913,fddccf0c-89f7-499d-a4c0-96a43f6b4975,SELLER,01Ran@0,_SystemAgent,RandomAgent,42,1,10,25,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,42,,-1,-1
914,2089674b-e5b9-4761-a4e7-17193a42a292,SELLER,01Ran@0,_SystemAgent,RandomAgent,42,1,10,25,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,42,,-1,-1
915,a1fea916-0e3d-44b6-a203-73ebade28879,SELLER,01Ran@0,_SystemAgent,RandomAgent,42,2,10,25,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,42,,-1,-1
916,36bd5fc5-6a2f-41a8-9fee-2f3bfcdbad4b,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,42,3,10,25,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,42,,-1,-1
917,968bbb4c-7d09-4f2b-8c2a-8c7b7c787d37,SELLER,01Ran@0,_SystemAgent,RandomAgent,42,2,10,25,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,42,,-1,-1
918,4a3adb0d-4acf-4fcd-a81f-f016221fe290,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,42,2,10,25,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,42,,-1,-1
919,5aefc19b-f303-4427-8d15-9f34fe1cb737,05Ran@2,BUYER,RandomAgent,_SystemAgent,42,2,29,25,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
920,fb2a3959-f585-442d-9014-7f2bcfe6bb4b,SELLER,01Ran@0,_SystemAgent,RandomAgent,42,1,10,25,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,42,,-1,-1
921,9fd9d8b6-914b-447d-a375-7db9516de170,SELLER,01Ran@0,_SystemAgent,RandomAgent,42,2,10,25,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,42,,-1,-1
922,0f365d81-a6b5-4e70-9009-e467a9612dec,SELLER,01Ran@0,_SystemAgent,RandomAgent,42,3,10,25,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,42,,-1,-1
923,33b8804c-9898-4379-83be-3972c37ea3aa,05Ran@2,BUYER,RandomAgent,_SystemAgent,42,3,29,25,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
924,dda3f83e-7f8c-4e39-9de9-b9cc1a82b90a,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,42,3,10,25,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,42,,-1,-1
925,25f81d30-ceac-48f5-ac40-de4351930c59,05Ran@2,BUYER,RandomAgent,_SystemAgent,42,1,29,25,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
