index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1921,a8792389-e19c-4d84-9c35-50a51b4dd436,SELLER,01Ran@0,_SystemAgent,RandomAgent,97,2,10,30,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,97,,-1,-1
1922,734a94cf-e462-4380-8339-923daf3a2f7a,SELLER,01Ran@0,_SystemAgent,RandomAgent,97,2,10,30,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,97,,-1,-1
1923,69c6276a-a723-4cf4-9c99-30e28159e5a7,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,97,1,40,30,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
1924,b50bf333-3b9e-40d1-8073-71560820a36b,SELLER,00Ran@0,_SystemAgent,RandomAgent,97,5,10,30,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,97,,-1,-1
1925,656a3dc0-1244-48ff-9104-77c764518fff,SELLER,01Ran@0,_SystemAgent,RandomAgent,97,1,10,30,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,97,,-1,-1
1926,4e96b843-2099-4e9c-a83f-cc0040874eda,SELLER,00Ran@0,_SystemAgent,RandomAgent,97,1,10,30,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,97,,-1,-1
1927,99cbe25f-8c90-4ee8-96cb-6105f8a512d8,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,97,2,40,30,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
1928,d80db0c1-e526-4f0c-bf43-c69ff3892952,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,97,1,40,30,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
1929,8e6c8439-5a69-4a74-8f64-98f02b839cc8,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,97,1,40,30,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
1930,dde76b22-bd98-4d49-b435-b10d904a5152,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,97,4,40,30,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
