index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,4,0,0,0,10.000000000000002,20,10.0,33.80838131718094,16,38.0,4.261027359280832,13,4.076923076923077,37.0,10,37.0,0,0.24500000000000002,66415,18,13,1.0,619.5089571233523,False,0.07610157853371734,0,0.2,59966,204,0,0.0,2040.0000000000005,False,-0.016450020965712995,8,1.495,91581,100,0,0.0,3380.838131718094,False,-0.06895238457302376,5,1.699,90650,90,0,0.0,3042.7543185462846,False,-0.07993314807221938,0,0.2,118147,0,13,0.0,481.0,False,0.001603242017631432,0,0.32600000000000007,123597,106,16,1.0,1043.6689000837682,False,0.05009250960288575,0.3333333333333333,550356,0.0,0.0,10,0,0,9,2,2.0,8,17,6,50.0,0.0,4,0,6,1178,0.8018494779826142,25.33481187716825
21,6,0,0,0,10.000000000000002,20,10.0,33.60600667826746,20,32.4,4.044649268949011,11,1.6363636363636365,37.0,9,37.0,7,0.31500000000000006,66782,20,10,1.0,536.0600667826747,False,0.08134745078526809,0,0.2,59886,212,0,0.0,2120.0000000000005,False,-0.017095119827113505,4,1.5270000000000001,91038,113,0,0.0,3797.478754644223,False,-0.07229320139627954,7,1.7639999999999998,90167,97,0,0.0,3259.782647791944,False,-0.08367131510699882,0,0.2,118147,0,13,0.0,481.0,False,0.001603242017631432,0,0.32600000000000007,123912,107,17,1.0,1061.7774717775442,False,0.05283413201482913,0.3333333333333333,549932,0.0,0.0,10,0,0,10,3,3.0,8,18,8,60.0,10.0,5,1,8,936,0.8539686410222203,26.18878051819047
22,8,0,0,0,10.000000000000002,20,10.0,33.66490073415944,25,33.96,3.9229478904153146,5,1.0,37.00000000000001,10,37.0,15,0.4580000000000001,67196,19,10,1.0,526.6490073415944,False,0.08794833570413824,0,0.2,59776,223,0,0.0,2230.0000000000005,False,-0.017982130761539206,5,1.5730000000000004,90575,121,0,0.0,4073.4529888332922,False,-0.07553752288986063,0,1.757,89606,114,0,0.0,3837.798683694176,False,-0.08638637497033218,0,0.2,118147,0,13,0.0,481.0000000000001,False,0.001603242017631432,0,0.32600000000000007,124277,102,17,1.0,1029.1406848223621,False,0.05578411091906111,0.3333333333333333,549577,0.0,0.0,11,0,0,11,2,1.8823529411764706,10,21,8,107.0,0.0,8,0,8,858,0.9174334189738147,27.106213937164284
23,8,0,0,0,10.000000000000002,20,10.0,33.79531650565085,8,36.0,3.766072691979904,10,2.0,37.00000000000001,10,37.0,0,0.44300000000000006,67404,17,12,1.0,575.5437980678103,False,0.09169712445624464,0,0.2,59656,235,0,0.0,2350.0000000000005,False,-0.01894977905363997,10,1.6680000000000001,89947,129,0,0.0,4359.59582922896,False,-0.08037814397613792,0,1.7570000000000001,89606,114,0,0.0,3852.666081644197,False,-0.08631217080603626,0,0.2,118147,0,13,0.0,481.0000000000001,False,0.001603242017631432,0,0.32600000000000007,124627,102,17,1.0,1013.1394145819503,False,0.058677555519475524,0.3333333333333333,549387,0.0,0.0,11,0,0,10,1,1.0,9,19,4,95.0,0.0,8,0,4,858,0.8776278599980287,27.983841797162313
24,4,0,0,0,10.000000000000002,20,10.0,34.17343302255391,13,37.92307692307692,4.0420379810942135,37,4.864864864864865,37.00000000000001,9,37.0,1,0.45300000000000007,67794,15,10,1.0,491.7343302255391,False,0.09731102095140416,0,0.2,59536,247,0,0.0,2470.0000000000005,False,-0.019917427345740736,23,1.8880000000000003,88556,142,0,0.0,4852.627489202655,False,-0.09180253601452072,14,1.8970000000000002,89058,114,0,0.0,3895.7713645711456,False,-0.09156723782144388,0,0.2,118147,0,13,0.0,481.0000000000001,False,0.001603242017631432,0,0.32600000000000007,124780,129,18,1.0,1187.4228995611538,False,0.060709245924470585,0.3333333333333333,547871,0.0,0.0,11,0,0,7,6,5.083333333333333,8,15,6,57.0,0.0,4,0,6,570,0.8021166959661059,28.78595849312842
25,6,0,0,0,10.000000000000002,20,10.0,33.938341829536576,32,33.0,4.040806895590304,4,4.0,37.0,12,37.0,22,0.672,68178,12,10,1.0,459.3834182953658,False,0.10324310081520625,0,0.2,59406,260,0,0.0,2600.0000000000005,False,-0.020965712995516562,0,1.8650000000000002,88028,158,0,0.0,5362.258009066779,False,-0.09452950214582509,4,1.9230000000000005,88402,130,0,0.0,4411.984437839755,False,-0.09553906288823122,0,0.2,118147,0,13,0.0,481.0,False,0.001603242017631432,0,0.32600000000000007,125208,123,16,1.0,1089.0192481576073,False,0.06391402243759452,0.3333333333333333,547369,0.0,0.0,10,0,0,10,3,2.375,8,18,6,84.0,0.0,6,0,6,644,0.8475085030077025,29.63346699613612
26,6,0,0,0,10.000000000000002,20,10.0,34.09974488595106,8,37.0,3.749990787898948,13,1.0,36.99999999999999,10,37.0,0,0.6500000000000001,68384,11,12,1.0,519.1969386314128,False,0.10704768037473322,0,0.2,59296,271,0,0.0,2710.0000000000005,False,-0.021852723929942263,6,1.9250000000000003,87522,166,0,0.0,5660.557651067877,False,-0.09809162773102206,7,1.989,88157,130,0,0.0,4432.966835173638,False,-0.0978799606944887,0,0.2,118147,0,13,0.0,480.9999999999999,False,0.001603242017631432,0,0.32600000000000007,125565,126,16,1.0,1064.4988392752673,False,0.06683065212302776,0.3333333333333333,547071,0.0,0.0,10,0,0,7,2,2.0,10,17,6,85.0,0.0,6,0,6,866,0.8342540049925447,30.467721001128666
27,6,0,0,0,10.000000000000002,20,10.0,33.87289021269751,8,30.0,4.448966912080389,10,13.0,36.99999999999999,12,37.0,0,0.6500000000000001,68484,15,14,1.0,624.2204629777652,False,0.10950730947793576,0,0.2,59236,277,0,0.0,2770.0000000000005,False,-0.022336548075992647,10,2.019,87292,166,0,0.0,5622.899775307787,False,-0.10057547103031673,0,1.982,87917,138,0,0.0,4674.458849352257,False,-0.09907036979131224,0,0.2,118147,0,13,0.0,480.9999999999999,False,0.001603242017631432,0,0.32600000000000007,125879,126,14,1.0,1078.5698309221289,False,0.0695467344241109,0.3333333333333333,546955,0.0,0.0,11,0,0,9,1,1.0,9,18,8,64.0,9.0,5,1,8,884,0.8291225649882108,31.296843566116877
28,8,0,0,0,10.000000000000002,20,10.0,33.99609444774007,8,36.0,4.40787245135482,12,4.0,36.99999999999999,14,37.0,0,0.6500000000000001,68682,14,16,1.0,683.9375111638411,False,0.11318209133925629,0,0.2,59126,288,0,0.0,2880.0000000000005,False,-0.023223559010418348,6,2.0690000000000004,87100,166,0,0.0,5643.3516783248515,False,-0.10238996357357898,6,2.0420000000000003,87437,146,0,0.0,4963.4297893700505,False,-0.10241952011214904,0,0.2,118147,0,13,0.0,480.9999999999999,False,0.001603242017631432,0,0.32600000000000007,126349,128,10,1.0,934.2076737734169,False,0.07291243368658269,0.3333333333333333,546841,0.0,0.0,12,0,0,9,2,2.0,11,20,6,80.0,8.0,7,1,6,1006,0.8538324260152876,32.150675992132165
29,6,0,0,0,10.000000000000002,20,10.0,34.525183675686534,29,36.793103448275865,4.4335399926235155,23,4.565217391304348,36.99999999999999,9,37.0,13,0.78,69344,11,10,1.0,455.2518367568654,False,0.12201441664320271,0,0.2,58996,301,0,0.0,3010.0000000000005,False,-0.024271844660194174,12,2.1830000000000007,86006,186,0,0.0,6421.684163677695,False,-0.10942570716578484,11,2.146,86741,155,0,0.0,5351.403469731413,False,-0.10743068173104434,0,0.2,118147,0,13,0.0,480.9999999999999,False,0.001603242017631432,0,0.32600000000000007,126577,141,11,1.0,1032.1291389599157,False,0.07525562674055365,0.3333333333333333,545811,0.0,0.0,9,0,0,9,4,3.2857142857142856,10,19,8,93.0,0.0,6,0,8,749,0.8445822150097229,32.99525820714189
