index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,24,0,0,0,10.000000000000002,20,10.0,6.849386429655775,15,7.666666666666667,22.4820498816348,7,16.285714285714285,35.0,8,35.0,5,1.7350000000000005,14727,209,0,0.0,2090.0000000000005,False,-0.24085483249903736,10,2.0190000000000006,15475,211,0,0.0,2110.0000000000005,False,-0.20437042741624953,0,0.2,30334,13,175,1.0,4023.400752871615,False,0.044859010124876725,0,0.2,31055,0,96,0.5,2158.276788636941,False,0.03802495055459089,0,0.2,42798,0,0,0.0,0.0,False,0.0,8,1.8550000000000002,38429,87,0,0.0,1955.9383397022277,False,-0.07923339478828179,0.25,172818,0.0,0.0,10,0,0,10,7,7.0,24,34,24,186.0,58.0,13,11,24,314,1.1206452790647745,22.890415504574776
21,24,0,0,0,10.000000000000002,20,10.0,6.812862379833175,31,6.645161290322581,21.987808971716177,10,19.9,35.0,8,35.0,21,1.9400000000000006,14092,222,0,0.0,2220.0000000000005,False,-0.2682903350019253,10,2.1090000000000004,15265,218,0,0.0,2180.0000000000005,False,-0.21279360800924144,0,0.2,30320,19,183,1.0,4153.213427040891,False,0.04650343100172648,0,0.2,31062,5,98,1.0,2188.869591127351,False,0.038745188343950535,0,0.2,42798,0,0,0.0,0.0,False,0.0,8,1.9270000000000003,38137,97,0,0.0,2132.8174702564693,False,-0.08398970196905846,0.3333333333333333,171674,0.0,0.0,14,0,0,11,11,11.0,22,33,19,211.0,29.0,14,10,19,399,0.9597494238987565,23.850164928473532
22,19,0,0,0,10.000000000000002,20,10.0,6.768576901193765,22,6.454545454545454,22.559519694294757,2,36.0,35.0,9,35.0,12,2.0390000000000006,13715,234,0,0.0,2340.0000000000005,False,-0.2835483249903735,10,2.1990000000000007,15040,226,0,0.0,2260.0000000000005,False,-0.22169811320754718,0,0.2,30259,26,192,1.0,4507.410780735631,False,0.05025375166740372,0,0.2,31053,0,107,1.0,2413.868607289539,False,0.042088519677125305,0,0.2,42798,0,0,0.0,0.0,False,0.0,9,2.0090000000000003,37949,99,0,0.0,2233.392449735181,False,-0.0872074343458201,0.3333333333333333,170814,0.0,0.0,11,0,0,8,10,10.0,20,28,19,146.0,27.0,10,9,19,272,0.8793016402050853,24.729466568678617
23,19,0,0,0,10.000000000000002,20,10.0,6.820444375203946,24,7.166666666666667,23.142410666681464,2,36.0,35.0,11,35.0,9,2.1170000000000004,13453,241,0,0.0,2410.0000000000005,False,-0.2944743935309973,15,2.339000000000001,14665,239,0,0.0,2390.0000000000005,False,-0.2366191759722757,0,0.2,30173,35,201,1.0,4890.340097135112,False,0.053660562992782164,0,0.2,31039,0,111,0.5,2568.8075840016427,False,0.04413876641796103,0,0.2,42798,0,0,0.0,0.0,False,0.0,11,2.1100000000000003,37715,101,0,0.0,2337.383477334828,False,-0.09146007433367406,0.25,169843,0.0,0.0,11,0,0,8,11,11.0,20,28,19,150.0,27.0,10,9,19,272,0.8400525748729706,25.569519143551588
24,19,0,0,0,10.000000000000002,20,10.0,6.6726239523072755,29,5.827586206896552,23.733496847129775,2,36.0,35.0,5,35.0,19,2.2980000000000005,12889,251,0,0.0,2510.0000000000005,False,-0.31921447824412785,10,2.424000000000001,14425,249,0,0.0,2490.0000000000005,False,-0.24576434347323836,0,0.2,30159,30,210,1.0,5184.213056466471,False,0.057954793043035004,0,0.2,30956,14,120,1.0,2941.4363569878747,False,0.04747611779222594,0,0.2,42798,0,0,0.0,0.0,False,0.0,5,2.1490000000000005,37599,103,0,0.0,2444.550175254367,False,-0.0929184754514888,0.3333333333333333,168826,0.0,0.0,11,0,0,7,8,8.0,22,29,23,141.0,30.0,9,10,23,272,0.9573424123227596,26.526861555874348
25,23,0,0,0,10.000000000000002,20,10.0,6.717964980761201,14,7.285714285714286,24.870482722391596,4,36.0,35.0,10,35.0,4,2.319000000000001,12716,260,0,0.0,2600.0000000000005,False,-0.3253754331921448,10,2.5140000000000007,14170,260,0,0.0,2600.0000000000005,False,-0.2553908355795148,0,0.2,30179,29,218,1.0,5616.586217923443,False,0.06558429786354361,0,0.2,30978,9,128,1.0,3243.883473292975,False,0.05307173617102716,0,0.2,42798,0,0,0.0,0.0,False,0.0,10,2.2440000000000007,37323,107,0,0.0,2661.141651295901,False,-0.09683698243731136,0.3333333333333333,168164,0.0,0.0,14,0,0,11,8,8.0,19,30,24,140.0,44.0,11,12,24,344,1.213730807416141,27.74059236329049
26,24,0,0,0,10.000000000000002,20,10.0,6.89992206348825,10,10.0,24.870482722391596,0,,35.0,11,35.0,0,2.315000000000001,12596,272,0,0.0,2720.0000000000005,False,-0.32826338082402773,10,2.6040000000000005,13950,268,0,0.0,2680.0000000000005,False,-0.2640546784751637,0,0.2,30129,24,228,1.0,5836.068190229002,False,0.06751410327597973,0,0.2,30928,4,138,1.0,3459.726303943993,False,0.05494276422043468,0,0.2,42798,0,0,0.0,0.0,False,0.0,11,2.3440000000000003,37168,107,0,0.0,2661.141651295901,False,-0.10045864700107603,0.3333333333333333,167569,0.0,0.0,8,0,0,10,7,7.0,22,32,23,164.0,44.0,13,11,23,200,1.2923520505428314,29.03294441383332
27,23,0,0,0,10.000000000000002,20,10.0,6.649287593321094,18,4.388888888888889,25.41552609843153,2,36.0,35.0,10,35.0,13,2.4450000000000007,12197,282,0,0.0,2820.0000000000005,False,-0.3450616095494802,5,2.6440000000000006,13785,278,0,0.0,2780.0000000000005,False,-0.26958991143627264,0,0.2,30197,18,236,1.0,6117.751335909621,False,0.07426028581434925,0,0.2,30853,8,148,1.0,3814.6921633144357,False,0.05825325715208898,0,0.2,42798,0,0,0.0,0.0,False,0.0,10,2.4330000000000007,36966,109,0,0.0,2770.292344729037,False,-0.10390330921153981,0.3333333333333333,166796,0.0,0.0,11,0,0,9,8,8.0,20,29,19,173.0,33.0,11,12,19,272,0.7254726057872176,29.758417019620538
28,19,0,0,0,10.000000000000002,20,10.0,6.6325771269676475,28,6.535714285714286,24.22405981168573,8,18.75,35.0,6,35.0,13,2.5620000000000007,11804,292,0,0.0,2920.0000000000005,False,-0.3615710435117443,15,2.7890000000000006,13435,288,0,0.0,2880.0000000000005,False,-0.28402964959568733,0,0.2,30100,31,245,1.0,6140.504544799001,False,0.07149440425104173,0,0.2,30917,3,151,1.0,3677.730762945448,False,0.05810851766878968,0,0.2,42798,0,0,0.0,0.0,False,0.0,6,2.4830000000000005,36757,117,0,0.0,2834.2149979672304,False,-0.1080399201134723,0.3333333333333333,165811,0.0,0.0,12,0,0,9,9,9.0,20,29,21,123.0,43.0,9,10,21,350,1.6366836512461305,31.39510067086667
29,21,0,0,0,10.000000000000002,20,10.0,6.573128364643235,23,6.130434782608695,24.50933243056032,1,36.0,35.0,9,35.0,13,2.679000000000001,11458,297,0,0.0,2970.0000000000005,False,-0.37702156334231807,10,2.8740000000000006,13145,303,0,0.0,3030.0000000000005,False,-0.29437812860993456,0,0.2,30015,36,255,1.0,6486.512390920038,False,0.07433718368898849,0,0.2,30897,1,160,1.0,3928.0663172542945,False,0.061505738883843704,0,0.2,42798,0,0,0.0,0.0,False,0.0,9,2.5670000000000006,36615,118,0,0.0,2892.1012268061177,False,-0.11068155957280577,0.3333333333333333,164928,0.0,0.0,9,0,0,8,10,10.0,20,28,22,168.0,42.0,11,10,22,236,0.8118979064747691,32.20699857734144
