index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,2,0,0,0,10.000000000000002,20,10.0,18.55904437730559,13,16.615384615384617,11.998602111883107,6,3.0,40.0,20,40.0,13,0.5640000000000001,24255,106,0,0.0,1060.0000000000002,False,-0.03323321761516558,0,0.6230000000000001,24096,114,0,0.0,1140.0000000000002,False,-0.03787494636657955,0,0.2,38407,0,4,0.0,47.99440844753243,False,0.0011983119505995605,6,1.6910000000000005,29904,80,0,0.0,1484.723550184447,False,-0.2016057893684454,0,0.31700000000000006,54893,0,11,1.0,440.0,False,0.052920161244101406,0,0.29900000000000004,53627,6,14,1.0,631.9916126712986,False,0.03056752204374312,0.3333333333333333,225182,0.0,0.0,19,0,0,9,3,3.0,12,21,4,22.0,0.0,2,0,4,1000,0.5435740280081518,12.786856903985608
11,4,0,0,0,10.000000000000002,20,10.0,18.653777518121586,20,19.0,12.81870071200554,7,26.285714285714285,40.0,20,40.0,13,0.681,24038,115,0,0.0,1150.0000000000002,False,-0.03994227093653704,7,0.6930000000000002,23944,125,0,0.0,1250.0000000000002,False,-0.04165854039084136,0,0.2,38587,0,0,0.0,0.0,False,0.005262472319916634,3,1.7150000000000003,29418,100,0,0.0,1865.3777518121587,False,-0.20930861336704237,0,0.31700000000000006,55069,0,9,0.7,360.0,False,0.055518407427927324,0,0.29900000000000004,54067,0,9,0.6,360.0,False,0.03637544657356284,0.21666666666666665,225123,0.0,0.0,20,0,0,10,5,5.0,15,25,1,51.0,0.0,4,0,1,1180,0.5532822539680637,13.340139157953672
12,1,0,0,0,10.000000000000002,20,10.0,18.685163540522606,2,20.0,11.577391028003195,16,3.0625,40.00000000000001,20,40.0,0,0.6680000000000001,23988,120,0,0.0,1200.0000000000002,False,-0.04091742403557359,2,0.7060000000000002,23784,140,0,0.0,1400.0000000000002,False,-0.044974060927565625,0,0.2,38587,0,0,0.0,0.0,False,0.005262472319916634,16,1.8720000000000006,28736,102,0,0.0,1905.8866811333057,False,-0.22654830427076583,0,0.31700000000000006,55384,5,10,1.0,457.886955140016,False,0.06247145707296117,2,0.31900000000000006,54405,0,1,0.1,40.00000000000001,False,0.03977609231415853,0.18333333333333335,224884,0.0,0.0,17,0,0,10,7,6.333333333333333,10,20,4,14.0,0.0,1,0,4,840,0.4155459580360912,13.755685115989763
13,4,0,0,0,10.000000000000002,20,10.0,18.685163540522606,0,,9.858041643950312,24,1.75,40.00000000000001,20,40.0,0,0.6680000000000001,23898,129,0,0.0,1290.0000000000002,False,-0.04267269961383937,0,0.7040000000000002,23674,151,0,0.0,1510.0000000000002,False,-0.04711939774544603,0,0.2,38587,0,0,0.0,0.0,False,0.005262472319916634,24,2.0960000000000005,27602,102,0,0.0,1905.8866811333057,False,-0.25609109442316913,0,0.31700000000000006,55718,11,11,1.0,548.4384580834535,False,0.06971742599854287,10,0.41700000000000004,54275,0,8,0.8,320.00000000000006,False,0.03996713982767514,0.3,223754,0.0,0.0,13,0,0,10,8,8.0,13,23,2,55.0,0.0,4,0,2,600,0.5091014409554191,14.264786556945182
14,2,0,0,0,10.000000000000002,20,10.0,18.685163540522606,0,,9.058142900287399,13,1.4615384615384615,40.00000000000001,20,40.0,0,0.6680000000000001,23818,137,0,0.0,1370.0000000000002,False,-0.04423294457229785,0,0.7040000000000002,23554,163,0,0.0,1630.0000000000002,False,-0.049459765183133754,0,0.2,38587,0,0,0.0,0.0,False,0.005262472319916634,13,2.202000000000001,27093,102,0,0.0,1905.8866811333057,False,-0.26935148259563235,0,0.31700000000000006,56151,8,10,1.0,472.46514320229926,False,0.0772640576887291,1,0.4170000000000001,54575,0,6,0.6,240.00000000000006,False,0.04493437517910705,0.26666666666666666,223778,0.0,0.0,16,0,0,9,3,2.5,11,20,4,22.0,0.0,2,0,4,920,0.6020270219887607,14.866813578933943
15,4,0,0,0,10.000000000000002,20,10.0,18.479999174528825,8,16.5,8.48153805275886,10,1.4,40.00000000000001,20,40.0,4,0.7080000000000002,23695,146,0,0.0,1460.0000000000002,False,-0.04727542224129188,4,0.744,23404,174,0,0.0,1740.0000000000002,False,-0.053165346959472636,0,0.2,38587,0,0,0.0,0.0,False,0.005262472319916634,10,2.2890000000000006,26606,110,0,0.0,2032.7999091981708,False,-0.2803855684616625,0,0.31700000000000006,56426,0,12,0.9,480.0000000000001,False,0.08258984009323118,7,0.4860000000000001,54728,0,9,0.9,360.00000000000006,False,0.04900368721701087,0.3,223446,0.0,0.0,16,0,0,7,9,9.0,16,23,3,61.0,0.0,4,0,3,720,0.6302329080062918,15.497046486940235
16,3,0,0,0,10.000000000000002,20,10.0,18.512437578490527,1,21.0,8.28996225701316,10,6.0,40.00000000000001,20,40.0,0,0.7040000000000002,23615,154,0,0.0,1540.0000000000002,False,-0.04883566719975036,1,0.7500000000000002,23280,186,0,0.0,1860.0000000000002,False,-0.0556617388930062,0,0.2,38587,0,0,0.0,0.0,False,0.005262472319916634,10,2.3790000000000004,26285,111,0,0.0,2054.8805712124486,False,-0.28846058914664,0,0.31700000000000006,56786,0,3,0.0,120.00000000000003,False,0.0860286953365302,2,0.4990000000000001,55012,0,10,1.0,400.00000000000006,False,0.05481153162791586,0.16666666666666666,223565,0.0,0.0,17,0,0,6,3,3.0,16,22,3,44.0,0.0,3,0,3,920,0.7290702710160986,16.226116757956333
17,3,0,0,0,10.000000000000002,20,10.0,18.512437578490527,0,,7.906598807364364,14,4.714285714285714,40.00000000000001,20,40.0,0,0.7040000000000002,23515,164,0,0.0,1640.0000000000002,False,-0.05078597339782346,0,0.7490000000000001,23180,196,0,0.0,1960.0000000000005,False,-0.0576120450910793,0,0.2,38587,0,0,0.0,0.0,False,0.005262472319916634,14,2.509000000000001,25751,111,0,0.0,2054.8805712124486,False,-0.30237227339830086,9,0.4070000000000001,56732,0,10,1.0,400.00000000000006,False,0.08767170395277306,0,0.4970000000000001,55316,0,6,0.4,240.00000000000006,False,0.059090995930687965,0.2333333333333333,223081,0.0,0.0,13,0,0,2,6,6.0,18,20,5,48.0,0.0,3,0,5,640,0.5746603489969857,16.80077710695332
18,5,0,0,0,10.000000000000002,20,10.0,18.512437578490527,0,,7.841228271347507,2,4.0,40.00000000000001,20,40.0,0,0.7040000000000002,23405,175,0,0.0,1750.0000000000002,False,-0.05293131021570387,0,0.7490000000000001,23090,205,0,0.0,2050.0000000000005,False,-0.05936732066934509,0,0.2,38587,0,0,0.0,0.0,False,0.005262472319916634,2,2.5150000000000006,25687,111,0,0.0,2054.8805712124486,False,-0.3040395913610467,0,0.398,57124,0,2,0.2,80.00000000000001,False,0.09210400626635844,4,0.5370000000000001,55514,0,0,0.0,0.0,False,0.06058116653611753,0.03333333333333333,223407,0.0,0.0,16,0,0,1,4,3.6666666666666665,23,24,3,65.0,0.0,5,0,3,800,0.7439152210135944,17.544692327966914
19,3,0,0,0,10.000000000000002,20,10.0,18.512437578490527,0,,7.222438613327705,34,5.264705882352941,40.00000000000001,20,40.0,0,0.7040000000000002,23295,186,0,0.0,1860.0000000000002,False,-0.055076647033584274,0,0.7490000000000003,23000,214,0,0.0,2140.0000000000005,False,-0.06112259624761088,0,0.2,38587,0,0,0.0,0.0,False,0.005262472319916634,34,2.8530000000000006,23965,111,0,0.0,2054.8805712124486,False,-0.3489008652961776,11,0.508,56990,0,10,1.0,400.00000000000006,False,0.09260072980150164,7,0.603,55279,14,10,1.0,501.11414058658795,False,0.060878380495831275,0.3333333333333333,221116,0.0,0.0,11,0,0,0,16,15.333333333333332,22,22,3,42.0,0.0,3,0,3,200,0.754167226026766,18.29885955399368
20,3,0,0,0,10.000000000000002,20,10.0,18.686819195833927,7,20.428571428571427,7.147781290316338,17,6.588235294117647,40.00000000000001,20,40.0,3,0.7340000000000002,23163,198,0,0.0,1980.0000000000005,False,-0.057885087958809534,4,0.7890000000000001,22900,222,0,0.0,2220.0000000000005,False,-0.06346296368529859,0,0.2,38587,0,0,0.0,0.0,False,0.005262472319916634,17,2.989000000000001,23211,118,0,0.0,2205.0446651084035,False,-0.3665879293329633,0,0.49700000000000005,57118,7,14,1.0,610.0344690322145,False,0.09705246612758353,4,0.6360000000000001,55637,4,10,1.0,428.5911251612654,False,0.06702511439123923,0.3333333333333333,220616,0.0,0.0,14,0,0,0,8,7.333333333333333,19,19,3,41.0,0.0,3,0,3,760,0.8754881469649263,19.174347700958606
21,3,0,0,0,10.000000000000002,20,10.0,18.686819195833927,0,,6.792815734964162,9,1.6666666666666667,40.00000000000001,20,40.0,0,0.7310000000000001,23043,210,0,0.0,2100.0000000000005,False,-0.06022545539649725,0,0.7850000000000001,22820,230,0,0.0,2300.0000000000005,False,-0.06502320864375707,0,0.2,38587,0,0,0.0,0.0,False,0.005262472319916634,9,3.0620000000000007,22875,118,0,0.0,2205.0446651084035,False,-0.3753413486373791,0,0.4970000000000001,57463,6,15,1.0,640.7568944097851,False,0.10393707749278593,1,0.6420000000000001,56029,0,4,0.4,160.00000000000003,False,0.07194849359035592,0.2333333333333333,220817,0.0,0.0,18,0,0,1,3,3.0,18,19,3,40.0,0.0,3,0,3,960,0.5868941130465828,19.76124181400519
22,3,0,0,0,10.000000000000002,20,10.0,18.686819195833927,0,,6.793806161332365,20,6.8,40.00000000000001,20,40.0,0,0.7310000000000001,22933,221,0,0.0,2210.0000000000005,False,-0.062370792214377656,0,0.7850000000000001,22730,239,0,0.0,2390.0000000000005,False,-0.06677848422202286,0,0.2,38587,0,0,0.0,0.0,False,0.005262472319916634,20,3.253000000000001,22105,118,0,0.0,2205.0446651084035,False,-0.3954012678766653,0,0.4970000000000001,57831,0,15,1.0,600.0000000000001,False,0.11057830082341479,6,0.7010000000000001,56019,6,10,1.0,440.76283696799425,False,0.0744393981713695,0.3333333333333333,220205,0.0,0.0,15,0,0,2,6,5.333333333333334,20,22,3,31.0,0.0,3,0,3,680,0.6658428309601732,20.427084644965362
23,3,0,0,0,10.000000000000002,20,10.0,18.686819195833927,0,,6.299826024205982,15,2.0,40.00000000000001,20,40.0,0,0.7310000000000001,22833,231,0,0.0,2310.0000000000005,False,-0.06432109841245076,0,0.7850000000000001,22630,249,0,0.0,2490.0000000000005,False,-0.06872879042009596,0,0.2,38587,0,0,0.0,0.0,False,0.005262472319916634,15,3.3830000000000013,21472,118,0,0.0,2205.0446651084035,False,-0.4118920846019486,0,0.4970000000000001,58205,1,15,1.0,606.2998260242061,False,0.11778365613381162,0,0.6950000000000001,56415,0,10,1.0,400.00000000000006,False,0.08161549777429647,0.3333333333333333,220142,0.0,0.0,17,0,0,2,4,4.0,20,22,3,39.0,0.0,3,0,3,1000,0.6489756599767134,21.076060304942075
24,3,0,0,0,10.000000000000002,20,10.0,18.686819195833927,0,,6.5122418309303525,14,8.5,40.00000000000001,20,40.0,0,0.7310000000000001,22723,242,0,0.0,2420.0000000000005,False,-0.06646643523033116,0,0.7850000000000001,22540,258,0,0.0,2580.0000000000005,False,-0.07048406599836174,0,0.2,38587,0,0,0.0,0.0,False,0.005262472319916634,14,3.508000000000001,20992,118,0,0.0,2205.0446651084035,False,-0.42439696932254256,0,0.4970000000000001,58526,5,14,1.0,592.5612091546519,False,0.12378504488809057,0,0.6950000000000002,56775,0,1,0.0,40.00000000000001,False,0.08505435301759548,0.16666666666666666,220143,0.0,0.0,19,0,0,0,3,3.0,22,22,3,42.0,0.0,3,0,3,1000,0.6446876190020703,21.720747923944145
25,3,0,0,0,10.000000000000002,20,10.0,18.686819195833927,0,,6.3671399051222295,8,4.0,40.00000000000001,20,40.0,0,0.7310000000000001,22623,252,0,0.0,2520.0000000000005,False,-0.06841674142840426,0,0.7850000000000001,22440,268,0,0.0,2680.0000000000005,False,-0.07243437219643484,0,0.2,38587,0,0,0.0,0.0,False,0.005262472319916634,8,3.574000000000001,20736,118,0,0.0,2205.0446651084035,False,-0.43106624117352604,0,0.4970000000000001,58766,0,13,0.5,520.0000000000001,False,0.12767705328315151,13,0.8250000000000002,56549,0,8,0.8,320.00000000000006,False,0.08341134440135262,0.21666666666666667,219701,0.0,0.0,13,0,0,1,8,7.5,19,20,3,36.0,0.0,3,0,3,440,0.6547103970078751,22.37545832095202
26,3,0,0,0,10.000000000000002,20,10.0,18.686819195833927,0,,6.207207076497795,19,5.157894736842105,40.00000000000001,20,40.0,0,0.7310000000000001,22513,263,0,0.0,2630.0000000000005,False,-0.07056207824628467,0,0.7850000000000001,22350,277,0,0.0,2770.0000000000005,False,-0.07418964777470063,0,0.2,38587,0,0,0.0,0.0,False,0.005262472319916634,19,3.7560000000000016,19940,118,0,0.0,2205.0446651084035,False,-0.45180350833517774,0,0.4970000000000001,58960,6,16,1.0,677.2432424589869,False,0.1328854215698278,5,0.8620000000000003,56805,0,3,0.3,120.00000000000003,False,0.08639168561221176,0.21666666666666667,219155,0.0,0.0,16,0,0,1,7,6.666666666666667,19,20,2,37.0,0.0,3,0,2,760,0.40709905698895454,22.782557377940975
27,2,0,0,0,10.000000000000002,20,10.0,18.686819195833927,0,,5.672693752315375,18,1.8333333333333333,40.00000000000001,20,40.0,0,0.7310000000000001,22403,274,0,0.0,2740.0000000000005,False,-0.07270741506416507,0,0.7850000000000001,22260,286,0,0.0,2860.0000000000005,False,-0.07594492335296642,0,0.2,38587,0,0,0.0,0.0,False,0.005262472319916634,18,3.917000000000001,19170,118,0,0.0,2205.0446651084035,False,-0.4718634275744639,0,0.4970000000000001,59227,9,19,1.0,811.0542437708385,False,0.1392646031348111,10,0.9570000000000001,56749,0,5,0.5,200.00000000000003,False,0.08608600959058518,0.25,218396,0.0,0.0,12,0,0,1,9,8.5,20,21,2,29.0,0.0,2,0,2,560,0.3665501360082999,23.149107513949275
28,2,0,0,0,10.000000000000002,20,10.0,18.686819195833927,0,,5.632969736906803,2,3.0,40.00000000000001,20,40.0,0,0.7310000000000001,22303,284,0,0.0,2840.0000000000005,False,-0.07465772126223817,0,0.7850000000000001,22160,296,0,0.0,2960.0000000000005,False,-0.07789522955103952,0,0.2,38587,0,0,0.0,0.0,False,0.005262472319916634,2,3.9190000000000014,19104,118,0,0.0,2205.0446651084035,False,-0.4735828492235456,0,0.49700000000000005,59787,0,14,0.9,560.0000000000001,False,0.14756509944023077,1,0.9570000000000003,56935,0,2,0.2,80.00000000000001,False,0.08849320826089449,0.18333333333333335,218876,0.0,0.0,18,0,0,2,2,1.5,18,20,2,29.0,0.0,2,0,2,920,0.41044287697877735,23.559550390928052
29,2,0,0,0,10.000000000000002,20,10.0,18.686819195833927,0,,5.470726821048261,12,3.8333333333333335,40.00000000000001,20,40.0,0,0.7310000000000001,22233,291,0,0.0,2910.0000000000005,False,-0.07602293560088934,0,0.7850000000000001,22030,309,0,0.0,3090.0000000000005,False,-0.08043062760853455,0,0.2,38587,0,0,0.0,0.0,False,0.005262472319916634,12,4.037000000000001,18653,118,0,0.0,2205.0446651084035,False,-0.48533223049227037,0,0.4970000000000001,60177,0,9,0.5,360.00000000000006,False,0.15310547733221253,8,1.0360000000000003,56881,0,7,0.7,280.00000000000006,False,0.0893720268230709,0.19999999999999998,218561,0.0,0.0,14,0,0,0,6,5.333333333333334,21,21,2,23.0,0.0,2,0,2,600,0.36397640994982794,23.92352680087788
30,2,0,0,0,10.000000000000002,20,10.0,18.686819195833927,0,,5.470726821048261,0,,40.00000000000001,0,,0,0.7310000000000001,22123,302,0,0.0,3020.0000000000005,False,-0.07816827241876975,0,0.7850000000000001,21940,318,0,0.0,3180.0000000000005,False,-0.08218590318680033,0,0.2,38587,0,0,0.0,0.0,False,0.005262472319916634,0,4.025,18653,118,0,0.0,2205.0446651084035,False,-0.48533223049227037,0,0.4970000000000001,60177,0,9,0.0,360.00000000000006,False,0.15310547733221253,0,1.0280000000000002,56881,0,7,0.0,280.00000000000006,False,0.0893720268230709,0.0,218361,0.0,0.0,10,0,0,0,0,0.0,21,21,2,30.0,0.0,2,0,2,200,0.35234974400373176,24.275876544881612
31,2,0,0,0,10.000000000000002,20,10.0,18.686819195833927,0,,5.470726821048261,0,,40.00000000000001,0,,0,0.7310000000000001,22013,313,0,0.0,3130.0000000000005,False,-0.08031360923665015,0,0.7850000000000001,21850,327,0,0.0,3270.0000000000005,False,-0.08394117876506611,0,0.2,38587,0,0,0.0,0.0,False,0.005262472319916634,0,4.025,18653,118,0,0.0,2205.0446651084035,False,-0.48533223049227037,0,0.4970000000000001,60177,0,9,0.0,360.00000000000006,False,0.15310547733221253,0,1.0280000000000002,56881,0,7,0.0,280.00000000000006,False,0.0893720268230709,0.0,218161,0.0,0.0,11,0,0,1,0,0.0,17,18,2,23.0,0.0,2,0,2,200,0.348032565030735,24.623909109912347
