index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,32,0,0,0,9.999999999999996,10,10.0,26.355012049029387,27,28.666666666666668,29.59078757914543,5,43.0,36.00000000000001,20,36.0,0,0.2,28980,0,7,0.0,184.4850843432057,False,0.008682344812004836,17,1.4230000000000003,31685,3,10,1.0,293.55012049029386,False,0.10442630838405194,0,0.29000000000000004,43754,23,26,1.0,1375.5257541854571,False,-0.0051984850899242105,0,0.29000000000000004,44527,26,21,1.0,1306.6368524368181,False,0.011333626409509058,12,1.9760000000000004,52902,209,0,0.0,6184.474604041395,False,-0.09776937091906973,2,1.1470000000000002,60737,0,0,0.0,0.0,False,-0.021349618123811673,0.5,262585,0.0,0.0,8,0,0,12,8,7.555555555555556,17,29,34,189.0,132.0,13,19,34,747,1.2791281130048446,52.52150970790535
21,34,0,0,0,9.999999999999998,11,10.0,26.753283038051546,36,28.5,30.30377114902424,10,41.0,36.00000000000001,20,36.0,0,0.2,28980,0,7,0.0,187.27298126636083,False,0.00873070885549858,26,1.6660000000000001,31787,4,10,1.0,307.53283038051546,False,0.10820784175942881,0,0.29000000000000004,43241,31,36,1.0,1920.2875355444705,False,-0.010584595787880307,0,0.29000000000000004,44424,34,21,1.0,1545.9908174232617,False,0.011706930400493074,9,2.0540000000000003,52584,214,0,0.0,6485.007025891187,False,-0.10047205193281568,11,1.2550000000000001,60391,0,5,0.5,180.00000000000003,False,-0.025474525474525476,0.5833333333333334,261407,0.0,0.0,7,0,0,14,10,9.88888888888889,15,29,29,227.0,135.0,14,20,29,772,1.2719533889903687,53.79346309689572
22,29,0,0,0,9.999999999999998,12,10.0,26.92221280469008,19,28.473684210526315,33.1703745235474,42,43.0,36.0,20,36.0,0,0.2,28980,0,7,0.0,188.45548963283056,False,0.008751222844230685,9,1.7300000000000002,32001,6,10,1.0,329.2221280469008,False,0.11600898841244366,0,0.29000000000000004,43302,40,32,1.0,2138.3404969411204,False,-0.006778657642687913,7,0.36000000000000004,45390,24,10,1.0,977.836852548036,False,0.02697135752952537,8,2.1250000000000004,51893,228,0,0.0,7562.845391368807,False,-0.10292251787431267,7,1.3140000000000003,59291,18,10,1.0,957.0667414238533,False,-0.036938329884439305,0.6666666666666666,260857,0.0,0.0,9,0,0,13,8,7.0,13,26,30,180.0,132.0,10,19,30,1712,1.6826219049980864,55.47608500189381
23,30,0,0,0,9.999999999999998,9,10.0,27.035044978564216,10,29.0,33.96838691075497,19,41.0,36.0,7,36.0,0,0.2,28980,0,7,0.0,189.24531484994952,False,0.008764924620948373,0,1.7210000000000005,32201,5,10,1.0,320.3504497856421,False,0.12279422749610786,0,0.29000000000000004,43917,30,27,1.0,1728.1977959473106,False,0.0023973429281832293,0,0.35300000000000004,45264,24,16,1.0,1192.3352700576206,False,0.026551632605739596,7,2.1870000000000003,51451,237,0,0.0,8050.507697848929,False,-0.10611559651760398,0,1.3070000000000002,58881,18,20,1.0,1331.4309643935894,False,-0.04052857654930888,0.6666666666666666,260694,0.0,0.0,7,0,0,14,3,3.0,15,29,27,270.0,120.0,15,15,27,1159,1.3008026500465348,56.77688765194034
24,27,0,0,0,10.0,9,10.0,27.13625386485106,9,29.0,33.98050555057695,53,34.0188679245283,35.99999999999999,14,36.0,0,0.2,28980,0,7,0.0,189.95377705395742,False,0.008777214923564654,0,1.721,32372,4,11,1.0,338.49879251336165,False,0.12904203026357228,4,0.33000000000000007,44629,29,10,1.0,1126.7564175864502,False,0.011603577221498563,6,0.41300000000000003,45754,14,10,1.0,719.7126096136843,False,0.03223029737222633,14,2.3200000000000007,50019,276,0,0.0,9378.619531959239,False,-0.11848941758274599,0,1.3070000000000002,58279,22,30,1.0,1827.5711221126926,False,-0.04623142082020642,0.6666666666666666,260033,0.0,0.0,8,0,0,10,7,6.25,16,26,34,150.0,127.0,10,17,34,1914,1.1593746450380422,57.936262296978384
25,34,0,0,0,10.0,11,10.0,27.237142166807157,9,29.0,33.98050555057695,0,,35.999999999999986,6,36.0,0,0.2,28980,0,7,0.0,190.6599951676501,False,0.00878946629601775,0,1.721,32523,5,12,1.0,376.84570600168587,False,0.1349463206231644,0,0.32600000000000007,44368,28,20,1.0,1442.2500916821393,False,0.009292318705311194,0,0.4070000000000001,45754,4,20,1.0,788.5586796787676,False,0.03300083582932767,6,2.3660000000000005,49963,276,0,0.0,9378.619531959239,False,-0.11939174106571464,0,1.3070000000000002,58279,12,40,1.0,1847.766066606923,False,-0.04606872106436364,0.6666666666666666,259867,0.0,0.0,5,0,0,17,2,2.0,10,27,29,186.0,126.0,12,22,29,371,1.1234766179695725,59.05973891494796
26,29,0,0,0,10.0,10,10.0,27.237142166807157,0,,35.49827711114059,45,42.2,35.999999999999986,15,36.0,0,0.2,28980,0,7,0.0,190.6599951676501,False,0.00878946629601775,0,1.721,32423,5,22,1.0,649.2171276697575,False,0.13620180986173333,12,0.44600000000000006,45264,18,10,1.0,845.2513301139347,False,0.022667002396404404,0,0.4070000000000001,46313,0,11,0.4,390.48104822254646,False,0.04105834543831472,15,2.5100000000000007,47802,321,0,0.0,11394.94695267613,False,-0.13796729921146494,0,1.3070000000000002,58279,2,50,1.0,1870.9965542222806,False,-0.04588156557779093,0.5666666666666667,259061,0.0,0.0,6,0,0,9,8,7.333333333333333,14,23,38,144.0,136.0,8,21,38,1261,1.1448499199468642,60.20458883489482
27,38,0,0,0,10.000000000000002,13,10.0,26.719167874602572,16,21.875,35.49827711114059,0,,35.999999999999986,12,36.0,0,0.2,28980,0,7,0.0,187.03417512221802,False,0.008726566080116143,0,1.7210000000000005,32643,8,16,1.0,507.50668599364116,False,0.14137649514248896,0,0.43400000000000005,45214,13,20,1.0,1057.3147245926452,False,0.023921237460185478,0,0.4070000000000001,46013,1,21,1.0,772.1829872085549,False,0.03861511155491506,12,2.6150000000000007,47616,321,0,0.0,11394.94695267613,False,-0.14096430220846795,0,1.3070000000000002,58279,0,52,0.2,1871.9999999999993,False,-0.04587348135735232,0.5333333333333333,258745,0.0,0.0,8,0,0,17,5,5.0,15,32,39,246.0,156.0,16,22,39,480,1.3516188020003028,61.556207636895124
28,39,0,0,0,10.0,12,10.0,25.30274885351748,17,12.882352941176471,35.26636598262792,7,28.0,35.999999999999986,6,36.0,0,0.2,29064,0,4,0.0,101.21099541406991,False,0.010152157994137616,0,1.721,32658,10,12,1.0,403.63298624220977,False,0.14009494459513935,0,0.43400000000000005,45079,17,30,1.0,1488.1377099886347,False,0.02572119924328055,0,0.4070000000000001,46125,0,18,0.4,634.7945876873025,False,0.0395844852451907,6,2.6630000000000007,47564,321,0,0.0,11320.503480423562,False,-0.14240192484593178,0,1.3070000000000002,58083,0,59,0.7,2123.999999999999,False,-0.04700138571106313,0.5166666666666666,258573,0.0,0.0,11,0,0,14,2,2.0,13,27,26,189.0,151.0,13,26,26,535,1.2500183620140888,62.80622599890921
29,26,0,0,0,10.0,8,10.0,24.77502791292244,5,9.0,35.58940437379522,19,39.05263157894737,35.999999999999986,20,36.0,0,0.2,29064,0,4,0.0,99.10011165168976,False,0.010115538679683796,0,1.721,32623,8,17,1.0,501.1754745196815,False,0.14057274780583723,0,0.43400000000000005,45219,7,35,1.0,1419.0543484732896,False,0.028081818826087786,0,0.4070000000000001,46682,0,9,0.5,320.30463936415697,False,0.04853275551063433,7,2.7270000000000008,47491,321,0,0.0,11424.198803988265,False,-0.14274275076545817,0,1.3070000000000002,57809,9,56,1.0,2336.304639364156,False,-0.04970590184521804,0.5833333333333334,258888,0.0,0.0,11,0,0,12,3,3.0,10,22,34,144.0,129.0,8,18,34,1335,1.088138859020546,63.89436485792976
