index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
443,bc20cd82-38af-4a2a-abbf-e42de5edc873,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,35,2,10,13,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,35,,-1,-1
444,dd4fece9-4dd9-43ee-80d3-54b5abd2c423,02Dec@1,04Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,19,9,15,14,-1,14,04Buy@2|02Dec@1,"[quantity: (1, 13), time: (14, 19), unit_price: (1, 28)]",02Dec@1,04Buy@2,p2,04Buy@2,True,2,17,19,,-1,-1
445,2f45d5f5-e26d-4609-be61-6822c8346b0c,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,36,2,36,14,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,True,3,0,-1,04Buy@2:product(1.0),-1,-1
446,33e9dca6-8f4f-4236-b286-73712371f88b,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,36,5,36,14,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,True,3,0,-1,04Buy@2:product(1.0),-1,-1
447,24078fd3-8f40-4664-b74f-b578de488b75,02Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,24,14,43,14,-1,14,02Dec@1|05Dec@2,"[quantity: (1, 15), time: (19, 24), unit_price: (28, 56)]",02Dec@1,05Dec@2,p2,02Dec@1,False,2,17,24,,-1,-1
448,01b83d2d-302e-487a-997a-bc7d40340002,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,36,5,10,14,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,36,,-1,-1
449,03a5cc2e-36a9-4d68-9428-21ad50ea7507,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,36,2,10,14,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,36,,-1,-1
450,9a1f6bfa-2814-4ee3-886b-c8d130a68ad1,03Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,22,14,43,14,-1,14,03Dec@1|05Dec@2,"[quantity: (1, 14), time: (17, 22), unit_price: (28, 56)]",03Dec@1,05Dec@2,p2,03Dec@1,False,2,17,-1,03Dec@1:product(0.5),-1,-1
451,bceda41d-f54c-4c0e-b652-9be5979268f5,02Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,23,5,41,14,-1,14,02Dec@1|05Dec@2,"[quantity: (1, 5), time: (18, 23), unit_price: (28, 56)]",02Dec@1,05Dec@2,p2,02Dec@1,False,2,17,23,,-1,-1
452,48e2d630-1841-4d45-9da2-9a9cab65b5e5,03Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,18,9,28,14,-1,14,05Dec@2|03Dec@1,"[quantity: (1, 45), time: (14, 22), unit_price: (1, 28)]",03Dec@1,05Dec@2,p2,05Dec@2,True,2,2,18,,-1,-1
453,49d0c509-b4b3-46cb-8529-c6b65f77cd54,03Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,21,5,41,14,-1,14,03Dec@1|05Dec@2,"[quantity: (1, 5), time: (16, 21), unit_price: (28, 56)]",03Dec@1,05Dec@2,p2,03Dec@1,False,2,17,21,,-1,-1
454,e1e82f13-c3e5-444d-be51-a32c048b94ac,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,36,2,10,14,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,36,,-1,-1
455,b24b1dc7-0be2-43ac-b6df-f7cfef502fa9,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,36,2,36,14,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,False,3,0,-1,04Buy@2:product(1.0),-1,-1
456,f9779503-a905-4529-95fc-58953b5b0136,03Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,18,6,15,14,-1,14,05Dec@2|03Dec@1,"[quantity: (1, 9), time: (14, 18), unit_price: (1, 28)]",03Dec@1,05Dec@2,p2,05Dec@2,True,2,17,18,,-1,-1
457,b409b8b0-0852-4769-b7f0-d5f78458cc25,03Dec@1,04Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,18,7,15,14,-1,14,04Buy@2|03Dec@1,"[quantity: (1, 11), time: (14, 18), unit_price: (1, 28)]",03Dec@1,04Buy@2,p2,04Buy@2,True,2,17,-1,03Dec@1:product(0.7142857142857143),-1,-1
458,5e849fb0-b60c-40d7-8591-658816c30878,03Dec@1,04Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,19,9,15,14,-1,14,04Buy@2|03Dec@1,"[quantity: (1, 13), time: (14, 19), unit_price: (1, 28)]",03Dec@1,04Buy@2,p2,04Buy@2,True,2,17,19,,-1,-1
459,262ce60f-2f7b-438b-935c-af8fee800d4f,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,37,4,10,15,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,37,,-1,-1
460,4ad95d5c-7723-4bd0-b059-8be56815d68b,01Ind@0,02Dec@1,IndDecentralizingAgent,DecentralizingAgent,27,5,10,15,-1,15,02Dec@1|01Ind@0,"[quantity: (1, 5), time: (15, 27), unit_price: (1, 19)]",01Ind@0,02Dec@1,p1,02Dec@1,True,1,17,27,,-1,-1
461,232db065-4567-44c4-8347-8e3e77d755af,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,37,1,10,15,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,37,,-1,-1
462,fa20a035-0725-4fe1-9fa9-9df2495ee188,02Dec@1,04Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,20,5,43,15,-1,15,02Dec@1|04Buy@2,"[quantity: (1, 5), time: (20, 25), unit_price: (28, 56)]",02Dec@1,04Buy@2,p2,02Dec@1,False,2,17,20,,-1,-1
