index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,25,0,0,0,10.000000000000002,20,10.0,26.708205047991925,14,26.928571428571427,41.86083470917381,26,40.23076923076923,54.0,6,54.0,6,2.339000000000001,42311,211,0,0.0,2110.0000000000005,False,-0.11588175331294598,0,0.506,54076,2,12,1.0,340.4984605759031,False,0.10593780286010102,0,0.6320000000000001,75419,0,33,1.0,1381.4075454027356,False,-0.00693227159482044,0,0.659,74289,181,25,1.0,5880.705981415883,False,0.0076767394828869085,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.38000000000000006,100688,146,14,1.0,6867.681867539376,False,-0.011507766402399092,0.6666666666666666,452117,0.0,0.0,16,0,0,16,2,2.0,16,32,27,171.0,69.0,12,13,27,1874,1.382929557992611,42.447726814076304
21,27,0,0,0,10.000000000000002,20,10.0,27.193854810527206,9,38.0,40.35659425712496,41,35.0,54.0,12,54.0,0,2.3330000000000006,42221,220,0,0.0,2200.0000000000005,False,-0.11679918450560653,0,0.506,54308,3,13,1.0,383.5201125368537,False,0.11110621929191486,8,0.7120000000000002,76176,0,9,0.9,363.20934831412467,False,-0.0036976986970804035,0,0.6590000000000001,74289,171,35,1.0,6062.629971599526,False,0.008863597627898425,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.38000000000000006,99901,177,12,1.0,7791.117183511118,False,-0.014595870357571553,0.65,452229,0.0,0.0,17,0,0,17,1,0.1951219512195122,16,33,24,141.0,76.0,12,15,24,1190,1.6486849350039847,44.09641174908029
22,24,0,0,0,10.000000000000002,20,10.0,27.97177765471878,18,36.111111111111114,39.68271968205268,5,17.0,53.99999999999999,10,54.0,2,2.353000000000001,42096,229,0,0.0,2290.0000000000005,False,-0.11843017329255862,3,0.536,54732,4,10,1.0,319.71777654718784,False,0.11910007927163288,0,0.7040000000000002,75624,7,14,1.0,751.360519131769,False,-0.008367841500425608,0,0.659,74276,162,45,1.0,6317.150365756814,False,0.010354447135063638,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.38000000000000006,100356,172,12,1.0,7473.427785313061,False,-0.011784287194481137,0.6666666666666666,452418,0.0,0.0,14,0,0,10,3,2.1875,20,30,13,150.0,42.0,10,14,13,825,1.776872918009758,45.87328466709005
23,13,0,0,0,10.000000000000002,20,10.0,27.891585625335956,1,13.0,39.68271968205268,0,,53.99999999999999,12,54.0,1,2.3610000000000007,41989,238,0,0.0,2380.0000000000005,False,-0.11969418960244649,0,0.5330000000000001,54622,5,20,1.0,607.8317125067191,False,0.11979441093279028,0,0.7040000000000002,75611,0,22,0.8,873.019833005159,False,-0.007743767480818688,0,0.6590000000000001,74276,152,55,1.0,6422.070597563963,False,0.011038938672276963,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.38000000000000006,101004,162,10,1.0,6968.6005884925335,False,-0.008028743860042696,0.6333333333333333,452836,0.0,0.0,15,0,0,8,1,1.0,15,23,17,42.0,42.0,4,9,17,848,2.5566749099525623,48.42995957704261
24,17,0,0,0,10.000000000000002,20,10.0,28.338628450731516,41,30.170731707317074,38.50807597330729,26,31.46153846153846,53.99999999999999,9,54.0,25,2.6100000000000008,41542,249,0,0.0,2490.0000000000005,False,-0.12768603465851172,0,0.533,55156,4,14,1.0,436.74079831024125,False,0.12893721506942146,0,0.7040000000000002,75367,6,16,1.0,786.1609862773057,False,-0.011494102462929087,0,0.659,74101,167,55,1.0,6850.495129804063,False,0.011550574299683385,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.38000000000000006,100672,178,11,1.0,7448.437523248698,False,-0.008902930092616378,0.6666666666666666,452172,0.0,0.0,22,0,0,10,3,3.0,15,25,19,93.0,63.0,6,11,19,2128,1.3264157740049995,49.75637535104761
25,19,0,0,0,10.000000000000002,20,10.0,27.297599899578586,23,18.782608695652176,37.276123895991255,10,17.1,53.99999999999999,0,,12,2.7050000000000005,41216,260,0,0.0,2600.0000000000005,False,-0.13321100917431192,0,0.533,55354,3,13,1.0,384.8687986945216,False,0.13244514575631514,0,0.7040000000000002,75166,14,16,1.0,978.5843809299603,False,-0.012861364146279605,0,0.6590000000000001,74041,162,65,1.0,6845.159236971162,False,0.010732892557320316,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.38000000000000006,100501,178,21,1.0,7769.1500534864435,False,-0.009003977569035489,0.6666666666666666,451612,0.0,0.0,13,0,0,10,1,1.0,20,30,22,132.0,90.0,9,10,22,659,1.5699883199995384,51.32636367104715
26,22,0,0,0,10.000000000000002,20,10.0,28.066017127267003,15,37.8,37.572063283694774,3,53.0,53.99999999999999,0,,0,2.693000000000001,41156,266,0,0.0,2660.0000000000005,False,-0.13382262996941896,2,0.553,55721,7,10,1.0,350.66017127267,False,0.13957859501807002,0,0.704,74827,13,26,1.0,1341.7318680305352,False,-0.01491543776809715,0,0.6590000000000001,73972,158,72,1.0,7139.61926253421,False,0.011753625752105418,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.38000000000000006,100342,171,31,1.0,8098.822821511806,False,-0.008948569210740123,0.6666666666666666,451352,0.0,0.0,12,0,0,14,1,0.6666666666666666,18,32,34,174.0,78.0,12,10,34,815,1.5612222460331395,52.88758591708029
27,34,0,0,0,10.000000000000002,20,10.0,28.895354796070098,48,32.083333333333336,35.610308085788176,22,22.818181818181817,53.99999999999999,0,,16,2.853,40925,278,0,0.0,2780.0000000000005,False,-0.13730886850152904,22,0.7710000000000001,56021,5,10,1.0,338.953547960701,False,0.14557546939817229,0,0.7040000000000002,74600,19,23,1.0,1368.04882709846,False,-0.017705609092401913,0,0.659,73161,180,73,1.0,7800.716353555155,False,0.005484768945832856,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.38000000000000006,99840,183,41,1.0,8730.686379699237,False,-0.010715028482260048,0.6666666666666666,449881,0.0,0.0,12,0,0,21,4,3.375,14,35,38,240.0,118.0,15,19,38,702,2.0809817510307766,54.96856766811106
28,38,0,0,0,10.000000000000002,20,10.0,29.399988553766832,16,36.0,34.28765242630867,52,30.5,53.99999999999999,0,,0,2.837,40825,288,0,0.0,2880.0000000000005,False,-0.1383282364933741,6,0.8090000000000002,56317,5,10,1.0,343.9998855376683,False,0.151661568659915,17,0.8740000000000001,74440,25,10,1.0,1077.8762381072574,False,-0.021686328217877866,0,0.659,73491,170,71,1.0,7432.421376408276,False,0.0073878301197027796,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.38000000000000006,98254,225,51,1.0,10468.72179591945,False,-0.017521779311905752,0.6666666666666666,448661,0.0,0.0,10,0,0,25,3,1.6330645161290323,16,41,35,315.0,85.0,20,18,35,530,1.9055438890354708,56.874111557146534
29,35,0,0,0,10.000000000000002,20,10.0,27.9545291628917,21,14.0,34.71838602466336,28,37.5,53.99999999999999,0,,21,3.047,40309,296,0,0.0,2960.0000000000005,False,-0.14803261977573903,0,0.8030000000000002,56197,7,20,1.0,629.0905832578339,False,0.15212120879977398,14,0.9970000000000001,74468,31,10,1.0,1213.7742642962762,False,-0.020434400227709162,0,0.6590000000000001,73631,165,77,1.0,7285.813035776209,False,0.008258067064470704,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.38000000000000006,97204,243,61,1.0,11730.567803993197,False,-0.021500333206784086,0.6666666666666666,447143,0.0,0.0,13,0,0,21,3,2.5833333333333335,16,37,36,244.0,80.0,15,20,36,410,1.6581727990414947,58.53228435618803
