index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
956,573f53dc-3064-4268-9a51-30224c57f846,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,34,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,34,,-1,-1
957,2b516435-5c57-4d06-8b33-f716afb706e5,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,25,2,40,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
958,3451c0a0-4fe2-4062-85df-e466fc80d74e,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,0,3,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,0,,-1,-1
959,2410c497-6927-4d28-b3b5-37dc58064687,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,18,3,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,18,,-1,-1
960,4a1e910a-2245-4429-af1b-7de5f5669fb7,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,30,2,40,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
961,ad999644-e847-40e2-a551-f9abd7f04450,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,48,1,40,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
962,720c008e-4480-468c-9d34-dc555bfdf423,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,21,5,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,21,,-1,-1
963,89fc785a-ac5b-428a-a7d8-0f2ddd114ec9,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,48,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,48,,-1,-1
964,2f717537-3b38-4c21-b41c-51f217cc7bab,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,31,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,31,,-1,-1
965,f071bbbe-9d1c-4dd1-b700-b17852e29c06,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,1,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,1,,-1,-1
966,f0c93744-a3c3-4ce4-bef7-e1f6d397c37a,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,41,5,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,41,,-1,-1
967,7b4eb26a-5f73-446f-a331-966f7f9ec49e,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,9,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,9,,-1,-1
968,b2430bbd-92d0-49c6-9ff9-123acb48ae30,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,32,3,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,32,,-1,-1
969,515d4f22-c931-4281-89fd-98f0c7aab022,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,39,2,40,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
970,cd21330d-94d9-40ad-a6de-7a79db534261,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,0,3,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,0,,-1,-1
971,751510be-0b04-4801-9cc1-e4a5e0189b34,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,25,2,40,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
972,446e6126-e425-45cc-9643-77b8a9e0f776,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,8,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,8,,-1,-1
973,f2abc468-2d2a-4b79-91e7-663500e7c974,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,7,1,40,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
974,3a3f234b-cbd3-40a5-a6ee-9b8d732604d4,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,26,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,26,,-1,-1
975,ef282eb9-a3c1-4cf8-b2a0-b3cc1d5d7450,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,18,1,40,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
976,f6e8fc9d-701c-445e-92e0-6e85c44151ad,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,46,3,40,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,-1,04Dec@2:product(1.0),-1,-1
977,ca6ef91d-9b5c-47c8-8bcd-81da7eb8a061,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,23,1,40,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
978,ae699edd-4b1e-4258-a00b-a72201c51c23,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,36,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,36,,-1,-1
979,f42771a3-0186-4431-b733-0c27c5a652ca,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,46,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,46,,-1,-1
980,bb9b0d71-10c4-4570-8e09-5319a97828d7,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,18,1,40,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
981,4b99c034-27f0-4454-bbee-9becbccd02ac,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,47,1,40,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
