index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,17,0,0,0,10.000000000000002,20,10.0,17.341725577666168,17,24.823529411764707,30.759065411272754,34,23.176470588235293,37.000000000000014,20,37.0,0,0.4970000000000001,49358,13,10,1.0,303.4172557766617,False,0.06614644532254466,2,1.3360000000000003,41537,204,0,0.0,2040.0000000000005,False,-0.0835737973211594,23,0.79,67791,149,10,1.0,2891.5077651849865,False,0.00740242525015278,0,0.2,69529,0,0,0.0,0.0,False,0.011654638575253172,6,1.1240000000000003,97184,24,10,1.0,1108.2175698705462,False,-0.004084932749108132,4,1.7340000000000002,90322,134,0,0.0,4121.714765110549,False,-0.058652957717571265,0.5,415721,0.0,0.0,11,0,0,11,7,6.576923076923077,14,25,16,118.0,37.0,10,7,16,990,1.827459922991693,69.63194607570767
21,16,0,0,0,10.000000000000002,20,10.0,16.19075599680058,13,2.0,30.759065411272754,0,,37.000000000000014,20,37.0,0,0.4970000000000001,49248,14,20,1.0,463.81511993601157,False,0.06550470648968533,13,1.4640000000000002,41167,213,0,0.0,2130.0000000000005,False,-0.0905723760713209,0,0.7670000000000001,67765,152,20,1.0,3076.1762197391427,False,0.008367595592328718,0,0.2,69529,0,0,0.0,0.0,False,0.011654638575253172,1,1.1280000000000001,97547,14,10,1.0,800.6269157578187,False,-0.0019532147476650145,9,1.8200000000000003,90207,134,0,0.0,4121.714765110549,False,-0.059824765052066214,0.5,415463,0.0,0.0,10,0,0,12,7,6.125,13,25,16,138.0,48.0,10,6,16,311,1.7864591423422098,71.41840521804988
22,16,0,0,0,10.000000000000002,20,10.0,18.029962728069382,39,25.384615384615383,30.7903263046308,11,31.181818181818183,37.00000000000001,20,37.0,16,0.6570000000000001,49788,12,10,1.0,300.2996272806938,False,0.07537253571730794,3,1.481,40999,225,0,0.0,2250.0000000000005,False,-0.09289805762522073,0,0.7670000000000001,67118,181,19,1.0,3848.4394535685433,False,0.004571931771392608,0,0.2,69529,0,0,0.0,0.0,False,0.011654638575253172,0,1.127,97652,10,11,1.0,714.903263046308,False,-0.001320049811765359,11,1.921,89939,139,0,0.0,4279.855356343681,False,-0.06174988864598339,0.5,415025,0.0,0.0,13,0,0,6,6,5.888888888888889,16,22,19,104.0,72.0,7,9,19,1380,1.7180603966116905,73.13646561466157
23,19,0,0,0,10.000000000000002,20,10.0,17.76048894743224,3,2.0,30.283636358424722,10,23.5,37.00000000000001,20,37.0,0,0.6410000000000001,49658,15,20,1.0,505.20977894864484,False,0.07477938088363671,3,1.5080000000000002,40869,232,0,0.0,2320.0000000000005,False,-0.09494379602911408,0,0.7670000000000001,67347,174,19,1.0,3665.7141676632796,False,0.0065745705364864,0,0.2,69529,0,0,0.0,0.0,False,0.011654638575253172,0,1.1270000000000002,97948,0,13,1.0,481.0000000000001,False,0.0005043866352826094,12,2.0300000000000002,89517,149,0,0.0,4512.261817405283,False,-0.06486584427492999,0.5,414868,0.0,0.0,13,0,0,13,6,6.0,15,28,13,169.0,66.0,12,7,13,731,1.8335613748058677,74.97002698946744
24,13,0,0,0,10.000000000000002,20,10.0,18.46290052533774,22,23.59090909090909,29.133959360356766,14,18.5,37.0,20,37.0,0,0.6410000000000001,50071,15,11,1.0,353.09190577871516,False,0.08203509954970832,3,1.5350000000000001,40709,242,0,0.0,2420.0000000000005,False,-0.09731254575993799,0,0.7670000000000001,67087,186,15,1.0,3871.1088881181713,False,0.004285799733137721,0,0.2,69529,0,0,0.0,0.0,False,0.011654638575253172,0,1.1270000000000002,98220,0,10,0.7,370.0,False,0.0027104413128317996,10,2.1180000000000008,89221,156,0,0.0,4544.897660215655,False,-0.06771570089253177,0.45,414837,0.0,0.0,14,0,0,9,5,5.0,14,23,13,79.0,46.0,7,6,13,1342,1.5845963470637798,76.55462333653122
25,13,0,0,0,10.000000000000002,20,10.0,15.921694017937565,30,2.0,29.78648880476948,20,34.0,36.99999999999999,20,37.0,0,0.6410000000000001,49931,19,21,1.0,524.3555743766889,False,0.08086433065998419,30,1.8320000000000005,40049,248,0,0.0,2480.0000000000005,False,-0.11087902149102029,5,0.8170000000000002,67552,206,10,1.0,3577.7338557428334,False,0.008917281571869141,0,0.2,69529,0,0,0.0,0.0,False,0.011654638575253172,5,1.1770000000000003,98547,0,0,0.0,0.0,False,0.0041573686302081745,5,2.1580000000000004,88494,176,0,0.0,5242.422029639429,False,-0.07156980390242706,0.3333333333333333,414102,0.0,0.0,12,0,0,13,6,5.25,8,21,17,112.0,33.0,7,6,17,570,1.6308726156130433,78.18549595214427
26,17,0,0,0,10.000000000000002,20,10.0,16.4141118188248,19,20.94736842105263,31.27098750333388,47,35.51063829787234,36.99999999999999,20,37.0,0,0.6410000000000001,50249,17,12,1.0,366.96934182589763,False,0.0860175862636838,0,1.802,39929,260,0,0.0,2600.0000000000005,False,-0.1121710667987424,37,1.1820000000000002,67640,215,10,1.0,3841.7439160806707,False,0.012118379089168043,0,0.2,69529,0,0,0.0,0.0,False,0.011654638575253172,12,1.2920000000000003,96918,26,10,1.0,1183.0456750866808,False,-0.006414138746641639,8,2.2330000000000005,88178,187,0,0.0,5847.6746631234355,False,-0.07170607677313075,0.5,412443,0.0,0.0,11,0,0,12,10,9.5,12,24,22,117.0,55.0,8,9,22,787,4.430675562471151,82.61617151461542
27,22,0,0,0,10.000000000000002,20,10.0,17.66376741677653,33,24.272727272727273,29.49469907529252,52,23.923076923076923,36.99999999999999,20,37.0,18,0.8210000000000002,50503,17,10,1.0,346.63767416776534,False,0.09126833276807536,3,1.8320000000000005,39782,270,0,0.0,2700.0000000000005,False,-0.11425987337955984,42,1.5650000000000002,66394,238,10,1.0,4498.92363594574,False,-0.0012300398967979374,0,0.2,69529,0,0,0.0,0.0,False,0.011654638575253172,3,1.3100000000000003,96019,68,10,1.0,2375.6395371198914,False,-0.009498570715414418,7,2.2950000000000004,88099,187,0,0.0,5515.508727079701,False,-0.07420338129041618,0.5,410326,0.0,0.0,10,0,0,14,11,9.634108527131783,14,28,23,169.0,72.0,13,9,23,533,1.992739767767489,84.6089112823829
28,23,0,0,0,10.000000000000002,20,10.0,17.66376741677653,0,,29.30295593778541,7,24.0,36.99999999999999,20,37.0,0,0.8030000000000002,50423,15,20,1.0,503.27534833553057,False,0.09123213045712061,0,1.8290000000000004,39662,282,0,0.0,2820.0000000000005,False,-0.11555191868728197,0,1.5230000000000004,66562,228,13,1.0,4408.277398216259,False,0.0005549222894325973,0,0.2,69529,0,0,0.0,0.0,False,0.011654638575253172,0,1.3070000000000002,96241,58,14,1.0,2217.5714443915535,False,-0.0080418006888619,14,2.4280000000000004,87685,194,0,0.0,5684.773451930369,False,-0.0775595153204619,0.5,410102,0.0,0.0,11,0,0,10,5,5.0,14,24,23,141.0,66.0,11,12,23,590,2.111286025494337,86.72019730787724
29,23,0,0,0,10.000000000000002,20,10.0,17.509949817095976,23,16.26086956521739,29.16455000737732,6,25.0,36.99999999999999,20,37.0,0,0.8030000000000002,50697,14,17,1.0,437.6691468906316,False,0.09642608582293204,10,1.9290000000000007,39324,293,0,0.0,2930.0000000000005,False,-0.12164606572203798,0,1.5230000000000004,66338,241,17,1.0,4715.695256045545,False,-0.0004678205677049104,0,0.2,69529,0,0,0.0,0.0,False,0.011654638575253172,0,1.3070000000000002,96648,48,13,1.0,1880.8984003541113,False,-0.005609908393431196,9,2.5040000000000004,87424,200,0,0.0,5832.910001475464,False,-0.07946428024803874,0.5,409960,0.0,0.0,14,0,0,17,5,5.0,11,28,16,185.0,89.0,13,10,16,1121,2.163844025693834,88.88404133357108
