index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1020,c0ae8e72-1a3a-4abd-8cd9-8e8cda06e70c,04Dec@2,07Ran@3,DecentralizingAgent,RandomAgent,21,2,67,13,-1,13,04Dec@2|07Ran@3,"[quantity: (1, 5), time: (16, 21), unit_price: (34, 68)]",04Dec@2,07Ran@3,p3,04Dec@2,False,3,10,-1,04Dec@2:product(1.0),-1,-1
1021,e36840e3-3843-4198-9dff-0c05e6128c00,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,50,2,10,13,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,50,,-1,-1
1022,efd0dec5-ac02-4afa-b5ce-f78a9f72c52c,05Ran@2,06Ran@3,RandomAgent,RandomAgent,14,1,12,13,-1,13,06Ran@3|05Ran@2,"[quantity: (1, 5), time: (13, 34), unit_price: (1, 34)]",05Ran@2,06Ran@3,p3,06Ran@3,True,3,13,-1,05Ran@2:product(1.0),-1,-1
1023,21b56fcd-f681-4be5-9a45-3d4bd72c51c0,05Ran@2,06Ran@3,RandomAgent,RandomAgent,13,3,10,13,-1,13,06Ran@3|05Ran@2,"[quantity: (1, 4), time: (13, 17), unit_price: (1, 34)]",05Ran@2,06Ran@3,p3,06Ran@3,True,3,9,-1,05Ran@2:product(1.0),-1,-1
1024,ae7df8f4-be69-4d13-9138-2904240e9be1,06Ran@3,BUYER,RandomAgent,_SystemAgent,50,2,48,13,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,False,4,0,-1,06Ran@3:product(1.0),-1,-1
1025,8597ffe5-33b8-46ac-8999-eb782f3b325a,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,50,1,10,13,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,50,,-1,-1
1026,6b4148e5-2de1-47ae-a620-c3fda5bc035b,06Ran@3,BUYER,RandomAgent,_SystemAgent,50,2,48,13,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,False,4,0,-1,06Ran@3:product(1.0),-1,-1
1027,fe39ff87-2dbe-4674-9646-ea9ea41d17bd,06Ran@3,BUYER,RandomAgent,_SystemAgent,50,1,48,13,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,False,4,0,-1,06Ran@3:product(1.0),-1,-1
1028,051bcf28-4be4-434e-a18d-69145acac343,07Ran@3,BUYER,RandomAgent,_SystemAgent,50,1,48,13,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
1029,a272f4f1-ef1b-41b8-9cd2-62119ec906ce,06Ran@3,BUYER,RandomAgent,_SystemAgent,50,2,48,13,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,True,4,0,-1,06Ran@3:product(1.0),-1,-1
1030,aa2fc24a-6f33-47a0-a09a-54b501016f3b,07Ran@3,BUYER,RandomAgent,_SystemAgent,50,2,48,13,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
1031,517545de-7cc2-4305-8c41-410f9bf0b2fb,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,50,3,10,13,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,50,,-1,-1
1032,384312e9-0a24-42df-9ee2-34ebee4d8fde,05Ran@2,07Ran@3,RandomAgent,RandomAgent,20,7,14,13,-1,13,07Ran@3|05Ran@2,"[quantity: (1, 10), time: (13, 34), unit_price: (1, 34)]",05Ran@2,07Ran@3,p3,07Ran@3,True,3,13,-1,05Ran@2:product(1.0),-1,-1
1033,9fb3a5c0-7e51-4d72-82ba-b5e733125edb,07Ran@3,BUYER,RandomAgent,_SystemAgent,50,3,48,13,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
1034,68a345ae-02cd-48b6-ada5-6a773b7a0cfe,07Ran@3,BUYER,RandomAgent,_SystemAgent,50,1,48,13,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
1035,a2190d34-c15b-489a-ab51-b0471d09b148,07Ran@3,BUYER,RandomAgent,_SystemAgent,51,1,48,14,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
1036,9cee4389-2961-4255-85ca-4e67f54e1fa4,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,51,2,10,14,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,51,,-1,-1
1037,fe689c78-c40e-4c87-a1db-a61988509950,06Ran@3,BUYER,RandomAgent,_SystemAgent,51,3,48,14,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,True,4,0,-1,06Ran@3:product(1.0),-1,-1
