index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,10,0,0,0,10.000000000000002,20,10.0,3.385233298269208,1,2.0,27.7834504870118,1,38.0,34.00000000000001,16,34.0,0,0.8480000000000001,7217,218,0,0.0,2180.0000000000005,False,-0.21956031567080045,1,0.921,7215,202,0,0.0,2020.0000000000005,False,-0.2272641863960917,0,0.2,17776,0,0,0.0,0.0,False,0.03037329005332715,0,0.29000000000000004,19247,0,61,0.1,1694.79047970772,False,0.16475743333259102,1,0.9660000000000002,23772,0,0,0.0,0.0,False,-0.03243925271683829,9,1.8470000000000004,20061,63,0,0.0,1750.3573806817435,False,-0.1478619931482408,0.016666666666666666,95288,0.0,0.0,15,0,0,6,5,5.0,22,28,11,38.0,21.0,5,5,11,442,0.38555379305034876,10.09107622411102
21,11,0,0,0,10.000000000000002,20,10.0,3.253333773001829,5,1.8,27.814825911191225,8,28.0,34.00000000000001,14,34.0,1,0.8580000000000003,7080,230,0,0.0,2300.0000000000005,False,-0.2267944381811349,4,0.9600000000000004,7067,210,0,0.0,2100.0000000000005,False,-0.23741074783915822,0,0.2,17776,0,0,0.0,0.0,False,0.03037329005332715,0,0.29000000000000004,19462,0,58,0.5,1613.259902849091,False,0.17485682537819058,4,1.0050000000000001,23520,0,8,0.8,272.00000000000006,False,-0.03716064959908828,10,1.9380000000000004,19935,63,0,0.0,1752.334032405047,False,-0.15295018046308267,0.21666666666666667,94840,0.0,0.0,13,0,0,7,9,9.0,20,27,13,70.0,24.0,5,6,13,424,0.40446238592267036,10.495538610033691
22,13,0,0,0,10.000000000000002,20,10.0,3.190807617848871,2,1.5,26.800575237701466,3,10.0,34.00000000000001,19,34.0,1,0.8670000000000002,6954,241,0,0.0,2410.0000000000005,False,-0.23346486283352122,1,0.9660000000000002,6960,219,0,0.0,2190.0000000000005,False,-0.24323562570462232,0,0.2,17776,0,0,0.0,0.0,False,0.03037329005332715,0,0.29000000000000004,19489,0,57,0.2,1527.6327885489836,False,0.17394020370243973,1,1.011,23755,0,3,0.3,102.00000000000003,False,-0.031055395009971915,10,2.0280000000000005,19801,63,0,0.0,1688.4362399751924,False,-0.1597045821975825,0.08333333333333333,94735,0.0,0.0,17,0,0,4,9,9.0,27,31,13,81.0,31.0,7,6,13,502,0.44202539790421724,10.937564007937908
23,13,0,0,0,10.000000000000002,20,10.0,2.7277652980647202,17,1.3529411764705883,27.767578732124075,8,33.5,34.0,20,34.0,6,0.9260000000000002,6752,251,0,0.0,2510.0000000000005,False,-0.24774520856820745,11,1.0750000000000002,6644,229,0,0.0,2290.0000000000005,False,-0.2682262307403232,0,0.2,17776,0,0,0.0,0.0,False,0.03037329005332715,0,0.29000000000000004,19734,7,59,1.0,1657.3815022817735,False,0.1919018520253238,2,1.0300000000000002,23727,0,4,0.4,136.0,False,-0.03150311367984045,15,2.1680000000000006,19382,67,0,0.0,1860.427775052313,False,-0.17325841965378505,0.2333333333333333,94015,0.0,0.0,15,0,0,11,14,14.0,22,33,10,143.0,34.0,10,3,10,570,0.4870227202773094,11.424586728215218
24,10,0,0,0,10.000000000000002,20,10.0,2.6997750494079584,1,1.0,27.788753451307883,5,28.0,34.0,20,34.0,0,0.9200000000000002,6682,258,0,0.0,2580.0000000000005,False,-0.2510334460729049,1,1.0740000000000003,6497,242,0,0.0,2420.0000000000005,False,-0.2759301014656144,0,0.2,17776,0,0,0.0,0.0,False,0.03037329005332715,0,0.29000000000000004,19873,0,62,0.8,1722.9027139810887,False,0.2018578342795353,7,1.098,23646,0,5,0.5,170.0,False,-0.0341080223045301,9,2.2430000000000008,19270,67,0,0.0,1861.8464812376283,False,-0.17778813787216358,0.21666666666666667,93744,0.0,0.0,12,0,0,3,10,10.0,25,28,11,64.0,30.0,5,5,11,476,0.7658261610195041,12.190412889234722
25,11,0,0,0,10.000000000000002,20,10.0,2.7151568284215615,3,3.0,28.428022803506604,8,32.375,34.0,20,34.0,0,0.9200000000000002,6602,266,0,0.0,2660.0000000000005,False,-0.2547914317925592,3,1.1030000000000002,6332,254,0,0.0,2540.0000000000005,False,-0.28579481397970685,0,0.2,17776,0,0,0.0,0.0,False,0.03037329005332715,0,0.29000000000000004,20123,0,57,0.3,1620.3972997998765,False,0.2133780807964259,2,1.1110000000000002,23657,0,5,0.5,170.0,False,-0.03366030363466156,13,2.3640000000000008,18951,70,0,0.0,1989.9615962454623,False,-0.18816472798556183,0.13333333333333333,93441,0.0,0.0,14,0,0,8,8,8.0,18,26,12,77.0,43.0,5,6,12,629,0.431493584997952,12.621906474232674
26,12,0,0,0,10.000000000000002,20,10.0,2.5825140345673314,12,2.0,28.428022803506604,0,,34.0,20,34.0,8,1.0000000000000002,6340,278,0,0.0,2780.0000000000005,False,-0.2737692596768132,4,1.1400000000000001,6186,262,0,0.0,2620.0000000000005,False,-0.2957534761367907,0,0.2,17776,0,0,0.0,0.0,False,0.03037329005332715,0,0.29000000000000004,20099,2,67,1.0,1909.8425559040772,False,0.22037568270067462,3,1.1390000000000002,23803,0,0,0.0,0.0,False,-0.031177500101754244,12,2.471000000000001,18774,70,0,0.0,1989.9615962454623,False,-0.19536892840071915,0.16666666666666666,92978,0.0,0.0,15,0,0,8,12,11.5,24,32,12,87.0,31.0,7,5,12,302,0.4281966919079423,13.050103166140616
27,12,0,0,0,10.000000000000002,20,10.0,2.5825140345673314,0,,28.60981208495872,1,38.0,34.0,20,34.0,0,0.9920000000000002,6200,292,0,0.0,2920.0000000000005,False,-0.2803457346862082,0,1.1360000000000003,6126,268,0,0.0,2680.0000000000005,False,-0.29857196542653136,0,0.2,17776,0,0,0.0,0.0,False,0.03037329005332715,0,0.29000000000000004,20137,0,68,0.2,1945.467221777193,False,0.22361080517555051,13,1.266,23602,0,0,0.0,0.0,False,-0.03935854125117017,7,2.529000000000001,18663,71,0,0.0,2031.296658032069,False,-0.19904561321111824,0.03333333333333333,92504,0.0,0.0,10,0,0,6,9,9.0,23,29,10,70.0,54.0,6,6,10,238,0.4286496229469776,13.478752789087594
28,10,0,0,0,10.000000000000002,20,10.0,2.450879925890859,17,2.0,28.60981208495872,0,,34.0,13,34.0,8,1.0720000000000003,5999,298,0,0.0,2980.0000000000005,False,-0.2964111236377302,9,1.2260000000000002,5830,282,0,0.0,2820.0000000000005,False,-0.319804584742578,0,0.2,17776,0,0,0.0,0.0,False,0.03037329005332715,0,0.29000000000000004,20103,7,78,1.0,2248.721502108016,False,0.23042897930987769,1,1.263,23595,0,0,0.0,0.0,False,-0.039643453131995604,12,2.642000000000001,18479,71,0,0.0,2031.296658032069,False,-0.20653472550710097,0.16666666666666666,91782,0.0,0.0,11,0,0,4,12,12.0,26,30,10,81.0,16.0,7,3,10,200,0.411316086538136,13.89006887562573
29,10,0,0,0,10.000000000000002,20,10.0,2.264166746187009,10,1.0,27.600971365628734,8,21.625,34.0,20,34.0,5,1.114,5844,305,0,0.0,3050.0000000000005,False,-0.307685080796693,5,1.2670000000000001,5615,295,0,0.0,2950.0000000000005,False,-0.33389703119128145,0,0.2,17776,0,0,0.0,0.0,False,0.03037329005332715,0,0.29000000000000004,20266,7,80,1.0,2223.9268764736075,False,0.2391585577461629,8,1.342,23360,0,7,0.7,238.0,False,-0.044364850014245595,12,2.750000000000001,18265,72,0,0.0,1987.2699383252689,False,-0.21614086982935266,0.2833333333333333,91126,0.0,0.0,15,0,0,7,15,15.0,22,29,11,87.0,34.0,6,4,11,373,0.4482245361432433,14.338293411768973
