index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,26,0,0,0,10.000000000000002,20,10.0,11.647115257055628,26,10.576923076923077,37.4292238072677,5,47.0,41.99999999999999,8,42.0,11,1.0750000000000002,17713,98,0,0.0,980.0000000000002,False,-0.1125682527301092,15,1.5650000000000002,16107.0,122,0,0.0,1220.0000000000002,False,-0.18501365054602184,0,0.2,31245,45,59,1.0,2732.444391196297,False,0.027675359896579196,0,0.2,31443,31,65,1.0,2793.9601204411247,False,0.03488419185770539,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,0.49700000000000005,46150,0,6,0.5,251.99999999999994,False,-0.011513403823560824,0.4166666666666667,189473,0.0,0.0,12,0,0,18,5,5.0,13,31,32,219.0,189.0,13,13,32,771,1.045431879349053,16.983882679603994
11,32,0,0,0,10.000000000000002,20,10.0,11.537212224155036,25,10.8,38.89111539850346,10,47.0,41.999999999999986,6,42.0,15,1.2140000000000002,17318,110,0,0.0,1100.0000000000002,False,-0.12890015600624025,10,1.6500000000000001,15872.0,130,0,0.0,1300.0000000000002,False,-0.19452028081123246,0,0.2,31265,55,64,1.0,3123.5780578327485,False,0.03446850373164772,0,0.2,31623,26,70,1.0,3022.345595723273,False,0.04415506878837929,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,0.4970000000000001,45932,0,10,1.0,419.9999999999999,False,-0.014375734273203033,0.5,188825,0.0,0.0,14,0,0,19,5,5.0,16,35,40,276.0,226.0,16,16,40,922,1.2208345802500844,18.20471725985408
12,40,0,0,0,10.000000000000002,20,10.0,11.410849518142573,29,10.655172413793103,38.89111539850346,0,,41.99999999999999,9,42.0,0,1.1990000000000003,17248,117,0,0.0,1170.0000000000002,False,-0.13060647425897035,29,1.9300000000000004,15025.0,143,0,0.0,1430.0000000000002,False,-0.23264430577223089,0,0.2,31105,60,74,1.0,3562.5935105778103,False,0.03634376690791612,0,0.2,31474,30,80,1.0,3453.6147174245543,False,0.04625491944386847,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,0.4970000000000001,46310,0,1,0.0,41.99999999999999,False,-0.010338566698707679,0.3333333333333333,187977,0.0,0.0,13,0,0,20,5,5.0,18,38,38,366.0,264.0,22,18,38,578,1.27586080878973,19.48057806864381
13,38,0,0,0,10.000000000000002,20,10.0,11.297227050881952,36,10.722222222222221,39.52539904510519,5,47.0,41.99999999999999,11,42.0,15,1.3490000000000002,16868,128,0,0.0,1280.0000000000002,False,-0.14645085803432137,21,2.111,14487.0,152,0,0.0,1520.0000000000002,False,-0.2566790171606864,0,0.2,30895,70,84,1.0,4110.939413350572,False,0.03836604502175291,0,0.2,31533,36,85,1.0,3766.3590926656916,False,0.05304192942151216,0,0.2,46815,0,0,0.0,0.0,False,0.0,10,0.5970000000000002,45954,0,5,0.5,209.99999999999997,False,-0.016148670297981418,0.4166666666666667,186552,0.0,0.0,10,0,0,18,12,11.666666666666668,18,36,43,291.0,287.0,17,21,43,435,1.2764865811914206,20.75706464983523
14,43,0,0,0,10.000000000000002,20,10.0,11.183466412158008,40,10.625,38.41266040420506,17,34.64705882352941,41.999999999999986,11,42.0,25,1.5840000000000003,16193,137,0,0.0,1370.0000000000002,False,-0.17716458658346335,15,2.2400000000000007,14102.0,163,0,0.0,1630.0000000000002,False,-0.2727671606864275,0,0.2,31260,70,84,1.0,4009.506122804286,False,0.048270036284062186,0,0.2,31332,56,88,1.0,4006.588234650894,False,0.05049299206899581,0,0.2,46815,0,0,0.0,0.0,False,0.0,6,0.6470000000000001,45517,7,10,1.0,688.8886228294353,False,-0.020368593155725423,0.5,185219,0.0,0.0,15,0,0,16,10,9.5,19,35,43,327.0,311.0,19,24,43,957,1.4818344144150615,22.23889906425029
15,43,0,0,0,10.000000000000002,20,10.0,11.14621565042532,20,10.75,37.45093262719184,10,31.0,41.99999999999998,14,42.0,5,1.6090000000000002,16003,149,0,0.0,1490.0000000000002,False,-0.18350234009360375,15,2.3750000000000004,13752.0,171,0,0.0,1710.0000000000002,False,-0.28788026521060844,0,0.2,31440,65,89,1.0,4057.6370210977193,False,0.05470073773512934,0,0.2,31247,61,93,1.0,4162.855889004785,False,0.05027661880384436,0,0.2,46815,0,0,0.0,0.0,False,0.0,4,0.681,45587,7,10,1.0,682.1565283903426,False,-0.018945246946594604,0.5,184844,0.0,0.0,16,0,0,16,6,6.0,21,37,46,345.0,309.0,20,23,46,930,1.382626817561686,23.621525881811976
16,46,0,0,0,10.000000000000002,20,10.0,11.08268289819719,40,10.75,37.45093262719184,0,,41.999999999999986,10,42.0,15,1.7540000000000002,15643,158,0,0.0,1580.0000000000002,False,-0.19885920436817472,25,2.6100000000000008,13057.0,182,0,0.0,1820.0000000000002,False,-0.3190815132605304,0,0.2,31225,75,99,1.0,4538.843547456781,False,0.055507571730639735,0,0.2,31032,71,103,1.0,4644.31654637276,False,0.05108745700647219,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,0.6770000000000002,46007,0,7,0.7,293.9999999999999,False,-0.014119406173235075,0.45,183779,0.0,0.0,12,0,0,18,8,8.0,20,38,42,384.0,311.0,23,23,42,620,1.589285277761519,25.210811159573495
17,42,0,0,0,10.000000000000002,20,10.0,11.054359138769415,25,10.8,37.45093262719184,0,,41.99999999999999,9,42.0,20,1.9390000000000003,15138,167,0,0.0,1670.0000000000002,False,-0.22128510140405616,5,2.6350000000000007,12882.0,193,0,0.0,1930.0000000000005,False,-0.32493174726989077,0,0.2,31065,80,109,1.0,4966.500387465464,False,0.057203863288460985,0,0.2,30922,71,113,1.0,5016.814885725306,False,0.05349029221512796,0,0.2,46815,0,0,0.0,0.0,False,0.0,2,0.6970000000000001,46285,0,0,0.0,0.0,False,-0.011321157748584856,0.3333333333333333,183107,0.0,0.0,11,0,0,17,6,5.5,21,38,37,381.0,299.0,22,20,37,410,1.341541949659586,26.55235310923308
18,37,0,0,0,10.000000000000002,20,10.0,11.028878313118886,25,10.8,37.45093262719184,0,,41.999999999999986,7,42.0,10,2.0190000000000006,14878,177,0,0.0,1770.0000000000002,False,-0.2315230109204368,15,2.7800000000000007,12512.0,203,0,0.0,2030.0000000000005,False,-0.3405323712948518,0,0.2,30905,85,119,1.0,5394.115639250935,False,0.058899499562772656,0,0.2,30812,71,123,1.0,5389.515073376037,False,0.05589630784004094,0,0.2,46815,0,0,0.0,0.0,False,0.0,7,0.7650000000000001,46195,0,0,0.0,0.0,False,-0.013243618498344548,0.3333333333333333,182117,0.0,0.0,9,0,0,14,8,8.0,20,34,38,288.0,271.0,16,21,38,200,1.1920948037877679,27.74444791302085
19,38,0,0,0,10.000000000000002,20,10.0,11.00583718758998,30,10.833333333333334,37.45093262719184,0,,41.999999999999986,12,42.0,20,2.2090000000000005,14318,192,0,0.0,1920.0000000000005,False,-0.2551677067082683,10,2.8650000000000007,12302.0,208,0,0.0,2080.0000000000005,False,-0.3495514820592824,0,0.2,30795,85,129,1.0,5766.666469852896,False,0.06130316184812169,0,0.2,30597,81,133,1.0,5872.446851611303,False,0.05673032571158254,0,0.2,46815,0,0,0.0,0.0,False,0.0,12,0.8780000000000001,45981,0,0,0.0,0.0,False,-0.01781480294777315,0.3333333333333333,180808,0.0,0.0,8,0,0,12,11,11.0,20,32,35,270.0,276.0,15,23,35,200,1.781533439643681,29.52598135266453
20,35,0,0,0,10.000000000000002,20,10.0,10.986134602235635,35,10.857142857142858,39.69982988960461,20,47.5,41.999999999999986,12,42.0,25,2.4390000000000005,13653,201,0,0.0,2010.0000000000005,False,-0.28539391575663026,10,2.9550000000000005,12032.0,219,0,0.0,2190.0000000000005,False,-0.36003315132605307,0,0.2,31005,100,129,1.0,6219.891515982557,False,0.07506210437056937,0,0.2,30957,81,133,1.0,6169.954278098499,False,0.0727626489474444,0,0.2,46815,0,0,0.0,0.0,False,0.0,12,0.9860000000000002,44817,10,10,1.0,816.998298896046,False,-0.033952811076620314,0.5,179279,0.0,0.0,11,0,0,14,13,13.0,18,32,41,270.0,254.0,15,20,41,1150,1.2488975636661053,30.774878916330636
21,41,0,0,0,10.000000000000002,20,10.0,10.969580752579134,35,10.857142857142858,39.69982988960461,0,,41.999999999999986,8,42.0,15,2.5640000000000005,13323,207,0,0.0,2070.0000000000005,False,-0.3000195007800312,20,3.145000000000001,11477.0,233,0,0.0,2330.0000000000005,False,-0.38367784711388453,0,0.2,30790,110,139,1.0,6724.930237438745,False,0.07624444958621543,0,0.2,30792,86,143,1.0,6620.459618935264,False,0.07466138749779819,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,0.974,45153,0,12,1.0,503.99999999999983,False,-0.03011855174623518,0.5,178350,0.0,0.0,11,0,0,19,7,7.0,19,38,42,337.0,300.0,21,20,42,536,1.4002272067591548,32.17510612308979
22,42,0,0,0,10.000000000000002,20,10.0,10.903779938923895,40,10.5,40.95205768350465,15,47.666666666666664,41.999999999999986,12,42.0,25,2.7990000000000004,12648,216,0,0.0,2160.0000000000005,False,-0.33073322932917315,15,3.275000000000001,11087.0,244,0,0.0,2440.0000000000005,False,-0.40000975039001563,0,0.2,31050,120,139,1.0,7000.789610678014,False,0.08878438235713626,0,0.2,30827,96,148,1.0,7107.667411295382,False,0.08344101426425767,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,0.974,44942,5,10,1.0,624.7602884175232,False,-0.03333589353393647,0.5,177369,0.0,0.0,18,0,0,12,8,8.0,22,34,42,279.0,298.0,17,25,42,1419,1.262938056141138,33.43804417923093
23,42,0,0,0,10.000000000000002,20,10.0,10.876840524707582,25,10.6,41.58278250602538,10,47.0,41.99999999999999,11,42.0,15,2.9240000000000004,12323,221,0,0.0,2210.0000000000005,False,-0.3453588143525741,10,3.3600000000000008,10777.0,259,0,0.0,2590.0000000000005,False,-0.41146645865834636,0,0.2,31180,120,144,1.0,7293.141543832566,False,0.09748749793326449,0,0.2,30902,101,153,1.0,7460.72661641735,False,0.09136745054702279,0,0.2,46815,0,0,0.0,0.0,False,0.0,1,0.9840000000000002,44884,5,10,1.0,627.9139125301268,False,-0.03454113091391509,0.5,176881,0.0,0.0,13,0,0,22,6,5.166666666666667,18,40,45,348.0,288.0,21,21,45,880,1.2806270411238074,34.718671220354736
24,45,0,0,0,10.000000000000002,20,10.0,10.834069843898275,25,10.4,41.58278250602538,0,,42.0,9,42.0,5,2.9590000000000005,12173,229,0,0.0,2290.0000000000005,False,-0.35072152886115443,20,3.5500000000000007,10237.0,271,0,0.0,2710.0000000000005,False,-0.43486739469578783,0,0.2,31025,125,154,1.0,7758.007236415193,False,0.09992763426740617,0,0.2,30797,101,163,1.0,7872.234602715863,False,0.09454250469095049,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,0.9830000000000003,45262,0,6,0.5,252.0,False,-0.03048168322118979,0.4166666666666667,176309,0.0,0.0,14,0,0,16,5,5.0,22,38,42,414.0,321.0,23,22,42,578,1.3842354863882065,36.10290670674294
25,42,0,0,0,10.000000000000002,20,10.0,10.809401347217197,20,10.5,41.879454149217985,5,47.0,42.0,9,42.0,10,3.0540000000000007,11913,239,0,0.0,2390.0000000000005,False,-0.3609594383775351,10,3.630000000000001,9977.0,281,0,0.0,2810.0000000000005,False,-0.4451053042121685,0,0.2,30870,130,164,1.0,8273.452655609985,False,0.10316472844688476,0,0.2,30977,96,168,1.0,8073.450826401472,False,0.10338529017744104,0,0.2,46815,0,0,0.0,0.0,False,0.0,3,1.0130000000000003,45251,0,5,0.5,210.0,False,-0.031165224821104346,0.4166666666666667,175803,0.0,0.0,13,0,0,17,6,5.333333333333333,20,37,37,330.0,304.0,20,22,37,603,1.2929732259362936,37.395879932679236
26,37,0,0,0,10.000000000000002,20,10.0,10.789923066226159,25,10.6,41.879454149217985,0,,42.0,12,42.0,5,3.0940000000000003,11733,250,0,0.0,2500.0000000000005,False,-0.3670534321372855,20,3.8200000000000007,9472.0,290,0,0.0,2900.0000000000005,False,-0.4675312012480499,0,0.2,30765,130,174,1.0,8689.71502057333,False,0.10641469480624798,0,0.2,30817,101,178,1.0,8544.325068249644,False,0.1057625353456913,0,0.2,46815,0,0,0.0,0.0,False,0.0,7,1.08,45381,0,0,0.0,0.0,False,-0.0306312079461711,0.3333333333333333,174983,0.0,0.0,11,0,0,15,7,6.75,18,33,37,309.0,249.0,18,19,37,368,1.3858982808887959,38.78177821356803
27,37,0,0,0,10.000000000000002,20,10.0,10.767781930184857,20,10.5,41.879454149217985,0,,42.0,14,42.0,5,3.1390000000000007,11578,259,0,0.0,2590.0000000000005,False,-0.3724161466458658,15,3.950000000000001,9082.0,301,0,0.0,3010.0000000000005,False,-0.48386310452418096,0,0.2,30660,130,184,1.0,9105.63121438014,False,0.10965920673085035,0,0.2,30712,101,188,1.0,8960.883355001652,False,0.10901716438725707,0,0.2,46815,0,0,0.0,0.0,False,0.0,14,1.213,45108,0,0,0.0,0.0,False,-0.036462672220442166,0.3333333333333333,173955,0.0,0.0,8,0,0,14,9,9.0,19,33,31,270.0,289.0,15,22,31,200,1.1945041101425886,39.97628232371062
28,31,0,0,0,10.000000000000002,20,10.0,10.779335897063687,35,10.857142857142858,42.66990663683768,15,47.0,41.99999999999999,8,42.0,15,3.2840000000000007,11203,269,0,0.0,2690.0000000000005,False,-0.38826053042121683,20,4.135000000000001,8572.0,311,0,0.0,3110.0000000000005,False,-0.5062890015600624,0,0.2,30860,145,184,1.0,9414.266526252368,False,0.12082479636738358,0,0.2,30837,101,193,1.0,9324.004906513106,False,0.11867779451222864,0,0.2,46815,0,0,0.0,0.0,False,0.0,8,1.2790000000000001,44294,5,10,1.0,633.3495331841883,False,-0.04708587489923973,0.5,172581,0.0,0.0,13,0,0,13,10,10.0,19,32,31,270.0,241.0,15,16,31,905,1.0363344866782427,41.01261681038886
29,31,0,0,0,10.000000000000002,20,10.0,10.76698307644596,30,10.666666666666666,42.66990663683768,0,,41.99999999999999,0,,25,3.5190000000000006,10498,281,0,0.0,2810.0000000000005,False,-0.41970553822152884,5,4.165000000000001,8427.0,319,0,0.0,3190.0000000000005,False,-0.5114079563182528,0,0.2,30810,140,194,1.0,9785.339518248944,False,0.1250959492996084,0,0.2,30567,116,203,1.0,9910.96108414578,False,0.1194176580239148,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,44294,0,15,0.5,629.9999999999999,False,-0.047121649044109794,0.4166666666666667,171411,0.0,0.0,9,0,0,15,6,6.0,11,26,36,261.0,252.0,17,14,36,200,1.1811840124428272,42.19380082283169
30,36,0,0,0,10.000000000000002,20,10.0,10.743136743049382,55,10.636363636363637,43.11423338241657,10,47.0,41.99999999999999,0,,20,3.694000000000001,9968,292,0,0.0,2920.0000000000005,False,-0.44286271450858034,35,4.510000000000001,7347.0,328,0,0.0,3280.0000000000005,False,-0.561866224648986,0,0.2,30490,160,204,1.0,10514.205488900883,False,0.12649616312515186,0,0.2,30772,131,203,1.0,10159.540289970033,False,0.12979454022579062,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,43824,0,25,1.0,1049.9999999999998,False,-0.052675424543415575,0.5,169216,0.0,0.0,10,0,0,16,11,11.0,10,26,33,327.0,261.0,19,17,33,670,1.2105159712955356,43.404316794127226
31,33,0,0,0,10.000000000000002,20,10.0,10.73448845665673,10,10.5,43.68173266488593,15,47.0,41.99999999999999,0,,10,3.7740000000000005,9728,300,0,0.0,3000.0000000000005,False,-0.45261310452418096,0,4.475000000000001,7227.0,340,0,0.0,3400.0000000000005,False,-0.5647913416536662,0,0.2,30910,155,204,1.0,10574.919174418523,False,0.14068822951530777,0,0.2,30952,126,208,1.0,10438.34593983502,False,0.13985986102535253,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,43119,5,35,1.0,1688.4086633244294,False,-0.060916280430156684,0.5,168751,0.0,0.0,11,0,0,17,2,2.0,10,27,38,327.0,252.0,19,14,38,905,1.1639415519312024,44.56825834605843
32,38,0,0,0,10.000000000000002,20,10.0,10.727299496871739,30,10.666666666666666,43.68173266488593,0,,41.99999999999999,0,,10,3.8640000000000008,9493,308,0,0.0,3080.0000000000005,False,-0.46211973478939156,20,4.675000000000001,6687.0,352,0,0.0,3520.0000000000005,False,-0.5881922776911076,0,0.2,30750,160,214,1.0,11064.258709785066,False,0.14335642249054711,0,0.2,30792,131,218,1.0,10927.89395503533,False,0.14253133890642744,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000004,43119,0,40,0.5,1679.9999999999998,False,-0.061006087792374236,0.4166666666666667,167656,0.0,0.0,8,0,0,10,6,6.0,10,20,36,345.0,279.0,20,18,36,200,2.091754495166242,46.66001284122467
33,36,0,0,0,10.000000000000002,20,10.0,10.710751913976145,20,10.5,44.00566561942285,10,47.0,41.99999999999999,0,,15,4.0040000000000004,9123,317,0,0.0,3170.0000000000005,False,-0.4779641185647426,5,4.705000000000001,6512.0,363,0,0.0,3630.0000000000005,False,-0.5940425117004681,0,0.2,30885,160,219,1.0,11350.961076889787,False,0.15212808554012833,0,0.2,30917,131,223,1.0,11216.37193386217,False,0.15101584996473977,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,1.2710000000000001,42649,0,50,1.0,2099.9999999999995,False,-0.06655986329168001,0.5,166901,0.0,0.0,11,0,0,12,4,4.0,6,18,36,309.0,278.0,18,18,36,670,1.3282315470278263,47.9882443882525
