index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1026,16a0368b-4a45-4dfc-9d50-e928632b5668,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,49,16,28,40,-1,40,00Ind@0|03Dec@1,"[quantity: (1, 16), time: (45, 50), unit_price: (18, 36)]",00Ind@0,03Dec@1,p1,00Ind@0,False,1,17,49,,-1,-1
1027,e157aab2-c53d-4554-aa50-760a3cc85570,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,43,5,3,40,-1,40,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (40, 44), unit_price: (1, 18)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,13,-1,01Ran@0:product(1.0),-1,-1
1028,85fb69cf-d255-4e99-83a7-4b8cd1c1ed6d,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,43,19,16,40,-1,40,03Dec@1|01Ran@0,"[quantity: (1, 22), time: (40, 50), unit_price: (1, 18)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,2,-1,01Ran@0:product(1.0),-1,-1
1029,98ee62e8-3e10-47f5-a604-08658a1550ef,03Dec@1,05Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,50,5,41,41,-1,41,03Dec@1|05Buy@2,"[quantity: (1, 5), time: (45, 50), unit_price: (28, 56)]",03Dec@1,05Buy@2,p2,03Dec@1,False,2,17,50,,-1,-1
1030,75c13f7b-3670-4528-97a2-bea446bdac58,03Dec@1,05Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,49,5,41,41,-1,41,03Dec@1|05Buy@2,"[quantity: (1, 5), time: (44, 49), unit_price: (28, 56)]",03Dec@1,05Buy@2,p2,03Dec@1,False,2,17,49,,-1,-1
1031,fada9073-2b36-4b31-afe5-ce43c38b1fac,03Dec@1,04Dec@2,DecentralizingAgent,DecentralizingAgent,44,8,41,41,-1,41,03Dec@1|04Dec@2,"[quantity: (1, 8), time: (41, 46), unit_price: (28, 56)]",03Dec@1,04Dec@2,p2,03Dec@1,False,2,17,44,,-1,-1
1032,fbaf181b-b8dc-499f-8543-dd5857301505,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,43,5,1,41,-1,41,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (41, 45), unit_price: (1, 18)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,7,-1,01Ran@0:product(1.0),-1,-1
1033,eb245b72-379d-4942-a073-635516c325d9,03Dec@1,05Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,51,5,41,41,-1,41,03Dec@1|05Buy@2,"[quantity: (1, 5), time: (46, 51), unit_price: (28, 56)]",03Dec@1,05Buy@2,p2,03Dec@1,False,2,17,51,,-1,-1
1034,2676778d-2cb2-44fc-ab83-31e5570b4311,03Dec@1,05Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,45,6,15,41,-1,41,05Buy@2|03Dec@1,"[quantity: (1, 8), time: (41, 45), unit_price: (1, 28)]",03Dec@1,05Buy@2,p2,05Buy@2,True,2,17,45,,-1,-1
1035,9b777939-9794-4cfd-a686-a65686116a35,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,43,5,2,42,-1,42,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (42, 45), unit_price: (1, 18)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,10,-1,01Ran@0:product(1.0),-1,-1
