index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,7,0,0,0,10.000000000000002,20,10.0,4.147747905900153,7,1.8571428571428572,48.153804620281406,4,54.0,48.000000000000014,20,48.0,5,0.8710000000000002,9934,209,0,0.0,2090.0000000000005,False,-0.1972654821963881,2,0.7870000000000001,10123,211,0,0.0,2110.0000000000005,False,-0.18271550778679535,0,0.2,26281,0,50,0.7,2407.6902310140704,False,0.20420807551292658,0,0.2,23630,0,0,0.0,0.0,False,0.03531370487206449,7,0.9090000000000003,33410,0,2,0.2,96.00000000000003,False,-0.035959200138304614,9,1.8920000000000003,28316,48,0,0.0,2311.3826217735077,False,-0.15081855267427097,0.15,131694,0.0,0.0,14,0,0,8,13,12.333333333333334,22,30,7,87.0,0.0,7,0,7,512,0.6217348296195269,15.011802447028458
21,7,0,0,0,10.000000000000002,20,10.0,4.088240318546924,6,3.5,48.21968147410125,4,49.0,48.000000000000014,20,48.0,5,0.9160000000000001,9714,221,0,0.0,2210.0000000000005,False,-0.20896395408349785,1,0.7950000000000002,10026,219,0,0.0,2190.0000000000005,False,-0.1868830883965782,0,0.2,26456,0,52,0.6,2507.423436653265,False,0.2140602750756498,0,0.2,23630,0,0,0.0,0.0,False,0.03531370487206449,9,0.9920000000000002,33152,0,4,0.4,192.00000000000006,False,-0.04201002708465395,9,1.9730000000000003,28158,48,0,0.0,2314.54471075686,False,-0.1553255242500308,0.16666666666666666,131136,0.0,0.0,13,0,0,3,13,12.333333333333334,26,29,6,81.0,3.0,6,1,6,396,0.47544881887733936,15.487251265905797
22,6,0,0,0,10.000000000000002,20,10.0,3.886401675928517,10,2.7,48.596045103871184,1,66.0,48.00000000000001,5,48.0,2,0.9310000000000003,9552,233,0,0.0,2330.0000000000005,False,-0.2164217299115303,8,0.8740000000000001,9770,227,0,0.0,2270.0000000000005,False,-0.20267602544417634,0,0.2,26495,0,61,1.0,2964.358751336142,False,0.2257789772024216,0,0.2,23630,0,0,0.0,0.0,False,0.03531370487206449,0,0.9830000000000003,33152,0,4,0.0,192.00000000000003,False,-0.04201002708465395,5,2.0140000000000007,28033,49,0,0.0,2381.206210089688,False,-0.1579668326789361,0.16666666666666666,130632,0.0,0.0,12,0,0,1,5,5.0,27,28,7,78.0,3.0,5,1,7,266,0.41846207715570927,15.905713343061507
23,7,0,0,0,10.000000000000002,20,10.0,3.8108620473550237,7,3.142857142857143,50.21689457751557,5,64.0,48.000000000000014,20,48.0,2,0.9490000000000003,9428,241,0,0.0,2410.0000000000005,False,-0.22256342765226292,5,0.9160000000000001,9555,239,0,0.0,2390.0000000000005,False,-0.21400892008481393,0,0.2,26793,0,63,0.7,3163.6643583834807,False,0.24320155008726518,0,0.2,23630,0,0,0.0,0.0,False,0.03531370487206449,7,1.0530000000000002,33237,0,0,0.0,0.0,False,-0.04232697516279606,9,2.0990000000000006,27551,54,0,0.0,2711.7123071858405,False,-0.1670934088171233,0.11666666666666665,130194,0.0,0.0,13,0,0,7,12,12.0,21,28,8,76.0,3.0,6,1,8,712,0.5888324277475476,16.494545770809054
24,8,0,0,0,10.000000000000002,20,10.0,3.7662533780657084,1,1.0,51.133482413126806,6,57.666666666666664,48.00000000000001,20,48.0,0,0.9470000000000001,9388,245,0,0.0,2450.0000000000005,False,-0.22402573663815165,1,0.921,9373,255,0,0.0,2550.0000000000005,False,-0.22146669591284637,0,0.2,27138,0,58,0.1,2965.741979961355,False,0.2539813788109305,0,0.2,23630,0,0,0.0,0.0,False,0.03531370487206449,11,1.1560000000000001,32874,0,3,0.3,144.00000000000003,False,-0.05071169250273728,9,2.1800000000000006,27195,57,0,0.0,2914.608497548228,False,-0.17442793036437174,0.06666666666666667,129598,0.0,0.0,14,0,0,8,12,12.0,23,31,5,97.0,3.0,7,1,5,546,0.6340530468150973,17.12859881762415
25,5,0,0,0,10.000000000000002,20,10.0,3.3967979342484056,15,2.0,51.133482413126806,0,,48.0,20,48.0,10,1.0470000000000002,9068,254,0,0.0,2540.0000000000005,False,-0.2441324851941215,5,0.9700000000000002,9153,266,0,0.0,2660.0000000000005,False,-0.23353074504642832,0,0.2,27108,5,68,1.0,3494.0607937638647,False,0.26424072892051925,0,0.2,23630,0,0,0.0,0.0,False,0.03531370487206449,6,1.205,32952,0,0,0.0,0.0,False,-0.05053881173284158,11,2.281000000000001,26978,57,0,0.0,2914.608497548228,False,-0.18068045154226603,0.16666666666666666,128889,0.0,0.0,13,0,0,5,11,10.833333333333332,25,30,5,63.0,0.0,5,0,5,296,0.5535246198996902,17.682123437523842
26,5,0,0,0,10.000000000000002,20,10.0,3.1423286515103266,10,1.5,51.133482413126806,0,,48.0,15,48.0,10,1.1370000000000005,8738,263,0,0.0,2630.0000000000005,False,-0.26497038824303576,0,0.9650000000000001,9043,277,0,0.0,2770.0000000000005,False,-0.2375520947576223,0,0.2,27093,5,78,1.0,4004.1232714814428,False,0.27475734471349106,0,0.2,23630,0,0,0.0,0.0,False,0.03531370487206449,1,1.2090000000000003,32943,0,0,0.0,0.0,False,-0.05079813288768513,14,2.4100000000000006,26646,57,0,0.0,2914.608497548228,False,-0.19024652080982785,0.16666666666666666,128093,0.0,0.0,9,0,0,3,12,12.0,24,27,6,59.0,3.0,4,1,6,200,0.4001886686310172,18.08231210615486
27,6,0,0,0,10.000000000000002,20,10.0,3.1423286515103266,0,,50.97665160101137,5,49.6,48.0,10,48.0,0,1.1270000000000004,8648,272,0,0.0,2720.0000000000005,False,-0.2682605834612854,0,0.9650000000000001,8933,288,0,0.0,2880.0000000000005,False,-0.24157344446881626,0,0.2,27341,0,78,0.5,3976.1788248788866,False,0.28501092763930264,0,0.2,23630,0,0,0.0,0.0,False,0.03531370487206449,0,1.2080000000000002,32695,0,5,0.5,240.0,False,-0.054486255978793294,10,2.496000000000001,26463,57,0,0.0,2905.669141257648,False,-0.19564817119147054,0.16666666666666666,127710,0.0,0.0,15,0,0,3,5,5.0,24,27,7,67.0,3.0,5,1,7,448,0.46233497373759747,18.544647079892457
28,7,0,0,0,10.000000000000002,20,10.0,2.932764479570273,14,1.9285714285714286,47.716510634737176,9,31.77777777777778,48.0,11,48.0,6,1.1870000000000003,8416,282,0,0.0,2820.0000000000005,False,-0.2815675952328727,8,1.0450000000000002,8648,298,0,0.0,2980.0000000000005,False,-0.2587555750530087,0,0.2,27600,4,79,1.0,3781.3353980625184,False,0.2920902426845101,0,0.2,23630,0,0,0.0,0.0,False,0.03531370487206449,0,1.2080000000000002,32409,0,14,0.9,672.0,False,-0.05650319829424307,11,2.596000000000001,26242,57,0,0.0,2719.841106180019,False,-0.20469312069699733,0.31666666666666665,126945,0.0,0.0,15,0,0,7,12,12.0,20,27,7,64.0,3.0,6,1,7,486,0.6123801562935114,19.157027236185968
29,7,0,0,0,10.000000000000002,20,10.0,2.8729541621196244,5,2.0,48.265822374028545,3,57.0,47.99999999999999,6,48.0,5,1.2310000000000003,8231,290,0,0.0,2900.0000000000005,False,-0.2921693353805659,0,1.0370000000000001,8528,310,0,0.0,3100.0000000000005,False,-0.26314250201067485,0,0.2,27761,0,85,0.9,4102.594901792427,False,0.306181977343858,0,0.2,23630,0,0,0.0,0.0,False,0.03531370487206449,0,1.2080000000000002,32409,0,14,0.0,671.9999999999999,False,-0.05650319829424307,6,2.645000000000001,25994,60,0,0.0,2895.949342441713,False,-0.20930171523019483,0.15,126553,0.0,0.0,10,0,0,1,4,4.0,30,31,4,85.0,3.0,6,1,4,371,0.4552597515285015,19.61228698771447
