index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,9,0,0,0,10.000000000000002,20,10.0,7.282577993601392,7,4.0,22.231404154766082,18,22.27777777777778,37.00000000000001,20,37.0,2,0.30100000000000005,22953,104,0,0.0,1040.0000000000002,False,-0.027025906735751296,5,0.7360000000000002,21818,116,0,0.0,1160.0000000000002,False,-0.07158549222797927,8,0.514,37333,0,7,0.7,155.61982908336256,False,-0.001686238070617544,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,10,0.8400000000000001,48928,0,0,0.0,0.0,False,-0.015473771052578626,10,0.9300000000000002,46713,87,0,0.0,1934.1321614646492,False,-0.040584621189763526,0.11666666666666665,215964,0.0,0.0,12,0,0,13,14,13.2,14,27,9,127.0,3.0,8,1,9,305,0.8810757528990507,12.418313743546605
11,9,0,0,0,10.000000000000002,20,10.0,7.282577993601392,0,,23.244112362214366,5,41.0,37.00000000000001,20,37.0,0,0.29900000000000004,22843,115,0,0.0,1150.0000000000002,False,-0.029305699481865285,0,0.7310000000000001,21728,125,0,0.0,1250.0000000000002,False,-0.07345077720207253,0,0.506,37538,0,2,0.0,46.48822472442873,False,0.002328123828846988,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,11,0.9400000000000004,48561,0,5,0.5,185.00000000000003,False,-0.020997243294363845,9,1.0100000000000002,46596,87,0,0.0,2022.23777551265,False,-0.042052460153403116,0.08333333333333333,215485,0.0,0.0,12,0,0,9,10,10.0,21,30,7,139.0,0.0,9,0,7,405,0.8212189609184861,13.239532704465091
12,7,0,0,0,10.000000000000002,20,10.0,7.267664582363786,3,7.0,23.244112362214366,0,,37.00000000000001,20,37.0,2,0.31900000000000006,22699,127,0,0.0,1270.0000000000002,False,-0.032787564766839375,1,0.7410000000000001,21630,133,0,0.0,1330.0000000000002,False,-0.07585492227979275,0,0.506,37517,0,5,0.3,116.22056181107183,False,0.002698144871258402,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,4,0.9690000000000003,48710,0,0,0.0,0.0,False,-0.01986035374368674,11,1.1110000000000002,46426,87,0,0.0,2022.23777551265,False,-0.04547318977490944,0.049999999999999996,215201,0.0,0.0,11,0,0,7,10,9.5,21,28,6,103.0,0.0,7,0,6,311,0.7014103764668107,13.940943080931902
13,6,0,0,0,10.000000000000002,20,10.0,6.913235667080526,10,5.1,23.244112362214366,0,,37.00000000000001,20,37.0,2,0.3370000000000001,22545,140,0,0.0,1400.0000000000002,False,-0.036476683937823835,8,0.8200000000000003,21415,140,0,0.0,1400.0000000000002,False,-0.0833160621761658,0,0.506,37466,0,15,1.0,348.6616854332155,False,0.0044385665452475005,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,11,1.0750000000000004,48543,0,0,0.0,0.0,False,-0.02322071754834296,9,1.1900000000000002,46310,87,0,0.0,2022.23777551265,False,-0.04780733469311376,0.16666666666666666,214498,0.0,0.0,9,0,0,3,13,13.0,25,28,5,102.0,0.0,6,0,5,200,0.5649091396480799,14.505852220579982
14,5,0,0,0,10.000000000000002,20,10.0,6.913235667080526,0,,23.244112362214366,0,,37.00000000000001,20,37.0,0,0.3350000000000001,22415,153,0,0.0,1530.0000000000002,False,-0.03917098445595855,0,0.812,21345,147,0,0.0,1470.0000000000002,False,-0.08476683937823834,0,0.506,37466,0,15,0.0,348.6616854332155,False,0.0044385665452475005,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,11,1.1740000000000002,48378,0,0,0.0,0.0,False,-0.0265408374750991,9,1.2710000000000001,46197,87,0,0.0,2022.23777551265,False,-0.05008111379446797,0.0,214020,0.0,0.0,11,0,0,2,10,10.0,24,26,7,64.0,3.0,4,1,7,200,0.5149358315393329,15.020788052119315
15,7,0,0,0,10.000000000000002,20,10.0,6.986399729405918,2,9.0,22.3614340442341,10,15.0,37.0,20,37.0,2,0.35500000000000004,22271,165,0,0.0,1650.0000000000002,False,-0.04265284974093264,0,0.812,21265,155,0,0.0,1550.0000000000002,False,-0.08642487046632125,0,0.506,37598,0,7,0.2,156.5300383096387,False,0.00539747609422043,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,11,1.2730000000000004,48221,0,0,0.0,0.0,False,-0.029699981890254946,9,1.352,45929,97,0,0.0,2169.059102290708,False,-0.05399662854608223,0.03333333333333333,213503,0.0,0.0,11,0,0,4,10,10.0,23,27,5,99.0,3.0,6,1,5,350,0.5869741691276431,15.607762221246958
16,5,0,0,0,10.000000000000002,20,10.0,6.986399729405918,0,,22.411811123093745,14,22.714285714285715,37.0,20,37.0,0,0.35300000000000004,22131,179,0,0.0,1790.0000000000002,False,-0.04555440414507772,0,0.812,21205,161,0,0.0,1610.0000000000002,False,-0.08766839378238342,7,0.5760000000000001,37684,0,0,0.0,0.0,False,0.005603885360516625,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,12,1.3820000000000001,48012,0,1,0.1,37.0,False,-0.033533211260237034,8,1.4230000000000003,45524,110,0,0.0,2465.299223540312,False,-0.05916555100367923,0.016666666666666666,212775,0.0,0.0,11,0,0,3,14,13.75,19,22,8,74.0,0.0,5,0,8,400,0.5938687836751342,16.201631004922092
17,8,0,0,0,10.000000000000002,20,10.0,6.025503264816787,13,2.230769230769231,22.87878784362203,10,27.0,37.0,20,37.0,2,0.37300000000000005,22007,189,0,0.0,1890.0000000000002,False,-0.04862176165803109,11,0.9220000000000002,20854,171,0,0.0,1710.0000000000002,False,-0.10014507772020725,10,0.669,37570,3,10,1.0,246.86438823067067,False,0.005855585048709294,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,12,1.4900000000000002,47653,0,5,0.5,185.0,False,-0.039267963860997644,7,1.485,45390,115,0,0.0,2631.0606020165337,False,-0.06019417065399794,0.25,211693,0.0,0.0,12,0,0,6,15,15.0,23,29,7,118.0,3.0,7,1,7,237,0.9911796050146222,17.192810609936714
18,7,0,0,0,10.000000000000002,20,10.0,6.124810104076536,2,9.0,24.153283175357608,15,31.666666666666668,37.0,20,37.0,2,0.39100000000000007,21903,197,0,0.0,1970.0000000000005,False,-0.05127461139896373,0,0.911,20734,183,0,0.0,1830.0000000000002,False,-0.1026321243523316,5,0.7090000000000001,37867,0,5,0.5,120.76641587678805,False,0.01209860724604776,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,4,1.5180000000000002,47530,0,10,1.0,370.0,False,-0.03988168299897378,11,1.5880000000000003,45015,120,0,0.0,2898.393981042913,False,-0.06505026479422385,0.25,211268,0.0,0.0,13,0,0,4,11,10.333333333333332,23,27,7,90.0,3.0,6,1,7,721,0.6754197916015983,17.868230401538312
19,7,0,0,0,10.000000000000002,20,10.0,6.208966029250253,7,6.857142857142857,25.787538514574283,10,41.0,37.00000000000001,20,37.0,2,0.4090000000000001,21789,206,0,0.0,2060.0000000000005,False,-0.054134715025906735,5,0.9610000000000001,20549,194,0,0.0,1940.0000000000005,False,-0.10802072538860104,5,0.754,38069,0,7,0.7,180.51276960201997,False,0.018286182014223475,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,0,1.5140000000000002,47695,0,5,0.5,185.00000000000003,False,-0.03842284242509608,10,1.6770000000000005,44669,125,0,0.0,3223.4423143217855,False,-0.06874215431191233,0.19999999999999998,210990,0.0,0.0,17,0,0,3,8,8.0,25,28,6,119.0,0.0,7,0,6,775,0.6086134081706405,18.476843809708953
20,6,0,0,0,10.000000000000002,20,10.0,6.307201764714592,2,9.0,25.787538514574283,0,,37.000000000000014,20,37.0,2,0.42700000000000005,21655,217,0,0.0,2170.0000000000005,False,-0.05740932642487047,0,0.9560000000000002,20459,203,0,0.0,2030.0000000000005,False,-0.1098860103626943,0,0.7490000000000001,38051,0,9,0.2,232.08784663116856,False,0.0184939937907772,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,5,1.5640000000000003,47829,0,0,0.0,0.0,False,-0.03758778195866954,10,1.7670000000000001,44522,125,0,0.0,3223.4423143217855,False,-0.07170007933756779,0.03333333333333333,210735,0.0,0.0,13,0,0,0,10,10.0,24,24,6,103.0,0.0,6,0,6,385,0.5703173652291298,19.047161174938083
21,6,0,0,0,10.000000000000002,20,10.0,6.307201764714592,0,,26.565458833041806,5,41.0,37.000000000000014,13,37.0,0,0.42500000000000004,21555,227,0,0.0,2270.0000000000005,False,-0.059481865284974095,0,0.9560000000000002,20359,213,0,0.0,2130.0000000000005,False,-0.11195854922279792,0,0.7490000000000001,38256,0,4,0.0,106.26183533216722,False,0.022285609160113334,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,0,1.5590000000000004,47624,0,5,0.5,185.00000000000006,False,-0.039851500090548726,13,1.8870000000000005,44312,125,0,0.0,3320.6823541302256,False,-0.07494735744481328,0.08333333333333333,210325,0.0,0.0,12,0,0,2,5,5.0,22,24,3,105.0,0.0,6,0,3,405,0.5480887573212385,19.59524993225932
22,3,0,0,0,10.000000000000002,20,10.0,6.243773562336035,1,3.0,26.565458833041806,0,,37.000000000000014,12,37.0,0,0.42500000000000004,21425,240,0,0.0,2400.0000000000005,False,-0.06217616580310881,1,0.9660000000000002,20271,220,0,0.0,2200.0000000000005,False,-0.11415544041450777,0,0.7490000000000001,38253,0,5,0.1,132.82729416520903,False,0.02256000552603419,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,0,1.5590000000000004,47624,0,5,0.0,185.00000000000006,False,-0.039851500090548726,12,1.9940000000000007,44115,125,0,0.0,3320.6823541302256,False,-0.0789113794179706,0.016666666666666666,209907,0.0,0.0,10,0,0,2,8,8.0,23,25,3,53.0,0.0,3,0,3,200,0.479963849298656,20.075213781557977
23,3,0,0,0,10.000000000000002,20,10.0,6.046979790149679,5,4.2,26.565458833041806,0,,37.000000000000014,10,37.0,2,0.44500000000000006,21301,250,0,0.0,2500.0000000000005,False,-0.06524352331606217,3,0.9950000000000001,20111,230,0,0.0,2300.0000000000005,False,-0.11871502590673576,0,0.7490000000000001,38232,0,10,0.5,265.65458833041805,False,0.023771876345338377,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,0,1.559,47624,0,5,0.0,185.00000000000006,False,-0.039851500090548726,10,2.0820000000000003,43970,125,0,0.0,3320.6823541302256,False,-0.081829060565726,0.08333333333333333,209457,0.0,0.0,10,0,0,2,8,8.0,22,24,3,48.0,0.0,3,0,3,200,0.4615072878077626,20.53672106936574
24,3,0,0,0,10.000000000000002,20,10.0,5.852003910211997,6,4.333333333333333,25.576412827697798,7,13.142857142857142,37.000000000000014,14,37.0,2,0.4630000000000001,21197,258,0,0.0,2580.0000000000005,False,-0.06789637305699482,4,1.0320000000000003,19915,242,0,0.0,2420.0000000000005,False,-0.12435233160621761,0,0.7490000000000001,38298,0,9,0.6,230.18771544928018,False,0.02505987772121048,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,0,1.559,47610,0,6,0.1,222.00000000000009,False,-0.03976095136527356,14,2.2120000000000006,43644,131,0,0.0,3350.5100804284116,False,-0.08808871681964288,0.11666666666666665,208883,0.0,0.0,11,0,0,2,9,9.0,19,21,3,50.0,0.0,3,0,3,292,0.4538627667352557,20.990583836100996
25,3,0,0,0,10.000000000000002,20,10.0,5.979296745794369,2,9.0,26.238076441514835,6,35.666666666666664,37.000000000000014,9,37.0,2,0.4810000000000001,21073,268,0,0.0,2680.0000000000005,False,-0.07096373056994819,0,1.0280000000000002,19815,252,0,0.0,2520.0000000000005,False,-0.12642487046632125,0,0.7490000000000001,38494,0,5,0.2,131.19038220757417,False,0.02896929047082736,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,0,1.5590000000000004,47596,0,7,0.1,259.0000000000001,False,-0.03967040263999839,9,2.2880000000000007,43322,136,0,0.0,3568.3783960460178,False,-0.0923760146885525,0.05000000000000001,208519,0.0,0.0,11,0,0,6,6,6.0,19,25,3,51.0,0.0,3,0,3,414,0.4557677125558257,21.44635154865682
26,3,0,0,0,10.000000000000002,20,10.0,5.779426837867261,5,4.0,27.02583105296755,5,40.0,37.000000000000014,8,37.0,0,0.4790000000000001,20973,278,0,0.0,2780.0000000000005,False,-0.07303626943005181,5,1.078,19630,262,0,0.0,2620.0000000000005,False,-0.13202072538860105,0,0.7490000000000001,38674,0,5,0.5,135.12915526483775,False,0.03382517419097018,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,0,1.559,47596,0,7,0.0,259.0000000000001,False,-0.03967040263999839,8,2.3590000000000004,43025,141,0,0.0,3810.642178468425,False,-0.09591482203685917,0.08333333333333333,208117,0.0,0.0,11,0,0,8,5,5.0,14,22,6,47.0,0.0,3,0,6,400,0.49603527039289474,21.942386819049716
27,6,0,0,0,10.000000000000002,20,10.0,5.468126949061857,4,2.0,27.861465309883105,5,41.0,37.000000000000014,7,37.0,0,0.47900000000000004,20843,291,0,0.0,2910.0000000000005,False,-0.07573056994818653,4,1.1130000000000002,19484,269,0,0.0,2690.0000000000005,False,-0.13662176165803108,0,0.7490000000000001,38871,0,4,0.4,111.44586123953242,False,0.03876615601803302,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,0,1.5590000000000004,47391,0,12,0.5,444.00000000000017,False,-0.04193412077187758,7,2.4210000000000007,42946,141,0,0.0,3928.4666086935176,False,-0.09631902721800593,0.15,207754,0.0,0.0,10,0,0,8,4,4.0,18,26,7,84.0,3.0,5,1,7,405,0.6243054801598191,22.566692299209535
28,7,0,0,0,10.000000000000002,20,10.0,5.412920037508871,1,3.0,28.68003774133533,5,41.0,37.000000000000014,10,37.0,0,0.47900000000000004,20753,300,0,0.0,3000.0000000000005,False,-0.07759585492227979,1,1.1190000000000002,19356,280,0,0.0,2800.0000000000005,False,-0.13964766839378237,1,0.7590000000000001,39041,0,1,0.1,28.68003774133533,False,0.04219832467499241,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,0,1.5590000000000004,47186,0,17,0.5,629.0000000000002,False,-0.04419783890375677,10,2.5140000000000007,42800,141,0,0.0,4043.8853215282816,False,-0.09809560615803482,0.09999999999999999,207355,0.0,0.0,10,0,0,6,7,6.2,17,23,8,84.0,3.0,6,1,8,200,0.8620182331651449,23.42871053237468
29,8,0,0,0,10.000000000000002,20,10.0,5.375582256300044,4,5.0,30.178316117320854,10,41.0,37.000000000000014,13,37.0,2,0.499,20599,313,0,0.0,3130.0000000000005,False,-0.08128497409326425,2,1.1380000000000003,19246,287,0,0.0,2870.0000000000005,False,-0.14275647668393782,9,0.8480000000000001,39113,0,4,0.4,120.71326446928342,False,0.04534761787465029,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,0,1.5590000000000004,46981,0,22,0.5,814.0000000000003,False,-0.04646155703563595,13,2.634000000000001,42377,146,0,0.0,4406.034153128845,False,-0.10296361799375371,0.15,206535,0.0,0.0,9,0,0,9,10,9.8,19,28,7,123.0,0.0,8,0,7,200,0.9620491033419967,24.390759635716677
30,7,0,0,0,10.000000000000002,20,10.0,5.375582256300044,0,,30.863191965374096,5,41.0,37.000000000000014,7,37.0,0,0.49700000000000005,20489,324,0,0.0,3240.0000000000005,False,-0.08356476683937823,0,1.1360000000000003,19156,296,0,0.0,2960.0000000000005,False,-0.1446217616580311,1,0.8490000000000002,39286,0,0,0.0,0.0,False,0.04835352511074345,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,0,1.5590000000000004,46776,0,27,0.5,999.0000000000003,False,-0.04872527516751514,7,2.6910000000000007,42296,146,0,0.0,4506.026026944618,False,-0.10358747985849634,0.08333333333333333,206222,0.0,0.0,9,0,0,11,5,4.2,19,30,7,119.0,0.0,7,0,7,200,0.7114162817597389,25.102175917476416
31,7,0,0,0,10.000000000000002,20,10.0,5.239080488282115,6,4.333333333333333,31.529173773922167,5,41.0,37.000000000000014,9,37.0,2,0.5170000000000001,20355,335,0,0.0,3350.0000000000005,False,-0.08683937823834197,4,1.1760000000000002,18990,305,0,0.0,3050.0000000000005,False,-0.14963730569948186,5,0.8980000000000001,39305,0,6,0.6,189.175042643533,False,0.05138462724346923,0,0.2,38219,0,0,0.0,0.0,False,0.019880450445642312,0,1.559,46571,0,32,0.5,1184.0000000000005,False,-0.05098899329939433,9,2.7740000000000005,42173,146,0,0.0,4603.259370992637,False,-0.10508421664292986,0.18333333333333335,205613,0.0,0.0,11,0,0,8,8,8.0,18,26,5,103.0,0.0,7,0,5,200,0.7961942600086331,25.89837017748505
